LQGmu1_higher,Regret,LQGsigma_higher,ReturnMean,TimeElapsed,Iteration,ReturnLastEpisode,LQGmu1_actor,Regret/t
-1.0,0.009169605722717966,0.14999999,0.955950394277282,0.06246185302734375,1,0.955950394277282,-1.0270102,0.009169605722717966
0.57575756,0.5793885447415041,0.14999999,0.6754257276292479,0.07798504829406738,2,0.39490106098121375,0.68285155,0.28969427237075207
-0.2929293,0.5882077528692519,0.14999999,0.7690507490435827,0.09611082077026367,3,0.9563007918722523,-0.2626799,0.19606925095641728
-0.67676765,0.5970612916642509,0.14999999,0.8158546770839372,0.11557698249816895,4,0.9562664612050009,-0.8034471,0.14926532291606273
-0.45454547,0.6062520862169098,0.14999999,0.843869582756618,0.13329076766967773,5,0.9559292054473411,-0.51420164,0.12125041724338197
-0.8787879,0.6154641752482641,0.14999999,0.8625426374586226,0.15211153030395508,6,0.9559079109686457,-0.81811106,0.10257736254137735
-0.75757575,0.6242894547656465,0.14999999,0.8759357921763361,0.1722564697265625,7,0.9562947204826177,-0.8692859,0.08918420782366378
-0.7373737,0.6333588201603739,0.14999999,0.8859501474799532,0.19518709182739258,8,0.9560506346052725,-0.8064639,0.07916985252004674
-0.27272728,0.6428186291344993,0.14999999,0.8936957078739444,0.22017240524291992,9,0.9556601910258746,-0.31175685,0.07142429212605547
-0.4949495,0.6520327497525525,0.14999999,0.8999167250247446,0.23862886428833008,10,0.9559058793819467,-0.28363466,0.06520327497525526
-0.53535354,0.6608890271254857,0.14999999,0.9050391793522284,0.2584378719329834,11,0.9562637226270668,-0.64113057,0.06008082064777143
-0.65656567,0.6696787650262722,0.14999999,0.9093134362478105,0.27623867988586426,12,0.9563302620992135,-0.68538946,0.05580656375218935
-0.3131313,0.6784844406838486,0.14999999,0.9129288891781654,0.2956209182739258,13,0.9563143243424236,-0.34154928,0.05219111082183451
-0.61616164,0.6874890276563329,0.14999999,0.9160136408816903,0.31964921951293945,14,0.9561154130275157,-0.7660946,0.049106359118309496
