LQGsigma_higher,ReturnMean,Regret/t,Iteration,Regret,ReturnLastEpisode,TimeElapsed,LQGmu1_higher,LQGmu1_actor
0.14999999,0.9266801305088734,0.038439869491126544,1,0.038439869491126544,0.9266801305088734,0.08248233795166016,-1.0,-0.89414436
0.14999999,0.5776664815580621,0.38745351844193787,2,0.7749070368838757,0.22865283260725083,0.0970149040222168,0.5959596,0.7448665
0.14999999,0.6835166403788381,0.2816033596211619,3,0.8448100788634857,0.89521695802039,0.11273002624511719,-0.3131313,-0.13233191
0.14999999,0.7452519796920433,0.21986802030795677,4,0.8794720812318271,0.9304579976316586,0.1291666030883789,-0.67676765,-0.68920875
0.14999999,0.7821431260204965,0.1829768739795034,5,0.9148843698975171,0.92970771133431,0.15067338943481445,-0.85858583,-0.51184857
0.14999999,0.8068118499336002,0.15830815006639978,6,0.9498489003983986,0.9301554694991184,0.1721491813659668,-0.7373737,-0.6817266
0.14999999,0.8242878243953814,0.14083217560461866,7,0.9858252292323306,0.929143671166068,0.18838834762573242,-0.65656567,-0.45176154
0.14999999,0.8374193162835533,0.12770068371644686,8,1.0216054697315748,0.9293397595007558,0.20798754692077637,-0.6969697,-0.78064954
0.14999999,0.8476521226395158,0.11746787736048431,9,1.0572108962443587,0.929514573487216,0.22870469093322754,-0.7777778,-0.79007477
0.14999999,0.8557447342723778,0.10937526572762221,10,1.0937526572762222,0.9285782389681366,0.24868488311767578,-0.6363636,-0.7799542
0.14999999,0.8624260825587773,0.1026939174412227,11,1.1296330918534498,0.9292395654227723,0.27216672897338867,-0.65656567,-0.53220105
0.14999999,0.8679608398090187,0.0971591601909814,12,1.1659099222917768,0.9288431695616731,0.2887699604034424,-0.75757575,-0.83269596
0.14999999,0.8727494689706862,0.09237053102931395,13,1.2008169033810814,0.9302130189106954,0.31035399436950684,-0.8181818,-0.70421016
0.14999999,0.8766345759713616,0.08848542402863838,14,1.2387959364009373,0.9271409669801441,0.32921552658081055,-0.8989899,-0.9014931
0.14999999,0.8194425583251629,0.14567744167483718,15,2.1851616251225576,0.018754311278379773,0.3501906394958496,1.0,1.0409546
0.14999999,0.8262307113361124,0.13888928866388767,16,2.2222286186222027,0.9280530065003547,0.36826252937316895,-0.8787879,-0.83023
0.14999999,0.8322366784345326,0.1328833215654673,17,2.259016466612944,0.9283321520092583,0.38749217987060547,-0.7373737,-0.7776948
0.14999999,0.8376714761996181,0.12744852380038196,18,2.2940734284068753,0.9300630382060691,0.4044191837310791,-0.7979798,-0.7697453
0.14999999,0.8423560017784695,0.12276399822153061,19,2.3325159662090815,0.9266774621977937,0.4218027591705322,-0.85858583,-0.9022716
0.14999999,0.846492836351112,0.11862716364888812,20,2.3725432729777625,0.925092693231319,0.44023919105529785,-0.8989899,-0.9642191
0.14999999,0.8502513053646163,0.11486869463538378,21,2.4122425873430595,0.9254206856347031,0.45798826217651367,-0.75757575,-0.9507445
0.14999999,0.8538554656245968,0.1112645343754033,22,2.447819756258873,0.9295428310841866,0.4772655963897705,-0.6363636,-0.7029911
0.14999999,0.856908616682054,0.1082113833179461,23,2.48886181631276,0.9240779399461126,0.49744296073913574,-0.8181818,-1.0007826
0.14999999,0.8595775936129167,0.10554240638708345,24,2.533017753290003,0.9209640630227572,0.5288181304931641,-0.7979798,-1.0858904
0.14999999,0.8621547795286827,0.10296522047131744,25,2.574130511782936,0.924007241507067,0.5506088733673096,-0.7373737,-1.0003717
0.14999999,0.8647845902779948,0.10033540972200536,26,2.6087206527721394,0.9305298590107967,0.5702788829803467,-0.4949495,-0.57768196
0.14999999,0.8668946837613483,0.09822531623865188,27,2.652083538443601,0.9217571143285386,0.5909409523010254,-0.83838385,-1.0707927
0.14999999,0.8690443990811112,0.09607560091888898,28,2.690116825728891,0.9270867127147099,0.6126253604888916,-0.5151515,-0.41263306
0.14999999,0.8708181366050869,0.09430186339491325,29,2.7347540384524844,0.9204827872764068,0.6344470977783203,-0.5555556,-0.28830796
0.14999999,0.8727366093617055,0.0923833906382947,30,2.771501719148841,0.9283723193036434,0.6570589542388916,-0.85858583,-0.8483885
0.14999999,0.8745384991105738,0.09058150088942646,31,2.80802652757222,0.9285951915766211,0.6803555488586426,-0.61616164,-0.8253339
0.14999999,0.8761203449805073,0.0889996550194929,32,2.847988960623773,0.9251575669484472,0.7102112770080566,-0.57575756,-0.42639524
0.14999999,0.8777146080712706,0.08740539192872968,33,2.8843779336480795,0.9287310269756937,0.732175350189209,-0.7979798,-0.77304834
0.14999999,0.8790626609598436,0.08605733904015644,34,2.925949527365319,0.9235484062827604,0.7564208507537842,-0.75757575,-1.014323
0.14999999,0.8803120816317044,0.08480791836829578,35,2.968277142890352,0.9227923844749671,0.7806735038757324,-0.959596,-1.0293237
0.14999999,0.8816074307281979,0.08351256927180221,36,3.0064524937848796,0.9269446491054724,0.8080027103424072,-0.85858583,-0.895211
0.14999999,0.8828978130235074,0.08222218697649265,37,3.042220918130228,0.9293515756546511,0.8315951824188232,-0.6363636,-0.7665086
0.14999999,0.8840631858367529,0.08105681416324723,38,3.0801589382033945,0.9271819799268338,0.855778694152832,-0.85858583,-0.9007819
0.14999999,0.8850673773617422,0.08005262263825774,39,3.122052282892052,0.9232266553113422,0.882174015045166,-0.7171717,-1.0350386
0.14999999,0.886213798013517,0.07890620198648299,40,3.1562480794593197,0.9309242034327322,0.9052231311798096,-0.57575756,-0.46279266
0.14999999,0.8872918591833147,0.07782814081668539,41,3.190953773484101,0.9304143059752185,0.9264276027679443,-0.6363636,-0.6192626
