LQGmu1_actor,TimeElapsed,LQGsigma_higher,ReturnMean,Regret,ReturnLastEpisode,Regret/t,Iteration,LQGmu1_higher
-1.1225296,0.08106732368469238,0.14999999,0.9545198525175239,0.010600147482476063,0.9545198525175239,0.010600147482476063,1,-1.0
0.62872046,0.09651422500610352,0.14999999,0.6859108963808991,0.5584182072382017,0.4173019402442743,0.27920910361910084,2,0.57575756
-0.60087144,0.11223793029785156,0.14999999,0.7757225714942709,0.568192285517187,0.9553459217210146,0.18939742850572902,3,-0.2929293
-0.5986585,0.13169503211975098,0.14999999,0.8206652679143541,0.5778189283425832,0.9554933571746038,0.1444547320856458,4,-0.67676765
-0.2537058,0.14961004257202148,0.14999999,0.8475802632783316,0.5876986836083417,0.9552402447342415,0.11753973672166833,5,-0.45454547
-0.8900404,0.16666460037231445,0.14999999,0.865549850314835,0.5974208981109896,0.955397785497352,0.09957014968516494,6,-0.8787879
-0.6489431,0.19220542907714844,0.14999999,0.8783861746092682,0.6071367777351228,0.9554041203758669,0.08673382539073182,7,-0.75757575
-0.5159689,0.21224737167358398,0.14999999,0.8880313665618651,0.616709067505079,0.9555477102300437,0.07708863343813488,8,-0.7373737
-0.74312496,0.2290053367614746,0.14999999,0.8955003844603654,0.6265765398567112,0.9552525276483678,0.06961961553963458,9,-0.75757575
-0.88295126,0.24814510345458984,0.14999999,0.9014819926057918,0.6363800739420812,0.95531646591463,0.06363800739420812,10,-0.9191919
-0.60204345,0.2670445442199707,0.14999999,0.9063773570696579,0.6461690722337613,0.9553310017083199,0.05874264293034193,11,-0.7979798
-0.75781965,0.28496766090393066,0.14999999,0.9104580262102763,0.6559436854766841,0.9553453867570771,0.05466197378972368,12,-0.83838385
-0.5865189,0.3071599006652832,0.14999999,0.913904904654282,0.6657962394943333,0.9552674459823508,0.05121509534571795,13,-0.7777778
-0.69642,0.3233921527862549,0.14999999,0.9168605537675883,0.6756322472537607,0.9552839922405726,0.048259446232411476,14,-0.7171717
-0.84022605,0.33928632736206055,0.14999999,0.9194431958287352,0.6851520625689695,0.9556001846847911,0.045676804171264636,15,-0.7373737
-0.41864353,0.3589808940887451,0.14999999,0.9216362750990407,0.6957395984153465,0.954532464153623,0.043483724900959156,16,-0.37373737
0.23185411,0.3817024230957031,0.14999999,0.9043746681410914,1.032670641601444,0.6281889568139024,0.060745331858908465,17,0.13131313
1.0116076,0.4021265506744385,0.14999999,0.8613490492380647,1.8678771137148333,0.12991352788661065,0.10377095076193518,18,1.0
-0.14624463,0.42252254486083984,0.14999999,0.8661977956087973,1.87952188343285,0.9534752302819833,0.09892220439120263,19,-0.3939394
-0.57047546,0.44185423851013184,0.14999999,0.8706569236506757,1.8892615269864828,0.9553803564463672,0.09446307634932413,20,-0.8989899
-0.5805577,0.45947766304016113,0.14999999,0.8746778897177692,1.899284315926845,0.9550972110596376,0.09044211028223072,21,-0.75757575
-0.6067328,0.4794127941131592,0.14999999,0.8783545588517285,1.908839705261971,0.9555646106648742,0.08676544114827141,22,-0.75757575
-0.63584787,0.5071749687194824,0.14999999,0.8816985509368658,1.9186933284520853,0.9552663768098857,0.08342144906313415,23,-0.83838385
-0.78053236,0.5282909870147705,0.14999999,0.8847636800967771,1.9285516776773477,0.9552616507747375,0.08035631990322283,24,-0.75757575
-0.80715436,0.5487782955169678,0.14999999,0.8875757934425887,1.93860516393528,0.9550665137420676,0.07754420655741119,25,-0.75757575
-0.32558227,0.5725347995758057,0.14999999,0.8901749117098935,1.9485722955427662,0.9551528683925136,0.07494508829010639,26,-0.37373737
-0.8693443,0.5909757614135742,0.14999999,0.8925838378105001,1.9584763791164934,0.9552159164262727,0.07253616218949975,27,-0.7979798
-0.24036638,0.6122331619262695,0.14999999,0.894752131412347,1.9703003204542808,0.9532960586622127,0.07036786858765288,28,-0.2929293
-0.8473918,0.6337230205535889,0.14999999,0.8968295080835832,1.980424265576083,0.9549960548781977,0.06829049191641666,29,-0.7979798
-0.8429938,0.6565523147583008,0.14999999,0.8987717148663236,1.9904485540102912,0.9550957115657919,0.06634828513367637,30,-0.83838385
-0.35013217,0.678142786026001,0.14999999,0.9005840283141869,2.0006151222602044,0.9549534317500868,0.06453597168581304,31,-0.47474748
-0.8093932,0.7019033432006836,0.14999999,0.9022956468165801,2.010379301869434,0.9553558203907704,0.0628243531834198,32,-0.7979798
-0.36019874,0.7301833629608154,0.14999999,0.9038956915026071,2.020402180413965,0.955097121455469,0.061224308497392875,33,-0.35353535
-0.8318512,0.7559936046600342,0.14999999,0.9054013114854704,2.0304354094940056,0.9550867709199593,0.05971868851452958,34,-0.83838385
-0.4813922,0.7835884094238281,0.14999999,0.9068250281192191,2.0403240158273284,0.9552313936666773,0.05829497188078081,35,-0.3939394
-1.0623045,0.8068366050720215,0.14999999,0.9081585632460458,2.050611723142352,0.9548322926849764,0.05696143675395423,36,-0.83838385
-0.8374257,0.8345298767089844,0.14999999,0.9094261849214252,2.0606711579072665,0.9550605652350855,0.05569381507857477,37,-0.5555556
-1.05252,0.8589761257171631,0.14999999,0.9106274536610947,2.0707167608784083,0.9550743970288581,0.05449254633890548,38,-0.8181818
-0.4814058,0.8861069679260254,0.14999999,0.911767767542967,2.0807370658242945,0.9550996950541137,0.053352232457033195,39,-0.47474748
-0.79098165,0.9078154563903809,0.14999999,0.91285602705023,2.0905589179908035,0.955298147833491,0.05226397294977009,40,-0.83838385
-0.8329541,0.9282076358795166,0.14999999,0.9138919636443636,2.100349490581097,0.9553294274097066,0.05122803635563652,41,-0.83838385
-0.35677546,0.9483644962310791,0.14999999,0.9148847434828804,2.1098807737190293,0.9555887168620679,0.05023525651711974,42,-0.5151515
-0.48337114,0.9706306457519531,0.14999999,0.915825593882786,2.119659463040208,0.9553413106788212,0.04929440611721414,43,-0.5555556
-0.7471645,0.9936420917510986,0.14999999,0.9167276286145103,2.1292643409615475,0.9555151220786604,0.04839237138548971,44,-0.7373737
-0.26378787,1.0193095207214355,0.14999999,0.9175741315678341,2.1395640794474664,0.9548202615140811,0.04754586843216592,45,-0.37373737
-0.54854167,1.0438356399536133,0.14999999,0.9184008121794627,2.149082639744711,0.9556014397027555,0.046719187820537196,46,-0.4949495
-0.60711694,1.0659778118133545,0.14999999,0.9191911637050447,2.1586553058628923,0.9555473338818185,0.04592883629495516,47,-0.61616164
-0.3549313,1.0927517414093018,0.14999999,0.9199490796352348,2.1682041775087244,0.9555711283541681,0.04517092036476509,48,-0.3939394
-0.9970733,1.1190145015716553,0.14999999,0.9206636482603461,2.178361235243038,0.9549629422656865,0.04445635173965384,49,-0.65656567
-0.9275081,1.1542131900787354,0.14999999,0.9213574779690852,2.1881261015457323,0.9553551336973056,0.043762522030914644,50,-0.8989899
-0.7018135,1.1797280311584473,0.14999999,0.9220131687124673,2.1984483956641565,0.9547977058815756,0.04310683128753248,51,-0.5555556
-0.6306674,1.2088570594787598,0.14999999,0.9226540232982233,2.2082307884923775,0.955337607171779,0.042465976701776494,52,-0.5151515
-0.7793354,1.2304449081420898,0.14999999,0.9232683068258357,2.218139738230696,0.9552110502616817,0.041851693174164074,53,-0.57575756
-0.036689162,1.2537786960601807,0.14999999,0.9236977385325695,2.236802119241235,0.9464576189894609,0.04142226146743028,54,-0.2929293
-0.31259105,1.288581132888794,0.14999999,0.9242770419941512,2.246362690321676,0.9555594289195593,0.040842958005848654,55,-0.41414142
-0.8195059,1.3119747638702393,0.14999999,0.9248313961973315,2.256161812949422,0.9553208773722536,0.04028860380266825,56,-0.7979798
-0.52221704,1.335371494293213,0.14999999,0.9253705505236113,2.265718620154141,0.9555631927952808,0.03974944947638844,57,-0.41414142
-0.70376897,1.3570330142974854,0.14999999,0.9258914402777201,2.2752564638922217,0.9555821562619194,0.039228559722279684,58,-0.83838385
-0.2687922,1.3797595500946045,0.14999999,0.9263688308896176,2.28631897751255,0.9540574863796716,0.038751169110382205,59,-0.41414142
-0.3000036,1.4035437107086182,0.14999999,0.9268520330660295,2.296078016038225,0.9553609614743249,0.038267966933970415,60,-0.41414142
-0.627576,1.4254319667816162,0.14999999,0.9273212531788332,2.3057235560911704,0.9554744599470545,0.037798746821166726,61,-0.61616164
-0.48864225,1.4504508972167969,0.14999999,0.9277694105749646,2.31573654435218,0.9551070117389903,0.03735058942503516,62,-0.53535354
-0.8114857,1.4710493087768555,0.14999999,0.9282046081537262,2.3256696863152397,0.9551868580369401,0.03691539184627365,63,-0.7777778
-0.8993529,1.4975254535675049,0.14999999,0.9286279082500463,2.3354938719970293,0.9552958143182104,0.03649209174995358,64,-1.0
-0.9116849,1.5249288082122803,0.14999999,0.9290378252369081,2.3453413596009556,0.9552725123960739,0.036082174763091626,65,-0.8181818
-0.30817717,1.5504090785980225,0.14999999,0.9294374785355131,2.355046416656125,0.9554149429448305,0.03568252146448674,66,-0.4949495
-0.77452296,1.5768210887908936,0.14999999,0.9298261468834803,2.364688158806804,0.955478257849321,0.03529385311651946,67,-0.7373737
-0.523493,1.5993282794952393,0.14999999,0.9302003586780502,2.3745356098925736,0.9552725489142304,0.034919641321949614,68,-0.5555556
-0.48686394,1.6224181652069092,0.14999999,0.9305677593508171,2.3841046047936003,0.9555510050989733,0.034552240649182615,69,-0.41414142
-0.43746516,1.6500804424285889,0.14999999,0.9309135557977123,2.3944510941601296,0.9547735106334708,0.034206444202287564,70,-0.41414142
-0.3133739,1.6754262447357178,0.14999999,0.931255796819977,2.404358425781626,0.9552126683785033,0.0338642031800229,71,-0.41414142
-0.33901203,1.706388235092163,0.14999999,0.9315873875076499,2.4143480994491977,0.9551303263324286,0.03353261249234997,72,-0.41414142
-0.67918146,1.734330415725708,0.14999999,0.9319152346317584,2.4239478718816194,0.9555202275675782,0.033204765368241365,73,-0.7979798
-0.32453907,1.7613224983215332,0.14999999,0.9322186271333022,2.4347015921356254,0.9543662797459938,0.03290137286669764,74,-0.35353535
-0.6316502,1.7857985496520996,0.14999999,0.9325263242668872,2.444525679983448,0.9552959121521775,0.032593675733112636,75,-0.6363636
-0.6623798,1.817833662033081,0.14999999,0.9328276625727451,2.454217644471367,0.9554280355120812,0.032292337427254826,76,-0.6363636
-1.3115387,1.843580961227417,0.14999999,0.9331044740998661,2.4651954943102985,0.9541421501610684,0.03201552590013375,77,-0.959596
-0.87266874,1.8706426620483398,0.14999999,0.9333886082087864,2.4750485597146485,0.95526693459565,0.03173139179121344,78,-0.8181818
-0.89998525,1.9021220207214355,0.14999999,0.9336647858413243,2.484961918535377,0.9552066411792716,0.03145521415867566,79,-0.9191919
-1.0725265,1.931812047958374,0.14999999,0.9339262311093037,2.4955015112557053,0.9545804072796717,0.031193768890696316,80,-1.0
