Bound,IWMax,NumTrainableParams,MountainCar_mu0_higher,NumTrajectories,Iteration,TimeElapsed,IWFirstEpisode,MountainCar_std1_higher,ReturnMean,ReturnStepMax,TimestepsSoFar,ReturnMax,IWMean,AvgEpLen,DenMISELogFirst,IWLastEpisode,GridSize,IWMin,MountainCar_std0_higher,DenMISEMeanLog,MinEpLen,Regret/t,MountainCar_mu1_higher,DenMISELogLast,ReturnMin,ReturnLastEpisode,Regret,Delta,ReturnAbsMax,ActionIn1
inf,,2,-1.0,1,1,0.5663986206054688,,0.14999999,-0.0060331584,0.06036518,999,,,999.0,1.8915925,,1,,0.14999999,1.8915925,999,5.006033,-10.0,1.8915925,-0.0060331584,-0.0060331584,5.006033,0.060792707,0.0060331584,-10.912985
inf,5.1569208e-36,,1.0,2,2,1.0646555423736572,,0.14999999,-0.8185149,16.516508,1998,,2.5784604e-36,999.0,1.1984453,5.1569208e-36,4,,0.14999999,1.1621599,999,5.818515,-10.0,1.1258744,-1.6309966,-1.6309966,11.63703,0.0060792705,1.6309966,-9.062257
inf,,,-1.0,3,3,1.6189217567443848,,0.14999999,-1.9124546,42.097088,2997,,,999.0,0.79298025,,4,,0.14999999,0.7701722,999,6.9124546,10.0,0.79712695,-4.100334,-4.100334,20.737364,0.0027018983,4.100334,9.511087
inf,3.509167e-30,,1.0,4,4,1.7298805713653564,,0.14999999,0.12142336,94.15026,3251,6.2230573,8.772917e-31,812.75,0.50529814,3.509167e-30,4,,0.14999999,-0.2341485,254,4.8785768,10.0,-2.3840642,-4.100334,6.2230573,19.514307,0.0015198176,6.2230573,11.020861
37.76663,5.0,,-1.0,5,5,2.10994291305542,,0.14999999,-1.3309287,94.15026,4250,6.2230573,1.0,850.0,0.28215462,,4,,0.14999999,-0.3033372,254,6.330929,10.0,0.31248218,-7.140337,-7.140337,31.654644,0.0009726833,7.140337,9.019093
32.42849,6.0,,-1.0,6,6,2.274479627609253,,0.14999999,-0.25640616,94.15026,4509,6.2230573,1.0,751.5,0.09983306,,4,,0.14999999,-0.18426746,254,5.2564063,-10.0,0.6295418,-7.140337,5.116206,31.538437,0.0006754746,7.140337,-11.044079
31.186594,6.9999995,,1.0,7,7,2.792090892791748,,0.14999999,-0.47697693,94.15026,5508,6.2230573,0.99999994,786.8571428571429,-0.054317627,5.510699e-38,4,,0.14999999,-0.10524744,254,5.476977,-10.0,0.6006296,-7.140337,-1.8004017,38.338837,0.00049626693,7.140337,-9.056305
30.430767,4.0,,-1.0,8,8,3.32293438911438,,0.14999999,-0.88397765,94.15026,6507,6.2230573,1.0,813.375,-0.18784901,,4,,0.14999999,-0.056991972,254,5.883978,10.0,0.5223689,-7.140337,-3.7329822,47.071823,0.0003799544,7.140337,9.170821
22014014000000.0,2.1123187e-10,,1.0,9,9,3.5040977001190186,2.1123187e-10,0.14999999,-0.88797253,94.15026,6963,6.2230573,2.3470207e-11,773.6666666666666,-0.30563205,,9,,0.14999999,-0.032868896,254,5.8879724,,0.29144973,-7.140337,-0.9199311,52.991753,0.00015010545,7.140337,1.3495489
117476340000.0,3.594529e-08,,,10,10,3.9696688652038574,,0.14999999,-1.7993629,102.11488,7962,6.2230573,4.8813544e-09,796.2,-0.41099256,,9,,0.14999999,-0.39983803,254,6.799363,-10.0,-2.7543159,-10.001878,-10.001878,67.99363,0.00012158541,10.001878,-10.089541
118711870000.0,1.537559e-05,,,11,11,4.478934049606323,,0.14999999,-1.6420978,102.11488,8961,6.2230573,1.4006229e-06,814.6363636363636,-0.5063028,,9,,0.14999999,-0.65297735,254,6.642098,10.0,-2.2312682,-10.001878,-0.06944586,73.06308,0.00010048381,10.001878,10.03123
4389470000.0,1.8429613e-08,,-1.0,12,12,4.627694606781006,1.8429613e-08,0.14999999,-1.1591033,102.11488,9275,6.2230573,1.5358012e-09,772.9166666666666,-0.5933141,,9,,0.14999999,-0.7287815,254,6.1591034,,-0.60550404,-10.001878,4.1538377,73.90924,8.443432e-05,10.001878,-1.2133265
84.19171,11.049935,,,13,13,5.098620653152466,11.049935,0.14999999,-1.2090223,102.11488,10274,6.2230573,0.849995,790.3076923076923,-0.67335683,2.4685548e-08,9,,0.14999999,-0.9142615,254,6.2090225,,-2.1795092,-10.001878,-1.8080502,80.717285,7.1944036e-05,10.001878,0.033637777
57.677383,14.000001,,,14,14,5.720393419265747,,0.14999999,-1.1232227,102.11488,11273,6.2230573,1.0000015,805.2142857142857,-0.13228181,,9,,0.14999999,-0.8961453,254,6.123223,10.0,-0.3124129,-10.001878,-0.007828799,85.72512,6.203337e-05,10.001878,10.206499
54.734447,14.999993,,,15,15,5.984292268753052,,0.14999999,-0.7783028,102.11488,11587,6.2230573,0.9999996,772.4666666666667,-0.20127468,,9,,0.14999999,-0.92454517,254,5.7783027,-10.0,-1.049392,-10.001878,4.050576,86.674545,5.403797e-05,10.001878,-10.009589
53.722687,15.999996,,-1.0,16,16,6.445751905441284,1.32826585e-08,0.14999999,-0.7296872,102.11488,12586,6.2230573,0.99999976,786.625,-0.2658132,,9,,0.14999999,-0.8918222,254,5.729687,,-0.12604737,-10.001878,-0.00045443198,91.674995,4.74943e-05,10.001878,-0.917237
49.854355,17.0,,1.0,17,17,6.903994560241699,,0.14999999,-0.79857206,102.11488,13585,6.2230573,1.0,799.1176470588235,-0.32643783,,9,,0.14999999,-0.8741052,254,5.798572,10.0,-0.31378624,-10.001878,-1.9007298,98.57573,4.2071075e-05,10.001878,10.904188
