Delta,ReturnStepMax,ReturnMax,ReturnMin,Regret/t,DenMISELogFirst,Regret,TimeElapsed,IWMax,ReturnAbsMax,MountainCar_std0_higher,IWMean,AvgEpLen,DenMISEMeanLog,ActionIn1,IWLastEpisode,IWFirstEpisode,IWMin,MountainCar_std1_higher,NumTrajectories,NumTrainableParams,MountainCar_mu1_higher,ReturnLastEpisode,MountainCar_mu0_higher,TimestepsSoFar,Iteration,ReturnMean,GridSize,Bound,DenMISELogLast,MinEpLen
0.060792707,0.16774212,,-0.016600903,5.016601,1.2243841,5.016601,0.36347126960754395,,0.016600903,0.14999999,,999.0,1.2243841,-11.1584425,,,,0.14999999,1,2,-10.0,-0.016600903,-1.0,999,1,-0.016600903,1,inf,1.2243841,999
0.0060792705,19.804098,,-1.9652542,5.9909277,0.5312369,11.981855,0.9883327484130859,,1.9652542,0.14999999,,999.0,0.69909763,-8.720755,,,,0.14999999,2,,-10.0,-1.9652542,1.0,1998,2,-0.9909275,4,inf,0.8669584,999
0.0027018983,51.46979,,-5.0179024,7.333253,0.12577179,21.999758,1.3605468273162842,,5.0179024,0.14999999,,999.0,0.114920266,9.028327,,,,0.14999999,3,,10.0,-5.0179024,-1.0,2997,3,-2.3332527,4,inf,-0.24250424,999
0.0015198176,88.83371,,-5.0179024,6.960672,-0.16191028,27.842688,1.6470794677734375,1.7741046e-37,5.0179024,0.14999999,4.4352615e-38,863.25,0.007020518,10.922658,1.7741046e-37,,,0.14999999,4,,10.0,-0.8429302,1.0,3453,4,-1.9606719,4,inf,0.54636747,456
0.0009726833,88.83371,,-5.715235,7.7115846,-0.38505384,38.557922,2.1096012592315674,5.0,5.715235,0.14999999,1.0,890.4,-0.13073573,8.920953,1.306309e-35,,,0.14999999,5,,10.0,-5.715235,-1.0,4452,5,-2.7115846,4,25.638262,0.2108135,456
0.0006754746,88.83371,,-5.715235,7.34441,-0.56737536,44.06646,2.2883408069610596,6.0,5.715235,0.14999999,1.0,809.1666666666666,-0.015238881,-11.039414,,,,0.14999999,6,,-10.0,-0.5085341,-1.0,4855,6,-2.3444097,4,25.436188,0.7807059,403
0.00049626693,88.83371,,-5.715235,7.375385,-0.7215261,51.627693,2.816387414932251,7.0000005,5.715235,0.14999999,1.0000001,836.2857142857143,-0.17971332,-9.013741,,,,0.14999999,7,,-10.0,-2.5612354,1.0,5854,7,-2.3753848,4,23.593882,-0.93480295,403
0.0003799544,88.83371,,-5.715235,7.5218463,-0.8550575,60.17477,3.383866786956787,8.0,5.715235,0.14999999,1.0,856.625,-0.13456854,11.145108,,,,0.14999999,8,,10.0,-3.5470786,1.0,6853,8,-2.5218463,4,23.523544,0.42301726,403
0.00015010545,88.83371,,-8.032324,8.134122,-0.9728405,73.20709,3.928880214691162,6.952279e-08,8.032324,0.14999999,7.724754e-09,872.4444444444445,-0.13339543,1.1559168,,6.952279e-08,,0.14999999,9,,,-8.032324,1.0,7852,9,-3.134122,9,24764054000000.0,0.12510665,403
0.00012158541,88.83371,,-8.032324,8.282174,-1.078201,82.82175,4.598858833312988,1.9182892e-08,8.032324,0.14999999,1.9563626e-09,885.1,-0.3045717,-10.101773,,,,0.14999999,10,,-10.0,-4.614648,,8851,10,-3.2821743,9,94343090000.0,-0.8969128,403
0.00010048381,88.83371,,-8.032324,7.9854336,-1.1735111,87.83977,5.257785081863403,3.980071e-08,8.032324,0.14999999,4.1247543e-09,895.4545454545455,-0.42382762,9.980288,,,,0.14999999,11,,10.0,-0.018023824,,9850,11,-2.9854333,9,95335320000.0,-0.66328543,403
8.443432e-05,97.12058,0.009848198,-8.032324,7.7358265,-1.2605226,92.82992,5.598045110702515,1.0444237e-10,8.032324,0.14999999,8.703531e-12,879.6666666666666,-0.6050399,-1.5639105,,1.0444237e-10,,0.14999999,12,,,0.009848198,-1.0,10556,12,-2.7358265,9,3525102600.0,-1.6412504,403
7.1944036e-05,97.12058,0.009848198,-8.032324,7.7215347,-1.3405653,100.37995,6.214966535568237,15.091165,8.032324,0.14999999,1.1608589,888.8461538461538,-0.9911465,0.036756277,1.2959655e-12,15.091165,,0.14999999,13,,,-2.5500336,,11555,13,-2.7215347,9,67.597664,-4.6639132,403
6.203337e-05,97.12058,0.009848198,-8.032324,7.5326576,-0.6441676,105.4572,6.766860723495483,13.999998,8.032324,0.14999999,0.9999999,896.7142857142857,-1.0697414,9.629625,,,,0.14999999,14,,10.0,-0.07725009,,12554,14,-2.5326574,9,43.697906,-1.8985761,403
5.403797e-05,97.12058,0.71924525,-8.032324,7.3158636,-0.71316046,109.73796,7.043068170547485,15.000001,8.032324,0.14999999,1.0000001,868.0666666666667,-1.1271569,-10.0016985,,,,0.14999999,15,,-10.0,0.71924525,,13021,15,-2.3158638,9,43.98598,-1.6582198,403
4.74943e-05,97.12058,0.71924525,-8.032324,7.1724834,-0.777699,114.759735,7.468709707260132,16.0,8.032324,0.14999999,1.0000004,876.25,-1.0938338,-1.1675919,,6.4444935e-11,,0.14999999,16,,,-0.021775184,-1.0,14020,16,-2.1724834,9,42.27819,-0.3190584,403
4.2071075e-05,97.12058,0.71924525,-8.032324,7.18907,-0.8383236,122.214195,7.920460939407349,17.0,8.032324,0.14999999,1.0,883.4705882352941,-1.0936879,0.6460385,,6.077247e-08,,0.14999999,17,,,-2.4544656,1.0,15019,17,-2.1890702,9,40.91966,-0.8145059,403
