MountainCar_std1_higher,IWMean,ReturnMean,AvgEpLen,Delta,ReturnMin,Bound,NumTrajectories,DenMISEMeanLog,ReturnMax,IWFirstEpisode,MinEpLen,GridSize,MountainCar_std0_higher,TimeElapsed,MountainCar_mu1_higher,IWMin,ReturnStepMax,IWLastEpisode,NumTrainableParams,Iteration,Regret/t,ActionIn1,IWMax,DenMISELogFirst,ReturnLastEpisode,ReturnAbsMax,TimestepsSoFar,DenMISELogLast,Regret,MountainCar_mu0_higher
0.14999999,,-0.00015651323,999.0,0.060792707,-0.00015651323,inf,1,1.4356552,,,999,1,0.14999999,0.3794412612915039,-10.0,,0.001456627,,2,1,5.0001564,-11.526329,,1.4356552,-0.00015651323,0.00015651323,999,1.4356552,5.0001564,-1.0
0.14999999,,-1.1597964,999.0,0.0060792705,-2.3194363,inf,2,-0.9501108,,,999,4,0.14999999,1.0615100860595703,-10.0,,23.050936,,,2,6.159796,-9.041432,,0.7425081,-2.3194363,2.3194363,1998,-2.6427298,12.319592,1.0
0.14999999,,-2.415148,999.0,0.0027018983,-4.925852,inf,3,-0.72230345,,,999,4,0.14999999,1.4806091785430908,10.0,,50.64431,,,3,7.415148,9.064367,,0.337043,-4.925852,4.925852,2997,0.5442414,22.245445,-1.0
0.14999999,,-0.42487985,812.0,0.0015198176,-4.925852,inf,4,-0.74044013,5.545925,,251,4,0.14999999,1.6494226455688477,10.0,,91.5956,,,4,5.42488,11.232971,,0.049360912,5.545925,5.545925,3248,0.068196,21.69952,1.0
0.14999999,0.9999999,-2.0702345,849.4,0.0009726833,-8.651653,44.18827,5,-0.9020284,5.545925,,251,4,0.14999999,2.147495746612549,10.0,,98.267006,,,5,7.0702343,9.032681,4.9999995,-0.17378265,-8.651653,8.651653,4247,-0.65580684,35.351173,-1.0
0.14999999,0.9999998,-1.9159389,784.6666666666666,0.0006754746,-8.651653,39.02172,6,-0.6622298,5.545925,,251,4,0.14999999,2.4291141033172607,-10.0,,98.267006,,,6,6.915939,-11.311659,5.999999,-0.3561042,-1.1444606,8.651653,4708,0.75522363,41.495632,-1.0
0.14999999,1.0000001,-1.9776642,815.2857142857143,0.00049626693,-8.651653,37.8209,7,-0.65461683,5.545925,,251,4,0.14999999,2.841686964035034,-10.0,,98.267006,,,7,6.977664,-8.852837,7.0000005,-0.51025486,-2.3480172,8.651653,5707,-0.37718216,48.84365,1.0
0.14999999,1.0,-2.4243155,838.25,0.0003799544,-8.651653,35.609657,8,-0.56786764,5.545925,,251,4,0.14999999,3.3160722255706787,10.0,,98.267006,,,8,7.4243155,10.955962,8.0,-0.64378625,-5.550874,8.651653,6706,0.2809495,59.394524,1.0
0.14999999,1.9432016e-10,-2.6672504,856.1111111111111,0.00015010545,-8.651653,26673480000000.0,9,-0.48509726,5.545925,1.7488814e-09,251,9,0.14999999,3.6887965202331543,,,98.267006,,,9,7.6672506,1.4463762,1.7488814e-09,-0.7615693,-4.610729,8.651653,7705,0.42618245,69.00525,1.0
0.14999999,9.0509406e-12,-3.2056007,870.4,0.00012158541,-8.651653,101617380000.0,10,-0.7878474,5.545925,,251,9,0.14999999,4.2683703899383545,-10.0,,98.267006,,,10,8.205601,-9.936898,7.530038e-11,-0.8669298,-8.050752,8.651653,8704,-2.564354,82.05601,
0.14999999,5.0222e-10,-2.91856,882.0909090909091,0.00010048381,-8.651653,102686120000.0,11,-0.8735815,5.545925,,251,9,0.14999999,4.662271738052368,10.0,,98.267006,,,11,7.91856,10.167503,5.12612e-09,-0.96224,-0.04815367,8.651653,9703,-0.77782106,87.10416,
0.14999999,1.03433366e-10,-1.9733409,828.9166666666666,8.443432e-05,-8.651653,3796904400.0,12,-0.95300984,8.42407,1.2412004e-09,244,9,0.14999999,4.787301778793335,,,98.68458,,,12,6.973341,-0.9133508,1.2412004e-09,-1.0492513,8.42407,8.651653,9947,-0.8695962,83.68009,-1.0
0.14999999,0.6347153,-1.9800258,842.0,7.1944036e-05,-8.651653,72.830414,13,-1.0316173,8.42407,8.251299,244,9,0.14999999,5.187804937362671,,,98.68458,4.521566e-10,,13,6.980026,0.11730114,8.251299,-1.129294,-2.0602465,8.651653,10946,-1.0143931,90.74033,
0.14999999,0.9999999,-1.8401123,853.2142857142857,6.203337e-05,-8.651653,53.699116,14,-1.0307119,8.42407,,244,9,0.14999999,5.608904123306274,10.0,,98.68458,,,14,6.840112,10.085866,13.999998,-0.71193343,-0.021236394,8.651653,11945,-0.54700637,95.76157,
0.14999999,1.0000001,-1.4601595,817.5333333333333,5.403797e-05,-8.651653,47.354855,15,-1.0097661,8.42407,,244,9,0.14999999,5.757422685623169,-10.0,,98.68458,,,15,6.4601593,-9.8387375,15.000001,-0.7809263,3.85918,8.651653,12263,-0.4437732,96.90239,
0.14999999,1.0,-1.3919142,828.875,4.74943e-05,-8.651653,46.079094,16,-1.1938707,8.42407,1.012368e-09,244,9,0.14999999,6.171431541442871,,,98.68458,,,16,6.3919144,-0.6199216,16.0,-0.8454648,-0.36823446,8.651653,13262,-3.6805086,102.27063,-1.0
0.14999999,1.0,-1.3891404,838.8823529411765,4.2071075e-05,-8.651653,41.64672,17,-1.2451532,8.42407,2.0208055e-09,244,9,0.14999999,6.61264443397522,,,98.68458,4.3079743e-31,,17,6.38914,0.9095976,17.0,-0.9060894,-1.3447603,8.651653,14261,-1.7888268,108.61539,1.0
0.14999999,1.1125513,-1.4884611,847.7777777777778,3.7526363e-05,-8.651653,40.6156,18,-1.2388333,8.42407,6.9889073,244,9,0.14999999,7.065207004547119,,,98.68458,1.844697e-06,,18,6.488461,0.620931,13.037006,-0.96324784,-3.1769145,8.651653,15260,-0.8528502,116.7923,
0.14999999,1.0,-1.4285122,855.7368421052631,3.368017e-05,-8.651653,40.45015,19,-1.4199845,8.42407,,244,9,0.14999999,7.573223114013672,10.0,,98.68458,,,19,6.428512,9.71995,9.5,-0.68925476,-0.349431,8.651653,16259,-4.580364,122.14173,
0.14999999,1.0,-1.1673415,828.95,3.0396353e-05,-8.651653,36.679714,20,-1.4739232,8.42407,,244,9,0.14999999,7.718976259231567,10.0,,98.68458,2.0075888e-10,,20,6.167341,9.0298,10.0,-0.7405481,3.7949054,8.651653,16579,-2.3351185,123.34683,-1.0
0.14999999,0.99930954,-1.1935248,821.0952380952381,2.7570388e-05,-8.651653,34.4324,21,-1.4116751,8.42407,,244,9,0.14999999,8.041441440582275,-10.0,,98.68458,,,21,6.193525,-10.001126,10.500001,-0.78933823,-1.7171948,8.651653,17243,-0.0018366907,130.06403,
0.14999999,1.0,-1.140403,829.1818181818181,2.5120953e-05,-8.651653,33.768154,22,-1.3664775,8.42407,,244,9,0.14999999,8.667011260986328,10.0,,98.68458,,,22,6.140403,9.68827,7.3333335,-0.8358583,-0.02484648,8.651653,18242,-0.2508751,135.08887,
0.14999999,0.99999696,-1.0803875,817.4782608695652,2.2984013e-05,-8.651653,33.23671,23,-1.3549185,8.42407,1.0482661e-09,244,9,0.14999999,9.024373054504395,,,98.68458,,,23,6.0803876,-0.75413346,11.5,-0.88031,0.23995832,8.651653,18802,-0.98573166,139.8489,-1.0
0.14999999,1.0,-1.0971957,825.0416666666666,2.110858e-05,-8.651653,32.74443,24,-1.3389254,8.42407,,244,9,0.14999999,9.624704837799072,-10.0,,98.68458,,,24,6.0971956,-10.917997,12.0,-0.9228696,-1.4837902,8.651653,19801,-0.8031389,146.3327,-1.0
0.14999999,1.1894971,-1.1651921,832.0,1.9453666e-05,-8.651653,31.888758,25,-1.4774423,8.42407,6.992011,244,9,0.14999999,10.109509468078613,,,98.68458,,,25,6.165192,0.15111762,12.2442255,-0.96369165,-2.7971048,8.651653,20800,-4.633053,154.1298,
