Regret,IWMean,ReturnMean,ReturnStepMax,DenMISEMeanLog,ReturnLastEpisode,DenMISELogFirst,DenMISELogLast,IWMin,ReturnAbsMax,TimeElapsed,Bound,IWLastEpisode,Regret/t,Iteration,TimestepsSoFar,ReturnMin,LQGmu1_higher,IWFirstEpisode,Delta,IWMax,LQGmu1_actor,LQGsigma_higher,ReturnMax
226.40894,,9.592794,19.194605,4.482625,7.7352285,-4.313526,4.480241,,17.405956,70.08576393127441,10356.752,,7.807205,29,580,,-0.5510204,,1.4457245e-06,,-0.5510299,4.539993e-05,17.405956
226.43903,,9.852033,19.194605,4.4890285,17.36996,-4.3474274,5.6578856,,17.405956,72.52322959899902,10373.324,,7.547967,30,600,,0.3469388,,1.3509492e-06,,0.34684858,4.539993e-05,17.405956
235.82965,,9.792591,19.194605,4.430989,8.009328,-4.3802176,3.673495,,17.405956,75.04348611831665,10316.93,,7.6074085,31,620,,-0.5102041,,1.2651968e-06,,-0.5102314,4.539993e-05,17.405956
235.84384,,10.02988,19.194605,4.4315968,17.385836,-4.4119663,5.434645,,17.405956,77.7383086681366,10332.41,,7.37012,32,640,,0.30612245,,1.1873576e-06,,0.3061645,4.539993e-05,17.405956
244.99268,,9.97598,19.194605,4.4237003,8.251213,-4.4427376,5.155725,,17.405956,80.20214056968689,10282.196,,7.42402,33,660,,-0.46938777,,1.1164868e-06,,-0.46933165,4.539993e-05,17.405956
245.06674,,10.192154,19.194605,4.4055276,17.325872,-4.472591,4.790941,,17.405956,82.748037815094,10296.842,,7.2078457,34,680,,0.26530612,,1.051777e-06,,0.26527074,4.539993e-05,17.405956
254.0028,,10.1427765,19.194605,4.400703,8.463972,-4.5015783,5.2222567,,17.405956,85.3510582447052,10252.963,,7.257223,35,700,,-0.42857143,,9.925341e-07,,-0.42856893,4.539993e-05,17.405956
254.03491,,10.343473,19.194605,4.4037423,17.367884,-4.529749,5.4961085,,17.405956,87.96081113815308,10266.99,,7.056526,36,720,,0.2244898,,9.3815913e-07,,0.22450611,4.539993e-05,17.405956
262.78918,,10.297589,19.194605,4.4041624,8.645751,-4.557148,5.4056506,,17.405956,90.62062358856201,10229.562,,7.1024103,37,740,,-0.3877551,,8.881331e-07,,-0.387729,4.539993e-05,17.405956
262.93652,,10.4806185,19.194605,4.401198,17.252676,-4.5838165,5.278242,,17.405956,93.18005108833313,10243.1455,,6.919381,38,760,,0.18367347,,8.4200434e-07,,0.18373106,4.539993e-05,17.405956
271.53918,,10.437456,19.194605,4.381321,8.797306,-4.6097918,4.6130595,,17.405956,95.77607607841492,10212.262,,6.9625435,39,780,,-0.3469388,,7.993782e-07,,-0.34698206,4.539993e-05,17.405956
271.7813,,10.605467,19.194605,4.370555,17.157856,-4.6351094,4.938073,,17.405956,98.21920156478882,10225.551,,6.794533,40,800,,0.14285715,,7.599088e-07,,0.14285223,4.539993e-05,17.405956
280.26245,,10.564329,19.194605,4.370639,8.918857,-4.6598024,5.361712,,17.405956,100.96025252342224,10201.305,,6.8356705,41,820,,-0.30612245,,7.2329226e-07,,-0.3060121,4.539993e-05,17.405956
280.4348,,10.7229805,19.194605,4.299974,17.227644,-4.6839,2.3907104,,17.405956,103.55296969413757,10214.424,,6.677019,42,840,,0.10204082,,6.8925965e-07,,0.102054976,4.539993e-05,17.405956
288.825,,10.68314,19.194605,4.2995806,9.009826,-4.7074304,5.271342,,17.405956,105.98805665969849,10196.892,,6.71686,43,860,,-0.26530612,,6.5757393e-07,,-0.26532042,4.539993e-05,17.405956
289.21198,,10.827,19.194605,4.298653,17.013027,-4.7304196,5.247325,,17.405956,108.44527649879456,10209.944,,6.573,44,880,,0.06122449,,6.280238e-07,,0.06123658,4.539993e-05,17.405956
297.54147,,10.787968,19.194605,4.2975774,9.070512,-4.7528925,5.2390428,,17.405956,110.8270673751831,10199.199,,6.612032,45,900,,-0.2244898,,6.0042186e-07,,-0.22442394,4.539993e-05,17.405956
298.1521,,10.918432,19.194605,4.2739735,16.78936,-4.774872,4.200843,,17.405956,113.28049778938293,10212.283,,6.4815674,46,920,,0.020408163,,5.7460034e-07,,0.020406589,4.539993e-05,17.405956
306.32294,,10.88249,19.194605,4.2732744,9.229177,-4.7963777,5.230403,,17.405956,115.58594608306885,10208.407,,6.5175095,47,940,,-0.18367347,,5.5040925e-07,,-0.18370183,4.539993e-05,17.405956
