Delta,DenMISEMeanLog,IWFirstEpisode,IWMin,Regret,ReturnMean,DenMISELogFirst,LQGmu1_actor,ReturnMax,LQGsigma_higher,TimeElapsed,Iteration,ReturnLastEpisode,IWMax,ReturnAbsMax,LQGmu1_higher,IWMean,IWLastEpisode,ReturnStepMax,ReturnMin,Regret/t,DenMISELogLast,TimestepsSoFar,Bound
0.0012158542,-0.9351508,,,0.43689537,16.963104,-0.9351508,1.0000324,16.963104,4.539993e-05,0.04152560234069824,1,16.963104,,16.963104,1.0,,,18.734976,,0.43689537,-0.9351508,20,12970.572
0.00030396355,3.2523012,,,17.836895,8.481552,-1.628298,0.9591929,16.963104,4.539993e-05,2.653475761413574,2,,,16.963104,0.9591837,,,18.734976,,8.9184475,8.1329,40,13936.686
0.00013509492,4.551903,,,34.508984,5.8970046,-2.0337632,0.918329,16.963104,4.539993e-05,5.269079923629761,3,0.7279082,,16.963104,0.9183673,,,18.734976,,11.502995,7.962036,60,14311.168
7.599089e-05,5.0327864,,,50.482544,4.779364,-2.3214452,0.87753296,16.963104,4.539993e-05,7.869673252105713,4,1.4264429,,16.963104,0.877551,,,18.734976,,12.620636,7.3384843,80,14468.35
4.8634163e-05,5.3262205,,,65.789055,4.2421885,-2.5445888,0.8367531,16.963104,4.539993e-05,10.393922328948975,5,2.0934865,,16.963104,0.8367347,,,18.734976,,13.157811,7.3925304,100,14518.436
3.377373e-05,5.487845,,,80.459076,3.9901536,-2.7269104,-1.0000339,16.963104,4.539993e-05,13.069630861282349,6,2.7299783,,16.963104,-1.0,,,18.734976,,13.409846,7.207577,120,14535.308
2.4813347e-05,5.5513306,,,80.65651,5.8776402,-2.881061,0.7958974,17.20256,4.539993e-05,15.68696665763855,7,17.20256,,17.20256,0.79591835,,,18.992676,,11.52236,6.857146,140,14932.175
1.8997722e-05,5.6025085,,,94.71923,5.560096,-3.0145924,-0.9591955,17.20256,4.539993e-05,17.987010717391968,8,3.337286,,17.20256,-0.9591837,,,18.992676,,11.839904,6.8954763,160,14877.3
1.5010546e-05,5.636432,,,94.88475,6.857249,-3.1323755,0.755166,17.234474,4.539993e-05,20.57026958465576,9,17.234474,,17.234474,0.75510204,,,19.024437,,10.542751,6.8500824,180,15039.187
1.2158541e-05,5.5565963,,,108.37227,6.562773,-3.237736,-0.91839933,17.234474,4.539993e-05,22.91762614250183,10,3.9124908,,17.234474,-0.9183673,,,19.024437,,10.837227,5.7863154,200,14949.654
1.0048381e-05,5.5497766,,,108.49732,7.5366063,-3.3330462,0.714277,17.274937,4.539993e-05,25.6645028591156,11,17.274937,,17.274937,0.71428573,,,19.064726,,9.863394,6.434684,220,15085.265
8.443432e-06,5.5556865,,,121.43778,7.280184,-3.4200575,-0.8775596,17.274937,4.539993e-05,28.42627239227295,12,4.459535,,17.274937,-0.877551,,,19.064726,,10.119816,6.5778174,240,14978.319
7.194403e-06,5.554307,,,121.53243,8.051352,-3.5001001,0.673424,17.305359,4.539993e-05,31.098504781723022,13,17.305359,,17.305359,0.67346936,,,19.095016,,9.348648,6.4982753,260,15083.265
6.203337e-06,5.513253,,,133.95673,7.8316617,-3.5742083,-0.83673424,17.305359,4.539993e-05,33.46508502960205,14,4.9756937,,17.305359,-0.8367347,,,19.095016,,9.568338,5.942958,280,14968.315
5.403797e-06,5.5061755,,,134.03539,8.464308,-3.643201,0.6326853,17.32135,4.539993e-05,35.97222852706909,15,17.32135,,17.32135,0.63265306,,,19.110981,,8.935692,6.3729906,300,15045.536
4.7494304e-06,5.4800525,,,145.97523,8.276547,-3.7077396,-0.7959433,17.32135,4.539993e-05,38.57114005088806,16,5.460145,,17.32135,-0.79591835,,,19.110981,,9.123452,6.0562773,320,14928.239
4.207108e-06,5.459261,,,146.02309,8.810406,-3.7683642,0.59182703,17.35216,4.539993e-05,41.13567399978638,17,17.35216,,17.35216,0.59183675,,,19.141077,,8.589594,6.096586,340,15007.308
3.7526365e-06,5.4446425,,,157.50742,8.649587,-3.8255227,-0.7550513,17.35216,4.539993e-05,43.91431379318237,18,5.915664,,17.35216,-0.75510204,,,19.141077,,8.750413,6.1678286,360,14891.104
3.3680174e-06,5.3969955,,,157.53879,9.108485,-3.8795898,0.551085,17.368643,4.539993e-05,46.065051794052124,19,17.368643,,17.368643,0.5510204,,,19.15831,,8.291514,5.5125556,380,14949.678
3.0396352e-06,5.3320537,,,168.59917,8.970041,-3.9308832,-0.71427965,17.368643,4.539993e-05,48.43030571937561,20,6.3396187,,17.368643,-0.71428573,,,19.15831,,8.429958,5.072736,400,14836.989
2.7570386e-06,5.318709,,,168.60951,9.3709755,-3.9796734,0.5102382,17.389647,4.539993e-05,50.79532480239868,21,17.389647,,17.389647,0.5102041,,,19.178562,,8.029024,6.0276103,420,14893.256
2.5120953e-06,5.2920027,,,179.27518,9.251128,-4.026193,-0.67345715,17.389647,4.539993e-05,53.40229678153992,22,6.7343206,,17.389647,-0.67346936,,,19.178562,,8.148871,5.708093,440,14785.676
2.2984013e-06,5.276326,,,179.27017,9.605644,-4.070645,0.46940535,17.40501,4.539993e-05,56.042112588882446,23,17.40501,,17.40501,0.46938777,,,19.194027,,7.7943554,5.9093895,460,14832.357
2.110858e-06,5.258528,,,189.57164,9.501181,-4.1132045,-0.6326481,17.40501,4.539993e-05,58.609373807907104,24,7.098521,,17.40501,-0.63265306,,,19.194027,,7.898819,5.828048,480,14731.06
1.9453666e-06,5.2432494,,,189.59099,9.81636,-4.1540265,0.42855877,17.40501,4.539993e-05,60.96618986129761,25,17.380667,,17.40501,0.42857143,,,19.194027,,7.583639,5.8562884,500,14761.009
1.7986008e-06,5.226339,,,199.5585,9.724672,-4.1932473,-0.59186304,17.40501,4.539993e-05,63.461130142211914,26,7.432469,,17.40501,-0.59183675,,,19.194027,,7.6753273,5.784089,520,14666.876
1.6678383e-06,5.20449,,,199.539,10.009666,-4.2309875,0.38778123,17.419493,4.539993e-05,65.83870267868042,27,17.419493,,17.419493,0.3877551,,,19.208344,,7.390333,5.617663,540,14706.193
1.5508342e-06,5.182946,,,209.20346,9.928447,-4.2673554,-0.55103457,17.419493,4.539993e-05,68.07996916770935,28,7.7355475,,17.419493,-0.5510204,,,19.208344,,7.471553,5.583191,560,14619.748
1.4457245e-06,5.165687,,,209.20746,10.185949,-4.302447,0.34692678,17.419493,4.539993e-05,70.42420864105225,29,17.396023,,17.419493,0.3469388,,,19.208344,,7.2140503,5.664991,580,14644.631
1.3509492e-06,5.14889,,,218.59863,10.113379,-4.336348,-0.51018596,17.419493,4.539993e-05,72.78292298316956,30,8.008834,,17.419493,-0.5102041,,,19.208344,,7.286621,5.644914,600,14566.39
1.2651968e-06,5.1306605,,,218.62067,10.347719,-4.3691382,0.30622897,17.419493,4.539993e-05,75.22988986968994,31,17.377947,,17.419493,0.30612245,,,19.208344,,7.0522804,5.5674734,620,14589.529
1.1873576e-06,5.029066,,,227.76984,10.282192,-4.4008865,-0.4692989,17.419493,4.539993e-05,77.83599638938904,32,8.250854,,17.419493,-0.46938777,,,19.208344,,7.1178074,2.863851,640,14519.819
1.1164868e-06,4.9580107,,,227.84613,10.495572,-4.4316583,0.26536343,17.419493,4.539993e-05,80.34154486656189,33,17.323719,,17.419493,0.26530612,,,19.208344,,6.9044275,3.6689322,660,14541.618
1.051777e-06,4.923155,,,236.78256,10.435806,-4.461511,-0.42851943,17.419493,4.539993e-05,82.73039221763611,34,8.463524,,17.419493,-0.42857143,,,19.208344,,6.9641933,4.758052,680,14480.694
9.925341e-07,4.8934693,,,236.89694,10.6315155,-4.490499,0.22444333,17.419493,4.539993e-05,85.4823203086853,35,17.285671,,17.419493,0.2244898,,,19.208344,,6.768484,4.869725,700,14501.485
