LQGmu1_higher,ReturnMean,Iteration,TimeElapsed,Delta,IWFirstEpisode,ReturnMax,TimestepsSoFar,ReturnLastEpisode,IWLastEpisode,LQGmu1_actor,DenMISEMeanLog,ReturnMin,Bound,ReturnAbsMax,ReturnStepMax,Regret/t,IWMin,DenMISELogFirst,DenMISELogLast,Regret,IWMean,IWMax,LQGsigma_higher
1.0,17.170809,1,0.0426478385925293,0.0012158542,,17.170809,20,17.170809,,1.0000534,-2.0051284,,13129.391,17.170809,18.958992,0.22919083,,-2.0051284,-2.0051284,0.22919083,,,4.539993e-05
0.9591837,8.585404,2,2.8198494911193848,0.00030396355,,17.170809,40,,,0.9592073,2.4989002,,14107.335,17.170809,18.958992,8.814595,,-2.6982756,7.696076,17.62919,,,4.539993e-05
0.9183673,5.9661546,3,5.452186822891235,0.00013509492,,17.170809,60,0.7276563,,0.9183589,4.0114,,14486.401,17.170809,18.958992,11.4338455,,-3.1037407,7.8473306,34.301533,,,4.539993e-05
0.877551,4.8311014,4,7.994138479232788,7.599089e-05,,17.170809,80,1.4259424,,0.87756157,4.712204,,14645.508,17.170809,18.958992,12.568898,,-3.3914227,7.677661,50.275593,,,4.539993e-05
0.8367347,4.283487,5,10.779342889785767,4.8634163e-05,,17.170809,100,2.0930295,,0.83675504,5.0801787,,14696.207,17.170809,18.958992,13.116512,,-3.6145663,7.444652,65.582565,,,4.539993e-05
-1.0,4.0245643,6,13.320160150527954,3.377373e-05,,17.170809,120,2.7299483,,-0.99996394,5.279734,,14713.285,17.170809,18.958992,13.375435,,-3.7968879,7.1891203,80.25261,,,4.539993e-05
0.79591835,5.9069266,7,15.474658727645874,2.4813347e-05,,17.201103,140,17.201103,,0.7959282,5.3676066,,14930.909,17.201103,18.990917,11.4930725,,-3.9510386,6.819743,80.45151,,,4.539993e-05
-0.9591837,5.5856657,8,17.750426054000854,1.8997722e-05,,17.201103,160,3.3368402,,-0.95916045,5.4520893,,14876.039,17.201103,18.990917,11.814334,,-4.08457,6.9781876,94.51467,,,4.539993e-05
0.75510204,6.8793464,9,20.38038396835327,1.5010546e-05,,17.228788,180,17.228788,,0.7550784,5.491915,,15034.225,17.228788,19.017853,10.520653,,-4.202353,6.752789,94.685875,,,4.539993e-05
-0.9183673,6.5827813,10,22.710578203201294,1.2158541e-05,,17.228788,200,3.9136956,,-0.9183612,5.5121675,,14944.723,17.228788,19.017853,10.817219,,-4.3077135,6.6426806,108.17219,,,4.539993e-05
0.71428573,7.554871,11,25.09034538269043,1.0048381e-05,,17.275774,220,17.275774,,0.71427774,5.531148,,15085.995,17.275774,19.065739,9.845129,,-4.4030237,6.674056,108.29641,,,4.539993e-05
-0.877551,7.296926,12,27.344383716583252,8.443432e-06,,17.275774,240,4.4595256,,-0.8774934,5.5388513,,14979.046,17.275774,19.065739,10.103073,,-4.490035,6.5807123,121.23688,,,4.539993e-05
0.67346936,8.067503,13,30.07068920135498,7.194403e-06,,17.31442,260,17.31442,,0.6734056,5.478154,,15091.163,17.31442,19.104216,9.332497,,-4.570078,5.710303,121.322464,,,4.539993e-05
-0.8367347,7.8466754,14,32.71778440475464,6.203337e-06,,17.31442,280,4.9759197,,-0.8367547,5.407714,,14976.154,17.31442,19.104216,9.553324,,-4.6441855,5.4553895,133.74654,,,4.539993e-05
0.63265306,8.479472,15,35.081552028656006,5.403797e-06,,17.338623,300,17.338623,,0.6326337,5.401228,,15060.538,17.338623,19.128403,8.920527,,-4.7131786,6.2763305,133.80792,,,4.539993e-05
-0.79591835,8.290801,16,37.432485580444336,4.7494304e-06,,17.338623,320,5.46074,,-0.7959453,5.391739,,14943.125,17.338623,19.128403,9.109199,,-4.777717,6.2174807,145.74718,,,4.539993e-05
0.59183675,8.8218565,17,39.98944711685181,4.207108e-06,,17.338623,340,17.318745,,0.5918726,5.374685,,14995.6,17.338623,19.128403,8.578143,,-4.8383417,6.0718164,145.82843,,,4.539993e-05
-0.75510204,8.660374,18,42.77955961227417,3.7526365e-06,,17.338623,360,5.9151735,,-0.7551582,5.3487444,,14879.486,17.338623,19.128403,8.739626,,-4.8955,5.8794456,157.31325,,,4.539993e-05
0.5510204,9.119319,19,45.233476400375366,3.3680174e-06,,17.380325,380,17.380325,,0.5510199,5.298744,,14959.734,17.380325,19.169643,8.280681,,-4.9495673,5.371948,157.33295,,,4.539993e-05
-0.71428573,8.980367,20,47.470404386520386,3.0396352e-06,,17.380325,400,6.3402715,,-0.7143114,5.289344,,14846.969,17.380325,19.169643,8.419633,,-5.0008607,6.0853105,168.39267,,,4.539993e-05
0.5102041,9.379534,21,49.748321533203125,2.7570386e-06,,17.380325,420,17.362883,,0.5102035,5.2708364,,14885.273,17.380325,19.169643,8.020466,,-5.0496507,5.8764896,168.42978,,,4.539993e-05
-0.67346936,9.259312,22,52.15282082557678,2.5120953e-06,,17.380325,440,6.734643,,-0.6734011,5.259119,,14777.751,17.380325,19.169643,8.140688,,-5.096171,5.9899707,179.09514,,,4.539993e-05
0.46938777,9.612495,23,54.82305908203125,2.2984013e-06,,17.382555,460,17.382555,,0.4694326,5.197325,,14813.223,17.382555,19.171402,7.787504,,-5.1406226,4.81581,179.11258,,,4.539993e-05
-0.63265306,9.507737,24,57.4344847202301,2.110858e-06,,17.382555,480,7.0982885,,-0.6325878,5.1656384,,14712.055,17.382555,19.171402,7.8922625,,-5.1831822,5.415704,189.41428,,,4.539993e-05
0.42857143,9.824205,25,60.116796255111694,1.9453666e-06,,17.419441,500,17.419441,,0.4285189,5.1129813,,14773.248,17.419441,19.208273,7.575794,,-5.2240043,4.828945,189.39487,,,4.539993e-05
-0.59183675,9.732227,26,62.594582080841064,1.7986008e-06,,17.419441,520,7.43278,,-0.59188914,5.0768228,,14679.037,17.419441,19.208273,7.6677723,,-5.263225,5.153366,199.36209,,,4.539993e-05
0.3877551,10.016509,27,65.08246946334839,1.6678383e-06,,17.419441,540,17.40783,,0.38770258,5.0420575,,14706.149,17.419441,19.208273,7.3834906,,-5.3009653,5.1194205,199.35425,,,4.539993e-05
-0.5510204,9.935066,28,67.44614601135254,1.5508342e-06,,17.419441,560,7.7361026,,-0.55110383,5.008344,,14619.704,17.419441,19.208273,7.4649334,,-5.3373327,5.08002,209.01813,,,4.539993e-05
0.3469388,10.192196,29,69.85727787017822,1.4457245e-06,,17.419441,580,17.391815,,0.34687027,4.940548,,14644.586,17.419441,19.208273,7.2078037,,-5.372424,4.0248075,209.0263,,,4.539993e-05
-0.5102041,10.119429,30,72.18183875083923,1.3509492e-06,,17.419441,600,8.009191,,-0.51024795,4.8944654,,14566.347,17.419441,19.208273,7.280571,,-5.406326,4.541218,218.41714,,,4.539993e-05
0.30612245,10.353934,31,74.71161770820618,1.2651968e-06,,17.419441,620,17.389095,,0.3061021,4.871954,,14589.486,17.419441,19.208273,7.0460653,,-5.4391155,5.180293,218.42801,,,4.539993e-05
-0.46938777,10.288235,32,76.93751955032349,1.1873576e-06,,17.419441,640,8.251561,,-0.46943468,4.861288,,14519.776,17.419441,19.208273,7.111765,,-5.4708643,5.514864,227.57648,,,4.539993e-05
