DenMISELogLast,IWLastEpisode,MountainCar_std0_higher,TimestepsSoFar,AvgEpLen,ReturnLastEpisode,DenMISEMeanLog,Regret,IWMax,MountainCar_std1_higher,BoundBonus,ReturnMean,MountainCar_mu0_higher,NumTrainableParams,ReturnMax,MinEpLen,ReturnAbsMax,MountainCar_mu1_higher,DenMISELogFirst,IWFirstEpisode,IWMin,NumTrajectories,Iteration,Delta,Bound,ReturnMin,IWMean,ActionIn1,Regret/t,BoundMISE,GridSize,ReturnStepMax,TimeElapsed
-0.4109927,0.00022953094,0.14999999,999,999.0,-3.5668883,-0.4109927,8.566889,0.00022953094,1.5,12729.36,-3.5668883,-1.0,2,,999,3.5668883,,-0.4109927,0.00022953094,,1,1,0.060792707,12729.359,-3.5668883,0.00022953094,-0.83282614,8.566889,-0.00081871124,1,3.5668883,0.43877172470092773
-1.1712316,5.128788e-36,0.14999999,1998,999.0,-16.595844,-1.1375711,30.162733,4.540792e-19,1.5,inf,-10.081367,1.0,,,999,16.595844,,-1.1039104,4.540792e-19,,2,2,0.0060792705,inf,-16.595844,2.270396e-19,0.4787038,15.081367,-8.098249e-19,4,16.595844,1.1687097549438477
-1.505458,,0.14999999,2997,999.0,-42.924614,-1.5305101,78.08734,1.6391449e-38,1.5,inf,-21.029116,-1.0,,,999,42.924614,20.0,-1.5093755,,,3,3,0.0027018983,inf,-42.924614,,22.118227,26.029116,-9.067665e-38,4,42.924614,1.7829749584197998
-4.686647,3.509167e-30,0.14999999,3112,778.0,95.19181,-2.535306,-12.104462,3.509167e-30,1.5,inf,8.026115,1.0,,95.19181,115,95.19181,20.0,-1.7970576,,,4,4,0.0015198176,inf,-42.924614,8.772917e-31,20.882442,-3.0261154,8.351099e-29,4,95.19181,1.8701157569885254
-1.9901029,,0.14999999,4111,822.2,-94.69742,-2.60478,87.59296,4.999999,1.5,438.0925,-12.518591,-1.0,,95.19181,115,95.19181,20.0,-2.0202012,,,5,5,0.0009726833,513.12726,-94.69742,0.9999998,18.465847,17.51859,75.03475,4,95.19181,2.483949661254883
-1.6730429,1.7628597e-36,0.14999999,4224,704.0,94.95177,-2.4859006,-2.3588104,5.9672146,1.5,449.46155,5.393135,-1.0,,95.19181,113,95.19181,,-2.2025228,0.0013768699,,6,6,0.0006754746,436.3791,-94.69742,0.9947653,-1.6275558,-0.39313507,-13.082456,4,95.19181,2.5835378170013428
-1.7010678,5.505824e-38,0.14999999,5223,746.1428571428571,-18.709652,-2.4072478,21.350845,7.0000005,1.5,458.85452,1.9498793,1.0,,95.19181,113,95.19181,,-2.356444,1.5889178e-18,,7,7,0.00049626693,425.0193,-94.69742,1.0000001,0.84111285,3.0501208,-33.83524,4,95.19181,3.204831838607788
-1.7802161,,0.14999999,6222,777.75,-40.924927,-2.3590655,67.27577,4.000001,1.5,330.10446,-3.4094715,-1.0,,95.19181,113,95.19181,20.0,-2.4899752,,,8,8,0.0003799544,425.17627,-94.69742,1.0000001,20.603739,8.4094715,95.0718,4,95.19181,3.809858560562134
-2.0111353,2.118697e-22,0.14999999,6468,718.6666666666666,85.65173,-2.334999,-13.375961,1.9181536e-12,1.5,1.0869868e+16,6.486218,,,95.19181,113,95.19181,10.0,-2.6077583,1.9181536e-12,,9,9,0.00015010545,1.0869868e+16,-94.69742,2.1313868e-13,10.538858,-1.486218,-7.593598e-13,9,95.19181,3.9795594215393066
-5.0569005,0.004897669,0.14999999,6877,687.7,96.342384,-2.7020137,-104.71834,0.004897669,1.5,1131579600000.0,15.471834,1.0,,96.342384,113,96.342384,10.0,-2.7131188,1.4973866e-29,,10,10,0.00012158541,1131579600000.0,-94.69742,0.0004897674,8.747004,-10.471834,0.047185265,9,96.342384,4.354938268661499
-4.533831,1.5415479e-26,0.14999999,7876,716.0,-89.87545,-2.9551437,-9.8428955,1.537559e-05,1.5,1022762300000.0,5.894809,,,96.342384,113,96.342384,20.0,-2.808429,,,11,11,0.00010048381,1022762300000.0,-94.69742,1.4011915e-06,20.518908,-0.89480877,0.0001333723,9,96.342384,4.97186541557312
-2.9080884,1.4941989e-19,0.14999999,8031,669.25,96.63053,-3.030983,-101.47342,1.3727736e-08,1.5,945250040000.0,13.456119,-1.0,,96.63053,113,96.63053,10.0,-2.8954403,1.8161664e-14,,12,12,8.443432e-05,945250040000.0,-94.69742,1.3157617e-09,6.4333396,-8.456119,1.057651e-07,9,96.63053,5.120473861694336
