DenMISELogFirst,Regret/t,MountainCar_std0_higher,Delta,ReturnStepMax,ReturnMean,BoundBonus,IWLastEpisode,ReturnMin,NumTrainableParams,IWMax,MountainCar_mu1_higher,ReturnMax,MinEpLen,Iteration,AvgEpLen,TimeElapsed,BoundMISE,IWMean,ActionIn1,NumTrajectories,Regret,IWMin,DenMISELogLast,ReturnAbsMax,Bound,MountainCar_std1_higher,ReturnLastEpisode,MountainCar_mu0_higher,DenMISEMeanLog,TimestepsSoFar,IWFirstEpisode,GridSize
-2.9441204,-34.68126,0.14999999,5.403797e-05,98.904526,39.68126,541.78815,1.4763871e-13,-52.671726,,14.999922,20.0,98.904526,179,15,616.2,5.317259073257446,73.65846,0.9999948,16.658152,15,-520.2189,,-3.363794,98.904526,615.4466,1.5,98.904526,,-3.3131375,9243,,9
-3.008659,-38.121304,0.14999999,4.74943e-05,98.904526,43.121304,545.33514,4.1467517e-11,-52.671726,,16.0,10.0,98.904526,179,16,596.3125,5.537509202957153,73.158066,1.0,9.788489,16,-609.94086,,-4.9555607,98.904526,618.4932,1.5,94.721985,-1.0,-3.4329722,9541,1.6016958e-20,9
-3.0692835,-41.05192,0.14999999,4.2071075e-05,98.904526,46.05192,548.6461,3.0454797e-31,-52.671726,,16.99572,10.0,98.904526,179,17,582.1764705882352,5.789857864379883,-41.518383,0.99974823,9.619349,17,-697.8827,,-3.3311725,98.904526,507.12775,1.5,92.94186,1.0,-3.4432693,9897,8.857108e-24,9
-3.126442,-34.83885,0.14999999,3.7526363e-05,98.904526,39.83885,390.1459,1.3906698e-09,-65.783455,,9.0,10.0,98.904526,179,18,605.3333333333334,6.399909496307373,98.67544,1.0002112,9.950841,18,-627.09924,,-2.9736767,98.904526,488.82135,1.5,-65.783455,,-3.4326625,10896,1.8404037e-12,9
-3.180509,-37.89607,0.14999999,3.368017e-05,98.904526,42.89607,392.21042,7.749476e-10,-65.783455,,9.499972,20.0,98.904526,179,19,594.1052631578947,6.606214284896851,94.0538,0.9996822,19.556108,19,-720.02527,,-2.3614492,98.904526,486.26422,1.5,97.92609,,-3.384813,11288,,9
-3.2318025,-40.414177,0.14999999,3.0396353e-05,98.904526,45.414177,394.15903,7.2758833e-16,-65.783455,,10.0,10.0,98.904526,179,20,573.6,6.728477239608765,92.87636,0.9999994,9.324253,20,-808.28357,,-2.7175221,98.904526,487.0354,1.5,93.25824,-1.0,-3.3596413,11472,2.0021218e-20,9
-3.2805927,-42.799328,0.14999999,2.7570388e-05,98.904526,47.799328,396.00366,1.3034143e-09,-65.783455,,10.500001,20.0,98.904526,179,21,558.5714285714286,6.883665561676025,89.55384,1.0000006,20.073986,21,-898.7859,,-5.244911,98.904526,485.5575,1.5,95.50238,-1.0,-3.4572666,11730,,9
-3.3271127,-44.870495,0.14999999,2.5120953e-05,98.904526,49.870495,397.75446,,-65.783455,,11.000001,20.0,98.904526,110,22,538.1818181818181,6.976242542266846,86.98003,1.0000631,22.632381,22,-987.1509,,-2.6675642,98.904526,484.7345,1.5,93.36498,1.0,-3.4289162,11840,,9
-3.3715644,-37.407925,0.14999999,2.2984013e-05,121.76868,42.407925,555.02734,,-121.76868,,15.691302,,98.904526,110,23,558.2173913043479,7.457757234573364,-0.13466267,1.129673,0.70030445,23,-860.38226,,-3.879966,121.76868,554.8927,1.5,-121.76868,,-3.4557853,12839,10.291121,9
-3.0443275,-35.631126,0.14999999,2.110858e-05,121.76868,40.631126,403.1137,7.525569e-08,-121.76868,,8.0,10.0,98.904526,110,24,576.5833333333334,7.917358875274658,98.50312,1.0009521,11.922183,24,-855.14703,,-2.9723597,121.76868,501.61682,1.5,-0.23520498,,-3.4393492,13838,1.6953171e-12,9
-3.0851495,-37.93542,0.14999999,1.9453666e-05,121.76868,42.93542,404.63937,9.461034e-06,-121.76868,,8.333332,20.0,98.904526,110,25,571.68,8.154487609863281,93.79086,0.9998119,20.889177,25,-948.3855,,-3.1413465,121.76868,498.43024,1.5,98.23846,,-3.432058,14292,,9
-3.1243703,-39.753944,0.14999999,1.7986009e-05,121.76868,44.753944,406.09976,1.0779557e-21,-121.76868,,8.666666,10.0,98.904526,110,26,562.0384615384615,8.329177618026733,93.64845,0.99891853,7.0353484,26,-1033.6025,,-2.4195755,121.76868,499.74823,1.5,90.21708,-1.0,-3.3976402,14613,1.7981785e-20,9
-3.1621106,-41.43864,0.14999999,1.6678383e-05,121.76868,46.43864,407.50012,4.07838e-13,-121.76868,,9.0,20.0,98.904526,110,27,550.7037037037037,8.471924304962158,90.82423,1.0000006,18.86986,27,-1118.8433,,-3.3152125,121.76868,498.32434,1.5,90.240654,-1.0,-3.3989954,14869,,9
-3.1984782,-42.926624,0.14999999,9.122555e-06,121.76868,47.926624,50572.74,2.892009e-06,-121.76868,,2.4004812,13.333333,98.904526,110,28,539.8571428571429,8.63364839553833,19.825113,0.20574637,15.601951,28,-1201.9454,,-2.7645812,121.76868,50592.562,1.5,88.102234,-0.33333334,-3.3805833,15116,1.8540056e-21,16
-3.2335696,-44.603745,0.14999999,8.504261e-06,121.76868,49.603745,50725.156,6.966286e-07,-121.76868,,1.8600464,6.6666665,98.904526,110,29,531.4137931034483,9.139994859695435,16.51704,0.16924158,7.4067225,29,-1293.5085,,-5.1474338,121.76868,50741.67,1.5,96.56303,-0.33333334,-3.4685242,15411,1.3955291e-06,16
-3.267471,-46.182457,0.14999999,7.94676e-06,121.76868,51.182457,50872.242,0.0014432224,-121.76868,,0.7123367,6.6666665,98.904526,110,30,527.8,9.383291721343994,3.9276433,0.039869223,7.193546,30,-1385.4738,,-3.8657327,121.76868,50876.168,1.5,96.965256,0.33333334,-3.509048,15834,1.16124035e-07,16
-3.3002608,-44.36878,0.14999999,7.4423347e-06,121.76868,49.36878,51013.72,0.0029452029,-121.76868,,0.38279876,13.333333,98.904526,110,31,543.0,9.899245023727417,1.7132965,0.030052615,13.713589,31,-1375.4321,,-3.7546465,121.76868,51015.434,1.5,-5.0416536,0.33333334,-3.5474272,16833,1.6511071e-22,16
-3.3320096,-45.72529,0.14999999,6.984457e-06,121.76868,50.72529,6124.072,4.8717884e-05,-121.76868,,10.602951,6.6666665,98.904526,110,32,539.0,10.132658243179321,-21.825378,0.33192247,8.509147,32,-1463.2092,,-4.6957994,121.76868,6102.2466,1.5,92.77706,1.0,-3.6131353,17248,2.6287835e-17,16
