DenMISELogFirst,ReturnMax,IWMean,DenMISEMeanLog,AvgEpLen,Delta,ReturnLastEpisode,GridSize,MountainCar_std0_higher,IWLastEpisode,MountainCar_mu0_higher,Regret,ReturnMean,MountainCar_std1_higher,TimestepsSoFar,ReturnAbsMax,Iteration,DenMISELogLast,ActionIn1,ReturnStepMax,Bound,NumTrajectories,TimeElapsed,BoundMISE,NumTrainableParams,MinEpLen,BoundBonus,ReturnMin,IWMin,IWMax,MountainCar_mu1_higher,IWFirstEpisode,Regret/t
-1.078201,,0.0789668,-1.078201,999.0,0.060792707,-8.266695,1,0.14999999,0.0789668,-1.0,13.266695,-8.266695,1.5,999,8.266695,1,-1.078201,-2.333846,8.266695,67.27965,1,0.4532771110534668,-0.6527944,2,999,67.93244,-8.266695,,0.0789668,,0.0789668,13.266695
-1.6953443,,1.1327349e-25,-1.4770572,999.0,0.0060792705,-19.83679,4,0.14999999,,1.0,38.103485,-14.051743,1.5,1998,19.83679,2,-1.25877,3.1886573,19.83679,inf,2,0.9923558235168457,-9.363973e-25,,999,inf,-19.83679,,2.2654697e-25,,2.2654697e-25,19.051743
-2.1008093,,,-2.1033769,999.0,0.0027018983,-72.9058,4,0.14999999,,-1.0,116.009285,-33.66976,1.5,2997,72.9058,3,-2.5450861,18.991642,72.9058,inf,3,1.4682559967041016,,,999,inf,-72.9058,,,20.0,,38.66976
-2.3884916,89.68783,3.8560684e-31,-2.2323487,811.0,0.0015198176,89.68783,4,0.14999999,1.774091e-37,1.0,31.321457,-2.8303642,1.5,3244,89.68783,4,-1.7562177,20.930899,89.68783,inf,4,1.6182401180267334,-2.8112968e-29,,247,inf,-72.9058,,1.5424272e-30,20.0,,7.830364
-2.611635,91.49505,1.0,-2.3827481,674.2,0.0009726833,91.49505,4,0.14999999,5.0,1.0,-55.17359,16.034718,1.5,3371,91.49505,5,-2.0917716,20.44742,91.49505,493.2,5,1.6986303329467773,72.12079,,127,421.07922,-72.9058,,5.0,20.0,,-11.034718
-2.7939565,91.49505,1.0,-2.2756798,596.0,0.0006754746,85.48536,4,0.14999999,7.8261303e-38,-1.0,-135.65895,27.609825,1.5,3576,91.49505,6,-1.5218782,20.502096,91.49505,502.70316,6,1.8394978046417236,70.69625,,127,432.0069,-72.9058,,6.0,20.0,,-22.609825
-2.9481072,92.86586,1.0,-2.4461749,526.8571428571429,0.00049626693,92.86586,4,0.14999999,3.4999998,-1.0,-223.52481,36.932117,1.5,3688,92.86586,7,-3.237388,19.438408,92.86586,407.80804,7,1.9122881889343262,91.27684,,112,316.5312,-72.9058,,3.5000002,20.0,,-31.932117
-3.0816388,92.86586,0.9110856,-2.3401396,483.375,0.0003799544,92.065575,4,0.14999999,,-1.0,-310.5904,43.8238,1.5,3867,92.86586,8,-1.4741032,-0.61408794,92.86586,413.7359,8,2.0183005332946777,-15.336343,,112,429.07224,-72.9058,,6.7031856,,0.58549947,-38.8238
-3.1287887,92.86586,1.8964313e-13,-2.301322,540.6666666666666,0.00015010545,-15.408947,9,0.14999999,9.053182e-17,,-290.18146,37.242386,1.5,4866,92.86586,9,-1.7277755,11.572633,92.86586,1.8418656e+17,9,2.4909539222717285,-1.569665e-12,,112,1.8418656e+17,-72.9058,,1.706399e-12,10.0,1.706399e-12,-32.242386
-3.2341492,98.57077,2.7815713e-06,-2.4859643,525.3,0.00012158541,98.57077,9,0.14999999,2.0899376e-09,1.0,-383.7522,43.37522,1.5,5253,98.57077,10,-3.1994975,9.999341,98.57077,1157752800000.0,10,2.7458407878875732,-0.00020255588,,112,1157752800000.0,-72.9058,,2.7800976e-05,10.0,5.2685565e-34,-38.37522
