MountainCar_mu0_higher,AvgEpLen,TimeElapsed,ActionIn1,GridSize,NumTrajectories,MountainCar_std0_higher,MinEpLen,Regret,ReturnLastEpisode,MountainCar_std1_higher,ReturnMean,Regret/t,MountainCar_mu1_higher,Iteration
-0.6163876,686.0,0.21181392669677734,7.6380997,400,1,0.14999999,686,55.06295103249032,-0.06295103249032097,0.14999999,-0.06295103249032097,55.06295103249032,8.256767,1
-0.6163876,663.0,0.38415980339050293,7.114051,400,2,0.14999999,640,110.1680809279411,-0.10512989545078916,0.14999999,-0.08404046397055506,55.08404046397055,8.256767,2
-0.6163876,659.0,0.5802457332611084,7.5989475,400,3,0.14999999,640,165.23097174850068,-0.06289082055956918,0.14999999,-0.07699058283355976,55.07699058283356,8.256767,3
-0.6163876,594.5,0.6870155334472656,7.7047467,400,4,0.14999999,401,220.36633600671948,-0.1353642582187956,0.14999999,-0.09158400167986873,55.09158400167987,8.256767,4
-0.6163876,613.8,0.8941900730133057,7.8733506,400,5,0.14999999,401,275.4076620708948,-0.041326064175302796,0.14999999,-0.08153241417895554,55.08153241417896,8.256767,5
-0.6163876,569.6666666666666,0.9873909950256348,7.6730614,400,6,0.14999999,349,330.56436509794406,-0.1567030270492568,0.14999999,-0.09406084965733907,55.094060849657346,8.256767,6
-0.6163876,559.5714285714286,1.115607500076294,7.3287206,400,7,0.14999999,349,385.66665698237387,-0.10229188442983134,0.14999999,-0.0952367117676951,55.0952367117677,8.256767,7
-0.6163876,549.125,1.2706444263458252,7.7875433,400,8,0.14999999,349,440.7395990235576,-0.07294204118376732,0.14999999,-0.09244987794470413,55.0924498779447,8.256767,8
-0.6163876,571.0,1.518540859222412,7.596342,400,9,0.14999999,349,495.8332059240763,-0.09360690051871076,0.14999999,-0.09257843600848265,55.09257843600848,8.256767,9
-0.6163876,579.4,1.736436367034912,8.086756,400,10,0.14999999,349,550.8680494393413,-0.03484351526505168,0.14999999,-0.08680494393413955,55.08680494393413,8.256767,10
-0.6163876,557.1818181818181,1.8753135204315186,7.7034817,400,11,0.14999999,335,605.9608296607056,-0.09278022136427568,0.14999999,-0.08734815097324283,55.087348150973234,8.256767,11
-0.6163876,538.8333333333334,2.023300886154175,7.807883,400,12,0.14999999,335,661.0796524560403,-0.11882279533468298,0.14999999,-0.08997103800336285,55.08997103800336,8.256767,12
-0.6163876,544.5384615384615,2.2355339527130127,7.7270284,400,13,0.14999999,335,716.1821337219641,-0.10248126592378361,0.14999999,-0.09093336322801061,55.090933363228004,8.256767,13
-0.6163876,539.5,2.4312188625335693,7.757681,400,14,0.14999999,335,771.258988927701,-0.07685520573693316,0.14999999,-0.08992778055007651,55.08992778055007,8.256767,14
-0.6163876,535.0,2.599156379699707,7.726246,400,15,0.14999999,335,826.3739034404128,-0.11491451271178905,0.14999999,-0.09159356269419067,55.09159356269419,8.256767,15
-0.6163876,528.125,2.7571637630462646,7.8016424,400,16,0.14999999,335,881.4043937131512,-0.030490272738349807,0.14999999,-0.08777460707195062,55.08777460707195,8.256767,16
-0.6163876,517.0588235294117,2.9233486652374268,8.020458,400,17,0.14999999,335,936.481317108841,-0.07692339568987254,0.14999999,-0.08713630052006367,55.08713630052006,8.256767,17
-0.6163876,526.5555555555555,3.1391942501068115,7.5499773,400,18,0.14999999,335,991.6118861898821,-0.130569081040964,0.14999999,-0.0895492327712248,55.089549232771226,8.256767,18
-0.6163876,537.7894736842105,3.3629956245422363,8.261311,400,19,0.14999999,335,1046.6302358500782,-0.01834966019606925,0.14999999,-0.08580188684621662,55.08580188684622,8.256767,19
-0.6163876,543.4,3.579212188720703,7.360329,400,20,0.14999999,335,1101.696009575678,-0.06577372559988634,0.14999999,-0.0848004787839001,55.084800478783905,8.256767,20
-0.6163876,565.0952380952381,3.8789594173431396,7.67018,400,21,0.14999999,335,1156.7729098437146,-0.07690026803655697,0.14999999,-0.08442427827212186,55.084424278272124,8.256767,21
-0.6163876,574.0909090909091,4.110957384109497,7.6392536,400,22,0.14999999,335,1211.8430945019675,-0.07018465825276332,0.14999999,-0.08377702281669647,55.083777022816705,8.256767,22
-0.6163876,566.6521739130435,4.250715017318726,7.328649,400,23,0.14999999,335,1267.0325798168244,-0.1894853148570442,0.14999999,-0.08837303551410289,55.0883730355141,8.256767,23
-0.6163876,571.875,4.4896135330200195,7.886246,400,24,0.14999999,335,1322.0891112917952,-0.056531474970741215,0.14999999,-0.08704630382479615,55.0870463038248,8.256767,24
-0.6163876,562.24,4.648019552230835,7.722382,400,25,0.14999999,331,1377.336362322117,-0.24725103032189163,0.14999999,-0.09345449288467997,55.09345449288468,8.256767,25
