MinEpLen,Iteration,ActionIn1,GridSize,Regret,Regret/t,MountainCar_mu0_higher,ReturnMean,MountainCar_std1_higher,AvgEpLen,ReturnLastEpisode,NumTrajectories,MountainCar_mu1_higher,TimeElapsed,MountainCar_std0_higher
445,1,6.6537313,400,54.465523695708534,54.465523695708534,-0.6163876,0.5344763042914694,1.5,445.0,0.5344763042914694,1,8.256767,0.14285826683044434,0.14999999
445,2,3.517207,400,110.59903953520981,55.299519767604906,-0.6163876,-0.2995197676049039,1.5,472.5,-1.1335158395012772,2,8.256767,0.27956080436706543,0.14999999
338,3,6.679968,400,163.12219886651607,54.37406628883869,-0.6163876,0.6259337111613075,1.5,427.6666666666667,2.4768406686937303,3,8.256767,0.3709111213684082,0.14999999
338,4,8.90586,400,219.11147471686115,54.77786867921529,-0.6163876,0.22213132078471193,1.5,445.75,-0.9892758503450747,4,8.256767,0.5042586326599121,0.14999999
338,5,8.068257,400,272.2041838973336,54.44083677946672,-0.6163876,0.5591632205332742,1.5,431.4,1.9072908195275229,5,8.256767,0.6073703765869141,0.14999999
338,6,8.226612,400,328.09109606693664,54.68184934448944,-0.6163876,0.31815065551055355,1.5,442.8333333333333,-0.8869121696030495,6,8.256767,0.7421329021453857,0.14999999
334,7,5.8731914,400,381.0089957690176,54.42985653843108,-0.6163876,0.5701434615689145,1.5,427.2857142857143,2.08210029791908,7,8.256767,0.8376791477203369,0.14999999
334,8,8.152521,400,433.40357092791163,54.175446365988954,-0.6163876,0.8245536340110455,1.5,416.0,2.605424841105963,8,8.256767,0.9341456890106201,0.14999999
334,9,7.4892893,400,489.29845778871663,54.366495309857406,-0.6163876,0.6335046901425986,1.5,425.3333333333333,-0.8948868608049773,9,8.256767,1.1026232242584229,0.14999999
334,10,10.1831875,400,544.6797562937538,54.46797562937538,-0.6163876,0.5320243706246192,1.5,432.8,-0.3812985050371955,10,8.256767,1.2825939655303955,0.14999999
334,11,7.2578807,400,600.2625170916158,54.56931973560143,-0.6163876,0.4306802643985659,1.5,438.90909090909093,-0.582760797861967,11,8.256767,1.4465649127960205,0.14999999
334,12,8.792745,400,655.9895823607515,54.665798530062624,-0.6163876,0.3342014699373847,1.5,444.0,-0.7270652691356082,12,8.256767,1.6144752502441406,0.14999999
334,13,8.883465,400,711.101516004485,54.70011661572961,-0.6163876,0.2998833842703924,1.5,446.0,-0.11193364373351478,13,8.256767,1.7867155075073242,0.14999999
334,14,8.03658,400,764.3071016394836,54.59336440282026,-0.6163876,0.40663559717975506,1.5,440.42857142857144,1.7944143650014701,14,8.256767,1.920964241027832,0.14999999
334,15,8.856138,400,820.2264661884232,54.68176441256154,-0.6163876,0.3182355874384634,1.5,444.4,-0.9193645489396199,15,8.256767,2.0921738147735596,0.14999999
334,16,6.0861497,400,874.7725226880191,54.67328266800119,-0.6163876,0.32671733199881325,1.5,447.625,0.45394350040406073,16,8.256767,2.260148525238037,0.14999999
334,17,9.73721,400,927.851649549037,54.57950879700218,-0.6163876,0.4204912029978271,1.5,443.0,1.9208731389820486,17,8.256767,2.4225637912750244,0.14999999
334,18,8.117771,400,982.4535463332418,54.58075257406899,-0.6163876,0.41924742593101744,1.5,440.6111111111111,0.3981032157952531,18,8.256767,2.5735886096954346,0.14999999
334,19,10.854533,400,1037.6743677086347,54.614440405717616,-0.6163876,0.38555959428239467,1.5,443.7368421052632,-0.2208213753928157,19,8.256767,2.7502827644348145,0.14999999
334,20,4.434103,400,1092.794098173045,54.639704908652256,-0.6163876,0.3602950913477583,1.5,446.1,-0.11973046441033308,20,8.256767,2.931312084197998,0.14999999
334,21,7.737842,400,1147.365676692743,54.63646079489252,-0.6163876,0.36353920510749177,1.5,445.14285714285717,0.42842148030216154,21,8.256767,3.086911201477051,0.14999999
334,22,7.008518,400,1201.6657209210791,54.62116913277632,-0.6163876,0.3788308672236909,1.5,443.8181818181818,0.6999557716638728,22,8.256767,3.2326440811157227,0.14999999
334,23,6.379999,400,1254.9562491617612,54.56331518094614,-0.6163876,0.4366848190538711,1.5,439.1304347826087,1.7094717593178343,23,8.256767,3.3649988174438477,0.14999999
334,24,8.868989,400,1310.4776740027776,54.6032364167824,-0.6163876,0.3967635832176096,1.5,441.6666666666667,-0.5214248410164042,24,8.256767,3.5511553287506104,0.14999999
