MountainCar_mu1_higher,ReturnMean,TimeElapsed,AvgEpLen,MountainCar_std1_higher,ActionIn1,Regret,MountainCar_std0_higher,NumTrajectories,MinEpLen,GridSize,MountainCar_mu0_higher,Iteration,Regret/t,ReturnLastEpisode
-2.0,-2.573817500640647,0.1530139446258545,500.0,7.389056,-8.598767,3.538937500640647,1.105171,1,500,400,-2.0,1,3.538937500640647,-2.573817500640647
2.0,-3.6812664617691526,0.28675079345703125,500.0,7.389056,-16.620226,9.292772923538305,1.105171,2,500,400,2.0,2,4.646386461769152,-4.788715422897658
-2.0,-15.931123749285925,0.418379545211792,500.0,7.389056,-4.5828648,50.688731247857774,1.105171,3,500,400,2.0,3,16.896243749285926,-40.430838324319474
2.0,-14.003771973408737,0.5809674263000488,500.0,7.389056,6.0651016,59.87556789363495,1.105171,4,500,400,-2.0,4,14.968891973408738,-8.221716645777173
-0.10526316,-12.285348487723974,0.7359011173248291,500.0,7.389056,1.9921482,66.25234243861988,1.105171,5,500,400,-0.5263158,5,13.250468487723975,-5.411654544984921
2.0,-10.243093454034925,0.900047779083252,500.0,7.389056,4.922684,67.24928072420957,1.105171,6,500,400,0.10526316,6,11.208213454034928,-0.03181828558968912
1.1578947,-8.882206585944674,1.0736255645751953,500.0,7.389056,-7.387127,68.93128610161273,1.105171,7,500,400,0.5263158,7,9.847326585944675,-0.7168853774031604
2.0,-9.282888586950731,1.228668451309204,500.0,7.389056,5.3094635,81.98406869560587,1.105171,8,500,400,0.5263158,8,10.248008586950734,-12.087662593993139
1.5789474,-8.38697591697943,1.4222593307495117,500.0,7.389056,0.22987056,84.1688632528149,1.105171,9,500,400,-0.5263158,9,9.352095916979433,-1.2196745572090355
0.31578946,-12.597521791722837,1.5862009525299072,500.0,7.389056,14.310294,135.6264179172284,1.105171,10,500,400,0.94736844,10,13.56264179172284,-50.492434664413494
1.3684211,-11.783973227993794,1.759962558746338,500.0,7.389056,-0.13554496,140.24002550793176,1.105171,11,500,400,0.10526316,11,12.749093227993797,-3.648487590703368
2.0,-10.740870526220055,1.9222121238708496,496.4166666666667,7.389056,7.081554,140.4718863146407,1.105171,12,457,400,-0.7368421,12,11.705990526220058,0.7332591932910685
