MountainCar_mu1_higher,MountainCar_std1_higher,Regret,MinEpLen,GridSize,AvgEpLen,ReturnLastEpisode,ActionIn1,NumTrajectories,Regret/t,MountainCar_mu0_higher,MountainCar_std0_higher,ReturnMean,Iteration,TimeElapsed
-10.0,1.5,2.129887815823209,999,400,999.0,-1.5298878158232092,-11.986649,1,2.129887815823209,-1.0,0.14999999,-1.5298878158232092,1,0.3207583427429199
-1.5789474,1.5,3.0988243971151914,999,400,999.0,-0.3689365812919825,-5.228436,2,1.5494121985575957,0.47368422,0.14999999,-0.9494121985575958,2,0.7846834659576416
6.8421054,1.5,5.39400604739325,753,400,917.0,-1.6951816502780588,4.881694,3,1.79800201579775,-1.0,0.14999999,-1.1980020157977502,3,1.0689430236816406
-5.7894735,1.5,9.593519881058501,753,400,937.5,-3.59951383366525,-3.5239928,4,2.3983799702646253,1.0,0.14999999,-1.7983799702646253,4,1.5127627849578857
2.631579,1.5,17.948734280134104,753,400,949.8,-7.755214399075603,4.0594573,5,3.589746856026821,1.0,0.14999999,-2.9897468560268208,5,1.9196555614471436
10.0,1.5,24.626107283430635,753,400,958.0,-6.0773730032965325,11.586232,6,4.1043512139051055,1.0,0.14999999,-3.5043512139051063,6,2.2952446937561035
-3.6842105,1.5,27.610196916576243,753,400,963.8571428571429,-2.384089633145607,-6.451399,7,3.9443138452251776,-1.0,0.14999999,-3.3443138452251775,7,2.698667049407959
0.5263158,1.5,29.785518473942716,753,400,968.25,-1.5753215573664738,0.038457453,8,3.7231898092428395,-1.0,0.14999999,-3.12318980924284,8,3.0892465114593506
-8.947369,1.5,34.30232544762947,753,400,971.6666666666666,-3.9168069736867546,-8.098459,9,3.8113694941810525,1.0,0.14999999,-3.2113694941810524,9,3.5850014686584473
5.7894735,1.5,44.56505579088631,753,400,974.4,-9.662730343256843,9.332281,10,4.456505579088631,1.0,0.14999999,-3.856505579088632,10,4.034695148468018
-6.8421054,1.5,46.70703746478589,753,400,976.6363636363636,-1.5419816738995793,-8.224605,11,4.246094314980535,-1.0,0.14999999,-3.646094314980536,11,4.478031396865845
8.947369,1.5,47.67192299302603,424,400,930.5833333333334,-0.3648855282401384,9.099733,12,3.9726602494188357,-1.0,0.14999999,-3.372660249418836,12,4.684384822845459
