ReturnMean,Regret/t,Regret,AvgEpLen,MountainCar_std1_higher,NumTrajectories,MinEpLen,Iteration,GridSize,TimeElapsed,ActionIn1,ReturnLastEpisode,MountainCar_mu0_higher,MountainCar_std0_higher,MountainCar_mu1_higher
94.7469112801765,-39.746911280176505,-39.746911280176505,547.0,0.14999999,1,547,1,400,0.18816041946411133,7.6380997,94.7469112801765,-0.6163876,0.14999999,8.256767
92.68448509062172,-37.68448509062172,-75.36897018124344,560.0,0.14999999,2,547,2,400,0.3826630115509033,7.114051,90.62205890106694,-0.6163876,0.14999999,8.256767
93.4336158121478,-38.433615812147806,-115.30084743644342,520.0,0.14999999,3,440,3,400,0.5029685497283936,7.5989475,94.93187725519998,-0.6163876,0.14999999,8.256767
93.30302004513072,-38.30302004513074,-153.21208018052295,499.0,0.14999999,4,436,4,400,0.6230418682098389,7.7047467,92.91123274407951,-0.6163876,0.14999999,8.256767
93.82151347124119,-38.821513471241204,-194.107567356206,491.2,0.14999999,5,436,5,400,0.7658801078796387,7.8733506,95.89548717568304,-0.6163876,0.14999999,8.256767
93.53155082801544,-38.53155082801545,-231.1893049680927,528.1666666666666,0.14999999,6,436,6,400,0.971726655960083,7.6730614,92.08173761188671,-0.6163876,0.14999999,8.256767
93.4729844707794,-38.4729844707794,-269.3108912954558,514.8571428571429,0.14999999,7,435,7,400,1.088766098022461,7.3287206,93.1215863273631,-0.6163876,0.14999999,8.256767
93.66273281153603,-38.66273281153603,-309.30186249228825,527.5,0.14999999,8,435,8,400,1.26851224899292,7.7875433,94.99097119683246,-0.6163876,0.14999999,8.256767
93.75392920241195,-38.75392920241196,-348.7853628217076,505.8888888888889,0.14999999,9,333,9,400,1.3885695934295654,7.596342,94.48350032941934,-0.6163876,0.14999999,8.256767
93.87535105173296,-38.87535105173296,-388.75351051732963,552.6,0.14999999,10,333,10,400,1.7011830806732178,8.086756,94.968147695622,-0.6163876,0.14999999,8.256767
94.10991962751785,-39.10991962751786,-430.2091159026965,536.0909090909091,0.14999999,11,333,11,400,1.855942726135254,7.7034817,96.45560538536687,-0.6163876,0.14999999,8.256767
85.68029002827768,-30.680290028277692,-368.1634803393323,574.6666666666666,0.14999999,12,333,12,400,2.181656837463379,7.807883,-7.045635563364221,-0.6163876,0.14999999,8.256767
86.0732164938314,-31.07321649383141,-403.95181441980833,582.7692307692307,0.14999999,13,333,13,400,2.3951029777526855,7.7270284,90.78833408047606,-0.6163876,0.14999999,8.256767
86.74123557241639,-31.741235572416397,-444.37729801382955,565.2857142857143,0.14999999,14,333,14,400,2.516568899154663,7.757681,95.4254835940212,-0.6163876,0.14999999,8.256767
87.22977450476563,-32.229774504765636,-483.4466175714845,549.8,0.14999999,15,333,15,400,2.6593892574310303,7.726246,94.06931955765498,-0.6163876,0.14999999,8.256767
87.85808620676744,-32.85808620676744,-525.729379308279,546.3125,0.14999999,16,333,16,400,2.851270914077759,7.8016424,97.28276173679451,-0.6163876,0.14999999,8.256767
88.3097599073624,-33.3097599073624,-566.2659184251607,544.7058823529412,0.14999999,17,333,17,400,3.0597050189971924,8.020458,95.53653911688177,-0.6163876,0.14999999,8.256767
88.35698308486866,-33.35698308486866,-600.4256955276359,550.0,0.14999999,18,333,18,400,3.300755500793457,7.5499773,89.15977710247508,-0.6163876,0.14999999,8.256767
88.84988900577132,-33.849889005771324,-643.1478911096551,539.1578947368421,0.14999999,19,333,19,400,3.4610280990600586,8.261311,97.7221955820192,-0.6163876,0.14999999,8.256767
89.19233785311044,-34.19233785311043,-683.8467570622087,528.9,0.14999999,20,333,20,400,3.6218619346618652,7.360329,95.69886595255358,-0.6163876,0.14999999,8.256767
89.40096354900139,-34.400963549001375,-722.4202345290289,526.4761904761905,0.14999999,21,333,21,400,3.825878858566284,7.67018,93.57347746682026,-0.6163876,0.14999999,8.256767
89.61482547290935,-34.61482547290933,-761.5261604040053,527.3636363636364,0.14999999,22,333,22,400,4.042842864990234,7.6392536,94.10592587497642,-0.6163876,0.14999999,8.256767
89.66877126804815,-34.66877126804813,-797.381739165107,521.9565217391304,0.14999999,23,333,23,400,4.22011137008667,7.328649,90.85557876110167,-0.6163876,0.14999999,8.256767
89.94568325958592,-34.94568325958591,-838.6963982300618,517.125,0.14999999,24,333,24,400,4.389520645141602,7.886246,96.31465906495487,-0.6163876,0.14999999,8.256767
89.88467667232773,-34.88467667232772,-872.1169168081931,515.36,0.14999999,25,333,25,400,4.615767240524292,7.722382,88.4205185781313,-0.6163876,0.14999999,8.256767
86.08174665325669,-31.08174665325667,-808.1254129846734,533.9615384615385,0.14999999,26,333,26,400,4.94735050201416,7.791497,-8.991503823519674,-0.6163876,0.14999999,8.256767
86.38983680957413,-31.38983680957411,-847.525593858501,526.8518518518518,0.14999999,27,333,27,400,5.125469207763672,7.4281306,94.40018087382764,-0.6163876,0.14999999,8.256767
86.7396754933392,-31.7396754933392,-888.7109138134975,523.9285714285714,0.14999999,28,333,28,400,5.3253257274627686,7.7062097,96.18531995499654,-0.6163876,0.14999999,8.256767
87.06980039033327,-32.06980039033327,-930.0242113196649,520.0344827586207,0.14999999,29,333,29,400,5.522159576416016,7.7339454,96.31329750616733,-0.6163876,0.14999999,8.256767
87.37968015816587,-32.37968015816586,-971.3904047449757,516.3666666666667,0.14999999,30,333,30,400,5.786311626434326,7.760133,96.36619342531077,-0.6163876,0.14999999,8.256767
87.69958543995534,-32.69958543995534,-1013.6871486386156,511.93548387096774,0.14999999,31,333,31,400,5.9630677700042725,7.8312316,97.29674389363977,-0.6163876,0.14999999,8.256767
