MountainCar_std0_higher,MountainCar_std1_higher,Regret/t,Regret,ActionIn1,MountainCar_mu0_higher,ReturnLastEpisode,MountainCar_mu1_higher,AvgEpLen,MinEpLen,NumTrajectories,ReturnMean,Iteration,GridSize,TimeElapsed
0.14999999,1.5,2.1196491919012503,2.1196491919012503,-11.986649,-1.0,-1.5196491919012503,-10.0,500.0,500,1,-1.5196491919012503,1,25,0.26923179626464844
0.14999999,1.5,2.507409108220835,5.01481821644167,-5.1231728,-1.0,-2.29516902454042,,500.0,500,2,-1.907409108220835,2,25,0.6264541149139404
0.14999999,1.5,2.130911764459728,6.392735293379184,8.039588,-1.0,-0.7779170769375141,10.0,486.0,458,3,-1.530911764459728,3,25,1.0085527896881104
0.14999999,1.5,2.7831911645819094,11.132764658327638,7.2654805,1.0,-4.140029364948453,5.0,489.5,458,4,-2.1831911645819093,4,25,1.386216640472412
0.14999999,1.5,3.786094081243281,18.930470406216404,-3.5721216,1.0,-7.197705747888766,-5.0,491.6,458,5,-3.1860940812432808,5,25,1.8362445831298828
0.14999999,1.5,4.261403207686516,25.568419246119095,11.586232,1.0,-6.037948839902692,10.0,493.0,458,6,-3.6614032076865164,6,25,2.181342124938965
0.14999999,1.5,4.131899137976522,28.923293965835658,-10.767188,1.0,-2.754874719716563,-10.0,494.0,458,7,-3.5318991379765228,7,25,2.598539113998413
0.14999999,1.5,4.496287730733616,35.97030184586893,1.5121417,1.0,-6.447007880033276,,494.75,458,8,-3.896287730733617,8,25,2.847561836242676
0.14999999,1.5,4.123200027238094,37.108800245142845,3.8489099,-1.0,-0.5384983992739119,5.0,484.44444444444446,402,9,-3.523200027238094,9,25,3.1918511390686035
0.14999999,1.5,3.896348713049936,38.96348713049936,-3.457192,-1.0,-1.2546868853565178,-5.0,486.0,402,10,-3.2963487130499365,10,25,3.5150558948516846
0.14999999,1.5,3.6337443930368,39.9711883234048,4.117501,-0.5,-0.40770119290544576,5.0,487.27272727272725,402,11,-3.0337443930368013,11,25,3.8563859462738037
0.14999999,1.5,3.382814925633585,40.59377910760302,-8.847635,,-0.022590784198218822,-10.0,488.3333333333333,402,12,-2.7828149256335863,12,25,4.313573360443115
0.14999999,1.5,3.2179655641597216,41.83355233407638,-9.256915,-0.5,-0.63977322647336,-10.0,489.2307692307692,402,13,-2.617965564159723,13,25,4.734381914138794
0.14999999,1.5,3.03245648331411,42.45439076639754,-9.6038,,-0.02083843232115734,-10.0,490.0,402,14,-2.432456483314111,14,25,5.023602485656738
0.14999999,1.5,2.871777759979771,43.07666639969656,-8.784242,,-0.02227563329902454,-10.0,490.6666666666667,402,15,-2.2717777599797717,15,25,5.336688280105591
0.14999999,1.5,2.752441415956951,44.03906265531121,-11.554231,,-0.3623962556146463,-10.0,491.25,402,16,-2.1524414159569516,16,25,5.62433123588562
0.14999999,1.5,2.6317636620802896,44.73998225536492,-7.9031696,,-0.10091960005370583,-10.0,491.7647058823529,402,17,-2.0317636620802904,17,25,5.981573104858398
