MountainCar_mu1_higher,MountainCar_mu0_higher,ReturnLastEpisode,AvgEpLen,GridSize,Iteration,MountainCar_std1_higher,MountainCar_std0_higher,ReturnMean,NumTrajectories,Regret/t,MinEpLen,ActionIn1,TimeElapsed,Regret
-10.0,-1.0,-1.5298878158232092,999.0,400,1,1.5,0.14999999,-1.5298878158232092,1,2.129887815823209,999,-11.986649,0.2852139472961426,2.129887815823209
-1.5789474,0.47368422,-0.3689365812919825,999.0,400,2,1.5,0.14999999,-0.9494121985575958,2,1.5494121985575957,999,-5.228436,0.697991132736206,3.0988243971151914
6.8421054,-1.0,-1.6951816502780588,917.0,400,3,1.5,0.14999999,-1.1980020157977502,3,1.79800201579775,753,4.881694,1.0629587173461914,5.39400604739325
-5.7894735,1.0,-3.59951383366525,937.5,400,4,1.5,0.14999999,-1.7983799702646253,4,2.3983799702646253,753,-3.5239928,1.6696958541870117,9.593519881058501
2.631579,1.0,-7.755214399075603,949.8,400,5,1.5,0.14999999,-2.9897468560268208,5,3.589746856026821,753,4.0594573,2.3254616260528564,17.948734280134104
10.0,1.0,-6.0773730032965325,958.0,400,6,1.5,0.14999999,-3.5043512139051063,6,4.1043512139051055,753,11.586232,2.89827561378479,24.626107283430635
-3.6842105,-1.0,-2.384089633145607,963.8571428571429,400,7,1.5,0.14999999,-3.3443138452251775,7,3.9443138452251776,753,-6.451399,3.4955620765686035,27.610196916576243
0.5263158,-1.0,-1.5753215573664738,968.25,400,8,1.5,0.14999999,-3.12318980924284,8,3.7231898092428395,753,0.038457453,4.156813621520996,29.785518473942716
-8.947369,1.0,-3.9168069736867546,971.6666666666666,400,9,1.5,0.14999999,-3.2113694941810524,9,3.8113694941810525,753,-8.098459,4.995917558670044,34.30232544762947
5.7894735,1.0,-9.662730343256843,974.4,400,10,1.5,0.14999999,-3.856505579088632,10,4.456505579088631,753,9.332281,5.66143536567688,44.56505579088631
-6.8421054,-1.0,-1.5419816738995793,976.6363636363636,400,11,1.5,0.14999999,-3.646094314980536,11,4.246094314980535,753,-8.224605,6.208254337310791,46.70703746478589
8.947369,-1.0,-0.3648855282401384,930.5833333333334,400,12,1.5,0.14999999,-3.372660249418836,12,3.9726602494188357,424,9.099733,6.518301963806152,47.67192299302603
3.6842105,-1.0,-1.913363584952896,905.6153846153846,400,13,1.5,0.14999999,-3.2604066598445334,13,3.860406659844533,424,3.9272954,6.83326530456543,50.18528657797893
-1.5789474,-1.0,-1.6336549926419226,912.2857142857143,400,14,1.5,0.14999999,-3.1442101121872037,14,3.744210112187204,424,-2.182747,7.466612339019775,52.41894157062085
-3.6842105,1.0,-4.257324901571489,918.0666666666667,400,15,1.5,0.14999999,-3.2184177648128225,15,3.8184177648128226,424,-1.4684515,8.025392293930054,57.27626647219234
-0.5263158,1.0,-10.567717381918728,923.125,400,16,1.5,0.14999999,-3.6777489908819416,16,4.277748990881942,424,-1.0805457,8.640713453292847,68.44398385411107
-2.631579,0.15789473,-0.3811413153115595,927.5882352941177,400,17,1.5,0.14999999,-3.483830892318978,17,4.083830892318979,424,-0.37685382,9.467164754867554,69.42512516942263
10.0,-1.0,-2.3158906035902778,914.9444444444445,400,18,1.5,0.14999999,-3.4189453207229388,18,4.018945320722939,424,9.477391,9.893320322036743,72.34101577301291
7.894737,0.15789473,-0.8396935668283598,919.3684210526316,400,19,1.5,0.14999999,-3.2831952284126977,19,3.8831952284126983,424,11.266785,10.4963219165802,73.78070933984127
1.5789474,-1.0,-1.7582495478692808,923.35,400,20,1.5,0.14999999,-3.206947944385527,20,3.806947944385527,424,-2.627329,11.07187032699585,76.13895888771054
-7.894737,-1.0,-1.8238922873220031,926.952380952381,400,21,1.5,0.14999999,-3.141088151192026,21,3.741088151192026,424,-8.797275,11.787445068359375,78.56285117503255
7.894737,-1.0,1.1069485532080248,900.3181818181819,400,22,1.5,0.14999999,-2.947995573719296,22,3.5479955737192967,341,6.2628756,12.095139741897583,78.05590262182453
-5.7894735,-1.0,-2.562896331957812,904.6086956521739,400,23,1.5,0.14999999,-2.9312521284253186,23,3.531252128425319,341,-8.049854,12.622952461242676,81.21879895378234
-2.631579,1.0,-6.72382377486797,908.5416666666666,400,24,1.5,0.14999999,-3.0892759470270956,24,3.6892759470270966,341,-0.4029702,13.079523086547852,88.54262272865031
-1.5789474,-0.15789473,-0.43066066573147904,912.16,400,25,1.5,0.14999999,-2.982931335775271,25,3.5829313357752715,341,1.5441681,14.001225233078003,89.57328339438179
-2.631579,-0.68421054,-0.8085862073311632,915.5,400,26,1.5,0.14999999,-2.899302676988959,26,3.49930267698896,341,-2.4837484,14.583293199539185,90.98186960171296
4.736842,-1.0,-1.893426574313427,918.5925925925926,400,27,1.5,0.14999999,-2.862048006519495,27,3.462048006519496,341,1.5909877,15.932121276855469,93.47529617602639
