MountainCar_mu1_higher,MountainCar_mu0_higher,ReturnLastEpisode,AvgEpLen,GridSize,Iteration,MountainCar_std1_higher,MountainCar_std0_higher,ReturnMean,NumTrajectories,Regret/t,MinEpLen,ActionIn1,TimeElapsed,Regret
-4.736842,0.15789473,-0.36133307920133395,921.4642857142857,400,28,1.5,0.14999999,-2.7727367591152747,28,3.372736759115276,341,-5.5284348,16.690593242645264,94.43662925522773
-10.0,0.36842105,-1.0896905856994772,924.1379310344828,400,29,1.5,0.14999999,-2.714700684169902,29,3.3147006841699036,341,-10.530902,17.404035568237305,96.12631984092721
7.894737,-0.68421054,0.16101270025710857,909.4666666666667,400,30,1.5,0.14999999,-2.6188435713556686,30,3.21884357135567,341,6.5822735,17.791205406188965,96.5653071406701
7.894737,1.0,-9.926189445285326,912.3548387096774,400,31,1.5,0.14999999,-2.854564405998561,31,3.4545644059985623,341,8.338338,18.431556701660156,107.09149658595543
-3.6842105,-0.05263158,-0.016058673927505786,915.0625,400,32,1.5,0.14999999,-2.7658611018713404,32,3.365861101871342,341,-1.595286,19.14409327507019,107.70755525988294
-6.8421054,0.15789473,-0.11479128175685827,917.6060606060606,400,33,1.5,0.14999999,-2.6855256527769624,33,3.2855256527769634,341,-7.2993383,19.951117515563965,108.4223465416398
-7.894737,0.15789473,-0.5549936020415046,920.0,400,34,1.5,0.14999999,-2.62286294540239,34,3.222862945402391,341,-8.630931,20.543766260147095,109.5773401436813
-6.8421054,1.0,-6.9903615939440025,922.2571428571429,400,35,1.5,0.14999999,-2.7476486210750077,35,3.3476486210750083,341,-4.723775,21.074835538864136,117.1677017376253
-6.8421054,-0.2631579,-0.06393091037438328,924.3888888888889,400,36,1.5,0.14999999,-2.673100906888879,36,3.27310090688888,341,-6.3965073,21.607789039611816,117.83163264799968
-4.736842,1.0,-4.777303423175686,926.4054054054054,400,37,1.5,0.14999999,-2.729971245166901,37,3.329971245166902,341,-4.207333,22.112390279769897,123.20893607117537
-5.7894735,0.05263158,-0.028785052634587294,928.3157894736842,400,38,1.5,0.14999999,-2.658887397994998,38,3.258887397994999,341,-5.923734,22.681235313415527,123.83772112380996
-8.947369,-0.2631579,-0.33811226398958777,930.1282051282051,400,39,1.5,0.14999999,-2.5993803432769105,39,3.199380343276911,341,-6.8083305,23.197490453720093,124.77583338779954
