MountainCar_mu0_higher,Iteration,ActionIn1,AvgEpLen,Regret,ReturnMean,MountainCar_mu1_higher,ReturnLastEpisode,GridSize,MountainCar_std1_higher,MountainCar_std0_higher,MinEpLen,TimeElapsed,Regret/t,NumTrajectories
-0.6163876,1,7.6380997,340.0,-41.72386809738174,96.72386809738174,8.256767,96.72386809738174,400,0.14999999,0.14999999,340,0.11061859130859375,-41.72386809738174,1
-0.6163876,2,7.114051,369.0,-80.16504462834101,95.0825223141705,8.256767,93.44117653095927,400,0.14999999,0.14999999,340,0.2196955680847168,-40.082522314170504,2
-0.6163876,3,7.5989475,579.0,-18.048517661821002,61.01617255394033,8.256767,-7.1165269665200075,400,0.14999999,0.14999999,340,0.4890477657318115,-6.016172553940334,3
-0.6163876,4,7.7047467,520.25,-56.35184065996197,69.08796016499049,8.256767,93.30332299814097,400,0.14999999,0.14999999,340,0.5814797878265381,-14.087960164990493,4
-0.6163876,5,7.8733506,499.0,-97.59770661373952,74.5195413227479,8.256767,96.24586595377754,400,0.14999999,0.14999999,340,0.6899394989013672,-19.519541322747905,5
-0.6163876,6,7.6730614,563.8333333333334,-131.93668603153546,76.98944767192258,8.256767,89.33897941779594,400,0.14999999,0.14999999,340,0.9242868423461914,-21.989447671922576,6
-0.6163876,7,7.3287206,565.7142857142857,-166.61125952136769,78.80160850305252,8.256767,89.67457348983223,400,0.14999999,0.14999999,340,1.1254072189331055,-23.801608503052528,7
-0.6163876,8,7.7875433,554.75,-206.433332760296,80.80416659503699,8.256767,94.82207323892831,400,0.14999999,0.14999999,340,1.308183193206787,-25.804166595037,8
-0.6163876,9,7.596342,541.6666666666666,-245.09153836308735,82.23239315145413,8.256767,93.65820560279134,400,0.14999999,0.14999999,340,1.4811115264892578,-27.23239315145415,9
-0.6163876,10,8.086756,521.3,-286.80313587438286,83.68031358743828,8.256767,96.71159751129552,400,0.14999999,0.14999999,338,1.608393907546997,-28.680313587438285,10
-0.6163876,11,7.7034817,504.45454545454544,-328.43733867773994,84.85793987979453,8.256767,96.63420280335708,400,0.14999999,0.14999999,336,1.7292084693908691,-29.85793987979454,11
-0.6163876,12,7.807883,496.1666666666667,-369.19514237423715,85.76626186451976,8.256767,95.75780369649719,400,0.14999999,0.14999999,336,1.873581886291504,-30.766261864519763,12
-0.6163876,13,7.7270284,507.3076923076923,-406.17268632081584,86.2440527939089,8.256767,91.97754394657868,400,0.14999999,0.14999999,336,2.1075451374053955,-31.24405279390891,13
-0.6163876,14,7.757681,500.0,-447.10032798707573,86.93573771336254,8.256767,95.92764166625986,400,0.14999999,0.14999999,336,2.2823023796081543,-31.935737713362553,14
-0.6163876,15,7.726246,488.8,-487.45884088175694,87.49725605878378,8.256767,95.3585128946812,400,0.14999999,0.14999999,332,2.445871114730835,-32.4972560587838,15
-0.6163876,16,7.8016424,486.4375,-530.1707456533603,88.13567160333501,8.256767,97.71190477160341,400,0.14999999,0.14999999,332,2.639946699142456,-33.13567160333502,16
-0.6163876,17,8.020458,490.11764705882354,-570.8247300577956,88.57792529751738,8.256767,95.65398440443528,400,0.14999999,0.14999999,332,2.865607738494873,-33.57792529751739,17
-0.6163876,18,7.5499773,502.05555555555554,-605.2903091939941,88.62723939966634,8.256767,89.46557913619853,400,0.14999999,0.14999999,332,3.106217384338379,-33.62723939966634,18
-0.6163876,19,8.261311,499.2105263157895,-647.7282231206423,89.09095911161275,8.256767,97.43791392664819,400,0.14999999,0.14999999,332,3.2929317951202393,-34.090959111612754,19
-0.6163876,20,7.360329,494.8,-687.2051427948594,89.36025713974297,8.256767,94.47691967421717,400,0.14999999,0.14999999,332,3.4732491970062256,-34.36025713974297,20
-0.6163876,21,7.67018,487.3809523809524,-726.8466758440729,89.61174646876539,8.256767,94.64153304921355,400,0.14999999,0.14999999,332,3.626122236251831,-34.611746468765375,21
-0.6163876,22,7.6392536,480.45454545454544,-768.1213431104355,89.91460650501982,8.256767,96.27466726636261,400,0.14999999,0.14999999,332,3.77411150932312,-34.9146065050198,22
-0.6163876,23,7.328649,476.95652173913044,-804.1724618625843,89.96402008098194,8.256767,91.05111875214877,400,0.14999999,0.14999999,332,3.9534595012664795,-34.964020080981925,23
-0.6163876,24,7.886246,482.7916666666667,-843.7305185174664,90.1554382715611,8.256767,94.5580566548821,400,0.14999999,0.14999999,332,4.173060655593872,-35.1554382715611,24
-0.6163876,25,7.722382,484.92,-876.2975607620054,90.05190243048023,8.256767,87.56704224453904,400,0.14999999,0.14999999,332,4.384217023849487,-35.05190243048022,25
-0.6163876,26,7.791497,495.38461538461536,-913.8496595502472,90.14806382885567,8.256767,92.55209878824175,400,0.14999999,0.14999999,332,4.658822059631348,-35.14806382885566,26
-0.6163876,27,7.4281306,498.8888888888889,-951.1521037435544,90.22785569420573,8.256767,92.30244419330718,400,0.14999999,0.14999999,332,4.887786388397217,-35.22785569420572,27
-0.6163876,28,7.7062097,496.9642857142857,-992.1172095803252,90.43275748501162,8.256767,95.96510583677065,400,0.14999999,0.14999999,332,5.074339151382446,-35.432757485011614,28
-0.6163876,29,7.7339454,491.51724137931035,-1034.4146128393347,90.66946940825292,8.256767,97.29740325900961,400,0.14999999,0.14999999,332,5.239663362503052,-35.66946940825292,29
-0.6163876,30,7.760133,488.8333333333333,-1075.9891967668668,90.86630655889556,8.256767,96.57458392753206,400,0.14999999,0.14999999,332,5.406010866165161,-35.86630655889556,30
-0.6163876,31,7.8312316,495.5483870967742,-1117.100465602653,91.03549889040816,8.256767,96.11126883578618,400,0.14999999,0.14999999,332,5.66729736328125,-36.035498890408164,31
-0.6163876,32,7.9697022,492.90625,-1157.407493162975,91.16898416134296,8.256767,95.30702756032193,400,0.14999999,0.14999999,332,5.876705169677734,-36.16898416134297,32
-0.6163876,33,7.6178727,491.27272727272725,-1197.150494737987,91.27728771933293,8.256767,94.74300157501195,400,0.14999999,0.14999999,332,6.086148262023926,-36.27728771933294,33
-0.6163876,34,7.7896905,492.44117647058823,-1238.4390534863799,91.42467804371705,8.256767,96.28855874839289,400,0.14999999,0.14999999,332,6.316108465194702,-36.42467804371705,34
