MountainCar_mu0_higher,TimeElapsed,ReturnLastEpisode,Regret/t,MountainCar_mu1_higher,Regret,MountainCar_std1_higher,ActionIn1,Iteration,MountainCar_std0_higher,NumTrajectories,MinEpLen,AvgEpLen,ReturnMean,GridSize
-1.0,0.2783620357513428,-1.5298878158232092,6.529887815823209,-10.0,6.529887815823209,1.5,-11.986649,1,0.14999999,1,999,999.0,-1.5298878158232092,400
0.47368422,0.689194917678833,-0.3689365812919825,5.949412198557596,-1.5789474,11.898824397115192,1.5,-5.228436,2,0.14999999,2,999,999.0,-0.9494121985575958,400
-1.0,0.9622805118560791,-1.6951816502780588,6.1980020157977505,6.8421054,18.59400604739325,1.5,4.881694,3,0.14999999,3,753,917.0,-1.1980020157977502,400
1.0,1.4351956844329834,-3.59951383366525,6.798379970264625,-5.7894735,27.1935198810585,1.5,-3.5239928,4,0.14999999,4,753,937.5,-1.7983799702646253,400
1.0,1.8507561683654785,-7.755214399075603,7.989746856026821,2.631579,39.948734280134104,1.5,4.0594573,5,0.14999999,5,753,949.8,-2.9897468560268208,400
1.0,2.327756643295288,-6.0773730032965325,8.504351213905105,10.0,51.02610728343063,1.5,11.586232,6,0.14999999,6,753,958.0,-3.5043512139051063,400
-1.0,2.7239949703216553,-2.384089633145607,8.344313845225177,-3.6842105,58.41019691657624,1.5,-6.451399,7,0.14999999,7,753,963.8571428571429,-3.3443138452251775,400
-1.0,3.1356968879699707,-1.5753215573664738,8.12318980924284,0.5263158,64.98551847394272,1.5,0.038457453,8,0.14999999,8,753,968.25,-3.12318980924284,400
1.0,3.5718066692352295,-3.9168069736867546,8.211369494181051,-8.947369,73.90232544762947,1.5,-8.098459,9,0.14999999,9,753,971.6666666666666,-3.2113694941810524,400
1.0,4.00245213508606,-9.662730343256843,8.85650557908863,5.7894735,88.5650557908863,1.5,9.332281,10,0.14999999,10,753,974.4,-3.856505579088632,400
-1.0,4.4205546379089355,-1.5419816738995793,8.646094314980536,-6.8421054,95.10703746478589,1.5,-8.224605,11,0.14999999,11,753,976.6363636363636,-3.646094314980536,400
-1.0,4.622360944747925,-0.3648855282401384,8.372660249418836,8.947369,100.47192299302603,1.5,9.099733,12,0.14999999,12,424,930.5833333333334,-3.372660249418836,400
