ActionIn1,ReturnMean,Regret/t,AvgEpLen,MountainCar_std0_higher,NumTrajectories,MountainCar_mu0_higher,GridSize,TimeElapsed,MountainCar_std1_higher,MinEpLen,MountainCar_mu1_higher,Regret,Iteration,ReturnLastEpisode
7.6380997,2.5857871916584245,52.414212808341574,337.0,0.14999999,1,-0.6163876,400,0.1265275478363037,0.14999999,337,8.256767,52.414212808341574,1,2.5857871916584245
7.114051,1.0370223325819459,53.96297766741805,411.0,0.14999999,2,-0.6163876,400,0.2812340259552002,0.14999999,337,8.256767,107.9259553348361,2,-0.5117425264945327
7.5989475,0.4610569185462787,54.538943081453716,440.6666666666667,0.14999999,3,-0.6163876,400,0.4473998546600342,0.14999999,337,8.256767,163.61682924436116,3,-0.6908739095250557
7.7047467,1.7900563757482288,53.20994362425177,396.75,0.14999999,4,-0.6163876,400,0.5378763675689697,0.14999999,265,8.256767,212.83977449700708,4,5.777054747354079
7.8733506,1.3533932446715156,53.64660675532848,417.4,0.14999999,5,-0.6163876,400,0.6807234287261963,0.14999999,265,8.256767,268.2330337766424,5,-0.39325927963533713
7.6730614,1.2602023434843919,53.739797656515606,414.6666666666667,0.14999999,6,-0.6163876,400,0.8199646472930908,0.14999999,265,8.256767,322.43878593909363,6,0.7942478375487727
7.3287206,1.3364628987972869,53.663537101202714,403.7142857142857,0.14999999,7,-0.6163876,400,0.9376318454742432,0.14999999,265,8.256767,375.644759708419,7,1.7940262306746582
7.7875433,1.0952113174107916,53.904788682589206,415.75,0.14999999,8,-0.6163876,400,1.090635061264038,0.14999999,265,8.256767,431.23830946071365,8,-0.5935497522946758
7.596342,1.0077144029242973,53.9922855970757,418.0,0.14999999,9,-0.6163876,400,1.264427661895752,0.14999999,265,8.256767,485.9305703736813,9,0.3077390870323413
8.086756,0.9757164676664534,54.02428353233354,420.9,0.14999999,10,-0.6163876,400,1.4033842086791992,0.14999999,265,8.256767,540.2428353233354,10,0.6877350503458596
7.7034817,0.9399922986341493,54.06000770136584,422.72727272727275,0.14999999,11,-0.6163876,400,1.5519607067108154,0.14999999,265,8.256767,594.6600847150243,11,0.5827506083111095
7.807883,0.8038278794156208,54.19617212058437,429.1666666666667,0.14999999,12,-0.6163876,400,1.7196826934814453,0.14999999,265,8.256767,650.3540654470124,12,-0.6939807319881918
7.7270284,1.2068013845380654,53.793198615461925,416.3076923076923,0.14999999,13,-0.6163876,400,1.831833839416504,0.14999999,262,8.256767,699.311582001005,13,6.042483446007399
7.757681,1.306917757554343,53.69308224244565,410.57142857142856,0.14999999,14,-0.6163876,400,1.9713749885559082,0.14999999,262,8.256767,751.7031513942391,14,2.6084306067659515
7.726246,1.1589002440734761,53.841099755926514,416.53333333333336,0.14999999,15,-0.6163876,400,2.1651711463928223,0.14999999,262,8.256767,807.6164963388977,15,-0.9133449446586572
7.8016424,1.074861062014241,53.92513893798575,421.75,0.14999999,16,-0.6163876,400,2.358841896057129,0.14999999,262,8.256767,862.802223007772,16,-0.18572666887428954
8.020458,1.1787021917072729,53.82129780829272,416.7647058823529,0.14999999,17,-0.6163876,400,2.5226283073425293,0.14999999,262,8.256767,914.9620627409762,17,2.840160266795786
7.5499773,1.0444886369949606,53.95551136300503,421.3888888888889,0.14999999,18,-0.6163876,400,2.7230634689331055,0.14999999,262,8.256767,971.1992045340905,18,-1.2371417931143478
8.261311,1.0563054381160495,53.94369456188394,421.0,0.14999999,19,-0.6163876,400,2.8962855339050293,0.14999999,262,8.256767,1024.9301966757948,19,1.2690078582956485
7.360329,1.1226314034105302,53.87736859658946,416.85,0.14999999,20,-0.6163876,400,3.0548095703125,0.14999999,262,8.256767,1077.5473719317893,20,2.3828247440056636
7.67018,1.1047644134817103,53.895235586518275,416.3809523809524,0.14999999,21,-0.6163876,400,3.2206170558929443,0.14999999,262,8.256767,1131.7999473168838,21,0.7474246149053115
7.6392536,1.0233018840647334,53.97669811593526,420.1818181818182,0.14999999,22,-0.6163876,400,3.3956799507141113,0.14999999,262,8.256767,1187.4873585505757,22,-0.6874112336917828
7.328649,1.0747637014340072,53.925236298565984,416.0869565217391,0.14999999,23,-0.6163876,400,3.5498344898223877,0.14999999,262,8.256767,1240.2804348670177,23,2.206923683558035
7.886246,1.0592597237282748,53.94074027627172,416.5,0.14999999,24,-0.6163876,400,3.7459371089935303,0.14999999,262,8.256767,1294.5777666305212,24,0.7026682364964238
7.722382,0.9908763851649814,54.009123614835005,418.28,0.14999999,25,-0.6163876,400,3.935551404953003,0.14999999,262,8.256767,1350.2280903708752,25,-0.6503237403540569
7.791497,1.0501267379222954,53.949873262077695,415.15384615384613,0.14999999,26,-0.6163876,400,4.10227632522583,0.14999999,262,8.256767,1402.69670481402,26,2.5313855568551444
7.4281306,1.022983020774785,53.977016979225205,416.1111111111111,0.14999999,27,-0.6163876,400,4.305666923522949,0.14999999,262,8.256767,1457.3794584390805,27,0.317246374939515
7.7062097,0.9701060894470102,54.02989391055298,419.10714285714283,0.14999999,28,-0.6163876,400,4.515354871749878,0.14999999,262,8.256767,1512.8370294954834,28,-0.4575710564029131
7.7339454,0.9759846875671572,54.02401531243283,418.7931034482759,0.14999999,29,-0.6163876,400,4.685156345367432,0.14999999,262,8.256767,1566.696444060552,29,1.1405854349312743
7.760133,0.9549029467268165,54.04509705327317,420.8666666666667,0.14999999,30,-0.6163876,400,4.908779859542847,0.14999999,262,8.256767,1621.352911598195,30,0.34353246235693824
7.8312316,0.985884058262045,54.014115941737934,419.4516129032258,0.14999999,31,-0.6163876,400,5.083294868469238,0.14999999,262,8.256767,1674.437594193876,31,1.9153174043188967
7.9697022,0.973316308128797,54.026683691871185,420.15625,0.14999999,32,-0.6163876,400,5.2690911293029785,0.14999999,262,8.256767,1728.853878139878,32,0.5837160539981082
7.6178727,0.9207713908109081,54.07922860918907,422.57575757575756,0.14999999,33,-0.6163876,400,5.488316297531128,0.14999999,262,8.256767,1784.6145441032395,33,-0.7606659633615356
7.7896905,0.9066006676990392,54.09339933230095,424.3235294117647,0.14999999,34,-0.6163876,400,5.711349248886108,0.14999999,262,8.256767,1839.1755772982322,34,0.43896680500736396
7.925281,0.8683224789396293,54.131677521060354,426.48571428571427,0.14999999,35,-0.6163876,400,5.910920143127441,0.14999999,262,8.256767,1894.6087132371124,35,-0.43313593888030494
7.805184,0.8497064422412097,54.15029355775877,427.8333333333333,0.14999999,36,-0.6163876,400,6.120656967163086,0.14999999,262,8.256767,1949.410568079316,36,0.1981451577965232
7.6121087,0.8902306501201741,54.10976934987981,425.3783783783784,0.14999999,37,-0.6163876,400,6.295242786407471,0.14999999,262,8.256767,2002.061465945553,37,2.3491021337628917
7.665063,0.9338867849871864,54.0661132150128,423.0,0.14999999,38,-0.6163876,400,6.472961664199829,0.14999999,262,8.256767,2054.5123021704862,38,2.5491637750666376
