Regret,MountainCar_mu0_higher,AvgEpLen,MountainCar_std1_higher,TimeElapsed,GridSize,ActionIn1,Iteration,MinEpLen,ReturnLastEpisode,MountainCar_mu1_higher,ReturnMean,NumTrajectories,Regret/t,MountainCar_std0_higher
2.1196491919012503,-1.0,500.0,1.5,0.1525132656097412,400,-11.986649,1,500,-1.5196491919012503,-10.0,-1.5196491919012503,1,2.1196491919012503,0.14999999
3.0860788120205314,0.47368422,500.0,1.5,0.2827324867248535,400,-5.228436,2,500,-0.36642962011928093,-1.5789474,-0.9430394060102656,2,1.5430394060102657,0.14999999
5.419521096606384,-1.0,500.0,1.5,0.42595672607421875,400,4.881694,3,500,-1.7334422845858526,6.8421054,-1.206507032202128,3,1.806507032202128,0.14999999
9.595524003267354,1.0,500.0,1.5,0.55973219871521,400,-3.5239928,4,500,-3.5760029066609693,-5.7894735,-1.7988810008168383,4,2.3988810008168384,0.14999999
17.880410022310407,1.0,500.0,1.5,0.6996958255767822,400,4.0594573,5,500,-7.684886019043053,2.631579,-2.9760820044620813,5,3.5760820044620814,0.14999999
24.5183588622131,1.0,500.0,1.5,0.8579742908477783,400,11.586232,6,500,-6.037948839902692,10.0,-3.4863931437021836,6,4.086393143702183,0.14999999
27.486860981147785,-1.0,500.0,1.5,1.0013375282287598,400,-6.451399,7,500,-2.368502118934685,-3.6842105,-3.326694425878255,7,3.9266944258782552,0.14999999
29.65203535256794,-1.0,500.0,1.5,1.1397202014923096,400,0.038457453,8,500,-1.5651743714201525,0.5263158,-3.1065044190709923,8,3.7065044190709924,0.14999999
34.142775521108696,1.0,500.0,1.5,1.3079404830932617,400,-8.098459,9,500,-3.8907401685407597,-8.947369,-3.193641724567633,9,3.793641724567633,0.14999999
44.32960294938065,1.0,500.0,1.5,1.4792423248291016,400,9.332281,10,500,-9.586827428271953,5.7894735,-3.832960294938065,10,4.432960294938065,0.14999999
46.46146645527098,-1.0,500.0,1.5,1.6634809970855713,400,-8.224605,11,500,-1.5318635058903314,-6.8421054,-3.6237696777519073,11,4.223769677751907,0.14999999
47.42635198351112,-1.0,493.6666666666667,1.5,1.8548405170440674,400,9.099733,12,424,-0.3648855282401384,8.947369,-3.3521959986259264,12,3.9521959986259265,0.14999999
50.15562587356764,-1.0,494.15384615384613,1.5,2.030073404312134,400,3.9272954,13,424,-2.1292738900565196,3.6842105,-3.2581250671975104,13,3.8581250671975105,0.14999999
