MountainCar_std0_higher,MinEpLen,AvgEpLen,GridSize,ActionIn1,ReturnMean,Iteration,TimeElapsed,Regret,MountainCar_std1_higher,MountainCar_mu0_higher,ReturnLastEpisode,NumTrajectories,Regret/t,MountainCar_mu1_higher
0.099999994,500,500.0,400,-5.386927,-5.357945748528008,1,0.1543891429901123,6.323065748528008,2.0,-2.0,-5.357945748528008,1,6.323065748528008,-2.0
0.099999994,500,500.0,400,-1.4131106,-14.718490515560493,2,0.2899353504180908,31.367221031120984,2.0,2.0,-24.079035282592976,2,15.683610515560492,2.0
0.099999994,500,500.0,400,-1.3209999,-19.373284958171602,3,0.4263894557952881,61.015214874514804,2.0,2.0,-28.68287384339382,3,20.3384049581716,-2.0
0.099999994,500,500.0,400,1.7333674,-15.958612148534577,4,0.5600504875183105,67.6949285941383,2.0,-2.0,-5.7145937196234975,4,16.923732148534576,2.0
0.099999994,500,500.0,400,0.00857529,-12.837527205807465,5,0.6934859752655029,69.01323602903732,2.0,-0.5263158,-0.35318743489900817,5,13.802647205807464,0.10526316
0.099999994,500,500.0,400,-1.3044043,-11.725093817252514,6,0.8304240703582764,76.14128290351508,2.0,-2.0,-6.162926874477768,6,12.690213817252513,-0.10526316
0.099999994,500,500.0,400,-1.835243,-10.069534253996432,7,0.96669602394104,77.24257977797501,2.0,0.31578946,-0.1361768744599328,7,11.03465425399643,0.10526316
0.099999994,500,500.0,400,1.2433608,-8.829251332382004,8,1.1074233055114746,78.35497065905602,2.0,-0.31578946,-0.14727088108101438,8,9.794371332382003,0.94736844
0.099999994,500,500.0,400,-1.4431832,-7.878424596775547,9,1.2828483581542969,79.59190137097991,2.0,-0.31578946,-0.2718107119238873,9,8.843544596775546,-0.94736844
0.099999994,500,500.0,400,0.72180176,-7.126172623679679,10,1.4557585716247559,80.91292623679678,2.0,-0.5263158,-0.35590486581686087,10,8.091292623679678,-2.0
0.099999994,500,500.0,400,0.88861036,-6.52108840364182,11,1.6305489540100098,82.34829244006002,2.0,-0.5263158,-0.47024620326323613,11,7.48620840364182,2.0
0.099999994,500,500.0,400,1.2872443,-5.978644836922932,12,1.8049054145812988,83.32517804307518,2.0,-0.10526316,-0.011765603015160024,12,6.943764836922932,-0.10526316
0.099999994,500,500.0,400,2.316921,-5.520037301574652,13,1.9842286109924316,84.30704492047049,2.0,0.10526316,-0.016746877395298357,13,6.485157301574653,0.5263158
0.099999994,500,500.0,400,-1.6345372,-5.196056735554172,14,2.162306785583496,86.25647429775842,2.0,-0.7368421,-0.9843093772879231,14,6.1611767355541724,-1.3684211
