MountainCar_mu0_higher,GridSize,ActionIn1,AvgEpLen,MountainCar_mu1_higher,MountainCar_std1_higher,Regret,MinEpLen,ReturnLastEpisode,ReturnMean,MountainCar_std0_higher,TimeElapsed,NumTrajectories,Iteration,Regret/t
-1.0,400,-11.986649,999.0,-10.0,1.5,2.129887815823209,999,-1.5298878158232092,-1.5298878158232092,0.14999999,0.62735915184021,1,1,2.129887815823209
0.47368422,400,-5.228436,999.0,-1.5789474,1.5,3.0988243971151914,999,-0.3689365812919825,-0.9494121985575958,0.14999999,1.1675465106964111,2,2,1.5494121985575957
-1.0,400,4.881694,917.0,6.8421054,1.5,5.39400604739325,753,-1.6951816502780588,-1.1980020157977502,0.14999999,1.596062421798706,3,3,1.79800201579775
1.0,400,-3.5239928,937.5,-5.7894735,1.5,9.593519881058501,753,-3.59951383366525,-1.7983799702646253,0.14999999,2.1530845165252686,4,4,2.3983799702646253
1.0,400,4.0594573,949.8,2.631579,1.5,17.948734280134104,753,-7.755214399075603,-2.9897468560268208,0.14999999,2.5771501064300537,5,5,3.589746856026821
1.0,400,11.586232,958.0,10.0,1.5,24.626107283430635,753,-6.0773730032965325,-3.5043512139051063,0.14999999,2.9999935626983643,6,6,4.1043512139051055
-1.0,400,-6.451399,963.8571428571429,-3.6842105,1.5,27.610196916576243,753,-2.384089633145607,-3.3443138452251775,0.14999999,4.633623123168945,7,7,3.9443138452251776
-1.0,400,0.038457453,968.25,0.5263158,1.5,29.785518473942716,753,-1.5753215573664738,-3.12318980924284,0.14999999,5.1177897453308105,8,8,3.7231898092428395
1.0,400,-8.098459,971.6666666666666,-8.947369,1.5,34.30232544762947,753,-3.9168069736867546,-3.2113694941810524,0.14999999,5.543278455734253,9,9,3.8113694941810525
1.0,400,9.332281,974.4,5.7894735,1.5,44.56505579088631,753,-9.662730343256843,-3.856505579088632,0.14999999,6.007250547409058,10,10,4.456505579088631
-1.0,400,-8.224605,976.6363636363636,-6.8421054,1.5,46.70703746478589,753,-1.5419816738995793,-3.646094314980536,0.14999999,6.475386619567871,11,11,4.246094314980535
-1.0,400,9.099733,930.5833333333334,8.947369,1.5,47.67192299302603,424,-0.3648855282401384,-3.372660249418836,0.14999999,6.709806680679321,12,12,3.9726602494188357
-1.0,400,3.9272954,905.6153846153846,3.6842105,1.5,50.18528657797893,424,-1.913363584952896,-3.2604066598445334,0.14999999,6.984812021255493,13,13,3.860406659844533
-1.0,400,-2.182747,912.2857142857143,-1.5789474,1.5,52.41894157062085,424,-1.6336549926419226,-3.1442101121872037,0.14999999,7.47017502784729,14,14,3.744210112187204
1.0,400,-1.4684515,918.0666666666667,-3.6842105,1.5,57.27626647219234,424,-4.257324901571489,-3.2184177648128225,0.14999999,7.951530456542969,15,15,3.8184177648128226
1.0,400,-1.0805457,923.125,-0.5263158,1.5,68.44398385411107,424,-10.567717381918728,-3.6777489908819416,0.14999999,8.38121223449707,16,16,4.277748990881942
0.15789473,400,-0.37685382,927.5882352941177,-2.631579,1.5,69.42512516942263,424,-0.3811413153115595,-3.483830892318978,0.14999999,8.963587760925293,17,17,4.083830892318979
-1.0,400,9.477391,914.9444444444445,10.0,1.5,72.34101577301291,424,-2.3158906035902778,-3.4189453207229388,0.14999999,9.353917121887207,18,18,4.018945320722939
0.15789473,400,11.266785,919.3684210526316,7.894737,1.5,73.78070933984127,424,-0.8396935668283598,-3.2831952284126977,0.14999999,9.854404211044312,19,19,3.8831952284126983
-1.0,400,-2.627329,923.35,1.5789474,1.5,76.13895888771054,424,-1.7582495478692808,-3.206947944385527,0.14999999,10.369263410568237,20,20,3.806947944385527
