MinEpLen,TimeElapsed,ReturnMean,Regret,GridSize,ActionIn1,Regret/t,Iteration,NumTrajectories,MountainCar_std0_higher,MountainCar_mu1_higher,MountainCar_std1_higher,AvgEpLen,ReturnLastEpisode,MountainCar_mu0_higher
510,0.19955897331237793,-0.006177923612213587,55.00617792361221,400,7.6380997,55.00617792361221,1,1,0.14999999,8.256767,0.14999999,510.0,-0.006177923612213587,-0.6163876
510,0.4020371437072754,-0.5550626986862568,111.11012539737251,400,7.114051,55.55506269868626,2,2,0.14999999,8.256767,0.14999999,644.0,-1.1039474737603001,-0.6163876
406,0.5258359909057617,-0.07405946114386996,165.2221783834316,400,7.5989475,55.07405946114387,3,3,0.14999999,8.256767,0.14999999,564.6666666666666,0.8879470139409037,-0.6163876
406,0.6949777603149414,-0.25726093849524956,221.029043753981,400,7.7047467,55.25726093849525,4,4,0.14999999,8.256767,0.14999999,576.0,-0.8068653705493882,-0.6163876
406,0.8154888153076172,-0.056879917829026815,275.28439958914515,400,7.8733506,55.05687991782903,5,5,0.14999999,8.256767,0.14999999,549.6,0.7446441648358642,-0.6163876
406,1.072937250137329,-0.1964395751895209,331.17863745113715,400,7.6730614,55.19643957518952,6,6,0.14999999,8.256767,0.14999999,624.5,-0.8942378619919913,-0.6163876
406,1.1838319301605225,-0.16159630268357866,386.13117411878505,400,7.3287206,55.16159630268358,7,7,0.14999999,8.256767,0.14999999,595.1428571428571,0.04746333235207478,-0.6163876
406,1.4420936107635498,-0.21343509986681083,441.7074807989345,400,7.7875433,55.213435099866814,8,8,0.14999999,8.256767,0.14999999,632.625,-0.5763066801494361,-0.6163876
406,1.6489934921264648,-0.26777051518030454,497.4099346366228,400,7.596342,55.26777051518031,9,9,0.14999999,8.256767,0.14999999,630.1111111111111,-0.7024538376882541,-0.6163876
373,1.8050181865692139,-0.051590379887584525,550.5159037988759,400,8.086756,55.05159037988759,10,10,0.14999999,8.256767,0.14999999,604.4,1.8940308377468957,-0.6163876
373,1.9968714714050293,-0.047146208650833084,605.5186082951592,400,7.7034817,55.04714620865084,11,11,0.14999999,8.256767,0.14999999,595.9090909090909,-0.0027044962833187025,-0.6163876
336,2.1453495025634766,0.16680520180504654,657.9983375783395,400,7.807883,54.83319479819496,12,12,0.14999999,8.256767,0.14999999,574.25,2.5202707168197227,-0.6163876
336,2.327230215072632,0.17807191704034844,712.6850650784755,400,7.7270284,54.82192808295966,13,13,0.14999999,8.256767,0.14999999,563.4615384615385,0.3132724998639709,-0.6163876
336,2.5049896240234375,0.17487255301194707,767.5517842578328,400,7.757681,54.825127446988056,14,14,0.14999999,8.256767,0.14999999,557.2857142857143,0.13328082064272928,-0.6163876
336,2.662797451019287,0.2136422951210698,821.795365573184,400,7.726246,54.78635770487893,15,15,0.14999999,8.256767,0.14999999,546.9333333333333,0.7564186846487881,-0.6163876
336,2.839712381362915,0.2332854992273118,876.2674320123631,400,7.8016424,54.76671450077269,16,16,0.14999999,8.256767,0.14999999,543.1875,0.5279335608209414,-0.6163876
336,3.0523862838745117,0.20981173657678628,931.4332004781947,400,8.020458,54.79018826342322,17,17,0.14999999,8.256767,0.14999999,545.8235294117648,-0.1657684658316217,-0.6163876
336,3.205658435821533,0.2971574499941464,984.6511659001055,400,7.5499773,54.70284255000586,18,18,0.14999999,8.256767,0.14999999,534.2777777777778,1.782034578089268,-0.6163876
336,3.377854347229004,0.3818772760684021,1037.7443317547006,400,8.261311,54.61812272393161,19,19,0.14999999,8.256767,0.14999999,526.1578947368421,1.9068341454050057,-0.6163876
336,3.552022933959961,0.3974478536483703,1092.0510429270328,400,7.360329,54.60255214635164,20,20,0.14999999,8.256767,0.14999999,520.5,0.6932888276677659,-0.6163876
335,3.704857110977173,0.4945979924065249,1144.6134421594631,400,7.67018,54.50540200759348,21,21,0.14999999,8.256767,0.14999999,511.6666666666667,2.437600767569616,-0.6163876
335,3.881916046142578,0.4670607401944107,1199.7246637157232,400,7.6392536,54.5329392598056,22,22,0.14999999,8.256767,0.14999999,511.6818181818182,-0.11122155625998875,-0.6163876
335,4.032088994979858,0.4511647528806055,1254.6232106837463,400,7.328649,54.548835247119406,23,23,0.14999999,8.256767,0.14999999,507.0869565217391,0.1014530319768916,-0.6163876
335,4.32410454750061,0.41136124712867245,1310.127330068912,400,7.886246,54.58863875287133,24,24,0.14999999,8.256767,0.14999999,520.4583333333334,-0.5041193851657881,-0.6163876
335,4.598626136779785,0.33474435183332085,1366.6313912041671,400,7.722382,54.665255648166685,25,25,0.14999999,8.256767,0.14999999,528.92,-1.5040611352551172,-0.6163876
335,4.936477899551392,0.29748985569358133,1422.265263751967,400,7.791497,54.70251014430642,26,26,0.14999999,8.256767,0.14999999,541.5,-0.6338725477999072,-0.6163876
332,5.068323135375977,0.38175639044924264,1474.6925774578706,400,7.4281306,54.61824360955076,27,27,0.14999999,8.256767,0.14999999,533.7407407407408,2.572686294096436,-0.6163876
332,5.332982301712036,0.35299966720857606,1530.11600931816,400,7.7062097,54.64700033279143,28,28,0.14999999,8.256767,0.14999999,544.4285714285714,-0.42343186028942165,-0.6163876
332,5.500992774963379,0.36499087060767055,1584.4152647523777,400,7.7339454,54.63500912939233,29,29,0.14999999,8.256767,0.14999999,541.0,0.7007445657823153,-0.6163876
332,5.755591869354248,0.3422897529115174,1639.7313074126546,400,7.760133,54.65771024708849,30,30,0.14999999,8.256767,0.14999999,546.2,-0.3160426602769232,-0.6163876
332,5.982529163360596,0.340569907779594,1694.4423328588327,400,7.8312316,54.65943009222041,31,31,0.14999999,8.256767,0.14999999,544.7741935483871,0.2889745538218912,-0.6163876
332,6.165357828140259,0.34946571458854087,1748.817097133167,400,7.9697022,54.65053428541147,32,32,0.14999999,8.256767,0.14999999,541.53125,0.6252357256658939,-0.6163876
332,6.329120397567749,0.35259693681477383,1803.3643010851126,400,7.6178727,54.64740306318523,33,33,0.14999999,8.256767,0.14999999,538.4242424242424,0.452796048054228,-0.6163876
332,6.504319190979004,0.37681376877888606,1857.188331861518,400,7.7896905,54.62318623122112,34,34,0.14999999,8.256767,0.14999999,534.7352941176471,1.1759692235945893,-0.6163876
332,6.6823906898498535,0.44612424590836874,1909.3856513932071,400,7.925281,54.553875754091635,35,35,0.14999999,8.256767,0.14999999,529.1142857142858,2.8026804683107787,-0.6163876
332,6.8461754322052,0.4615343304349984,1963.38476410434,400,7.805184,54.538465669565,36,36,0.14999999,8.256767,0.14999999,525.6944444444445,1.0008872888670388,-0.6163876
332,7.004495620727539,0.5137029285005016,2015.9929916454814,400,7.6121087,54.4862970714995,37,37,0.14999999,8.256767,0.14999999,520.5675675675676,2.391772458858616,-0.6163876
332,7.218057155609131,0.5027613949868165,2070.895066990501,400,7.665063,54.49723860501319,38,38,0.14999999,8.256767,0.14999999,519.3157894736842,0.09792465498047243,-0.6163876
259,7.366765737533569,0.6448132542812581,2119.852283083031,400,7.77601,54.35518674571875,39,39,0.14999999,8.256767,0.14999999,512.6410256410256,6.042783907470037,-0.6163876
259,7.690630674362183,0.6122103601030812,2175.511585595877,400,7.7047462,54.38778963989692,40,40,0.14999999,8.256767,0.14999999,523.9,-0.6593025128458203,-0.6163876
259,7.881837606430054,0.5936073745418048,2230.662097643786,400,7.4836955,54.4063926254582,41,41,0.14999999,8.256767,0.14999999,522.560975609756,-0.15051204790925,-0.6163876
259,8.114155530929565,0.5512621187611708,2286.846991012031,400,7.2588344,54.448737881238834,42,42,0.14999999,8.256767,0.14999999,523.7857142857143,-1.1848933682448273,-0.6163876
259,8.357948303222656,0.5224085435718802,2342.5364326264094,400,7.7158127,54.47759145642812,43,43,0.14999999,8.256767,0.14999999,524.9767441860465,-0.6894416143783257,-0.6163876
259,8.541297674179077,0.5128808145447616,2397.433244160031,400,7.806125,54.48711918545525,44,44,0.14999999,8.256767,0.14999999,522.9772727272727,0.10318846637866352,-0.6163876
259,8.663855791091919,0.633321373842896,2446.50053817707,400,7.2892504,54.36667862615712,45,45,0.14999999,8.256767,0.14999999,517.1333333333333,5.93270598296081,-0.6163876
259,8.847173690795898,0.6182664269021574,2501.559744362501,400,7.588459,54.38173357309785,46,46,0.14999999,8.256767,0.14999999,516.9565217391304,-0.059206185431081026,-0.6163876
259,9.040425300598145,0.6648859325140394,2553.7503611718403,400,7.9767,54.33511406748596,47,47,0.14999999,8.256767,0.14999999,513.2127659574468,2.80938319066061,-0.6163876
259,9.273011922836304,0.6414013573699763,2609.2127348462413,400,7.5441246,54.35859864263003,48,48,0.14999999,8.256767,0.14999999,512.9791666666666,-0.46237367440098975,-0.6163876
259,9.553297519683838,0.6151515540229981,2664.8575738528734,400,7.864749,54.384848445977006,49,49,0.14999999,8.256767,0.14999999,518.5510204081633,-0.6448390066319561,-0.6163876
259,9.69522738456726,0.6552927879587551,2717.2353606020624,400,7.8599277,54.34470721204125,50,50,0.14999999,8.256767,0.14999999,514.9,2.6222132508108444,-0.6163876
259,10.023846864700317,0.615292084079401,2773.620103711951,400,7.23875,54.38470791592061,51,51,0.14999999,8.256767,0.14999999,524.3921568627451,-1.3847431098883074,-0.6163876
259,10.223228454589844,0.6158449319176851,2827.976063540281,400,7.48404,54.38415506808232,52,52,0.14999999,8.256767,0.14999999,522.2307692307693,0.6440401716701727,-0.6163876
259,10.545440196990967,0.5790390061693598,2884.3109326730246,400,7.331268,54.420960993830654,53,53,0.14999999,8.256767,0.14999999,528.2641509433962,-1.3348691327435536,-0.6163876
259,10.725440740585327,0.6041868250131992,2937.373911449288,400,7.3357363,54.39581317498681,54,54,0.14999999,8.256767,0.14999999,524.7037037037037,1.9370212237366884,-0.6163876
259,10.983004808425903,0.5763799485470918,2993.2991028299107,400,7.3755527,54.42362005145292,55,55,0.14999999,8.256767,0.14999999,526.290909090909,-0.9251913806227066,-0.6163876
259,11.235273122787476,0.5552545486834405,3048.905745273728,400,7.5185933,54.44474545131657,56,56,0.14999999,8.256767,0.14999999,527.7857142857143,-0.6066424438173804,-0.6163876
259,11.441713809967041,0.5530361727467006,3103.476938153439,400,7.8702817,54.44696382725331,57,57,0.14999999,8.256767,0.14999999,526.280701754386,0.4288071202892638,-0.6163876
259,11.635562658309937,0.548197924840467,3158.204520359254,400,7.677972,54.45180207515955,58,58,0.14999999,8.256767,0.14999999,524.1379310344828,0.272417794185156,-0.6163876
259,11.883248329162598,0.5293525234477233,3213.7682011165853,400,7.624906,54.470647476552294,59,59,0.14999999,8.256767,0.14999999,527.2033898305085,-0.5636807573314148,-0.6163876
259,12.081006288528442,0.5317920375767585,3268.0924777453956,400,8.268577,54.46820796242326,60,60,0.14999999,8.256767,0.14999999,526.4333333333333,0.6757233711898369,-0.6163876
259,12.267729997634888,0.5235768736694175,3323.061810706167,400,7.8484874,54.4764231263306,61,61,0.14999999,8.256767,0.14999999,526.1639344262295,0.030667039228954085,-0.6163876
259,12.482001066207886,0.5024564611083137,3378.8476994112857,400,7.4840603,54.497543538891705,62,62,0.14999999,8.256767,0.14999999,526.2903225806451,-0.7858887051190181,-0.6163876
259,12.714254379272461,0.4891437333796042,3434.183944797086,400,7.3677287,54.510856266620415,63,63,0.14999999,8.256767,0.14999999,525.4285714285714,-0.3362453858003822,-0.6163876
259,12.91069746017456,0.48691484017260606,3488.8374502289544,400,7.470377,54.51308515982741,64,64,0.14999999,8.256767,0.14999999,523.5,0.3464945681317213,-0.6163876
259,13.18179988861084,0.4681322661647015,3544.5714026992955,400,7.707548,54.53186773383531,65,65,0.14999999,8.256767,0.14999999,525.9076923076923,-0.7339524703411903,-0.6163876
259,13.475229263305664,0.4424469564754606,3600.7985008726205,400,7.439566,54.55755304352455,66,66,0.14999999,8.256767,0.14999999,530.7424242424242,-1.2270981733251958,-0.6163876
259,13.612377166748047,0.46280582302881823,3653.99200985707,400,7.427628,54.5371941769712,67,67,0.14999999,8.256767,0.14999999,527.7462686567164,1.8064910155504226,-0.6163876
259,13.795912742614746,0.4631810076739279,3708.503691478174,400,7.4925985,54.53681899232609,68,68,0.14999999,8.256767,0.14999999,525.9117647058823,0.48831837889627483,-0.6163876
