MountainCar_mu0_higher,Iteration,MountainCar_std0_higher,MountainCar_std1_higher,ReturnMean,NumTrajectories,Regret,GridSize,AvgEpLen,MinEpLen,ActionIn1,Regret/t,ReturnLastEpisode,MountainCar_mu1_higher,TimeElapsed
-2.0,1,0.14999999,0.14999999,-5.257274491297205,1,6.222394491297205,400,500.0,500,-4.00228,6.222394491297205,-5.257274491297205,-2.0,0.160294771194458
2.0,2,0.14999999,0.14999999,-12.92048999615013,2,27.771219992300257,400,500.0,500,3.4736712,13.885609996150128,-20.583705501003053,2.0,0.2861509323120117
2.0,3,0.14999999,0.14999999,-16.9670114227507,3,53.7963942682521,400,500.0,500,-0.041431904,17.9321314227507,-25.06005427595185,-2.0,0.4095942974090576
-2.0,4,0.14999999,0.14999999,-14.415694066428918,4,61.523256265715666,400,500.0,500,0.06436682,15.380814066428917,-6.761741997463565,2.0,0.5448918342590332
-0.5263158,5,0.14999999,0.14999999,-11.581294169703355,5,62.73207084851678,400,500.0,500,-0.39860776,12.546414169703356,-0.24369458280110784,-0.10526316,0.6816315650939941
-2.0,6,0.14999999,0.14999999,-10.697087745479692,6,69.97324647287815,400,500.0,500,-2.0725815,11.66220774547969,-6.276055624361375,-0.10526316,0.8179581165313721
0.31578946,7,0.14999999,0.14999999,-9.180392422868563,7,71.01858696007993,400,500.0,500,0.10939412,10.145512422868562,-0.08022048720178743,0.10526316,0.954016923904419
-0.31578946,8,0.14999999,0.14999999,-8.046610948392779,8,72.09384758714222,400,500.0,500,0.5682163,9.011730948392778,-0.11014062706229602,0.7368421,1.1182525157928467
-0.31578946,9,0.14999999,0.14999999,-7.184661568621077,9,73.34803411758968,400,500.0,500,-1.5177217,8.149781568621075,-0.28906653044746083,-1.1578947,1.285966157913208
-0.5263158,10,0.14999999,0.14999999,-6.489811352632598,10,74.54931352632597,400,500.0,500,-2.0799396,7.454931352632597,-0.23615940873629604,-2.0,1.4605209827423096
-0.31578946,11,0.14999999,0.14999999,-5.909260195870027,11,75.61818215457028,400,500.0,500,1.7473122,6.8743801958700255,-0.10374862824429884,2.0,1.6304957866668701
-0.10526316,12,0.14999999,0.14999999,-5.417317188928205,12,76.58924626713845,400,500.0,500,-0.25354964,6.382437188928204,-0.005944112568169564,-0.31578946,1.801774263381958
0.10526316,13,0.14999999,0.14999999,-5.001545459013398,13,77.56665096717416,400,500.0,500,1.1392807,5.966665459013397,-0.012284700035704315,0.94736844,1.9824938774108887
-0.10526316,14,0.14999999,0.14999999,-4.644360355633746,14,78.53272497887244,400,500.0,500,0.32782745,5.609480355633745,-0.0009540116982816884,0.31578946,2.154423236846924
-0.7368421,15,0.14999999,0.14999999,-4.416613700384922,15,80.72600550577381,400,500.0,500,-1.5983443,5.381733700384921,-1.2281605269013771,-0.94736844,2.3255655765533447
-0.10526316,16,0.14999999,0.14999999,-4.151973026733057,16,81.87348842772889,400,500.0,500,-1.9440006,5.117093026733055,-0.1823629219550689,-2.0,2.505465030670166
-0.10526316,17,0.14999999,0.14999999,-3.908904660967796,17,82.85841923645252,400,500.0,500,1.8537627,4.8740246609677955,-0.01981080872363365,1.5789474,2.694502353668213
