MountainCar_std1_higher,AvgEpLen,ReturnMean,Regret/t,GridSize,TimeElapsed,Regret,NumTrajectories,MinEpLen,ReturnLastEpisode,MountainCar_std0_higher,ActionIn1,Iteration,MountainCar_mu1_higher,MountainCar_mu0_higher
0.14999999,337.0,2.5941872668344965,52.405812733165504,400,0.10780572891235352,52.405812733165504,1,337,2.5941872668344965,0.14999999,7.6380997,1,8.256767,-0.6163876
0.14999999,334.0,2.4013775793713825,52.598622420628615,400,0.19842529296875,105.19724484125723,2,331,2.2085678919082685,0.14999999,7.114051,2,8.256767,-0.6163876
0.14999999,429.3333333333333,1.4284605212630117,53.57153947873699,400,0.3734610080718994,160.71461843621097,3,331,-0.5173735949537296,0.14999999,7.5989475,3,8.256767,-0.6163876
0.14999999,538.75,0.8267437220778651,54.173256277922135,400,0.5899531841278076,216.69302511168854,4,331,-0.9784066754775751,0.14999999,7.7047467,4,8.256767,-0.6163876
0.14999999,576.2,0.5978728718042519,54.40212712819575,400,0.7763869762420654,272.01063564097876,5,331,-0.3176105292902014,0.14999999,7.8733506,5,8.256767,-0.6163876
0.14999999,524.0,1.5009321734280396,53.49906782657197,400,0.8464527130126953,320.9944069594318,6,263,6.016228681546979,0.14999999,7.6730614,6,8.256767,-0.6163876
0.14999999,526.4285714285714,1.1711794900780512,53.828820509921954,400,1.013965368270874,376.80174356945366,7,263,-0.8073366100218798,0.14999999,7.3287206,7,8.256767,-0.6163876
0.14999999,530.375,0.9910202691212979,54.00897973087871,400,1.1651129722595215,432.07183784702966,8,263,-0.27009427757597537,0.14999999,7.7875433,8,8.256767,-0.6163876
0.14999999,519.7777777777778,0.918023538546504,54.0819764614535,400,1.315748929977417,486.7377881530815,9,263,0.33404969394815187,0.14999999,7.596342,9,8.256767,-0.6163876
0.14999999,534.3,0.7999794086023191,54.20002059139769,400,1.5506508350372314,542.0002059139769,10,263,-0.2624177608953454,0.14999999,8.086756,10,8.256767,-0.6163876
0.14999999,532.6363636363636,0.7232971759657855,54.27670282403422,400,1.7466704845428467,597.0437310643764,11,263,-0.04352515039955096,0.14999999,7.7034817,11,8.256767,-0.6163876
0.14999999,528.0,0.6683691114810375,54.331630888518966,400,1.9090816974639893,651.9795706622276,12,263,0.06416040214881058,0.14999999,7.807883,12,8.256767,-0.6163876
0.14999999,533.0,0.5640262810930301,54.43597371890697,400,2.0999057292938232,707.6676583457906,13,263,-0.688087683563058,0.14999999,7.7270284,13,8.256767,-0.6163876
