GridSize,ReturnLastEpisode,Regret,ReturnMean,MinEpLen,AvgEpLen,MountainCar_mu0_higher,Regret/t,TimeElapsed,MountainCar_std0_higher,NumTrajectories,MountainCar_mu1_higher,ActionIn1,MountainCar_std1_higher,Iteration
400,-1.529901103277403,2.129901103277403,-1.529901103277403,999,999.0,-1.0,2.129901103277403,0.2943875789642334,0.14999999,1,-10.0,-11.986649,1.5,1
400,-0.390479821853549,3.1203809251309518,-0.960190462565476,999,999.0,0.47368422,1.5601904625654759,0.5572981834411621,0.14999999,2,-1.5789474,-5.228436,1.5,2
400,-1.7090703134374168,5.429451238568369,-1.2098170795227896,945,981.0,-1.0,1.8098170795227897,0.818108320236206,0.14999999,3,6.8421054,4.881694,1.5,3
400,-3.7309640889985776,9.760415327566946,-1.8401038318917367,945,985.5,1.0,2.4401038318917365,1.0977962017059326,0.14999999,4,-5.7894735,-3.5239928,1.5,4
400,-7.935526809127832,18.295942136694777,-3.0591884273389556,945,988.2,1.0,3.659188427338955,1.374295949935913,0.14999999,5,2.631579,4.0594573,1.5,5
400,-6.6772872741220715,25.573229410816847,-3.662204901802808,945,990.0,1.0,4.262204901802808,1.6252410411834717,0.14999999,6,10.0,11.586232,1.5,6
400,-2.3776487292231163,28.550878140039963,-3.478696877148567,945,991.2857142857143,-1.0,4.078696877148566,1.8856163024902344,0.14999999,7,-3.6842105,-6.451399,1.5,7
400,-1.6369574987045763,30.78783563874454,-3.2484794548430678,945,992.25,-1.0,3.8484794548430674,2.1457321643829346,0.14999999,8,0.5263158,0.038457453,1.5,8
400,-3.884096702810013,35.27193234155455,-3.3191035935060618,945,993.0,1.0,3.9191035935060614,2.5033276081085205,0.14999999,9,-8.947369,-8.098459,1.5,9
400,-9.574388410719168,45.44632075227372,-3.9446320752273722,945,993.6,1.0,4.544632075227372,2.8035478591918945,0.14999999,10,5.7894735,9.332281,1.5,10
400,-1.5627075944694229,47.609028346743145,-3.7280934860675585,945,994.0909090909091,-1.0,4.328093486067559,3.0957889556884766,0.14999999,11,-6.8421054,-8.224605,1.5,11
400,-1.0874736132885956,49.29650196003174,-3.508041830002645,497,952.6666666666666,-1.0,4.108041830002645,3.2874841690063477,0.14999999,12,8.947369,9.099733,1.5,12
400,-2.0279066434059168,51.924408603437655,-3.3941852771875123,497,956.2307692307693,-1.0,3.994185277187512,3.5965230464935303,0.14999999,13,3.6842105,3.9272954,1.5,13
400,-1.6322988386057113,54.15670744204337,-3.2683362458602407,497,959.2857142857143,-1.0,3.868336245860241,3.929885149002075,0.14999999,14,-1.5789474,-2.182747,1.5,14
