MountainCar_std1_higher,Regret/t,MinEpLen,NumTrajectories,ReturnMean,MountainCar_std0_higher,GridSize,Regret,MountainCar_mu1_higher,AvgEpLen,MountainCar_mu0_higher,TimeElapsed,ActionIn1,Iteration,ReturnLastEpisode
1.5,6.529887815823209,999,1,-1.5298878158232092,0.14999999,400,6.529887815823209,-10.0,999.0,-1.0,0.30353379249572754,-11.986649,1,-1.5298878158232092
1.5,5.949412198557596,999,2,-0.9494121985575958,0.14999999,400,11.898824397115192,-1.5789474,999.0,0.47368422,0.5990941524505615,-5.228436,2,-0.3689365812919825
1.5,6.1980020157977505,753,3,-1.1980020157977502,0.14999999,400,18.59400604739325,6.8421054,917.0,-1.0,0.7969603538513184,4.881694,3,-1.6951816502780588
1.5,6.798379970264625,753,4,-1.7983799702646253,0.14999999,400,27.1935198810585,-5.7894735,937.5,1.0,1.075822114944458,-3.5239928,4,-3.59951383366525
1.5,7.989746856026821,753,5,-2.9897468560268208,0.14999999,400,39.948734280134104,2.631579,949.8,1.0,1.3388328552246094,4.0594573,5,-7.755214399075603
1.5,8.504351213905105,753,6,-3.5043512139051063,0.14999999,400,51.02610728343063,10.0,958.0,1.0,1.596092939376831,11.586232,6,-6.0773730032965325
1.5,8.344313845225177,753,7,-3.3443138452251775,0.14999999,400,58.41019691657624,-3.6842105,963.8571428571429,-1.0,1.8507163524627686,-6.451399,7,-2.384089633145607
1.5,8.12318980924284,753,8,-3.12318980924284,0.14999999,400,64.98551847394272,0.5263158,968.25,-1.0,2.137061595916748,0.038457453,8,-1.5753215573664738
1.5,8.211369494181051,753,9,-3.2113694941810524,0.14999999,400,73.90232544762947,-8.947369,971.6666666666666,1.0,2.4248547554016113,-8.098459,9,-3.9168069736867546
1.5,8.85650557908863,753,10,-3.856505579088632,0.14999999,400,88.5650557908863,5.7894735,974.4,1.0,2.7208313941955566,9.332281,10,-9.662730343256843
1.5,8.646094314980536,753,11,-3.646094314980536,0.14999999,400,95.10703746478589,-6.8421054,976.6363636363636,-1.0,3.0521953105926514,-8.224605,11,-1.5419816738995793
1.5,8.372660249418836,424,12,-3.372660249418836,0.14999999,400,100.47192299302603,8.947369,930.5833333333334,-1.0,3.2243473529815674,9.099733,12,-0.3648855282401384
1.5,8.260406659844532,424,13,-3.2604066598445334,0.14999999,400,107.38528657797892,3.6842105,905.6153846153846,-1.0,3.4313430786132812,3.9272954,13,-1.913363584952896
1.5,8.144210112187203,424,14,-3.1442101121872037,0.14999999,400,114.01894157062084,-1.5789474,912.2857142857143,-1.0,3.7427425384521484,-2.182747,14,-1.6336549926419226
1.5,8.218417764812822,424,15,-3.2184177648128225,0.14999999,400,123.27626647219233,-3.6842105,918.0666666666667,1.0,4.064661741256714,-1.4684515,15,-4.257324901571489
1.5,8.677748990881941,424,16,-3.6777489908819416,0.14999999,400,138.84398385411106,-0.5263158,923.125,1.0,4.404711723327637,-1.0805457,16,-10.567717381918728
1.5,8.483830892318977,424,17,-3.483830892318978,0.14999999,400,144.22512516942263,-2.631579,927.5882352941177,0.15789473,4.732927322387695,-0.37685382,17,-0.3811413153115595
1.5,8.418945320722939,424,18,-3.4189453207229388,0.14999999,400,151.5410157730129,10.0,914.9444444444445,-1.0,4.983377695083618,9.477391,18,-2.3158906035902778
1.5,8.2831952284127,424,19,-3.2831952284126977,0.14999999,400,157.38070933984127,7.894737,919.3684210526316,0.15789473,5.302006959915161,11.266785,19,-0.8396935668283598
1.5,8.206947944385528,424,20,-3.206947944385527,0.14999999,400,164.13895888771054,1.5789474,923.35,-1.0,5.595110654830933,-2.627329,20,-1.7582495478692808
1.5,8.141088151192026,424,21,-3.141088151192026,0.14999999,400,170.96285117503254,-7.894737,926.952380952381,-1.0,5.914273738861084,-8.797275,21,-1.8238922873220031
1.5,7.947995573719297,341,22,-2.947995573719296,0.14999999,400,174.85590262182453,7.894737,900.3181818181819,-1.0,6.195169448852539,6.2628756,22,1.1069485532080248
1.5,7.931252128425319,341,23,-2.9312521284253186,0.14999999,400,182.41879895378233,-5.7894735,904.6086956521739,-1.0,6.5844714641571045,-8.049854,23,-2.562896331957812
1.5,8.089275947027096,341,24,-3.0892759470270956,0.14999999,400,194.1426227286503,-2.631579,908.5416666666666,1.0,6.927419662475586,-0.4029702,24,-6.72382377486797
1.5,7.982931335775271,341,25,-2.982931335775271,0.14999999,400,199.57328339438178,-1.5789474,912.16,-0.15789473,7.251531600952148,1.5441681,25,-0.43066066573147904
1.5,7.899302676988959,341,26,-2.899302676988959,0.14999999,400,205.38186960171294,-2.631579,915.5,-0.68421054,7.559560775756836,-2.4837484,26,-0.8085862073311632
1.5,7.862048006519495,341,27,-2.862048006519495,0.14999999,400,212.27529617602636,4.736842,918.5925925925926,-1.0,7.950183391571045,1.5909877,27,-1.893426574313427
