MountainCar_mu1_higher,ReturnLastEpisode,GridSize,ActionIn1,MinEpLen,Regret,MountainCar_mu0_higher,ReturnMean,Iteration,TimeElapsed,MountainCar_std1_higher,NumTrajectories,Regret/t,AvgEpLen,MountainCar_std0_higher
8.256767,-0.544467274351386,400,7.6380997,758,55.54446727435138,-0.6163876,-0.544467274351386,1,0.24026846885681152,0.14999999,1,55.54446727435138,758.0,0.14999999
8.256767,-1.011810962695806,400,7.114051,652,111.5562782370472,-0.6163876,-0.778139118523596,2,0.4119391441345215,0.14999999,2,55.7781391185236,705.0,0.14999999
8.256767,0.07130149786137652,400,7.5989475,477,166.4849767391858,-0.6163876,-0.4949922463952718,3,0.5459659099578857,0.14999999,3,55.49499224639527,629.0,0.14999999
8.256767,2.454042177114702,400,7.7047467,331,219.0309345620711,-0.6163876,0.24226635948222164,4,0.6749145984649658,0.14999999,4,54.75773364051778,554.5,0.14999999
8.256767,2.7350347268288915,400,7.8733506,331,271.2958998352422,-0.6163876,0.7408200329515556,5,0.7827868461608887,0.14999999,5,54.25917996704844,511.6,0.14999999
8.256767,-0.30644387030394393,400,7.6730614,331,326.60234370554616,-0.6163876,0.566276049075639,6,0.94114089012146,0.14999999,6,54.43372395092436,510.8333333333333,0.14999999
8.256767,-0.9152492544341995,400,7.3287206,331,382.51759295998033,-0.6163876,0.3546295771456621,7,1.1230995655059814,0.14999999,7,54.645370422854334,520.0,0.14999999
8.256767,2.625692591313737,400,7.7875433,331,434.8919003686666,-0.6163876,0.6385124539166716,8,1.2515723705291748,0.14999999,8,54.361487546083325,497.0,0.14999999
8.256767,-0.3244287369524389,400,7.596342,331,490.216329105619,-0.6163876,0.5315189882645481,9,1.414560317993164,0.14999999,9,54.46848101173545,498.22222222222223,0.14999999
8.256767,-0.2505093921456595,400,8.086756,331,545.4668384977647,-0.6163876,0.45331615022352745,10,1.626185417175293,0.14999999,10,54.54668384977647,514.2,0.14999999
8.256767,2.719396795268125,400,7.7034817,331,597.7474417024965,-0.6163876,0.6593234815912181,11,1.7764878273010254,0.14999999,11,54.34067651840878,498.0,0.14999999
