ReturnAbsMax,ReturnStepMax,IWFirstEpisode,Iteration,Bound,Regret/t,Regret,TimeElapsed,ReturnLastEpisode,DenMISELogLast,LQGsigma_higher,TimestepsSoFar,DenMISELogFirst,ReturnMean,IWLastEpisode,LQGmu1_actor,IWMin,IWMax,IWMean,DenMISEMeanLog,ReturnMax,Delta,LQGmu1_higher,ReturnMin
16.513435,18.264467,1.5782747e-13,1,37388676000000.0,0.88656425,0.88656425,0.0542604923248291,16.513435,0.9158905,0.14999999,20,0.9158905,16.513435,1.5782747e-13,0.68057257,,1.5782747e-13,1.5782747e-13,0.9158905,16.513435,0.0006079271,1.0,
16.513435,18.264467,2.5320006e-07,2,5618306600.0,6.699497,13.398994,1.4965898990631104,4.887569,-1.9823729,0.14999999,40,0.2227433,10.700502,1.0671679e-26,-1.1386242,,2.5320006e-07,1.2660003e-07,-0.8798148,16.513435,0.00015198177,-1.0,
17.196486,18.986,0.0008760656,3,54072.562,4.534169,13.602505,2.4506938457489014,17.196486,-0.54746795,0.14999999,60,-0.18272167,12.86583,1.46737e-24,0.4491519,,9.306609,3.1024952,-1.0393425,17.196486,6.754746e-05,0.45454547,
17.196486,18.986,0.11603793,4,6032.902,5.933651,23.734604,2.988004684448242,7.267904,-0.4063525,0.14999999,80,-0.47011176,11.466349,7.231522e-10,-0.58013195,,0.11603793,0.029811941,-0.74390256,17.196486,3.7995444e-05,-0.5555556,
17.376837,19.164722,0.49683675,5,387.82324,4.7515526,23.757767,3.476149559020996,17.376837,-0.6188174,0.14999999,100,-0.66465867,12.648447,1.7301541e-05,0.5432503,,0.9023363,0.28729805,-0.8915206,17.376837,2.4317082e-05,0.17171717,
17.376837,19.164722,2.7844067e-07,6,383.0467,5.7900143,34.74008,4.101260185241699,6.41768,-0.9234898,0.14999999,120,-0.7522453,11.609985,3.419447,0.6895616,,13.605084,3.0087807,-1.0041032,17.376837,1.6886865e-05,0.7171717,
17.376837,19.164722,3.1945975,7,240.00653,6.7663784,47.364647,5.112541675567627,4.775434,-0.63389695,0.14999999,140,-0.906396,10.633621,4.000838e-10,-0.5022524,,3.1945975,0.7115012,-0.8271728,17.376837,1.2406674e-05,-0.33333334,
17.376837,19.164722,0.00088159926,8,228.06139,5.924034,47.392273,6.163807392120361,17.37238,-0.6952734,0.14999999,160,-0.66397953,11.4759655,0.9865625,-0.71257627,,2.6423664,0.5385378,-0.85212696,17.376837,9.498861e-06,-0.7777778,
17.376837,19.164722,0.032277852,9,121.75218,5.268882,47.41993,7.152090549468994,17.37233,-0.6951097,0.14999999,180,-0.7816524,12.131118,4.6842995,-0.50628805,,4.9623337,1.4783627,-0.885687,17.376837,7.505273e-06,-0.6363636,
17.376837,19.164722,4.8278223e-05,10,122.40613,4.7460527,47.460533,8.208082914352417,17.35941,-0.4602965,0.14999999,200,-0.88343287,12.653947,2.1141072e-11,0.5752368,,6.944829,2.2971947,-0.8177949,17.376837,6.0792704e-06,0.57575756,
17.376837,19.164722,9.441798e-10,11,118.03593,5.342599,58.768585,9.033971786499023,6.0919476,-0.54109067,0.14999999,220,-0.97873825,12.057401,0.7673006,0.68033993,,2.7164316,0.6009218,-0.7146346,17.376837,5.0241906e-06,0.85858583,
17.376837,19.164722,3.660935,12,118.734215,5.939844,71.27812,9.476117372512817,4.8904514,-0.5221654,0.14999999,240,-1.0657496,11.4601555,0.00037461554,-0.076190084,,3.660935,0.31803748,-0.7326146,17.376837,4.221716e-06,0.030303031,
17.376837,19.164722,0.051326763,13,117.53555,5.6487894,73.434265,9.93053126335144,15.24387,-0.7718569,0.14999999,260,-0.8795296,11.75121,0.1982533,0.59456706,,4.045996,0.5915415,-0.78804386,17.376837,3.5972016e-06,0.3131313,
