IWMax,IWLastEpisode,ReturnStepMax,TimeElapsed,ReturnAbsMax,IWMin,Iteration,ReturnMean,DenMISELogFirst,IWFirstEpisode,Regret,ReturnMax,TimestepsSoFar,Bound,Delta,IWMean,ReturnLastEpisode,LQGmu1_higher,ReturnMin,DenMISEMeanLog,LQGsigma_higher,DenMISELogLast,LQGmu1_actor,Regret/t
3.7151473e-18,3.7151473e-18,19.060629,0.16457843780517578,17.275993,,1,17.275993,-0.6529374,3.7151473e-18,0.12400627,17.275993,20,39115215000000.0,0.0006079271,3.7151473e-18,17.275993,1.0,,-0.6529374,0.14999999,-0.6529374,1.1484094,0.12400627
0.0015494507,,19.060629,0.9800229072570801,17.275993,,2,8.637997,-1.3460846,0.0015494507,17.524006,17.275993,40,5877748700.0,0.00015198177,0.00077472534,,-1.0,,-0.7752512,0.14999999,-0.20441784,-0.9556911,8.762003
0.000110470646,2.0067641e-19,19.060629,1.6170015335083008,17.275993,,3,11.506408,-1.7507753,4.064172e-06,17.680775,17.275993,60,54307.324,6.754746e-05,3.8178274e-05,17.243229,0.45454547,,-0.84157246,0.14999999,-0.1640591,0.34601682,5.893592
9.574623,7.3167584e-08,19.060629,2.166517734527588,17.275993,,4,10.63345,-2.038456,9.574623,27.0662,17.275993,80,6102.1665,3.7995444e-05,2.4234233,8.014574,-0.5555556,,-1.0104959,0.14999999,-0.654258,-0.4975058,6.76655
3.2558832,0.00024762558,19.197374,2.931457996368408,17.409042,,5,11.988568,-1.0396919,0.010827204,27.05716,17.409042,100,390.80466,2.4317082e-05,0.6533916,17.409042,0.17171717,,-0.87079495,0.14999999,-0.67065793,0.1820153,5.4114313
0.21765855,0.0075948616,19.197374,3.370732069015503,17.409042,,6,11.457643,-1.2198503,3.3748945e-11,35.654137,17.409042,120,368.04333,1.6886865e-05,0.06371173,8.80302,0.7171717,,-0.87794894,0.14999999,-0.5058118,0.838151,5.942357
10.18361,3.020165e-13,19.197374,3.828903913497925,17.409042,,7,10.2077875,-1.374001,10.18361,50.34548,17.409042,140,263.562,1.2406674e-05,2.028461,2.708661,-0.33333334,,-0.97437537,0.14999999,-0.6907618,-0.027651787,7.192212
4.0154443,2.0663656e-05,19.197374,4.758744239807129,17.409042,,8,10.481529,-0.6094865,0.123593256,55.347763,17.409042,160,230.05766,9.498861e-06,0.6329094,12.397711,-0.7777778,,-0.8927473,0.14999999,-0.7388863,-0.7495041,6.9184704
6.5678663,6.756786e-11,19.197374,5.70423150062561,17.409042,,9,11.245688,-0.71193856,0.00016519349,55.388794,17.409042,180,126.070404,7.505273e-06,1.2841805,17.35897,0.3131313,,-0.91666275,0.14999999,-0.6971344,0.41528058,6.154311
6.136226,0.17169689,19.197374,6.772275686264038,17.409042,,10,10.874568,-0.8172807,0.16830818,65.25432,17.409042,200,121.34633,6.0792704e-06,0.9888852,7.5344834,0.030303031,,-0.8744997,0.14999999,-0.55329865,-0.14845264,6.5254316
5.965884,0.8745377,19.197374,7.759992599487305,17.409042,,11,11.364969,-0.89590013,5.957828,66.38533,17.409042,220,119.703,5.0241906e-06,1.2408229,16.26898,-0.43434343,,-0.87143517,0.14999999,-0.70405984,-0.6213955,6.0350304
8.998012,4.0518538e-21,19.197374,8.521327018737793,17.409042,,12,11.8672285,-0.5500772,1.1867103e-14,66.39325,17.409042,240,120.056366,4.221716e-06,1.0026704,17.392073,0.85858583,,-0.8555054,0.14999999,-0.741047,0.80034345,5.532771
7.0750666,3.408788e-22,19.197374,9.02579402923584,17.409042,,13,11.206109,-0.6301199,0.34789664,80.520584,17.409042,260,119.55702,3.5972016e-06,1.2725326,3.2726707,-0.7171717,,-0.86200595,0.14999999,-0.76580757,-0.7774698,6.1938906
7.5903025,1.7410746,19.197374,9.96982192993164,17.409042,,14,11.645778,-0.6778184,0.00079424295,80.5591,17.409042,280,114.79871,3.1016684e-06,0.7712211,17.361494,-1.0,,-0.84039634,0.14999999,-0.67675877,-0.9252935,5.754222
3.8262403,9.570618e-22,19.197374,10.85425877571106,17.409042,,15,12.020053,-0.7467546,1.2584551e-08,80.6992,17.409042,300,112.28464,2.7018984e-06,0.63278747,17.259893,0.57575756,,-0.85159785,0.14999999,-0.6937419,0.56082636,5.3799467
6.619405,9.79664e-06,19.197374,11.94043231010437,17.409042,,16,11.658862,-0.8112931,3.4180164,91.8582,17.409042,320,110.63141,2.3747152e-06,0.89430577,6.241001,-0.21212122,,-0.87020093,0.14999999,-0.76497006,-0.07442619,5.7411375
5.464077,6.566104e-06,19.197374,13.144908666610718,17.409042,,17,11.833522,-0.67830515,0.026562626,94.63011,17.409042,340,99.85858,2.103554e-06,1.2741709,14.628085,-0.85858583,,-0.8739362,0.14999999,-0.75281495,-0.73608476,5.566478
