ReturnAbsMax,TimeElapsed,Regret,ReturnMax,IWFirstEpisode,IWLastEpisode,LQGsigma_higher,Regret/t,LQGmu1_higher,TimestepsSoFar,Iteration,DenMISELogLast,ReturnStepMax,ReturnLastEpisode,Bound,IWMin,IWMax,DenMISEMeanLog,IWMean,ReturnMean,DenMISELogFirst,LQGmu1_actor,ReturnMin,Delta
15.665496,0.15113449096679688,1.7345037,15.665496,5.6081095e-13,5.6081095e-13,0.14999999,1.7345037,1.0,20,1,0.9619692,17.35306,15.665496,35468826000000.0,,5.6081095e-13,0.9619692,5.6081095e-13,15.665496,0.9619692,1.107094,,0.0006079271
15.665496,1.3414356708526611,19.134502,15.665496,8.973147e-08,,0.14999999,9.567251,-1.0,40,2,0.03016459,17.35306,,5329815000.0,,8.973147e-08,0.14949329,4.4865736e-08,7.832748,0.26882198,-0.9697506,,0.00015198177
17.23046,1.8559563159942627,19.304043,17.23046,0.0016600802,8.0867154e-20,0.14999999,6.434682,0.45454547,60,3,-0.14076467,19.02058,17.23046,54164.2,,0.0016600802,-0.21756943,0.00065361545,10.965318,-0.13664307,0.32786596,,6.754746e-05
17.23046,2.278413772583008,28.578106,17.23046,0.06861919,1.6385769e-07,0.14999999,7.1445265,-0.5555556,80,4,-0.7405228,19.02058,8.125938,6044.985,,0.09019685,-0.56390595,0.03970405,10.255473,-0.42377195,-0.6152117,,3.7995444e-05
17.376514,2.9562668800354004,28.601593,17.376514,0.68730235,5.4761176e-06,0.14999999,5.720318,0.17171717,100,5,-0.6679749,19.16465,17.376514,393.57104,,4.055263,-0.75537294,0.94851416,11.679682,-0.6299062,0.23239401,,2.4317082e-05
17.376514,3.47104549407959,37.38865,17.376514,6.9809573e-07,0.024130397,0.14999999,6.2314425,0.7171717,120,6,-0.5199678,19.16465,8.612938,367.30457,,0.2639158,-0.7476222,0.074537896,11.168557,-0.6834296,0.6054616,,1.6886865e-05
17.376514,4.081886053085327,49.021614,17.376514,2.3863833,1.5520829e-08,0.14999999,7.003088,-0.33333334,140,7,-0.625983,19.16465,5.7670355,236.46475,,2.3863833,-0.8519109,0.5191546,10.396912,-0.83758014,-0.4024235,,1.2406674e-05
17.376514,5.580104351043701,49.155952,17.376514,0.00042853592,0.21499708,0.14999999,6.144494,-0.7777778,160,8,-0.61559534,19.16465,17.265665,235.27039,,3.9177158,-0.882025,0.95660955,11.255506,-0.6777616,-0.8168073,,9.498861e-06
17.376514,6.323405981063843,49.23374,17.376514,0.07955401,2.5735822e-12,0.14999999,5.470416,0.3131313,180,9,-0.70857316,19.16465,17.3222,127.293304,,6.717203,-0.87969553,1.5036302,11.929584,-0.7954911,0.5244461,,7.505273e-06
17.376514,7.0881218910217285,60.03327,17.376514,2.2792125e-05,5.5875497e-19,0.14999999,6.0033264,-0.8787879,200,10,-0.750259,19.16465,6.6004753,119.22247,,5.7661552,-0.84523886,1.2578902,11.396673,-0.8920511,-0.9845649,,6.0792704e-06
17.376514,7.822249889373779,60.216125,17.376514,4.7009935,1.428959e-09,0.14999999,5.4741936,0.01010101,220,11,-0.6412846,19.16465,17.217144,119.25677,,4.7009935,-0.8208841,0.63914067,11.925806,-0.98735905,-0.018722773,,5.0241906e-06
17.376514,8.538931369781494,65.1575,17.376514,2.3009712e-09,1.7928616e-07,0.14999999,5.4297924,0.85858583,240,12,-0.59132344,19.16465,12.458616,118.96067,,3.7594252,-0.83516675,0.51577544,11.970207,-0.7185417,0.8301679,,4.221716e-06
17.376514,9.28997015953064,79.7276,17.376514,0.5448639,6.6349086e-16,0.14999999,6.1328926,-0.45454547,260,13,-0.7503226,19.16465,2.8299198,115.25034,,7.206753,-0.8669026,0.9210657,11.267107,-0.7985844,-0.6044785,,3.5972016e-06
17.407179,10.042169094085693,79.72041,17.407179,0.00010460118,2.0288846e-13,0.14999999,5.694316,0.57575756,280,14,-0.75030845,19.195711,17.407179,115.791115,,7.634032,-0.87238926,1.2899107,11.705684,-0.83163434,0.57739913,,3.1016684e-06
17.407179,10.76747751235962,91.05118,17.407179,0.00792691,3.5456054e-15,0.14999999,6.070078,-0.67676765,300,15,-0.70285016,19.195711,6.069255,110.88168,,5.586852,-0.85397124,1.168512,11.329922,-0.90061975,-0.57015705,,2.7018984e-06
17.407179,11.49320387840271,91.08362,17.407179,5.940755,0.278206,0.14999999,5.692726,-0.21212122,320,16,-0.5910843,19.195711,17.367544,107.972664,,5.940755,-0.83374727,0.7432231,11.7072735,-0.9646299,-0.29472256,,2.3747152e-06
17.407179,12.23067021369934,91.308624,17.407179,2.3868407e-07,8.343981e-05,0.14999999,5.3710957,-1.0,340,17,-0.68413085,19.195711,17.174995,103.17348,,7.3465195,-0.84302634,1.0053574,12.028904,-0.7094974,-1.0321426,,2.103554e-06
17.407179,12.973202228546143,91.50668,17.407179,3.1589917e-12,,0.14999999,5.083705,1.0,360,18,-0.86399937,19.195711,17.20193,92.75813,,13.104033,-0.85050124,0.95539856,12.316295,-0.76665574,1.1676787,,1.8763183e-06
