ReturnAbsMax,Delta,IWLastEpisode,DenMISELogLast,IWMean,DenMISELogFirst,ReturnMean,LQGmu1_higher,Iteration,Regret/t,ReturnLastEpisode,DenMISEMeanLog,IWMin,Regret,TimestepsSoFar,ReturnMax,ReturnMin,ReturnStepMax,IWMax,LQGsigma_higher,Bound,LQGmu1_actor,IWFirstEpisode,TimeElapsed
8.577961,0.0006079271,3.5663983e-05,-1.5985336,3.5663983e-05,-1.5985336,8.577961,1.0,1,8.822039,8.577961,-1.5985336,,8.822039,20,8.577961,,9.421514,3.5663983e-05,0.14999999,19421676000000.0,1.1343366,3.5663983e-05,0.06534361839294434
8.577961,0.00015198177,,-0.11599506,1.850505e-14,-2.2916453,4.2889805,-1.0,2,13.111019,,-1.2038202,,26.222038,40,8.577961,,9.421514,3.70101e-14,0.14999999,2918448600.0,-1.0977486,3.70101e-14,1.1221587657928467
17.203144,6.754746e-05,2.0613276e-23,-0.33275956,4.7528067,-2.6971102,8.593701,0.45454547,3,8.806298,17.203144,-1.1837767,,26.418892,60,17.203144,,18.993044,14.258265,0.14999999,54119.094,0.32340544,14.258265,1.6349661350250244
17.203144,3.7995444e-05,1.9963332e-07,-0.7633166,0.001801,-1.2351134,8.483374,-0.5555556,4,8.916626,8.152388,-0.8569905,,35.666504,80,17.203144,,18.993044,0.0071968003,0.14999999,6034.776,-1.0882416,6.999667e-06,2.50072979927063
17.203144,2.4317082e-05,2.8331401e-15,-0.80212295,2.9136162,-1.4582552,10.226202,0.17171717,5,7.1737976,17.19752,-1.024172,,35.868988,100,17.203144,,18.993044,10.290777,0.14999999,405.61636,0.07282794,10.290777,3.395493268966675
17.203144,1.6886865e-05,0.00043455936,-0.5068401,0.060616422,-0.5227648,10.031229,0.7171717,6,7.3687706,9.056363,-0.8005605,,44.21262,120,17.203144,,18.993044,0.18739815,0.14999999,363.6338,0.86026764,0.02878425,4.393393516540527
17.203144,1.2406674e-05,9.523821e-14,-0.69906104,0.019373666,-0.6721296,8.936291,-0.33333334,7,8.463709,2.3666599,-0.9096423,,59.24596,140,17.203144,,18.993044,0.13175204,0.14999999,225.93279,0.04686287,0.0034562387,5.1474974155426025
17.203144,9.498861e-06,1.5721122e-06,-0.7705555,0.26617295,-0.8051673,8.954836,-0.7777778,8,8.445164,9.084658,-1.0066966,,67.56131,160,17.203144,,18.993044,1.1144423,0.14999999,221.11122,-0.67214435,5.8498345e-10,5.90099310874939
17.384563,7.505273e-06,5.4664873e-09,-0.69423723,1.8684896,-0.9229504,9.891473,0.2929293,9,7.508527,17.384563,-1.0489126,,67.57674,180,17.384563,,19.17365,6.6153035,0.14999999,130.12444,0.24761331,6.2970886,6.633826732635498
17.384563,6.0792704e-06,4.136071e-15,-0.4925453,1.8159306,-0.49787295,9.756968,-1.0,10,7.643032,8.546426,-0.9407425,,76.43032,200,17.384563,,19.17365,8.858195,0.14999999,126.52867,-1.0470822,6.155938e-15,7.347440958023071
17.384563,5.0241906e-06,3.273644e-11,-0.67393017,1.5386567,-0.5931831,10.4333,0.030303031,11,6.9666996,17.196623,-0.8834711,,76.63369,220,17.384563,,19.17365,6.6167345,0.14999999,123.712585,0.27364594,1.8028374,8.10286283493042
17.384563,4.221716e-06,0.0023063277,-0.55315816,1.0322189,-0.52842295,10.265765,0.85858583,12,7.1342344,8.422877,-0.8299305,,85.61081,240,17.384563,,19.17365,9.166704,0.14999999,119.62295,0.9711503,0.0009280051,8.877042531967163
17.384563,3.5972016e-06,0.2037261,-0.90495986,0.3053433,-0.6083883,9.515919,0.57575756,13,7.884081,0.51775557,-0.8476302,,102.49306,260,17.384563,,19.17365,1.2824197,0.14999999,110.10194,0.50807106,0.40216413,9.608561277389526
17.384563,3.1016684e-06,1.447867e-13,-0.65481824,0.6076687,-0.65202945,9.318667,-0.67676765,14,8.081332,6.7544127,-0.8815363,,113.13864,280,17.384563,,19.17365,7.8530455,0.14999999,110.139656,-0.72540194,3.8684043e-08,10.321707963943481
17.384563,2.7018984e-06,0.023924787,-0.6917928,0.12658031,-0.7210223,9.855414,-0.23232323,15,7.544585,17.369883,-0.9005051,,113.16878,300,17.384563,,19.17365,1.0020324,0.14999999,102.56158,-0.54702246,0.03803666,11.063403844833374
17.386637,2.3747152e-06,5.7005816,-0.8784682,0.5961703,-0.7830283,10.326117,-0.47474748,16,7.073883,17.386637,-0.951923,,113.18213,320,17.386637,,19.174461,5.7005816,0.14999999,102.28885,-0.4333333,6.720453e-05,11.867830991744995
17.386637,2.103554e-06,0.0040728617,-0.65421337,1.4595122,-0.84364873,10.736042,-1.0,17,6.6639576,17.294847,-0.960251,,113.28728,340,17.386637,,19.174461,7.8951936,0.14999999,100.54555,-0.8885969,8.698867e-15,13.197290897369385
17.386637,1.8763183e-06,5.9130916e-14,-0.6550386,1.7063068,-0.90080714,11.100544,0.3131313,18,6.2994556,17.297077,-0.9296826,,113.3902,360,17.386637,,19.174461,6.6359706,0.14999999,94.66083,0.40882516,5.8230023,14.322489500045776
17.386637,1.6840087e-06,4.7575052e-14,-0.70931727,1.002465,-0.6745945,10.915405,-0.7979798,19,6.4845943,7.5829196,-0.8906746,,123.207306,380,17.386637,,19.174461,5.179619,0.14999999,94.27963,-0.9705355,2.0390442e-10,15.066529512405396
17.386637,1.5198176e-06,1.6465596e-37,-0.6139858,1.5163984,-0.7258878,11.23086,1.0,20,6.16914,17.22448,-0.8796665,,123.38281,400,17.386637,,19.174461,15.286232,0.14999999,93.557014,1.1325032,1.4901993e-05,15.80423641204834
17.386637,1.3785193e-06,1.7659521e-10,-1.618237,1.1315286,-0.7746772,10.696056,0.07070707,21,6.7039433,,-0.9041708,,140.7828,420,17.386637,,19.174461,6.8336263,0.14999999,88.04272,0.15129085,3.0406399,16.550371170043945
17.386637,1.2560477e-06,8.422512e-13,-0.6740261,1.3693178,-0.68597394,10.614248,-1.0,22,6.7857513,8.896257,-0.89180547,,149.28653,440,17.386637,,19.174461,6.6243615,0.14999999,85.388565,-0.8691474,7.429955e-15,17.293113470077515
17.386637,1.1492007e-06,0.5127701,-0.5392209,0.83220285,-0.7304257,10.905415,-0.5555556,23,6.494585,17.311096,-0.86593735,,149.37544,460,17.386637,,19.174461,6.2785053,0.14999999,84.4643,-0.5723974,4.2256593e-06,18.055364847183228
17.395485,1.055429e-06,4.020758e-14,-0.64605796,0.50325936,-0.77298516,11.175835,0.6363636,24,6.224165,17.395485,-0.8659337,,149.37994,480,17.395485,,19.183847,5.2295814,0.14999999,83.4568,0.49843743,0.17712027,18.80178427696228
17.395485,9.726833e-07,5.5111523,-0.88649935,1.3850353,-0.80645424,11.002508,0.41414142,25,6.3974915,6.8426943,-0.88703644,,159.93729,500,17.395485,,19.183847,6.389244,0.14999999,80.790596,0.8154567,3.048778,19.56573796272278
17.395485,8.993004e-07,1.2788421e-25,-1.0092614,1.0544444,-0.7306057,10.696655,-0.8181818,26,6.7033443,3.0503354,-0.88058245,,174.28696,520,17.395485,,19.183847,4.7599306,0.14999999,80.291695,-0.84234977,8.411234e-11,20.304126977920532
17.395485,8.3391916e-07,0.021963302,-0.513204,0.40982354,-0.768346,10.942468,-0.35353535,27,6.457532,17.333576,-0.86659133,,174.35336,540,17.395485,,19.183847,5.6683598,0.14999999,80.13883,-0.25386015,0.002252602,21.068411588668823
17.395485,7.754171e-07,4.8207464,-0.9284755,0.48499984,-0.8046302,11.160639,-0.13131313,28,6.239361,17.051273,-0.89015156,,174.70209,560,17.395485,,19.183847,4.8207464,0.14999999,80.14513,0.008367047,0.27538383,22.005411624908447
17.395485,7.2286224e-07,3.468289,-0.85844135,1.4238383,-0.8299345,11.092274,0.17171717,29,6.307726,9.178022,-0.9070913,,182.92404,580,17.395485,,19.183847,6.2332516,0.14999999,76.889595,0.061657824,5.489995,23.613504648208618
17.395485,6.754746e-07,1.679128e-05,-0.74557966,0.9444462,-0.6904626,11.025227,0.8181818,30,6.374773,9.080866,-0.89047414,,191.2432,600,17.395485,,19.183847,8.417817,0.14999999,76.99654,0.62326354,0.0031929016,25.196202993392944
17.395485,6.325984e-07,1.022918e-15,-0.904885,0.93009955,-0.72314596,10.849183,-0.65656567,31,6.5508165,5.567883,-0.8950356,,203.07529,620,17.395485,,19.183847,5.534906,0.14999999,75.2477,-0.7668719,9.379183e-08,26.857037782669067
17.395485,5.936788e-07,1.4394664,-0.59384,1.2143801,-0.7548947,11.05268,-1.0,32,6.3473196,17.361084,-0.88901407,,203.11423,640,17.395485,,19.183847,7.0222163,0.14999999,75.08382,-1.1015627,7.960088e-15,28.40134286880493
17.395485,5.582434e-07,,-1.0360019,1.3342218,-0.78566635,11.239043,1.0,33,6.1609564,17.202686,-0.88923126,,203.31158,660,17.395485,,19.183847,13.325693,0.14999999,71.41618,0.5585568,1.5819987e-05,29.783401012420654
17.395485,5.258885e-07,6.788846,-0.9789666,1.1730791,-0.8155188,11.092723,0.5151515,34,6.3072767,6.2641315,-0.88672626,,214.44739,680,17.395485,,19.183847,6.927151,0.14999999,71.34279,0.28911847,1.1248106,31.408803939819336
17.395485,4.9626703e-07,3.188192e-12,-0.8005102,1.1123619,-0.81195915,11.014175,-0.83838385,35,6.385824,8.3436,-0.881241,,223.50385,700,17.395485,,19.183847,4.9129,0.14999999,71.40736,-1.0809621,3.4948332e-11,32.826651096343994
17.395485,4.6907957e-07,5.981034e-11,-0.96516544,1.0009983,-0.84013003,11.186079,-0.01010101,36,6.2139206,17.20268,-0.8815493,,223.70111,720,17.395485,,19.183847,6.9008613,0.14999999,71.390175,-0.00898085,1.5258346,33.59181094169617
17.395485,4.4406656e-07,2.0085282e-09,-0.8208203,1.2999749,-0.82601833,11.156411,-1.0,37,6.2435884,10.08836,-0.881199,,231.01279,740,17.395485,,19.183847,6.3712387,0.14999999,70.544464,-1.112786,8.546869e-15,34.352211475372314
17.395485,4.2100217e-07,0.00014575994,-1.0350342,0.55462146,-0.8526865,11.315417,-0.41414142,38,6.0845823,17.198639,-0.8791739,,231.21417,760,17.395485,,19.183847,6.8383136,0.14999999,70.334335,-0.5003302,0.00045596447,35.11883187294006
17.395485,3.996891e-07,1.9551348e-05,-0.77471584,1.4296039,-0.87865,11.46947,0.25252524,39,5.9305296,17.32348,-0.8883488,,231.29065,780,17.395485,,19.183847,6.40848,0.14999999,68.95371,0.09713331,6.382931,35.89291834831238
17.395485,3.799544e-07,0.00013501036,-0.7867229,0.84350765,-0.7523934,11.408201,-0.5959596,40,5.9917984,9.018752,-0.8767681,,239.67194,800,17.395485,,19.183847,5.62875,0.14999999,67.36767,-0.7543773,9.97334e-07,36.65739440917969
17.395485,3.6164613e-07,1.2368492,-0.5750635,1.3077906,-0.777086,11.554226,-1.0,41,5.8457737,17.395203,-0.87391865,,239.6767,820,17.395485,,19.185326,6.086024,0.14999999,67.32666,-0.97921765,8.1386974e-15,37.425745725631714
17.395485,3.4462983e-07,9.420609e-06,-0.5255851,0.48392332,-0.8011836,11.689198,-0.21212122,42,5.710802,17.222994,-0.85974365,,239.8537,840,17.395485,,19.185326,6.9286337,0.14999999,67.26692,-0.18427712,0.062439024,38.21056866645813
17.395485,3.2878697e-07,9.213805e-08,-0.8798418,0.74003345,-0.82322854,11.807464,0.7171717,43,5.592536,16.774672,-0.8723666,,240.47906,860,17.395485,,19.185326,6.713101,0.14999999,65.86184,0.859898,0.038872704,38.990190267562866
17.395485,3.140119e-07,3.6219167e-06,-1.051466,1.2738334,-0.84531444,11.593032,0.05050505,44,5.8069677,2.3724494,-0.88293225,,255.50656,880,17.395485,,19.185326,6.4073696,0.14999999,65.624245,-0.19867107,2.776437,39.762455463409424
17.395485,3.0021093e-07,0.0037436823,-0.8866799,0.9973277,-0.80659735,11.706327,-0.7777778,45,5.693672,16.691322,-0.87818724,,256.21527,900,17.395485,,19.185326,4.9758863,0.14999999,64.709305,-0.68067634,5.858197e-10,40.52886438369751
17.395485,2.8730017e-07,0.03743518,-0.61542845,0.70129246,-0.8285762,11.829762,-0.21212122,46,5.570237,17.384304,-0.8730891,,256.2309,920,17.395485,,19.185326,6.571466,0.14999999,64.40664,-0.16672486,0.06417302,41.3048996925354
17.395485,2.7520463e-07,1.1689376e-06,-0.7923498,1.2369651,-0.84868836,11.929485,-1.0,47,5.4705143,16.516716,-0.87817353,,257.1142,940,17.395485,,19.185326,5.9900837,0.14999999,63.23697,-0.9469154,8.742846e-15,42.07502484321594
17.395485,2.6385726e-07,0.019713622,-0.482666,0.68199605,-0.86974174,12.040314,-0.45454547,48,5.359686,17.249283,-0.8660104,,257.2649,960,17.395485,,19.185326,6.083289,0.14999999,63.010796,-0.39822206,0.00013804724,42.85315775871277
17.395485,2.531974e-07,2.413163e-06,-0.7524587,1.0782384,-0.89035815,12.148819,0.41414142,49,5.2511806,17.357096,-0.8704992,,257.30786,980,17.395485,,19.185326,7.221935,0.14999999,63.07384,0.17888397,3.315621,43.66108417510986
17.395485,2.4317083e-07,1.916881e-06,-0.8399321,1.0809009,-0.84508616,12.082109,1.0,50,5.31789,8.813309,-0.86913496,,265.89453,1000,17.395485,,19.185326,14.253268,0.14999999,62.58825,0.9144257,1.6788494e-05,45.16391348838806
17.395485,2.3372819e-07,3.488091e-09,-1.1142772,1.0105063,-0.8648885,11.874452,-0.07070707,51,5.525548,1.4915761,-0.8741359,,281.80292,1020,17.395485,,19.185326,5.769383,0.14999999,62.1252,-0.03478929,0.73389363,46.459808349609375
17.395485,2.248251e-07,0.0006028278,-0.7665238,0.916139,-0.870019,11.8955555,-0.67676765,52,5.504444,12.971884,-0.87242085,,286.23108,1040,17.395485,,19.185326,5.3426747,0.14999999,61.848534,-0.58859956,4.8106536e-08,47.753525495529175
17.395485,2.1642118e-07,1.3720061e-05,-0.6714249,1.3248123,-0.88906723,11.998546,0.17171717,53,5.401454,17.353998,-0.8706242,,286.27704,1060,17.395485,,19.185326,6.3271284,0.14999999,61.418,0.030081764,5.8244243,48.6694712638855
17.395485,2.0847979e-07,0.29962373,-0.7514921,0.7054795,-0.80349416,11.945642,-0.33333334,54,5.454357,9.1417885,-0.86325645,,294.53528,1080,17.395485,,19.185326,5.4929624,0.14999999,60.632195,-0.12342799,0.0039414363,49.5894660949707
