IWMax,DenMISEMeanLog,IWMean,ReturnStepMax,Bound,TimeElapsed,IWMin,LQGmu1_actor,Regret/t,DenMISELogLast,DenMISELogFirst,LQGsigma_higher,Delta,ReturnLastEpisode,TimestepsSoFar,Regret,ReturnMean,ReturnAbsMax,ReturnMin,LQGmu1_higher,Iteration,ReturnMax,IWLastEpisode,IWFirstEpisode
3.6907816e-10,0.729777,3.6907816e-10,10.09182,20792543000000.0,0.08229398727416992,,0.92394245,8.216569,0.729777,0.729777,0.14999999,0.0006079271,9.183431,20,8.216569,9.183431,9.183431,,1.0,1,9.183431,3.6907816e-10,3.6907816e-10
4.436708e-10,0.09655702,2.218354e-10,10.09182,3124445400.0,1.2588324546813965,,-0.97138184,12.142141,0.15648425,0.036629792,0.14999999,0.00015198177,1.3322871,40,24.284283,5.2578588,9.183431,,-1.0,2,9.183431,4.2972785e-36,4.436708e-10
0.043744743,-0.252149,0.023081051,19.01633,54153.17,2.2790403366088867,,0.52720255,8.152457,-0.13863076,-0.3688353,0.14999999,6.754746e-05,17.226908,60,24.45737,9.247542,17.226908,,0.45454547,3,17.226908,7.277312e-20,0.043744743
0.087336786,-0.5285009,0.02298543,19.01633,6043.468,3.2742130756378174,,-0.6932527,8.820822,-0.5174505,-0.6420411,0.14999999,3.7995444e-05,6.574083,80,35.283287,8.579178,17.226908,,-0.5555556,4,17.226908,2.163012e-11,0.004604933
3.420999,-0.7726754,0.7514845,19.164606,391.5353,4.0127904415130615,,0.2877434,7.061512,-0.8795488,-0.86403406,0.14999999,2.4317082e-05,17.375729,100,35.307564,10.338488,17.375729,,0.17171717,5,17.375729,3.856501e-07,3.420999
2.812352,-0.78796124,0.9174018,19.164606,370.8056,5.052389144897461,,0.80189973,7.392791,-0.53919125,-0.52506506,0.14999999,1.6886865e-05,8.3508215,120,44.35674,10.007209,17.375729,,0.7171717,6,17.375729,0.07572864,5.8609563e-05
7.6555886,-0.79563564,1.5269479,19.164606,242.7072,6.0694580078125,,-0.843213,8.35811,-0.67561823,-0.67920595,0.14999999,1.2406674e-05,3.249968,140,58.50677,9.041889,17.375729,,-0.7777778,7,17.375729,4.3185693e-24,6.240892e-06
0.46589634,-0.75092185,0.09475389,19.164606,231.78116,7.037744760513306,,-0.16453366,7.3234835,-0.6020911,-0.81273645,0.14999999,9.498861e-06,17.318903,160,58.587868,10.076516,17.375729,,-0.33333334,8,17.375729,0.015040595,0.46589634
6.6580725,-0.8481212,1.0914663,19.164606,123.68418,8.07483196258545,,0.15815462,6.6055336,-0.77599317,-0.87391514,0.14999999,7.505273e-06,16.538065,180,59.4498,10.794466,17.375729,,0.3131313,9,17.375729,0.036292914,0.7804804
6.4293365,-0.83605516,1.3745592,19.164606,124.57915,9.244991064071655,,0.06772606,6.797288,-0.6528085,-0.8961116,0.14999999,6.0792704e-06,8.87692,200,67.972885,10.602712,17.375729,,0.030303031,10,17.375729,3.5528312,6.4293365
6.4800234,-0.7846355,1.4391872,19.164606,123.133286,10.07996916770935,,-1.1586511,6.937271,-0.4575057,-0.49493837,0.14999999,5.0241906e-06,9.062892,220,76.30998,10.4627285,17.375729,,-0.8787879,11,17.375729,9.490715e-09,1.2278765e-07
8.567512,-0.84780866,1.4561272,19.164606,121.27461,10.87750768661499,,0.85806376,6.37589,-1.7460806,-0.5819497,0.14999999,4.221716e-06,17.199318,240,76.510666,11.02411,17.375729,,0.85858583,12,17.375729,,4.5470946e-07
6.640908,-0.8284635,0.8279668,19.164606,111.72321,11.877067804336548,,0.74486375,7.039195,-0.74924827,-0.66199243,0.14999999,3.5972016e-06,2.401139,260,91.50954,10.360805,17.375729,,0.57575756,13,17.375729,0.95732695,0.0037702962
6.3397384,-0.83549947,0.6347629,19.164606,109.95513,12.850374698638916,,-0.30754137,7.4897385,-0.6793144,-0.7358104,0.14999999,3.1016684e-06,4.053191,280,104.85634,9.910261,17.375729,,-0.23232323,14,17.375729,3.1927547e-09,1.5757076
6.451196,-0.8592837,0.654117,19.164606,108.47293,13.849922180175781,,-0.6988381,7.0066624,-0.7745358,-0.69814813,0.14999999,2.7018984e-06,17.156403,300,105.099945,10.393337,17.375729,,-0.6363636,15,17.375729,0.52202487,0.0005611856
11.584306,-0.87183404,1.417684,19.17619,108.10336,14.830991506576538,,-1.0659609,6.5695496,-0.6626395,-0.76264924,0.14999999,2.3747152e-06,17.387148,320,105.11279,10.83045,17.387148,,-1.0,16,17.387148,0.6874947,9.866971e-10
