IWLastEpisode,DenMISELogFirst,ReturnMin,Iteration,ReturnMax,DenMISEMeanLog,IWFirstEpisode,IWMean,LQGsigma_higher,IWMin,LQGmu1_actor,IWMax,ReturnMean,TimestepsSoFar,ReturnStepMax,ReturnLastEpisode,Regret,Delta,LQGmu1_higher,Bound,ReturnAbsMax,Regret/t,DenMISELogLast,TimeElapsed
4.8997996e-13,0.9584845,,1,16.491125,0.9584845,4.8997996e-13,4.8997996e-13,0.14999999,,0.6842046,4.8997996e-13,16.491125,20,18.239576,16.491125,0.9088745,0.0006079271,1.0,37338164000000.0,16.491125,0.9088745,0.9584845,0.04328203201293945
7.727181e-27,0.2653373,,2,16.491125,-0.8328841,1.0021178e-07,5.010589e-08,0.14999999,,-1.1255486,1.0021178e-07,10.666781,40,18.239576,4.842438,13.466436,0.00015198177,-1.0,5610716000.0,16.491125,6.733218,-1.9311055,1.65415620803833
3.4169995e-24,-0.14012778,,3,17.197039,-0.9824686,0.0015508484,2.8412616,0.14999999,,0.32442257,8.522234,12.8435335,60,18.986492,17.197039,13.669395,6.754746e-05,0.45454547,54072.895,17.197039,4.556466,-0.4707075,2.8523969650268555
1.908482e-07,-0.42729303,,4,17.197039,-0.8055842,0.07256793,0.01918098,0.14999999,,-0.6770729,0.07256793,11.669248,80,18.986492,8.146388,22.923008,3.7995444e-05,-0.5555556,6032.9204,17.197039,5.730752,-0.7580675,3.6900503635406494
6.799386e-07,-0.6324572,,5,17.390202,-0.98526585,0.66413814,0.9849458,0.14999999,,0.2749876,4.2257366,12.8134365,100,19.178522,17.390202,22.932816,2.4317082e-05,0.17171717,394.23935,17.390202,4.586563,-0.8304363,4.15144681930542
0.05889545,-0.6900619,,6,17.390202,-0.938097,6.3346545e-07,2.3496974,0.14999999,,1.0677533,13.889519,12.080562,120,19.178522,8.416176,31.916626,1.6886865e-05,0.7171717,378.8393,17.390202,5.319438,-0.5348676,5.10197639465332
8.1984776e-19,-0.8442125,,7,17.390202,-0.9029254,2.463457,0.4405178,0.14999999,,-0.36230904,2.463457,10.354767,140,19.178522,,49.316628,1.2406674e-05,-0.33333334,235.55435,17.390202,7.045233,-0.9998486,6.100255489349365
0.1055213,-0.67621624,,8,17.390202,-0.9347013,0.00046337527,1.0048076,0.14999999,,-0.77588636,7.1606355,11.225384,160,19.178522,17.319702,49.396927,9.498861e-06,-0.7777778,236.34166,17.390202,6.174616,-0.60884935,7.090246677398682
1.9193475e-11,-0.7939414,,9,17.390202,-0.93059665,0.07524085,1.515506,0.14999999,,0.23037025,6.733411,11.905431,180,19.178522,17.34581,49.45111,7.505273e-06,0.3131313,127.537704,17.390202,5.494569,-0.7000233,8.02959394454956
1.5415008,-0.89097655,,10,17.390202,-0.8711001,4.1970963,0.74066246,0.14999999,,-0.07939949,4.1970963,11.577035,200,19.178522,8.621465,58.229652,6.0792704e-06,0.01010101,119.75207,17.390202,5.8229647,-0.53276503,9.159421920776367
1.5087554e-08,-0.6358344,,11,17.390202,-0.8702545,1.8766337e-09,0.7437214,0.14999999,,1.0448724,4.2963533,11.8858,220,19.178522,14.973472,60.65619,5.0241906e-06,0.85858583,118.72632,17.390202,5.5141993,-0.56390166,10.494133234024048
4.1557638e-29,-0.72284573,,12,17.390202,-0.91594964,0.0043042204,1.1756998,0.14999999,,-0.7520927,7.038221,10.895317,240,19.178522,,78.05618,4.221716e-06,-0.6969697,118.87567,17.390202,6.5046825,-1.0938786,11.074262142181396
1.266428,-0.8025299,,13,17.390202,-0.8943841,2.9153293e-07,1.1542224,0.14999999,,-0.9121424,11.590817,11.393977,260,19.178522,17.377884,78.07829,3.5972016e-06,-1.0,118.610825,17.390202,6.0060225,-0.6237529,11.537396430969238
0.00031938378,-0.8766378,,14,17.390202,-0.8817531,4.572071,0.9850035,0.14999999,,-0.27737692,5.993994,11.814153,280,19.178522,17.276438,78.20186,3.1016684e-06,-0.25252524,116.40716,17.390202,5.585847,-0.6414767,12.355829954147339
5.082602e-07,-0.66302913,,15,17.390202,-0.8777192,8.105462e-05,0.58402365,0.14999999,,0.24015602,5.9124994,12.170359,300,19.178522,17.157236,78.444626,2.7018984e-06,0.57575756,111.8069,17.390202,5.229641,-0.7037384,12.89251446723938
0.00013390566,-0.72756225,,16,17.390202,-0.90289545,0.5282374,0.7570401,0.14999999,,-0.5211074,5.1897774,11.945932,320,19.178522,8.579543,87.265076,2.3747152e-06,-0.45454547,105.27221,17.390202,5.454067,-0.828114,13.87535285949707
0.54905903,-0.7557053,,17,17.418518,-0.90500957,8.071552e-05,1.2275887,0.14999999,,-0.9233006,5.416568,12.267849,340,19.206366,17.418518,87.24655,2.103554e-06,-0.83838385,100.762634,17.418518,5.1321507,-0.65925545,14.868506908416748
4.9517005e-12,-0.812859,,18,17.418518,-0.8829365,0.6013186,1.4102144,0.14999999,,0.20240651,6.6390324,12.545683,360,19.206366,17.268854,87.377686,1.8763183e-06,0.1919192,94.96883,17.418518,4.8543167,-0.62864596,15.856009006500244
3.8144788e-06,-0.8340655,,19,17.418518,-0.8588773,2.942208e-12,1.3379433,0.14999999,,1.1748141,12.697514,12.344945,380,19.206366,8.73165,96.04605,1.6840087e-06,1.0,92.68107,17.418518,5.0550547,-0.6819006,16.893455743789673
1.8599819e-16,-0.88535875,,20,17.418518,-0.90735435,6.379146,0.9880924,0.14999999,,-0.13287672,6.379146,11.727697,400,19.206366,,113.446045,1.5198176e-06,-0.15151516,92.64066,17.418518,5.6723022,-1.8932303,17.83792734146118
2.839408e-07,-0.65730745,,21,17.418518,-0.89970434,2.5212634e-07,1.0770499,0.14999999,,-1.0216265,8.940857,11.948905,420,19.206366,16.373066,114.47299,1.3785193e-06,-1.0,90.14902,17.418518,5.4510946,-0.65626824,18.976297855377197
0.10286302,-0.70382744,,22,17.418518,-0.8951307,0.04295642,0.89899355,0.14999999,,-0.6920457,5.602543,12.187524,440,19.206366,17.198511,114.67447,1.2560477e-06,-0.5959596,89.05069,17.418518,5.212476,-0.7739571,20.142607927322388
2.044125e-11,-0.74632853,,23,17.418518,-0.88946664,0.012645434,0.96666247,0.14999999,,0.50511503,6.1247745,12.413919,460,19.206366,17.394625,114.67984,1.1492007e-06,0.3939394,85.42515,17.418518,4.98608,-0.61643547,21.11524486541748
2.8768115,-0.7883385,,24,17.418518,-0.89359283,1.4815702e-06,0.527333,0.14999999,,0.6952596,7.995315,12.179242,480,19.206366,6.781681,125.29816,1.055429e-06,0.6969697,83.64349,17.418518,5.2207575,-0.89646155,22.254706144332886
1.9004572e-21,-0.82916045,,25,17.418518,-0.91245985,0.0002990435,1.2219892,0.14999999,,-0.7642973,5.246862,11.880218,500,19.206366,4.7035923,137.99457,9.726833e-07,-0.7979798,83.73023,17.418518,5.519782,-0.859942,22.84256100654602
3.6881045e-06,-0.86836916,,26,17.418518,-0.8923484,3.5863276,0.91197366,0.14999999,,-0.010433145,4.96685,12.091813,520,19.206366,17.38171,138.01285,8.993004e-07,0.030303031,83.778915,17.418518,5.3081865,-0.54230607,23.30835509300232
