Delta,IWMean,Regret,ReturnMean,ReturnMax,LQGmu1_higher,DenMISELogLast,Bound,ReturnMin,IWMax,Regret/t,TimestepsSoFar,IWMin,DenMISEMeanLog,TimeElapsed,ReturnAbsMax,DenMISELogFirst,ReturnLastEpisode,ReturnStepMax,IWLastEpisode,IWFirstEpisode,LQGsigma_higher,LQGmu1_actor,Iteration
0.0006079271,3.5180392e-08,8.384479,9.015521,9.015521,1.0,0.09866119,20412373000000.0,,3.5180392e-08,8.384479,20,,0.09866119,0.12220096588134766,9.015521,0.09866119,9.015521,9.902102,3.5180392e-08,3.5180392e-08,0.14999999,1.0413674,1
0.00015198177,5.3296655e-12,25.784477,4.5077605,9.015521,-1.0,0.24700627,3067318300.0,,1.0659331e-11,12.892239,40,,-0.17373984,1.8046157360076904,9.015521,-0.59448594,,9.902102,,1.0659331e-11,0.14999999,-1.1771154,2
6.754746e-05,0.1455623,25.983932,8.738688,17.200542,0.45454547,-0.81753933,54071.453,,0.43520707,8.661311,60,,-0.65864974,2.934922933578491,17.200542,-0.99995106,17.200542,18.990433,1.2186423e-25,0.43520707,0.14999999,0.45539093,3
3.7995444e-05,0.00052967283,36.16741,8.358147,17.200542,-0.5555556,-0.40570456,6033.84,,0.0015006502,9.041853,80,,-0.77718544,4.272966623306274,17.200542,-1.1521682,7.2165217,18.990433,5.464848e-10,0.0006180408,0.14999999,-0.78139174,4
2.4317082e-05,2.0373614,36.196426,10.160715,17.370989,0.17171717,-1.0351068,402.77243,,9.352547,7.2392845,100,,-1.0071787,6.027167320251465,17.370989,-1.3751572,17.370989,19.160831,1.280093e-08,9.352547,0.14999999,0.20983322,5
1.6886865e-05,0.28947997,44.892647,9.9178915,17.370989,0.7171717,-0.51276165,368.30563,,1.118704,7.482108,120,,-0.87524396,6.808218955993652,17.370989,-0.5029893,8.703775,19.160831,0.014568581,0.00090072805,0.14999999,0.7257843,6
1.2406674e-05,1.5551602,57.983986,9.116572,17.370989,-0.7777778,-0.6438521,243.18564,,10.480018,8.283427,140,,-0.9358512,7.811124086380005,17.370989,-0.6569899,4.30866,19.160831,7.6994834e-22,1.958899e-07,0.14999999,-0.80140007,7
9.498861e-06,0.024115954,58.043297,10.1445875,17.370989,-0.33333334,-0.591452,230.86371,,0.092198625,7.255412,160,,-0.88819844,8.559182405471802,17.370989,-0.7905212,17.340687,19.160831,0.036921732,0.092198625,0.14999999,-0.19373314,8
7.505273e-06,1.3214765,58.790504,10.867721,17.370989,0.3131313,-0.76308846,125.75406,,5.237331,6.532279,180,,-0.97632504,9.30776596069336,17.370989,-0.89684534,16.65279,19.160831,0.01891355,2.352664,0.14999999,0.48410606,9
6.0792704e-06,1.3995991,69.21962,10.478038,17.370989,-1.0,-0.6722711,120.539734,,9.448115,6.921962,200,,-0.9319998,10.042658805847168,17.370989,-0.76997805,6.9708986,19.160831,2.8826689e-21,1.2704128e-11,0.14999999,-1.2933096,10
5.0241906e-06,0.9667395,69.429504,11.088226,17.370989,0.030303031,-2.6291687,121.171364,,5.6903415,6.3117733,220,,-1.0752385,10.794866800308228,17.370989,-0.8652882,17.190102,19.160831,4.556172e-16,5.6903415,0.14999999,-0.117998645,11
4.221716e-06,0.96614337,70.60779,11.516017,17.370989,0.85858583,-0.74173915,120.04186,,5.7706814,5.8839827,240,,-1.0584725,11.552638530731201,17.370989,-0.5353647,16.221708,19.160831,3.4884768e-09,1.2250531e-05,0.14999999,0.7811746,12
3.5972016e-06,0.89383805,84.45912,10.903144,17.370989,-0.23232323,-0.78265935,114.59755,,6.588919,6.4968557,260,,-1.0496488,13.125548839569092,17.370989,-0.6154064,3.5486865,19.160831,7.102968e-10,0.42954755,0.14999999,-0.31712312,13
3.1016684e-06,1.2637922,84.769745,11.345017,17.370989,0.57575756,-0.71989787,115.21015,,5.883788,6.054982,280,,-1.041547,13.942663192749023,17.370989,-0.6570064,17.089367,19.160831,1.10497346e-07,0.032808177,0.14999999,0.4786195,14
2.7018984e-06,0.8821145,95.15076,11.056616,17.370989,-0.7171717,-0.69928056,113.66759,,6.7553673,6.343384,300,,-1.0101336,14.696724891662598,17.370989,-0.72365856,7.01899,19.160831,8.4801185e-14,2.0470075e-06,0.14999999,-0.7341518,15
2.3747152e-06,0.47455746,95.177216,11.451424,17.37353,-0.45454547,-0.73236084,102.9171,,4.0587287,5.948576,320,,-1.0071893,15.448534727096558,17.37353,-0.7881969,17.37353,19.162615,0.9735711,0.006464732,0.14999999,-0.21748263,16
2.103554e-06,1.2959214,95.6091,11.775934,17.37353,-1.0,-0.7121955,97.371544,,8.404632,5.6240654,340,,-1.0209395,16.20594596862793,17.37353,-0.8484176,16.968111,19.162615,6.675722e-06,1.3740761e-11,0.14999999,-1.3555158,17
1.8763183e-06,1.2060038,95.818756,12.076735,17.37353,-0.15151516,-3.6183155,94.892944,,5.895379,5.323265,360,,-1.1582322,16.957642078399658,17.37353,-0.905576,17.190344,19.162615,1.0138795e-12,1.6319419,0.14999999,-0.26443955,18
1.6840087e-06,0.8271794,96.195175,12.337096,17.37353,1.0,-0.5919129,93.03249,,11.846804,5.0629034,380,,-1.12334,17.732858896255493,17.37353,-0.87285703,17.0236,19.162615,1.785701e-15,9.294486e-08,0.14999999,1.2597435,19
1.5198176e-06,0.9086639,113.59517,11.720242,17.37353,-0.7979798,-2.7597902,89.07612,,5.8855267,5.679758,400,,-1.2199924,18.482959508895874,17.37353,-0.92415035,,19.162615,,1.1540708e-07,0.14999999,-0.65491986,20
1.3785193e-06,1.0316371,113.612,11.989904,17.383173,0.3131313,-0.7269782,89.00659,,6.0194426,5.410095,420,,-1.2047278,19.036702632904053,17.383173,-0.9729405,17.383173,19.17131,4.9702353e-09,2.538678,0.14999999,0.37054375,21
1.2560477e-06,1.0640506,123.15741,11.801935,17.383173,0.6363636,-0.8093606,85.85889,,6.3551226,5.5980644,440,,-1.1886395,19.486268997192383,17.383173,-0.90533805,7.85456,19.17131,1.2427356,0.010729928,0.14999999,0.61284155,22
1.1492007e-06,1.0267034,134.87225,11.535988,17.383173,-0.3131313,-0.7876063,86.07419,,6.053705,5.864012,460,,-1.1714985,20.025119304656982,17.383173,-0.9493022,5.6851754,19.17131,3.103605e-08,0.15787202,0.14999999,-0.18300435,23
1.055429e-06,0.7851677,135.49588,11.754337,17.383173,0.07070707,-0.64151055,86.29594,,6.997027,5.6456623,480,,-1.1512738,20.57666540145874,17.383173,-0.98502123,16.77636,19.17131,1.208354,6.997027,0.14999999,-0.03331364,24
9.726833e-07,0.6622988,140.37112,11.785155,17.383173,-0.5959596,-0.70948803,85.44147,,5.947132,5.6148443,500,,-1.1437488,21.02941346168518,17.383173,-0.77000576,12.524767,19.17131,0.0047613126,0.00012556333,0.14999999,-0.7464784,25
