LQGsigma_higher,DenMISELogFirst,DenMISEMeanLog,DenMISELogLast,Regret,Iteration,LQGmu1_actor,Delta,IWMin,ReturnMean,ReturnMax,LQGmu1_higher,ReturnStepMax,TimeElapsed,ReturnMin,IWFirstEpisode,ReturnAbsMax,IWMean,Bound,Regret/t,ReturnLastEpisode,IWMax,IWLastEpisode,TimestepsSoFar
0.14999999,-0.009036538,-0.009036538,-0.009036538,0.20649719,1,0.785484,0.0006079271,,17.193502,17.193502,1.0,18.975197,0.09977364540100098,,7.033218e-17,17.193502,7.033218e-17,38928443000000.0,0.20649719,17.193502,7.033218e-17,7.033218e-17,20
0.14999999,-0.7021837,-0.71987593,-0.7375682,14.11928,2,-1.1673982,0.00015198177,,10.34036,17.193502,-1.0,18.975197,1.0195050239562988,,0.00013970527,17.193502,6.9852635e-05,5849683500.0,7.05964,3.4872174,0.00013970527,9.511249e-31,40
0.14999999,-1.107579,-0.99791926,-0.7431456,14.325901,3,0.44414005,6.754746e-05,,12.624699,17.193502,0.45454547,18.982178,1.9569997787475586,,1.7912107e-05,17.193502,0.2438607,54048.863,4.775301,17.193375,0.73156416,2.2839784e-25,60
0.14999999,-1.3952551,-1.011667,-0.40808544,24.417236,4,-0.49393725,3.7995444e-05,,11.295691,17.193502,-0.5555556,18.982178,3.053854465484619,,2.8346033,17.193502,0.7091054,6043.5547,6.104309,7.3086658,2.8346033,9.055909e-10,80
0.14999999,-1.0826945,-1.0162332,-0.67808187,24.483715,5,0.17024925,2.4317082e-05,,12.503257,17.333525,0.17171717,19.11873,4.757763624191284,,0.044495717,17.333525,0.20166919,385.43552,4.896743,17.333525,0.96098655,0.0002773275,100
0.14999999,-1.2561563,-1.0518794,-0.50373334,33.042953,6,0.7182847,1.6886865e-05,,11.89284,17.333525,0.7373737,19.11873,6.399129867553711,,2.3318172e-10,17.333525,2.2468429,374.46167,5.507159,8.840756,12.732962,0.0034636809,120
0.14999999,-1.410307,-0.9467597,-0.6472269,46.03569,7,-0.39065,1.2406674e-05,,10.823472,17.333525,-0.33333334,19.11873,7.226428985595703,,10.774444,17.333525,2.1325393,264.19522,6.5765276,4.407263,10.774444,1.0786219e-10,140
0.14999999,-0.6119869,-0.8469929,-0.61255527,46.13582,8,-0.9484555,9.498861e-06,,11.633022,17.333525,-0.7777778,19.11873,7.977330207824707,,0.03852773,17.333525,0.20056391,221.64018,5.7669773,17.299875,0.87957585,0.17557976,160
0.14999999,-0.7249655,-0.92665917,-0.81444955,46.290497,9,-0.4019787,7.505273e-06,,12.256611,17.333525,-0.41414142,19.11873,8.701803922653198,,4.3305597,17.333525,1.5908399,123.496826,5.1433887,17.245308,5.3363743,0.010550034,180
0.14999999,-0.43749148,-0.8356676,-0.34399548,46.408035,10,0.52601874,6.0792704e-06,,12.759196,17.333525,0.3131313,19.11873,9.429069995880127,,0.0007213075,17.333525,0.99793816,123.63919,4.6408033,17.282473,5.0955343,4.3537984e-05,200
