IWMin,DenMISEMeanLog,Bound,ReturnLastEpisode,Delta,LQGsigma_higher,DenMISELogLast,TimeElapsed,Iteration,ReturnMax,TimestepsSoFar,ReturnAbsMax,LQGmu1_higher,IWLastEpisode,Regret,IWMax,ReturnMean,IWFirstEpisode,DenMISELogFirst,IWMean,ReturnStepMax,LQGmu1_actor,Regret/t,ReturnMin
,0.5148256,20573543000000.0,9.086705,0.0006079271,0.14999999,0.5148256,0.044077396392822266,1,9.086705,20,9.086705,1.0,2.4445732e-09,8.313294,2.4445732e-09,9.086705,2.4445732e-09,0.5148256,2.4445732e-09,9.980288,0.912537,8.313294,
,-0.031641215,3091537000.0,1.5229924,0.00015198177,0.14999999,0.115039155,1.466989517211914,2,9.086705,40,9.086705,-1.0,1.18438216e-35,24.190302,9.446369e-11,5.3048487,9.446369e-11,-0.17832159,4.7231843e-11,9.980288,-0.5490607,12.095151,
,-1.6004466,54653.953,17.386147,6.754746e-05,0.14999999,-3.9271274,2.3344075679779053,3,17.386147,60,17.386147,0.45454547,2.5681837e-08,24.204153,0.11346507,9.331948,0.11346507,-0.58378667,0.049028266,19.173084,0.5437136,8.068051,
,-1.5472972,6880.6157,6.4130945,3.7995444e-05,0.14999999,-0.5730709,3.07535457611084,4,17.386147,80,17.386147,-0.5555556,1.0268689e-11,35.191063,179.83743,8.602234,0.0020575118,-0.8343448,44.959873,19.173084,-0.70747316,8.797766,
,-0.834918,395.10388,17.3867,2.4317082e-05,0.14999999,-0.92109907,3.673382520675659,5,17.3867,100,17.3867,0.17171717,2.3166905e-07,35.20436,5.338443,10.359128,5.338443,-1.056974,1.1221696,19.176054,-0.0848417,7.0408716,
,-0.81815815,371.70956,15.094245,1.6886865e-05,0.14999999,-0.6022318,4.147421836853027,6,17.3867,120,17.3867,0.7171717,3.0102437e-06,37.510117,3.43861,11.148313,0.0001902343,-0.5128643,1.0750494,19.176054,0.6440708,6.251687,
,-0.8002377,242.51588,5.3277955,1.2406674e-05,0.14999999,-0.627634,5.170785188674927,7,17.3867,140,17.3867,-0.7777778,1.536182e-19,49.582314,8.380554,10.316812,1.5511922e-06,-0.66698325,1.5034313,19.176054,-0.75933295,7.083188,
,-0.7591108,239.42877,17.370943,9.498861e-06,0.14999999,-0.5908304,6.156946182250977,8,17.3867,160,17.3867,-0.33333334,0.0851125,49.611374,2.132024,11.198578,0.24857612,-0.8005144,0.5405654,19.176054,-0.42124385,6.2014217,
,-0.8031781,125.32381,17.304373,7.505273e-06,0.14999999,-0.7043213,7.534750461578369,9,17.3867,180,17.3867,-0.65656567,1.5713212,49.706993,5.0305967,11.877,0.000117035095,-0.8876984,1.661532,19.176054,-0.87325543,5.523,
,-0.74525994,126.12069,17.30899,6.0792704e-06,0.14999999,-0.6431599,8.43676471710205,10,17.3867,200,17.3867,0.030303031,6.681874e-08,49.79801,7.147854,12.420198,7.147854,-0.9930459,1.222698,19.176054,0.4318761,4.979801,
,-0.7756937,122.09216,7.406481,5.0241906e-06,0.14999999,-1.0795785,9.343570470809937,11,17.3867,220,17.3867,0.33333334,6.308937,59.791534,6.308937,11.964405,0.720412,-0.54906815,0.99726427,19.176054,0.4602704,5.4355946,
,-0.7842037,120.74897,7.175843,4.221716e-06,0.14999999,-0.7623588,10.76768684387207,12,17.3867,240,17.3867,0.85858583,0.16777511,70.015686,8.774732,11.565358,1.8874164e-06,-0.57264286,1.0513129,19.176054,0.8927297,5.8346415,
,-0.7920065,116.36866,1.8485513,3.5972016e-06,0.14999999,-0.76790303,11.523123502731323,13,17.3867,260,17.3867,0.57575756,0.6147054,85.56714,6.7095876,10.817912,0.0096248835,-0.65268546,1.7110136,19.176054,0.5300924,6.5820875,
,-0.7446357,114.011246,6.546264,3.1016684e-06,0.14999999,-0.60377705,12.284260988235474,14,17.3867,280,17.3867,-0.8989899,9.485215e-20,96.42087,6.9803333,10.5127945,1.41556695e-08,-0.7260533,0.95855916,19.176054,-0.9615638,6.887205,
