Delta,IWLastEpisode,IWMax,TimestepsSoFar,DenMISELogFirst,IWFirstEpisode,IWMin,LQGsigma_higher,Regret/t,IWMean,DenMISELogLast,ReturnStepMax,Bound,ReturnLastEpisode,Regret,DenMISEMeanLog,LQGmu1_actor,Iteration,ReturnMin,ReturnMax,ReturnAbsMax,LQGmu1_higher,TimeElapsed,ReturnMean
0.0006079271,1.4843447e-12,1.4843447e-12,20,0.9770609,1.4843447e-12,,0.14999999,1.8013992,1.4843447e-12,0.9770609,17.285246,35317365000000.0,15.5986,1.8013992,0.9770609,0.99314815,1,,15.5986,15.5986,1.0,0.039732933044433594,15.5986
0.00015198177,,4.0465515e-08,40,0.28391376,4.0465515e-08,,0.14999999,9.538529,2.0232758e-08,0.283991,17.285246,5307056000.0,0.12434003,19.077059,0.2839524,-0.85330135,2,,15.5986,15.5986,-1.0,1.2361698150634766,7.86147
6.754746e-05,1.5036701e-16,0.0047631157,60,-0.121551335,0.002711657,,0.14999999,6.3864965,0.0024915908,-0.5986588,19.10612,54438.03,17.317568,19.159489,-0.28056142,0.7290187,3,,17.317568,17.317568,0.45454547,2.254456043243408,11.013503
3.7995444e-05,1.2399567e-15,0.8998436,80,-0.40832993,0.045838363,,0.14999999,8.073418,0.23642048,-1.3677015,19.10612,6078.959,4.265819,32.29367,-0.7674855,-0.63531756,4,,17.317568,17.317568,-0.5555556,2.8215222358703613,9.326582
2.4317082e-05,2.8088702e-06,0.8787228,100,-0.62007904,0.8787228,,0.14999999,6.461193,0.1783714,-0.71253735,19.175789,387.8275,17.387705,32.30597,-0.89215004,0.3422315,5,,17.387705,17.387705,0.17171717,3.2865147590637207,10.938807
1.6886865e-05,0.20414284,15.574063,120,-0.640499,1.3991246e-06,,0.14999999,6.9446125,2.813658,-0.5568872,19.175789,378.6598,8.038294,41.66767,-0.96078664,0.73637384,6,,17.387705,17.387705,0.7171717,4.63328218460083,10.455387
1.2406674e-05,3.7991382e-22,8.1212,140,-0.7946494,0.00026843793,,0.14999999,7.8428545,1.851139,-0.64760953,19.175789,248.49452,4.1676874,54.89998,-0.8364545,-0.7078321,7,,17.387705,17.387705,-0.7777778,6.314287900924683,9.557145
9.498861e-06,0.21551773,2.1575356,160,-0.9281425,2.1575356,,0.14999999,6.863455,0.3826991,-0.6037585,19.181335,237.00525,17.392344,54.90764,-0.76226944,-0.42688814,8,,17.392344,17.392344,-0.33333334,7.174947738647461,10.536545
7.505273e-06,1.3421279,5.2158146,180,-0.8071512,0.004399666,,0.14999999,6.10581,1.6030126,-0.7036253,19.181335,124.338135,17.355341,54.952286,-0.82177836,-0.6468402,9,,17.392344,17.392344,-0.67676765,7.660977840423584,11.294189
6.0792704e-06,4.7810413e-09,7.341835,200,-0.912023,0.13079384,,0.14999999,5.495015,0.7763597,-0.34199873,19.191212,122.36759,17.402142,54.950157,-0.73731315,0.31616887,10,,17.402142,17.402142,0.3131313,8.1253821849823,11.904984
5.0241906e-06,0.006827307,6.2095127,220,-0.99433863,7.188112e-09,,0.14999999,5.8323307,1.5713435,-0.5731311,19.191212,121.41478,8.194527,64.15563,-0.75517696,0.7840807,11,,17.402142,17.402142,0.85858583,8.585365772247314,11.567669
4.221716e-06,8.858152e-06,5.7792854,240,-1.08135,5.7792854,,0.14999999,6.50403,0.5797326,-0.69974923,19.191212,119.97569,3.5072715,78.048355,-0.72501945,-0.053040747,12,,17.402142,17.402142,0.01010101,9.032164812088013,10.895969
3.5972016e-06,0.21184313,6.6983323,260,-0.76826525,0.53084886,,0.14999999,6.219861,0.9438133,-0.70083696,19.191212,112.902756,14.590163,80.8582,-0.75941616,-0.53721577,13,,17.402142,17.402142,-0.43434343,9.952723026275635,11.180139
3.1016684e-06,1.8112594e-12,4.5175953,280,-0.8023504,0.0001006576,,0.14999999,5.7807875,1.0182536,-0.52007645,19.191212,112.629875,17.327185,80.931015,-0.7524644,0.7084648,14,,17.402142,17.402142,0.5959596,10.974105834960938,11.619212
2.7018984e-06,6.229754e-25,6.6196227,300,-0.8713361,5.6391495e-06,,0.14999999,6.2530785,0.7663531,-0.7067754,19.191212,109.821785,4.534824,93.79619,-0.7530819,-0.8112695,15,,17.402142,17.402142,-0.8989899,11.916401147842407,11.146921
2.3747152e-06,0.0017035874,5.306653,320,-0.9358742,5.306653,,0.14999999,5.8668385,0.72760797,-0.62410414,19.191212,106.578606,17.326761,93.869415,-0.76339304,0.15024534,16,,17.402142,17.402142,-0.21212122,13.167025327682495,11.533161
2.103554e-06,3.361829e-06,5.1469383,340,-0.7100682,0.0065986183,,0.14999999,6.021783,1.5231715,-0.88421625,19.191212,98.3638,8.899128,102.3703,-0.78921634,-0.5573363,17,,17.402142,17.402142,-0.65656567,13.938198566436768,11.378217
1.8763183e-06,1.7291568e-23,9.547285,360,-0.76683855,8.489854e-12,,0.14999999,5.688223,0.8644964,-0.5054777,19.191212,93.41054,17.382275,102.388,-0.7516681,0.78955954,18,,17.402142,17.402142,1.0,14.702161312103271,11.711777
1.6840087e-06,0.00040851405,7.1396093,380,-0.82090575,1.7090666,,0.14999999,6.1241703,0.9394364,-0.8474636,19.191212,92.51335,3.4287734,116.35925,-0.7687213,0.48505193,19,,17.402142,17.402142,0.13131313,15.461963891983032,11.275829
1.5198176e-06,3.7222344e-21,3.5009737,400,-0.7860664,1.17970046e-07,,0.14999999,6.339834,0.36146647,-0.9902867,19.191212,90.12426,6.9625525,126.79669,-0.7862868,-1.0266807,20,,17.402142,17.402142,-1.0,16.227195739746094,11.060165
1.3785193e-06,0.020620994,5.172024,420,-0.83485657,0.15151384,,0.14999999,6.0475836,1.1998463,-0.95508736,19.191212,88.82982,17.19743,126.99925,-0.82458335,-0.51752996,21,,17.402142,17.402142,-0.5151515,17.05525255203247,11.352416
1.2560477e-06,1.8694895e-08,7.0430293,440,-0.8741876,0.015218128,,0.14999999,5.7720757,1.0878161,-0.51595044,19.201422,88.98196,17.413588,126.98566,-0.8050833,0.40811643,22,,17.413588,17.413588,0.41414142,17.690464735031128,11.627924
