ReturnMax,DenMISELogFirst,IWFirstEpisode,ReturnLastEpisode,IWLastEpisode,IWMin,ReturnMin,Delta,LQGsigma_higher,Bound,ReturnStepMax,TimeElapsed,IWMax,IWMean,Regret/t,ReturnAbsMax,Regret,Iteration,LQGmu1_higher,LQGmu1_actor,DenMISELogLast,TimestepsSoFar,DenMISEMeanLog,ReturnMean
17.035273,0.53751445,2.1498459e-15,17.035273,2.1498459e-15,,,0.0006079271,0.14999999,38570186000000.0,18.810406,0.13415956497192383,2.1498459e-15,2.1498459e-15,0.36472702,17.035273,0.36472702,1,1.0,1.0053418,0.53751445,20,0.53751445,17.035273
17.035273,-0.15563273,8.511517e-06,,,,,0.00015198177,0.14999999,5795849000.0,18.810406,2.3220512866973877,8.511517e-06,4.2557585e-06,8.882363,17.035273,17.764727,2,-1.0,-1.1149865,0.28440022,40,0.064383745,8.517636
17.191114,-0.56109357,0.00010044721,17.191114,6.763627e-24,,,6.754746e-05,0.14999999,54040.508,18.980112,3.390801429748535,0.0035441548,0.0012148673,5.9912043,17.191114,17.97361,3,0.45454547,0.35210246,-0.41425094,60,-0.3654698,11.408795
17.191114,-0.8487422,0.68770933,7.9758935,5.5794658e-08,,,3.7995444e-05,0.14999999,6033.476,18.980112,4.132039785385132,0.68770933,0.17320733,6.849429,17.191114,27.397717,4,-0.5555556,-0.36561227,-0.6278566,80,-0.64652455,10.5505705
17.307184,-0.913236,0.1509967,17.307184,0.01243999,,,2.4317082e-05,0.14999999,388.6707,19.091738,4.930300951004028,3.0225348,0.6371945,5.498107,17.307184,27.490536,5,0.17171717,0.25861135,-1.0510453,100,-0.87395775,11.901893
17.307184,-1.0658053,1.072835e-08,8.495735,0.04219241,,,1.6886865e-05,0.14999999,365.96997,19.091738,5.684271812438965,0.9472759,0.20507665,6.0658007,17.307184,36.3948,6,0.7171717,0.48795044,-0.52914006,120,-0.88424706,11.334199
17.307184,-1.2199559,7.4479575,6.936875,1.5481374e-06,,,1.2406674e-05,0.14999999,270.91986,19.091738,6.495488166809082,10.381862,2.547451,6.6939898,17.307184,46.857925,7,-0.33333334,-0.4179349,-0.6324099,140,-0.9528314,10.70601
17.332159,-0.62884444,0.008228191,17.332159,0.27856097,,,9.498861e-06,0.14999999,220.86107,19.117825,7.240182876586914,0.8564983,0.15693004,5.8657207,17.332159,46.925766,8,-0.7777778,-0.60476345,-0.6211874,160,-0.82390404,11.534279
17.431667,-0.74559945,0.006125137,17.431667,3.9344222e-08,,,7.505273e-06,0.14999999,129.53462,19.220564,8.005126714706421,6.49479,1.7841715,5.210455,17.431667,46.89409,9,0.3131313,0.35633576,-0.693807,180,-0.89737964,12.189545
17.431667,-0.8502796,3.1927776,7.9485884,8.10944e-06,,,6.0792704e-06,0.14999999,127.7126,19.220564,8.737977981567383,5.977252,1.7528759,5.63455,17.431667,56.345505,10,-0.41414142,-0.2971697,-0.49122927,200,-0.8132332,11.76545
17.431667,-0.6685054,1.12222644e-11,17.140768,5.9553805e-13,,,5.0241906e-06,0.14999999,117.48937,19.220564,9.473989725112915,5.883377,0.5628362,5.1458855,17.431667,56.604736,11,0.85858583,0.8814777,-0.556305,220,-0.7463224,12.254114
17.431667,-0.75551677,1.1053972,2.0303106,5.3422815e-07,,,4.221716e-06,0.14999999,116.53259,19.220564,10.22075891494751,1.6561521,0.3742944,5.9978695,17.431667,71.97443,12,0.030303031,0.26925296,-0.67934126,240,-0.7824916,11.40213
17.431667,-0.74744195,1.5382484e-05,8.4445915,1.4297916e-15,,,3.5972016e-06,0.14999999,115.41062,19.220564,10.975664138793945,11.727499,0.9169144,6.2253723,17.431667,80.92984,13,-1.0,-0.97215885,-0.6406453,260,-0.8178497,11.174627
17.431667,-0.82154876,2.2200295e-06,17.227308,4.3462374e-23,,,3.1016684e-06,0.14999999,114.13744,19.220564,11.871717691421509,6.0114264,0.8624793,5.7930374,17.431667,81.10252,14,0.57575756,0.2851113,-0.77713025,280,-0.83677995,11.606962
17.431667,-0.89054143,6.4696302,8.36455,0.014450921,,,2.7018984e-06,0.14999999,114.30877,19.220564,13.20687460899353,6.4696302,1.2552291,6.009197,17.431667,90.13797,15,-0.23232323,-0.40961492,-0.7345668,300,-0.8430926,11.390802
17.431667,-0.5964908,0.10369171,17.248184,1.2969577,,,2.3747152e-06,0.14999999,110.50319,19.220564,14.290560722351074,6.808742,0.71662,5.643112,17.431667,90.289795,16,-0.65656567,-0.70084816,-0.6370548,320,-0.82285976,11.756887
17.431667,-0.65065557,0.0018246686,17.389011,3.7824109,,,2.103554e-06,0.14999999,95.921,19.220564,15.223042488098145,4.5158405,0.71104443,5.3118114,17.431667,90.30078,17,-0.83838385,-0.9941838,-0.77253723,340,-0.8395153,12.088188
