ReturnLastEpisode,IWMin,DenMISEMeanLog,LQGmu1_higher,Iteration,Bound,IWFirstEpisode,IWMax,ReturnAbsMax,ReturnStepMax,IWMean,Delta,ReturnMean,DenMISELogLast,IWLastEpisode,ReturnMax,TimestepsSoFar,DenMISELogFirst,LQGsigma_higher,TimeElapsed,Regret/t,LQGmu1_actor,ReturnMin,Regret
17.237595,,-0.10800837,1.0,1,39028270000000.0,4.2480324e-17,4.2480324e-17,17.237595,19.020844,4.2480324e-17,0.0006079271,17.237595,-0.10800837,4.2480324e-17,17.237595,20,-0.10800837,0.14999999,0.1516258716583252,0.16240501,1.1763701,,0.16240501
,,-0.60368764,-1.0,2,5864684500.0,0.00021104122,0.00021104122,17.237595,19.020844,0.00010552061,0.00015198177,8.618797,-0.4062197,,17.237595,40,-0.80115557,0.14999999,1.363126277923584,8.781202,-0.9220235,,17.562405
17.26725,,-0.7579164,0.45454547,3,54279.84,1.3891285e-05,5.6087472e-05,17.26725,19.057068,2.3326253e-05,6.754746e-05,11.501615,-0.2555491,1.7690397e-18,17.26725,60,-1.2065152,0.14999999,2.187925100326538,5.898385,0.42670262,,17.695152
7.4469223,,-0.8898232,-0.5555556,4,6073.2837,3.4926963,3.4926963,17.26725,19.057068,0.931059,3.7995444e-05,10.487942,-0.42252073,1.9803479e-09,17.26725,80,-1.4941926,0.14999999,2.8954193592071533,6.912058,-0.52065945,,27.648232
17.36953,,-0.88005143,0.17171717,5,386.5777,0.035833545,1.1960332,17.36953,19.156708,0.24639702,2.4317082e-05,11.86426,-0.63229626,0.00011827111,17.36953,100,-1.0897018,0.14999999,3.6359381675720215,5.53574,0.2388049,,27.678703
8.585435,,-0.9353997,0.7171717,6,367.88153,3.720552e-10,0.7533357,17.36953,19.156708,0.14859389,1.6886865e-05,11.317788,-0.52216953,0.02774033,17.36953,120,-1.2648822,0.14999999,4.381188631057739,6.0822115,0.83631,,36.493263
2.736727,,-1.0123152,-0.33333334,7,262.90503,10.955925,10.955925,17.36953,19.156708,2.025102,1.2406674e-05,10.091922,-0.69004107,3.3213325e-13,17.36953,140,-1.4190328,0.14999999,5.168572187423706,7.308078,-0.30093062,,51.15654
17.161102,,-0.91423,-0.7777778,8,233.30072,0.04754314,5.448962,17.36953,19.156708,0.8488837,9.498861e-06,10.97557,-0.613656,0.03139447,17.36953,160,-0.6105542,0.14999999,5.92190146446228,6.42443,-0.7009521,,51.39544
17.367344,,-0.91944057,0.3131313,9,124.62041,0.00071885035,5.917555,17.36953,19.156708,1.2055439,7.505273e-06,11.685767,-0.6947681,6.335962e-10,17.36953,180,-0.72241193,0.14999999,6.695122480392456,5.7142324,0.23487416,,51.428085
8.602387,,-0.88074124,-0.41414142,10,123.302895,5.020053,5.020053,17.36953,19.156708,1.5198354,6.0792704e-06,11.377429,-0.52719235,0.00038776943,17.36953,200,-0.82769257,0.14999999,7.44651985168457,6.0225706,-0.39388147,,60.225708
17.291643,,-0.81324255,0.85858583,11,118.977646,1.6537179e-13,8.2272625,17.36953,19.156708,0.96335703,5.0241906e-06,11.915085,-0.44223347,3.0034624e-15,17.36953,220,-0.5162017,0.14999999,8.17957067489624,5.484915,0.8321537,,60.33406
2.7998652,,-0.8181432,0.030303031,12,116.04506,0.31271562,2.133133,17.36953,19.156708,0.432668,4.221716e-06,11.155483,-0.6697563,3.239261e-06,17.36953,240,-0.6032131,0.14999999,8.944558382034302,6.2445164,0.22073162,,74.93419
8.661052,,-0.84579045,-0.6969697,13,115.65797,0.22222772,7.0246496,17.36953,19.156708,1.0299095,3.5972016e-06,10.963604,-0.62136084,3.688449e-08,17.36953,260,-0.6575299,0.14999999,9.684463262557983,6.4363956,-0.907663,,83.67314
17.278503,,-0.86182636,-1.0,14,117.96098,0.00019355983,6.498231,17.36953,19.156708,0.937349,3.1016684e-06,11.414668,-0.98978704,5.9209633,17.36953,280,-0.7146879,0.14999999,10.923502445220947,5.9853315,-1.0659246,,83.79463
17.196522,,-0.88482267,0.57575756,15,111.612274,1.0060399e-07,4.2152853,17.36953,19.156708,0.56052196,2.7018984e-06,11.800125,-1.0240064,7.2270506e-26,17.36953,300,-0.78366697,0.14999999,12.178107023239136,5.5998745,0.511778,,83.99812
6.719992,,-0.90535384,-0.21212122,16,109.2228,4.7709265,5.3600044,17.36953,19.156708,0.86069345,2.3747152e-06,11.482616,-0.76222616,4.993897e-05,17.36953,320,-0.84820545,0.14999999,13.154240846633911,5.917383,-0.30118108,,94.67813
