ReturnAbsMax,ReturnMin,ReturnLastEpisode,IWFirstEpisode,IWMin,DenMISELogFirst,Iteration,IWLastEpisode,TimestepsSoFar,Delta,LQGmu1_higher,IWMean,ReturnMean,Bound,IWMax,LQGsigma_higher,DenMISELogLast,DenMISEMeanLog,Regret,TimeElapsed,Regret/t,ReturnStepMax,ReturnMax,LQGmu1_actor
16.983767,,16.983767,5.256943e-15,,0.64454794,1,5.256943e-15,20,0.0006079271,1.0,5.256943e-15,16.983767,38453570000000.0,5.256943e-15,0.14999999,0.64454794,0.64454794,0.41623306,0.06609845161437988,0.41623306,18.757532,16.983767,1.0529629
16.983767,,,4.0953096e-06,,-0.048599232,2,,40,0.00015198177,-1.0,2.0476548e-06,8.491883,5778326000.0,4.0953096e-06,0.14999999,0.22269942,0.087050095,17.816233,1.1394529342651367,8.908116,18.757532,16.983767,-1.3079422
17.19895,,17.19895,0.00015765443,,-0.45406228,3,2.5872323e-29,60,6.754746e-05,0.45454547,0.00042496013,11.394238,54065.14,0.001117226,0.14999999,-2.227728,-0.9548519,18.01728,1.667445182800293,6.005761,18.988832,17.19895,0.5326546
17.19895,,6.521473,0.47487146,,-0.7416918,4,1.6916002e-11,80,3.7995444e-05,-0.5555556,0.11874617,10.176047,6035.2905,0.47487146,0.14999999,-0.5346426,-1.065455,28.89581,2.199108362197876,7.2239523,18.988832,17.19895,-0.3547159
17.243385,,17.243385,0.1972705,,-0.85265213,5,0.016407749,100,2.4317082e-05,0.17171717,0.10549247,11.589515,383.01468,0.3137839,0.14999999,-1.0703027,-1.222497,29.052425,2.7263522148132324,5.810485,19.026525,17.243385,0.16046463
17.243385,,8.870218,2.1642162e-08,,-0.996278,6,0.0044870814,120,1.6886865e-05,0.7171717,0.58869624,11.136299,367.5168,3.0066671,0.14999999,-0.50243944,-1.2372823,37.5822,3.1686720848083496,6.2637005,19.026525,17.243385,0.82580435
17.243385,,2.8957093,6.3966703,,-1.1504287,7,5.6963483e-13,140,1.2406674e-05,-0.33333334,2.4475791,9.959071,268.22577,10.713665,0.14999999,-0.6858247,-1.2205998,52.086494,3.646375894546509,7.4409285,19.026525,17.243385,-0.11192858
17.243385,,15.675309,0.0053104553,,-0.634864,8,0.00027806533,160,9.498861e-06,-0.7777778,0.028087202,10.673601,217.5229,0.12753236,0.14999999,-0.686502,-1.0730821,53.811188,4.622743129730225,6.7263985,19.026525,17.243385,-0.763327
17.371672,,17.371672,5.6280184,,-0.75198346,9,0.006250486,180,7.505273e-06,-0.21212122,1.5722919,11.417831,125.30887,5.6280184,0.14999999,-0.6984519,-1.1330531,53.839508,5.14258885383606,5.982168,19.160992,17.371672,-0.17588058
17.371672,,16.475927,0.006561932,,-0.37162974,10,0.019401567,200,6.0792704e-06,0.3131313,0.6770803,11.92364,121.42902,4.20677,0.14999999,-0.3934759,-1.0270408,54.763596,5.74712872505188,5.4763594,19.160992,17.371672,0.5090676
17.371672,,6.745184,2.2240458e-11,,-0.46628395,11,0.39830634,220,5.0241906e-06,0.85858583,1.2478904,11.452872,119.61263,8.084272,0.14999999,-0.81601834,-1.0416049,65.418396,6.796312570571899,5.9471273,19.160992,17.371672,0.9391501
17.371672,,1.0743227,1.1173227,,-0.5532953,12,6.021483e-08,240,4.221716e-06,0.030303031,0.8821146,10.587993,119.25425,4.093168,0.14999999,-0.7520967,-1.0145966,81.74407,7.795410871505737,6.812007,19.160992,17.371672,0.22156195
17.371672,,8.657708,6.7231285e-06,,-0.544311,13,1.9540559e-14,260,3.5972016e-06,-1.0,1.1553305,10.439509,117.777885,12.795649,0.14999999,-0.61583394,-0.997199,90.486374,8.430628299713135,6.96049,19.160992,17.371672,-0.9792483
17.371672,,17.22166,3.4928596e-06,,-0.61841846,14,2.6819428e-23,280,3.1016684e-06,0.57575756,1.1649857,10.923949,114.90859,7.2755055,0.14999999,-0.7831944,-0.9905015,90.6647,8.917211055755615,6.4760504,19.160992,17.371672,0.47290525
17.371672,,7.0684943,0.053957026,,-0.68741107,15,9.387983e-13,300,2.7018984e-06,-0.67676765,0.53229827,10.666919,109.27754,6.439163,0.14999999,-0.6998171,-0.97078824,100.996216,9.396191596984863,6.733081,19.160992,17.371672,-0.72167385
