Iteration,DenMISEMeanLog,IWLastEpisode,TimeElapsed,IWMin,LQGmu1_higher,ReturnMax,Regret/t,ReturnAbsMax,Regret,ReturnLastEpisode,DenMISELogFirst,IWMean,IWMax,ReturnMean,LQGmu1_actor,IWFirstEpisode,Bound,LQGsigma_higher,ReturnStepMax,Delta,DenMISELogLast,TimestepsSoFar,ReturnMin
30,-0.87450296,3.0218494e-08,25.18899178504944,,0.27272728,17.420668,5.1296387,17.420668,153.88916,17.420668,-0.7708869,1.1053605,6.697743,12.270361,-0.02536285,0.016968623,77.13069,0.14999999,19.20974,6.754746e-07,-0.56194097,600,
31,-0.87010413,3.613455,26.8584303855896,,-0.17171717,17.420668,5.097595,17.420668,158.02542,13.26369,-0.80311126,0.9240196,5.7780447,12.302404,0.3502267,5.3648653,74.157745,0.14999999,19.20974,6.325984e-07,-0.78247374,620,
32,-0.87349844,2.470452,28.490843057632446,,0.5555556,17.420668,5.232424,17.420668,167.43756,7.987888,-0.67524403,0.99673665,7.4241066,12.167576,0.58122987,4.1784765e-06,74.58007,0.14999999,19.20974,5.936788e-07,-0.8631075,640,
33,-0.8752013,2.2468691e-19,30.146716833114624,,-0.83838385,17.420668,5.4184465,17.420668,178.80875,6.028845,-0.7060156,1.2051904,4.9172006,11.981553,-0.83148617,0.0018509123,74.357254,0.14999999,19.20974,5.582434e-07,-0.866755,660,
34,-0.8601214,1.8955665e-32,31.888683795928955,,1.0,17.420668,5.260887,17.420668,178.87015,17.338554,-0.7358124,1.1666899,14.807039,12.139112,1.1073979,8.363353e-15,74.44138,0.14999999,19.20974,5.258885e-07,-0.5195477,680,
35,-0.8810663,3.7851045e-23,33.34844493865967,,-0.45454547,17.420668,5.6077185,17.420668,196.27017,,-0.7648,0.7230182,5.8600883,11.792281,-0.52906334,2.0404413,72.56275,0.14999999,19.20974,4.9626703e-07,-1.608262,700,
36,-0.8835005,3.2052763,34.12741470336914,,-0.67676765,17.420668,5.452074,17.420668,196.27466,17.395456,-0.7363086,1.185317,4.8313293,11.947926,-0.72311753,0.07895686,71.44559,0.14999999,19.20974,4.6907957e-07,-0.67142934,720,
37,-0.8690306,3.5957328e-06,35.28978896141052,,0.07070707,17.420668,5.305459,17.420668,196.302,17.372707,-0.76151675,1.0532,6.4791937,12.094541,0.14016233,0.67327553,70.608475,0.14999999,19.20974,4.4406656e-07,-0.4895573,740,
38,-0.867163,1.6871044e-12,36.091476917266846,,-1.0,17.420668,5.3888483,17.420668,204.77625,8.925788,-0.7701519,1.0228236,8.453968,12.011151,-0.6977514,1.4935813e-05,70.62831,0.14999999,19.20974,4.2100217e-07,-0.8020404,760,
39,-0.8592995,1.1599238e-21,36.8800323009491,,0.7979798,17.420668,5.2513857,17.420668,204.80402,17.37217,-0.796127,0.6845509,8.340123,12.148614,0.8828015,2.4384342e-10,70.54855,0.14999999,19.20974,3.996891e-07,-0.5317046,780,
