TimeElapsed,ReturnMax,Regret,DenMISEMeanLog,IWLastEpisode,Delta,ReturnStepMax,ReturnMin,ReturnAbsMax,TimestepsSoFar,DenMISELogFirst,Regret/t,ReturnMean,Bound,LQGmu1_higher,Iteration,IWMin,IWFirstEpisode,LQGmu1_actor,ReturnLastEpisode,IWMean,LQGsigma_higher,DenMISELogLast,IWMax
19.94681692123413,17.4226,117.57213,-0.97321063,1.980154e-14,1.3785193e-06,19.211872,,17.4226,420,-0.6396675,5.598673,11.801327,90.73483,-0.41414142,21,,0.2526364,-0.3722483,3.0879717,1.2166367,0.14999999,-0.9282575,5.5776854
20.691155433654785,17.4226,117.69104,-0.9473393,0.0007171553,1.2560477e-06,19.211872,,17.4226,440,-0.674229,5.349593,12.050406,89.35504,-1.0,22,,9.004965e-09,-0.9901991,17.281067,1.0890037,0.14999999,-0.53876245,9.550069
21.450079917907715,17.4226,117.88089,-0.9396755,2.0816262e-17,1.1492007e-06,19.211872,,17.4226,460,-0.7186808,5.1252565,12.274743,86.669556,0.35353535,23,,0.15410523,0.20038582,17.210175,0.6625585,0.14999999,-0.7359687,7.794608
22.20242166519165,17.4226,126.54181,-0.9495289,0.024495076,1.055429e-06,19.211872,,17.4226,480,-0.7545625,5.2725763,12.127423,84.35385,0.6969697,24,,2.5659745e-05,0.8437026,8.73906,0.8444206,0.14999999,-0.7924368,7.3075995
22.969897270202637,17.4226,141.31818,-0.9561537,8.0630155e-23,9.726833e-07,19.211872,,17.4226,500,-0.79538345,5.652727,11.7472725,84.14238,-0.6969697,25,,0.0004947963,-0.58199155,2.6236506,0.7677081,0.14999999,-0.8979018,5.7016
23.699573755264282,17.4226,141.33347,-0.9561917,1.0668964,8.993004e-07,19.211872,,17.4226,520,-0.83458436,5.4359026,11.964097,82.79224,-0.3131313,26,,1.2714024,-0.34640008,17.384699,1.3101176,0.14999999,-0.6929244,5.3578835
24.463260173797607,17.4226,141.55322,-0.9323901,0.656666,8.3391916e-07,19.211872,,17.4226,540,-0.82458264,5.242712,12.157288,79.42572,-0.05050505,27,,6.064836,-0.25967613,17.180254,1.0225749,0.14999999,-0.5468806,6.064836
25.22576093673706,17.4226,141.97888,-0.9196895,1.0839878,7.754171e-07,19.211872,,17.4226,560,-0.6583168,5.070675,12.329325,79.78866,-0.5151515,28,,0.039493013,-0.57257074,16.974342,1.1110183,0.14999999,-0.552858,4.9796023
25.98685574531555,17.4226,141.99365,-0.9060709,0.08276563,7.2286224e-07,19.211872,,17.4226,580,-0.6919986,4.8963337,12.503666,78.29344,-1.0,29,,9.16642e-09,-1.1373149,17.385212,1.014768,0.14999999,-0.5899828,8.739437
27.049160957336426,17.4226,142.20355,-0.9236273,2.7712896e-17,6.754746e-07,19.211872,,17.4226,600,-0.7259002,4.740118,12.659882,76.63358,0.21212122,30,,1.2346238,-0.20171851,17.190123,0.9825367,0.14999999,-1.3633671,7.0053563
28.102737426757812,17.4226,142.90164,-0.9174682,4.8137364,6.325984e-07,19.211872,,17.4226,620,-0.7183601,4.6097307,12.790269,77.8691,-0.25252524,31,,2.1357894,-0.36740774,16.701885,1.3977901,0.14999999,-0.65065485,4.91638
29.191221952438354,17.4226,143.04654,-0.89389735,1.3275853e-07,5.936788e-07,19.211872,,17.4226,640,-0.6834821,4.4702044,12.929795,75.58986,0.5151515,32,,0.0046842643,0.588566,17.255135,0.3112668,0.14999999,-0.4962143,3.3054256
29.70877480506897,17.4226,154.49585,-0.91698986,5.6163174e-10,5.582434e-07,19.211872,,17.4226,660,-0.7141074,4.681692,12.7183075,74.38284,-0.43434343,33,,0.19398347,-0.2989815,5.950711,1.3400047,0.14999999,-0.97372776,4.6989384
30.167960166931152,17.4226,154.6813,-0.8951075,1.3837857e-12,5.258885e-07,19.211872,,17.4226,680,-0.7380993,4.549451,12.850549,74.189896,0.83838385,34,,1.5069257e-07,0.8867174,17.214495,1.2953672,0.14999999,-0.46228758,8.675824
30.63173532485962,17.4226,170.13538,-0.89362675,3.0055758e-27,4.9626703e-07,19.211872,,17.4226,700,-0.7670868,4.8610106,12.538989,73.724686,-0.7979798,35,,2.0731615e-05,-0.7692348,1.9459584,0.74715966,0.14999999,-1.0236988,6.214793
31.17559003829956,17.4226,170.17523,-0.89658237,0.014517106,4.6907957e-07,19.211872,,17.4226,720,-0.7952571,4.727091,12.672909,71.50423,-0.25252524,36,,2.3065047,-0.37451404,17.360111,1.360127,0.14999999,-0.72247577,4.640087
