IWMean,IWMin,DenMISELogFirst,Bound,IWMax,ReturnMean,LQGmu1_actor,ReturnMin,DenMISEMeanLog,LQGsigma_higher,IWFirstEpisode,Delta,TimeElapsed,IWLastEpisode,ReturnLastEpisode,Regret/t,Iteration,DenMISELogLast,Regret,ReturnAbsMax,TimestepsSoFar,ReturnMax,ReturnStepMax,LQGmu1_higher
1.13324904e-13,,0.8989275,36838950000000.0,1.13324904e-13,16.270638,0.966789,,0.8989275,0.14999999,1.13324904e-13,0.0006079271,0.10067200660705566,1.13324904e-13,16.270638,1.1293621,1,0.8989275,1.1293621,16.270638,20,16.270638,18.003763,1.0
1.6601012e-07,,0.20578033,5535700500.0,3.3202025e-07,8.4326725,-0.8331039,,0.23315209,0.14999999,3.3202025e-07,0.00015198177,1.4987006187438965,9.531227e-38,0.59470695,8.967327,2,0.26052386,17.934654,16.270638,40,16.270638,18.003763,-1.0
0.0032551845,,-0.1996846,54456.836,0.00902422,11.3963,0.38888386,,-0.36134312,0.14999999,0.0007413336,6.754746e-05,2.4727587699890137,5.548857e-16,17.323553,6.0036993,3,-0.7394034,18.011097,17.323553,60,17.323553,19.113186,0.45454547
0.36852813,,-0.4871196,6083.333,1.341007,10.479162,-0.44666517,,-0.6105146,0.14999999,0.13310553,3.7995444e-05,2.9360151290893555,1.0785654e-08,7.7277503,6.9208374,4,-0.4982334,27.68335,17.323553,80,17.323553,19.113186,-0.5555556
0.4751246,,-0.67752844,389.17447,1.9184699,11.857678,-0.024629518,,-0.763991,0.14999999,0.4559332,2.4317082e-05,3.3776931762695312,0.0012158073,17.371746,5.542321,5,-0.80717707,27.711609,17.371746,100,17.371746,19.158188,0.17171717
0.32796946,,-0.77258426,367.66306,1.5351464,12.107312,0.7617759,,-0.80997324,0.14999999,2.1843951e-07,1.6886865e-05,3.815314769744873,2.2332215e-05,13.35548,5.2926874,6,-0.5405428,31.756119,17.371746,120,17.371746,19.158188,0.7171717
1.4842764,,-0.92673486,252.84563,6.2724247,10.923582,-0.35850465,,-0.87787586,0.14999999,3.4387217,1.2406674e-05,4.2636878490448,1.3690742e-11,3.8212,6.4764175,7,-0.65783745,45.334923,17.371746,140,17.371746,19.158188,-0.33333334
1.3597462,,-0.66065425,242.21255,10.338587,11.715946,-0.37422466,,-0.8195185,0.14999999,0.0010594921,9.498861e-06,4.711560249328613,0.0983157,17.2625,5.6840534,8,-0.6086908,45.472427,17.371746,160,17.371746,19.158188,-0.7777778
1.95826,,-0.7783049,130.20293,4.613261,12.338471,-0.41744924,,-0.8127012,0.14999999,4.360959,7.505273e-06,5.168828964233398,4.308577,17.31867,5.061528,9,-0.7113533,45.55375,17.371746,180,17.371746,19.158188,-0.27272728
0.8229281,,-0.48855302,122.26369,5.5369306,12.839144,0.0021370202,,-0.7124175,0.14999999,1.943171,6.0792704e-06,5.619069337844849,0.050510153,17.34519,4.560856,10,-0.49139598,45.608566,17.371746,200,17.371746,19.158188,0.030303031
0.730847,,-0.40628865,120.69182,7.2683077,12.613986,0.52741647,,-0.71415687,0.14999999,0.017992876,5.0241906e-06,6.325884580612183,0.37199953,10.362408,4.7860136,11,-0.47053415,52.64615,17.371746,220,17.371746,19.158188,0.33333334
1.2660503,,-0.49166563,120.67641,7.5255857,12.110489,1.0027623,,-0.7610058,0.14999999,4.2735737e-10,4.221716e-06,7.348671913146973,0.5693307,6.5720286,5.2895107,12,-0.89570576,63.47412,17.371746,240,17.371746,19.158188,0.85858583
1.5442367,,-0.5717083,119.500046,5.819766,11.178913,-0.4423067,,-0.77658844,0.14999999,0.5191817,3.5972016e-06,8.317202806472778,6.188222e-21,,6.2210865,13,-1.0020698,80.87413,17.371746,260,17.371746,19.158188,-0.47474748
0.91609246,,-0.60665613,112.03756,6.5357113,11.61557,0.7557048,,-0.73126507,0.14999999,1.5034161e-05,3.1016684e-06,9.276827096939087,1.7327768e-10,17.29211,5.7844296,14,-0.501182,80.98201,17.371746,280,17.371746,19.158188,0.5959596
0.57047856,,-0.6756479,110.54103,8.3465,11.101537,-0.7604852,,-0.742053,0.14999999,5.347073e-05,2.7018984e-06,10.24868106842041,9.0064324e-26,3.905079,6.298463,15,-0.7206857,94.476944,17.371746,300,17.371746,19.158188,-0.8787879
0.87913567,,-0.7401829,104.511,5.2984276,11.49181,-0.5276064,,-0.78046453,0.14999999,0.014661988,2.3747152e-06,11.17343544960022,5.2984276,17.345907,5.90819,16,-0.8449759,94.53104,17.371746,320,17.371746,19.158188,-0.67676765
1.7474943,,-0.79989153,99.75058,4.891303,11.836739,-0.3538728,,-0.7792403,0.14999999,1.4044111,2.103554e-06,12.2019362449646,3.6079464,17.355598,5.563261,17,-0.591053,94.57544,17.371746,340,17.371746,19.158188,-0.41414142
1.1570554,,-0.77767295,96.88938,5.68552,12.137241,-0.10072197,,-0.7285844,0.14999999,5.68552,1.8763183e-06,13.173928260803223,1.3915455,17.245783,5.2627583,18,-0.45296267,94.729645,17.371746,360,17.371746,19.158188,-0.13131313
1.2289939,,-0.557248,93.30135,10.439312,12.3231325,1.0710524,,-0.7188282,0.14999999,4.861094e-13,1.6840087e-06,14.139975309371948,9.9867736e-12,15.669167,5.076867,19,-0.6162561,96.460495,17.371746,380,17.371746,19.158188,1.0
0.24650347,,-0.6085413,90.99521,3.2919455,11.706976,-0.9770515,,-0.74148816,0.14999999,7.4958336e-07,1.5198176e-06,15.11570692062378,,,5.6930237,20,-1.218611,113.86049,17.371746,400,17.371746,19.158188,-1.0
0.4994664,,-0.6573314,88.45844,3.2867515,11.969371,0.24485031,,-0.7823733,0.14999999,0.4468171,1.3785193e-06,16.119778394699097,1.1488409e-12,17.217276,5.430629,21,-0.8555409,114.04321,17.371746,420,17.371746,19.158188,0.17171717
1.5494003,,-0.6827976,86.42216,4.7285595,11.814345,-0.52456063,,-0.80830365,0.14999999,1.9024092,1.2560477e-06,16.770001649856567,0.0012597251,8.558814,5.5856543,22,-0.8483071,122.8844,17.371746,440,17.371746,19.158188,-0.37373737
0.953331,,-0.6443126,85.37177,4.2696033,12.055959,-0.7605735,,-0.7781188,0.14999999,0.03251145,1.1492007e-06,17.27386999130249,3.5242214,17.371424,5.344041,23,-0.55925375,122.91293,17.371746,460,17.371746,19.158607,-0.6363636
0.8062902,,-0.6854597,84.72433,8.090554,12.276837,0.83395046,,-0.77762604,0.14999999,0.00038563617,1.055429e-06,17.721010208129883,3.2390794e-15,17.357063,5.1231623,24,-0.68806404,122.95587,17.371746,480,17.371746,19.158607,0.4949495
1.2542224,,-0.7262656,81.995155,7.7505703,11.896668,0.93239796,,-0.7996058,0.14999999,4.1647827e-08,9.726833e-07,18.22204327583313,6.829673,2.7726092,5.503331,25,-1.0727197,137.58328,17.371746,500,17.371746,19.158607,0.75757575
0.9742615,,-0.7654863,81.89379,6.4982824,11.484849,0.0021233596,,-0.80101323,0.14999999,3.9411623,8.993004e-07,18.67794919013977,8.075478e-09,1.1893777,5.9151506,26,-0.9827904,153.79391,17.371746,520,17.371746,19.158607,-0.030303031
0.8880347,,-0.662089,81.69102,6.3329825,11.4219675,-0.4691707,,-0.8015349,0.14999999,0.00033725335,8.3391916e-07,19.206901788711548,1.7571612e-06,9.787052,5.978032,27,-0.72335553,161.40686,17.371746,540,17.371746,19.158607,-0.8181818
1.4204932,,-0.6984441,80.07516,4.691962,11.633675,-0.5398823,,-0.7991799,0.14999999,0.44012895,7.754171e-07,19.81149673461914,4.6231937,17.349766,5.766325,28,-0.5676719,161.45709,17.371746,560,17.371746,19.158607,-0.4949495
