Iteration,ReturnMax,ReturnStepMax,DenMISEMeanLog,Regret,LQGmu1_higher,TimeElapsed,IWMin,ReturnLastEpisode,ReturnMean,IWMean,TimestepsSoFar,Regret/t,IWMax,DenMISELogLast,ReturnMin,ReturnAbsMax,Bound,Delta,LQGsigma_higher,LQGmu1_actor,IWLastEpisode,DenMISELogFirst,IWFirstEpisode
1,16.62435,18.38158,0.89325774,0.77565,1.0,0.050144195556640625,,16.62435,16.62435,1.0227122e-13,20,0.77565,1.0227122e-13,0.89325774,,16.62435,37639800000000.0,0.0006079271,0.14999999,0.9728855,1.0227122e-13,0.89325774,1.0227122e-13
2,16.62435,18.38158,0.2344036,17.688606,-1.0,1.473010778427124,,0.48704273,8.5556965,1.8055201e-07,40,8.844303,3.6110401e-07,0.2686966,,16.62435,5656042500.0,0.00015198177,0.14999999,-1.142421,5.543675e-38,0.20011058,3.6110401e-07
3,17.201927,18.99151,-0.3044345,17.886677,0.45454547,2.277038335800171,,17.201927,11.437774,0.002829442,60,5.962226,0.0077843727,-0.5711807,,17.201927,54074.5,6.754746e-05,0.14999999,0.44539678,1.1479971e-24,-0.20535435,0.0007039539
4,17.201927,18.99151,-0.5452683,27.98819,-0.5555556,3.0396366119384766,,7.2984877,10.402952,0.035466123,80,6.9970474,0.13888659,-0.40754944,,17.201927,6034.9077,3.7995444e-05,0.14999999,-0.72115684,8.559224e-10,-0.4928018,0.13888659
5,17.371843,19.161173,-0.79928404,28.01635,0.17171717,4.265223741531372,,17.371843,11.79673,0.27796853,100,5.6032696,0.9459344,-0.95764965,,17.371843,387.58032,2.4317082e-05,0.14999999,0.082623035,1.4019099e-07,-0.6818129,0.44390482
6,17.371843,19.161173,-0.85914975,36.37384,0.7171717,5.975193023681641,,9.0425,11.337692,0.39998102,120,6.0623074,1.4224834,-0.5051999,,17.371843,368.26025,1.6886865e-05,0.14999999,0.945704,0.00057310465,-0.77907574,2.0257124e-07
7,17.371843,19.161173,-0.9224347,52.81199,-0.7777778,7.5509538650512695,,0.9618518,9.85543,1.3725607,140,7.54457,9.034588,-0.74092436,,17.371843,240.02138,1.2406674e-05,0.14999999,-0.97900325,1.2005942e-28,-0.9332264,0.0014739264
8,17.371843,19.161173,-0.9047457,52.986176,-0.33333334,8.829797744750977,,17.225824,10.776728,0.5395351,160,6.623272,4.0189176,-0.75378066,,17.371843,239.42798,9.498861e-06,0.14999999,-0.2770433,0.00053552946,-1.0665473,4.0189176
9,17.371843,19.161173,-0.9411744,53.270798,-1.0,9.281932592391968,,17.115368,11.481022,1.7285696,180,5.9189777,8.314082,-0.7342024,,17.371843,125.652245,7.505273e-06,0.14999999,-0.82732606,5.0053164e-05,-0.77729,9.596483e-07
10,17.371843,19.161173,-0.8680967,53.338295,0.030303031,9.740200757980347,,17.332514,12.066171,1.0547931,200,5.333829,6.805229,-0.54687506,,17.371843,124.13621,6.0792704e-06,0.14999999,0.007896857,3.662303e-07,-0.8826504,2.830891
11,17.371843,19.161173,-0.8474281,61.53401,0.33333334,10.699058055877686,,9.204279,11.805999,0.68695706,220,5.594001,5.921377,-0.544362,,17.371843,120.1609,5.0241906e-06,0.14999999,0.36577508,0.4356187,-0.7286901,0.023719033
12,17.371843,19.161173,-0.8612682,71.04747,0.85858583,11.789338111877441,,7.886529,11.479377,1.2985181,240,5.920623,8.078881,-0.62965554,,17.371843,118.75676,4.221716e-06,0.14999999,0.8819555,0.022615798,-0.8135475,5.3614074e-10
