DenMISELogFirst,Bound,IWMean,TimeElapsed,IWFirstEpisode,DenMISELogLast,LQGmu1_higher,ReturnMax,ReturnAbsMax,Delta,TimestepsSoFar,Regret,ReturnMin,IWMax,ReturnMean,IWLastEpisode,LQGsigma_higher,Regret/t,ReturnStepMax,IWMin,DenMISEMeanLog,LQGmu1_actor,ReturnLastEpisode,Iteration
0.6856245,21210210000000.0,5.734063e-10,0.06221961975097656,5.734063e-10,0.6856245,1.0,9.367901,9.367901,0.0006079271,20,8.032099,,5.734063e-10,9.367901,5.734063e-10,0.14999999,8.032099,10.299355,,0.6856245,0.7334943,9.367901,1
-0.0075226733,3187207200.0,1.5469426e-10,1.5514893531799316,3.0938851e-10,-1.2933049,-1.0,9.367901,9.367901,0.00015198177,40,21.225876,,3.0938851e-10,6.787062,9.665979e-29,0.14999999,10.612938,10.299355,,-0.6504138,-0.8276637,4.2062235,2
-0.41298777,54469.562,0.87820524,2.5511667728424072,0.05462481,-0.78041124,0.45454547,17.326397,17.326397,6.754746e-05,60,21.299477,,2.5799909,10.300174,7.8875094e-16,0.14999999,7.099826,19.11533,,-0.9640563,0.5663425,17.326397,3
-0.68262535,6084.4585,0.37423968,3.202897787094116,0.0038232254,-0.6657787,-0.5555556,17.326397,17.326397,3.7995444e-05,80,32.515083,,1.4931355,9.271229,3.6871756e-12,0.14999999,8.128771,19.11533,,-0.94559366,-0.7197604,6.184392,4
-0.9048136,392.40308,0.8032837,3.6888372898101807,3.8014886,-0.95412946,0.17171717,17.385202,17.385202,2.4317082e-05,100,32.529884,,3.8014886,10.894023,1.4765169e-07,0.14999999,6.5059767,19.17419,,-1.0621836,-0.091512084,17.385202,5
-0.5216522,382.7468,3.3344104,4.133110046386719,7.752807e-05,-0.6126736,0.7171717,17.385202,17.385202,1.6886865e-05,120,34.663567,,15.506527,11.622738,2.3957791e-06,0.14999999,5.7772617,19.17419,,-1.037923,0.621897,15.266314,6
-0.67578995,261.73523,2.614632,4.635553598403931,4.536152e-06,-0.626418,-0.7777778,17.385202,17.385202,1.2406674e-05,140,46.480194,,9.331383,10.759972,6.1619636e-19,0.14999999,6.640028,19.17419,,-0.84894955,-0.906873,5.583375,7
-0.80932075,235.05194,0.29860136,5.117960691452026,0.40461522,-0.6440903,-0.33333334,17.385202,17.385202,9.498861e-06,160,46.59836,,1.7842761,11.575205,0.0033874516,0.14999999,5.824795,19.17419,,-0.7311748,-0.4809385,17.28184,8
-0.87776434,124.97542,1.1912768,5.570915222167969,6.3634,-0.69827664,0.030303031,17.385202,17.385202,7.505273e-06,180,46.61711,,6.3634,12.22032,0.016055254,0.14999999,5.17968,19.17419,,-0.80161285,-0.14178745,17.381243,9
-0.44836137,124.86996,1.6388643,6.03387975692749,3.938843e-07,-0.60286283,-0.83838385,17.385202,17.385202,6.0792704e-06,200,47.736473,,6.0073614,12.626352,0.00010081602,0.14999999,4.7736473,19.17419,,-0.78348917,-0.8871703,16.280642,10
-0.5436715,120.93442,0.8232605,6.523457765579224,6.147263e-07,-0.48107296,0.85858583,17.385202,17.385202,5.0241906e-06,220,47.83551,,5.6348867,13.051316,1.662509e-29,0.14999999,4.3486834,19.17419,,-0.7230328,0.9666684,17.300957,11
-0.6306828,118.119644,0.35343468,7.498000860214233,0.5237491,-0.8132433,0.33333334,17.385202,17.385202,4.221716e-06,240,64.63867,,2.3032947,12.013443,0.000806984,0.14999999,5.3865566,19.17419,,-0.7519056,0.13665867,0.5968296,12
-0.6680054,114.904175,0.96111256,8.45467472076416,1.336089,-0.6405197,-0.23232323,17.385202,17.385202,3.5972016e-06,260,73.104065,,5.2489753,11.77661,0.24492526,0.14999999,5.6233892,19.17419,,-0.7916869,-0.085330516,8.934618,13
-0.64428264,114.41184,1.3976735,9.366519212722778,0.0027819942,-0.60609144,0.5959596,17.385202,17.385202,3.1016684e-06,280,75.12523,,7.4458447,12.033912,0.00016161212,0.14999999,5.366088,19.17419,,-0.78675944,0.6498024,15.378835,14
-0.71307683,111.517784,0.9393887,10.26437783241272,0.0007817456,-0.6896596,-0.61616164,17.385202,17.385202,2.7018984e-06,300,87.26495,,5.0006366,11.582336,1.8073017e-15,0.14999999,5.817663,19.17419,,-0.76815206,-0.66936815,5.260276,15
-0.7775633,106.162125,0.8406338,11.159719467163086,6.682339e-10,-0.6395353,-1.0,17.39676,17.39676,2.3747152e-06,320,87.26819,,5.0092354,11.945738,0.44416493,0.14999999,5.454262,19.18565,,-0.7683259,-1.0211087,17.39676,16
-0.8381879,98.431244,0.61423075,11.618635654449463,0.0695784,-0.8401607,-0.43434343,17.39676,17.39676,2.103554e-06,340,87.46442,,6.0749016,12.2550335,0.0029303734,0.14999999,5.144966,19.18565,,-0.7853024,-0.2994287,17.203753,17
-0.8912618,98.355515,1.5176237,12.098393440246582,5.5134892,-0.6869927,-0.07070707,17.39676,17.39676,1.8763183e-06,360,87.67059,,6.0933385,12.52941,1.653096,0.14999999,4.8705893,19.18565,,-0.8029593,-0.18175775,17.193819,18
-0.6781265,93.19481,0.5941019,12.582090616226196,2.2425006e-09,-0.60449815,1.0,17.39676,17.39676,1.6840087e-06,380,88.240875,,9.051195,12.755744,1.619003e-13,0.14999999,4.6442556,19.18565,,-0.7734367,0.9918969,16.829742,19
-0.72941977,92.83205,1.2974339,13.232838153839111,4.7860667e-06,-0.95625925,-0.7777778,17.39676,17.39676,1.5198176e-06,400,105.49393,,5.290066,12.125303,4.1270565e-30,0.14999999,5.2746964,19.18565,,-0.80609214,-0.92918104,0.14695352,20
-0.77820975,89.10408,1.1000861,14.255937814712524,6.686661e-10,-0.6834513,-1.0,17.39676,17.39676,1.3785193e-06,420,105.63315,,6.867507,12.36985,4.7123237,0.14999999,5.0301495,19.18565,,-0.79079545,-1.0708419,17.26076,21
-0.82472974,89.11014,0.59449345,15.2104172706604,3.0201116,-0.9207842,0.1919192,17.39676,17.39676,1.2560477e-06,440,105.8349,,6.808902,12.589322,2.7262988e-15,0.14999999,4.8106775,19.18565,,-0.7958483,0.3819629,17.198267,22
-0.74054396,87.53462,1.1416935,16.241957664489746,1.4366087,-0.9966345,-0.23232323,17.39676,17.39676,1.1492007e-06,460,115.45856,,5.5814004,12.380062,0.0016438995,0.14999999,5.0199375,19.18565,,-0.82345986,-0.2898471,7.776324,23
-0.72251546,86.883026,1.2845491,17.22355604171753,0.008238686,-0.6588325,0.5555556,17.39676,17.39676,1.055429e-06,480,115.77002,,8.258087,12.576248,6.506223e-07,0.14999999,4.8237514,19.18565,,-0.81375194,0.6331144,17.088528,24
-0.7629942,81.42396,1.1580833,18.32676386833191,1.3712148e-05,-0.9127246,0.7777778,17.39676,17.39676,9.726833e-07,500,127.71484,,6.891537,12.291407,4.1613955,0.14999999,5.108593,19.18565,,-0.8113953,0.6348639,5.4552,25
-0.8022144,81.29896,0.7149447,19.274555444717407,0.04444242,-0.79745626,-0.45454547,17.39676,17.39676,8.993004e-07,520,139.67984,,6.33657,12.0276985,2.0760222e-11,0.14999999,5.372301,19.18565,,-0.80758023,-0.33227864,5.435003,26
-0.8382469,80.69061,1.1717347,19.77519655227661,7.100408e-10,-0.6657019,-1.0,17.39676,17.39676,8.3391916e-07,540,139.83005,,7.331429,12.221108,0.0002576429,0.14999999,5.178891,19.18565,,-0.81384176,-0.9394793,17.249767,27
-0.8746145,79.60536,1.2921878,20.46463394165039,3.4506507,-0.6052265,-0.15151516,17.39676,17.39676,7.754171e-07,560,139.97287,,5.611691,12.400969,4.960062e-06,0.14999999,4.999031,19.18565,,-0.80320066,-0.280379,17.257187,28
-0.79349065,78.650246,0.8827896,21.15573501586914,7.6018034e-05,-0.6133949,-0.6969697,17.39676,17.39676,7.2286224e-07,580,140.24518,,5.846485,12.563958,0.103825666,0.14999999,4.8360415,19.18565,,-0.7891604,-0.5053006,17.12771,29
-0.8273896,78.317764,0.62060916,22.314630270004272,0.47465825,-0.72221184,0.35353535,17.408798,17.408798,6.754746e-07,600,140.23639,,7.885449,12.725453,4.1678283e-07,0.14999999,4.6745462,19.196815,,-0.79199684,0.47160476,17.408798,30
