DenMISEMeanLog,ReturnMax,Regret/t,ReturnMin,Bound,LQGmu1_actor,TimeElapsed,IWMin,TimestepsSoFar,ReturnLastEpisode,IWMax,ReturnMean,LQGsigma_higher,IWLastEpisode,LQGmu1_higher,Regret,ReturnAbsMax,ReturnStepMax,IWFirstEpisode,DenMISELogFirst,IWMean,Iteration,DenMISELogLast,Delta
-0.9008077,17.409286,4.8548117,,89.94531,0.20054123,19.281123399734497,,420,2.191637,4.190294,12.545188,0.14999999,6.422689e-05,0.15151516,101.95105,17.409286,19.197643,0.42125776,-0.6455204,0.6589271,21,-0.8840528,1.3785193e-06
-0.91417223,17.409286,5.0278435,,88.85564,-0.5665499,20.31850004196167,,440,8.738493,6.089547,12.372156,0.14999999,3.616006e-05,-0.53535354,110.61255,17.409286,19.197643,0.3305565,-0.67217904,0.98024267,22,-0.82851285,1.2560477e-06
-0.9055367,17.409286,4.809167,,87.946014,0.42735603,21.465636014938354,,460,17.401716,6.399008,12.590833,0.14999999,1.0752004e-09,0.43434343,110.61084,17.409286,19.197643,0.0011225934,-0.7017173,0.8612213,23,-0.6330074,1.1492007e-06
-0.9119536,17.409286,5.0237074,,86.30729,-0.31812418,22.234525442123413,,480,7.4418416,5.555371,12.376292,0.14999999,0.0003949756,-0.23232323,120.56897,17.409286,19.197643,5.304599,-0.7442281,1.3404603,24,-0.85572875,1.055429e-06
-0.8893065,17.409286,4.8295946,,83.8696,0.73181313,22.68945622444153,,500,17.229137,4.4825606,12.570405,0.14999999,5.450285e-10,0.6969697,120.73987,17.409286,19.197643,1.5998165e-07,-0.5853595,0.7792837,25,-0.5897593,9.726833e-07
-0.8991938,17.409286,5.1504316,,81.38124,-0.71957564,23.379276752471924,,520,4.228652,5.830987,12.249568,0.14999999,4.614464e-19,-0.67676765,133.91122,17.409286,19.197643,0.022084193,-0.6245802,0.95455253,26,-0.8930081,8.993004e-07
-0.8930669,17.409286,4.960929,,80.70308,-0.99575603,24.410767793655396,,540,17.366152,8.645611,12.439071,0.14999999,0.8765427,-1.0,133.94507,17.409286,19.197643,1.8697856e-06,-0.6614715,1.077619,27,-0.63755614,8.3391916e-07
-0.88812834,17.409286,4.7908754,,80.06368,-0.64042526,25.479790687561035,,560,17.200531,5.1425543,12.609124,0.14999999,0.0017726875,-0.3939394,134.1445,17.409286,19.197643,1.9901335,-0.6978391,1.0650507,28,-0.7350784,7.754171e-07
-0.8782438,17.409286,4.625827,,78.89729,0.010535792,26.587525606155396,,580,17.395542,6.6195,12.774173,0.14999999,0.0004107341,0.01010101,134.14896,17.409286,19.197643,2.2545233,-0.66426647,0.75774384,29,-0.628354,7.2286224e-07
-0.8831236,17.409286,4.746749,,77.47058,0.20975813,27.597336053848267,,600,9.146534,7.230331,12.653251,0.14999999,0.96494496,0.2929293,142.40247,17.409286,19.197643,0.032250162,-0.6232997,0.96002686,30,-0.75826967,6.754746e-07
-0.8840551,17.409286,4.8741417,,76.81009,-1.0314264,28.66072678565979,,620,8.704062,4.798841,12.525858,0.14999999,9.433194e-10,-0.7979798,151.09836,17.409286,19.197643,0.001149501,-0.6550151,0.970612,31,-0.80766404,6.325984e-07
-0.88629943,17.409286,4.728241,,74.86435,-0.889416,29.758551359176636,,640,17.194685,7.6598425,12.671759,0.14999999,6.348879,-1.0,151.30371,17.409286,19.197643,1.9176089e-06,-0.68672675,1.2003369,32,-0.892044,5.936788e-07
-0.8727514,17.409286,4.5881433,,73.50525,-0.26243603,30.85548973083496,,660,17.294971,5.488287,12.811856,0.14999999,4.953839e-05,-0.17171717,151.40875,17.409286,19.197643,5.4346704,-0.7174983,1.148265,33,-0.55553746,5.582434e-07
-0.8619081,17.409286,4.463279,,73.54294,0.59004235,31.37467122077942,,680,17.057224,8.834447,12.936721,0.14999999,9.741001e-12,0.83838385,151.75146,17.409286,19.197643,4.1019227e-10,-0.59489894,1.1826701,34,-0.5961304,5.258885e-07
-0.86590445,17.409286,4.663332,,73.82984,0.6783389,32.16413068771362,,700,5.9348683,7.846291,12.736668,0.14999999,7.6473994,0.5555556,163.21664,17.409286,19.197643,2.691689e-05,-0.62388647,0.91518927,35,-1.0826138,4.9626703e-07
-0.8712863,17.409286,4.880595,,73.40369,-0.91806626,32.62353444099426,,720,4.915205,5.6841364,12.519404,0.14999999,4.4526006e-15,-0.57575756,175.70142,17.409286,19.197643,0.16597381,-0.6520566,1.0308498,36,-0.9267153,4.6907957e-07
-0.86606723,17.409286,4.7522907,,70.708466,-0.8734538,33.235597133636475,,740,17.266672,7.1457443,12.647709,0.14999999,4.4591594,-1.0,175.83475,17.409286,19.197643,1.8949806e-06,-0.67485577,1.2288989,37,-0.6659598,4.4406656e-07
-0.85445964,17.409286,4.6298504,,70.05145,-0.95605326,34.34486651420593,,760,17.300426,4.4264727,12.770149,0.14999999,4.2085924,-0.7979798,175.93433,17.409286,19.197643,0.0012042256,-0.70152396,1.0670748,38,-0.5855319,4.2100217e-07
-0.8457477,17.409286,4.515395,,69.82023,1.004956,35.18272519111633,,780,17.23392,11.028729,12.884604,0.14999999,5.4723032e-37,1.0,176.1004,17.409286,19.197643,1.7058547e-13,-0.7274678,0.7563121,39,-0.55130476,3.996891e-07
-0.86149263,17.409286,4.83751,,69.84927,-0.25761542,35.662314653396606,,800,,5.6027584,12.5624895,0.14999999,4.507454e-17,-0.33333334,193.50043,17.409286,19.197643,3.4192884,-0.75278556,1.001837,40,-1.1840143,3.799544e-07
-0.85711354,17.409286,4.7302694,,69.26299,-0.08862847,36.14849066734314,,820,16.959364,5.913247,12.66973,0.14999999,0.3429294,0.09090909,193.94104,17.409286,19.197643,1.005141,-0.6954539,0.81112915,41,-0.6509063,3.6164613e-07
-0.86000735,17.409286,4.6619883,,68.52475,0.027497828,37.20157337188721,,840,15.537484,5.354089,12.738011,0.14999999,5.2168303,-0.15151516,195.80353,17.409286,19.197643,5.2139583,-0.69533145,1.1933746,42,-0.7615916,3.4462983e-07
