LQGmu1_actor,LQGmu1_higher,TimestepsSoFar,DenMISELogLast,IWFirstEpisode,ReturnAbsMax,Regret/t,IWMean,IWLastEpisode,Regret,ReturnLastEpisode,IWMax,ReturnStepMax,LQGsigma_higher,ReturnMin,IWMin,DenMISELogFirst,Bound,DenMISEMeanLog,ReturnMean,TimeElapsed,Delta,Iteration,ReturnMax
1.0612043,1.0,20,0.9217774,1.7890302e-13,16.429415,0.97058487,1.7890302e-13,1.7890302e-13,0.97058487,16.429415,1.7890302e-13,18.172731,0.14999999,,,0.9217774,37198443000000.0,0.9217774,16.429415,0.10585594177246094,0.0006079271,1,16.429415
-1.3167459,-1.0,40,0.20179054,2.2852063e-07,16.429415,9.185292,1.1426032e-07,,18.370584,,2.2852063e-07,18.172731,0.14999999,,,0.22863021,5589720600.0,0.21521038,8.214707,1.0849454402923584,0.00015198177,2,16.429415
0.31685758,0.45454547,60,-2.3499408,0.0009332102,17.202251,6.1894436,0.00061603566,1.4644082e-29,18.568329,17.202251,0.0009332102,18.991968,0.14999999,,,-0.17683478,54075.52,-0.91015005,11.210556,1.5834894180297852,6.754746e-05,3,17.202251
-0.69996417,-0.5555556,80,-0.7978017,0.110165924,17.202251,6.9444427,0.027565338,2.6661587e-07,27.777771,8.1905575,0.110165924,18.991968,0.14999999,,,-0.46420583,6034.885,-1.0976706,10.455557,2.104018449783325,3.7995444e-05,4,17.202251
0.2728876,0.17171717,100,-0.8994817,0.5131826,17.368643,5.5618267,1.0271952,3.0364308e-07,27.809135,17.368643,4.622793,19.15771,0.14999999,,,-0.66018033,393.91168,-1.2311089,11.838173,2.7354183197021484,2.4317082e-05,5,17.368643
0.70273757,0.7171717,120,-0.5341424,3.051375e-07,17.368643,6.130414,0.109501444,0.056467734,36.78248,8.426651,0.46978068,19.15771,0.14999999,,,-0.74479777,367.14587,-1.1414824,11.269586,3.694976806640625,1.6886865e-05,6,17.368643
-0.33876118,-0.33333334,140,-0.63697493,3.105927,17.368643,7.0820093,0.5099299,2.1961663e-10,49.574066,4.6084104,3.105927,19.15771,0.14999999,,,-0.8989484,236.36699,-1.186352,10.31799,4.229550123214722,1.2406674e-05,7,17.368643
-0.9363928,-0.7777778,160,-0.6089589,0.00082195096,17.368643,6.214381,1.0954494,0.06748344,49.71505,17.259022,8.578378,19.15771,0.14999999,,,-0.6652678,237.63913,-1.1770985,11.185618,5.1882195472717285,9.498861e-06,8,17.368643
0.4291434,0.3131313,180,-0.7964645,0.049136057,17.368643,5.5396137,1.5032194,5.0411284e-15,49.85652,17.258522,6.755023,19.15771,0.14999999,,,-0.7829481,127.33433,-1.1559832,11.860386,6.241383790969849,7.505273e-06,9,17.368643
-1.0495373,-1.0,200,-0.57414955,6.9445025e-07,17.368643,5.9828625,1.6646898,9.172717e-20,59.82863,7.427903,9.85573,19.15771,0.14999999,,,-0.8828639,124.36434,-1.0792693,11.417137,7.238806247711182,6.0792704e-06,10,17.368643
0.9238549,0.85858583,220,-0.6815771,1.0587733e-09,17.368643,5.45741,0.8219979,3.8213077e-35,60.03151,17.197104,4.495446,19.15771,0.14999999,,,-0.97817403,118.81638,-1.0177287,11.94259,8.23347783088684,5.0241906e-06,11,17.368643
0.18715645,0.01010101,240,-0.7257761,4.3538027,17.368643,6.3414793,0.5595056,4.807984e-08,76.09775,1.3337601,4.3538027,19.15771,0.14999999,,,-1.0651854,119.33575,-1.0155696,11.05852,8.728484392166138,4.221716e-06,12,17.368643
-0.16667685,-0.25252524,260,-0.6450401,4.8646684,17.368643,6.516309,0.8808359,0.069060035,84.71202,8.78574,6.4183445,19.15771,0.14999999,,,-0.8356743,114.29145,-1.0224983,10.883691,9.64295744895935,3.5972016e-06,13,17.368643
0.5919965,0.57575756,280,-0.59158725,3.9187045e-05,17.368643,6.1084023,0.8275419,2.3016037e-05,85.517624,16.594389,4.86956,19.15771,0.14999999,,,-0.59190667,112.76273,-1.0082462,11.291597,11.155400514602661,3.1016684e-06,14,17.368643
-0.5203841,-0.67676765,300,-0.7052468,0.010907166,17.368643,6.46692,0.68463874,1.5678408e-15,97.0038,5.913838,8.071723,19.15771,0.14999999,,,-0.6608968,111.89109,-1.0032734,10.93308,12.363287448883057,2.7018984e-06,15,17.368643
-0.37958643,-0.45454547,320,-0.886431,0.70255584,17.368643,6.064781,0.84063953,5.860795,97.0365,17.367298,5.860795,19.15771,0.14999999,,,-0.7247084,105.391815,-1.0206991,11.335218,13.344242572784424,2.3747152e-06,16,17.368643
-1.0184714,-1.0,340,-0.6256604,6.0342194e-07,17.368643,5.715125,1.3271102,0.0009588447,97.15712,17.279375,8.433899,19.15771,0.14999999,,,-0.74236,98.20277,-1.0105965,11.684875,14.395222663879395,2.103554e-06,17,17.368643
1.2269515,1.0,360,-0.70699036,1.000385e-12,17.368643,5.4087324,1.108999,,97.35718,17.19994,11.835392,19.15771,0.14999999,,,-0.79951835,92.66097,-0.9861157,11.991267,15.365987062454224,1.8763183e-06,18,17.368643
0.3922447,0.21212122,380,-2.3388944,0.3367555,17.368643,6.039852,1.1915934,3.171191e-09,114.7572,,7.17127,19.15771,0.14999999,,,-0.8535856,92.27533,-1.0614506,11.360147,16.3428635597229,1.6840087e-06,19,17.368643
-0.18396488,-0.17171717,400,-0.84377897,6.3940945,17.368643,6.2226667,0.95272696,0.005269157,124.45334,7.7038484,6.414454,19.15771,0.14999999,,,-0.88731015,92.019455,-1.0472219,11.177333,17.31044340133667,1.5198176e-06,20,17.368643
-0.97150743,-0.8181818,420,-0.6462436,0.00025523597,17.368643,5.9561853,0.71131897,0.00066611654,125.079895,16.77346,4.774845,19.15771,0.14999999,,,-0.6586923,89.58553,-1.0341035,11.443814,18.208751916885376,1.3785193e-06,21,17.368643
0.47062945,0.43434343,440,-0.6914459,0.0027001724,17.368643,5.6932316,1.3300153,4.474369e-19,125.2511,17.228792,7.0318317,19.15771,0.14999999,,,-0.7052002,87.0517,-1.0330268,11.706768,18.68379044532776,1.2560477e-06,22,17.368643
-0.43419477,-0.41414142,460,-0.77207124,1.1992699,17.368643,5.894046,0.92655325,1.6037714e-07,135.56305,7.0880446,5.868786,19.15771,0.14999999,,,-0.7495292,86.350746,-1.0121483,11.505954,19.44235634803772,1.1492007e-06,23,17.368643
-0.89761776,-1.0,480,-0.65727955,6.027588e-07,17.368643,5.6515102,1.354834,0.00417491,135.63623,17.326822,7.861704,19.15771,0.14999999,,,-0.7412606,84.83503,-1.0027468,11.748489,20.2223060131073,1.055429e-06,24,17.368643
