IWMean,ReturnMean,IWFirstEpisode,Regret,TimeElapsed,IWLastEpisode,IWMin,Delta,LQGmu1_actor,TimestepsSoFar,LQGmu1_higher,DenMISEMeanLog,Iteration,Regret/t,DenMISELogLast,ReturnStepMax,LQGsigma_higher,Bound,ReturnAbsMax,ReturnLastEpisode,DenMISELogFirst,ReturnMax,ReturnMin,IWMax
0.6422117,12.049451,0.85406196,128.41315,27.805403470993042,0.079734385,,1.055429e-06,0.2368212,480,0.33333334,-0.7600191,24,5.3505487,-0.8957078,19.194098,0.14999999,85.47978,17.406137,3.5873177,-0.76872253,17.406137,,5.620556
1.3836535,11.911233,0.00011771455,137.21918,29.005170106887817,1.2085012e-07,,9.726833e-07,-0.8577409,500,-0.65656567,-0.7778742,25,5.4887667,-0.82955146,19.194098,0.14999999,84.97602,17.406137,8.594026,-0.7745772,17.406137,,5.034148
0.92686933,12.1186075,0.37226397,137.3162,29.487756490707397,0.007305997,,8.993004e-07,-0.3666733,520,-0.3131313,-0.76291317,26,5.281392,-0.69386154,19.194098,0.14999999,80.9367,17.406137,17.302988,-0.8137932,17.406137,,5.5743685
0.4873381,12.309572,2.1800983e-10,137.44153,29.95578932762146,0.00064302183,,8.3391916e-07,-1.1692654,540,-1.0,-0.7606166,27,5.0904274,-0.5858824,19.194098,0.14999999,80.33168,17.406137,17.27462,-0.8373172,17.406137,,3.5772285
1.1796621,12.484373,6.0183086,137.63754,30.491535663604736,1.7373353e-12,,7.754171e-07,-0.13174552,560,-0.01010101,-0.8162851,28,4.9156265,-1.8023102,19.194098,0.14999999,77.746056,17.406137,17.20398,-0.8736848,17.406137,,6.0183086
1.222687,12.615334,7.928689e-06,138.75531,30.974677801132202,9.890604e-09,,7.2286224e-07,0.8338562,580,0.8181818,-0.80646706,29,4.784666,-0.64262605,19.194098,0.14999999,77.37989,17.406137,16.282244,-0.7140818,17.406137,,7.886441
1.1637205,12.287291,4.290147e-07,153.38129,31.987648963928223,2.998866e-26,,6.754746e-07,-1.0526096,600,-0.8181818,-0.80584246,30,5.112709,-0.9023989,19.194098,0.14999999,77.138016,17.406137,2.7740402,-0.7479831,17.406137,,5.256607
0.91855055,12.445448,2.0602486e-10,153.59106,32.64481854438782,7.5422707,,6.325984e-07,-1.0614412,620,-1.0,-0.8120684,31,4.9545517,-1.1038477,19.194098,0.14999999,75.301506,17.406137,17.190172,-0.78077286,17.406137,,9.106997
0.7776588,12.593939,0.0609755,153.79395,33.30470585823059,2.8988985e-23,,5.936788e-07,0.65333676,640,0.4949495,-0.82098925,32,4.806061,-0.9567385,19.194098,0.14999999,75.44565,17.406137,17.197151,-0.8125216,17.406137,,7.6423945
0.9030886,12.370436,3.7081985,165.97565,34.44872713088989,0.05773044,,5.582434e-07,0.2355086,660,0.1919192,-0.83151305,33,5.029564,-0.90109676,19.194098,0.14999999,74.90952,17.406137,5.218342,-0.8413896,17.406137,,6.8777533
0.9839353,12.25953,0.057739057,174.77594,35.613319396972656,0.00051786995,,5.258885e-07,-0.3508855,680,-0.41414142,-0.83578074,34,5.1404696,-0.8348143,19.194098,0.14999999,74.95699,17.406137,8.599669,-0.76475,17.406137,,5.6518097
