Regret,ReturnLastEpisode,LQGsigma_higher,Bound,ReturnAbsMax,IWMin,Regret/t,LQGmu1_higher,TimeElapsed,LQGmu1_actor,IWMean,DenMISEMeanLog,IWFirstEpisode,IWLastEpisode,ReturnMax,ReturnMin,IWMax,TimestepsSoFar,ReturnMean,ReturnStepMax,Iteration,Delta,DenMISELogLast,DenMISELogFirst
1.3146896,16.08531,0.14999999,36419343000000.0,16.08531,,1.3146896,1.0,0.05788254737854004,1.0938538,1.3200675e-12,0.9761759,1.3200675e-12,1.3200675e-12,16.08531,,1.3200675e-12,20,16.08531,17.794819,1,0.0006079271,0.9761759,0.9761759
18.71469,,0.14999999,5472647000.0,16.08531,,9.357345,-1.0,1.065213680267334,-0.9053986,2.2270598e-08,0.18615885,4.4541196e-08,,16.08531,,4.4541196e-08,40,8.042655,17.794819,2,0.00015198177,0.08928895,0.28302875
18.83147,17.283216,0.14999999,54330.047,17.283216,,6.277158,0.45454547,2.3569674491882324,0.40007073,0.0009901876,-0.2526396,0.002555966,5.1818936e-18,17.283216,,0.002555966,60,11.122842,19.073248,3,6.754746e-05,-0.31930628,-0.12243634
28.58408,7.647393,0.14999999,6064.417,17.283216,,7.14602,-0.5555556,3.812955617904663,-0.54934806,0.09241733,-0.5223901,0.04812234,6.5352825e-09,17.283216,,0.32154697,80,10.25398,19.073248,4,3.7995444e-05,-0.46958527,-0.4092668
28.591423,17.39266,0.14999999,390.48206,17.39266,,5.7182846,0.17171717,4.989362716674805,0.041929483,0.5044146,-0.7005949,0.85319257,4.697882e-05,17.39266,,1.6688335,100,11.681715,19.180443,5,2.4317082e-05,-0.6101177,-0.62045157
36.901062,9.090358,0.14999999,368.04837,17.39266,,6.150178,0.7171717,6.004478931427002,0.64028084,0.13732429,-0.74708337,1.2873074e-06,0.00017678009,17.39266,,0.5120732,120,11.249822,19.180443,6,1.6886865e-05,-0.51348335,-0.64522374
48.928947,5.3721137,0.14999999,239.05469,17.39266,,6.98985,-0.33333334,7.313709497451782,-0.4051051,0.65787035,-0.84317046,1.942921,3.5388936e-09,17.39266,,2.4298284,140,10.41015,19.180443,7,1.2406674e-05,-0.6273615,-0.7993742
48.99868,17.330263,0.14999999,236.95044,17.39266,,6.124835,-0.7777778,8.495054006576538,-0.5742347,1.0418092,-0.85971785,0.0002591241,0.2249847,17.39266,,6.2857113,160,11.275165,19.180443,8,9.498861e-06,-0.61642766,-0.6879535
49.022972,17.375694,0.14999999,124.84362,17.39266,,5.4469976,0.030303031,9.406764030456543,0.36166337,1.1884962,-0.85568035,3.8557067,0.0015817167,17.39266,,6.4379315,180,11.953002,19.180443,9,7.505273e-06,-0.69403964,-0.8057041
58.509216,7.913761,0.14999999,125.59452,17.39266,,5.8509216,0.33333334,10.33248233795166,0.16858096,1.4864521,-0.86755085,0.05930109,6.867274,17.39266,,6.867274,200,11.549078,19.180443,10,6.0792704e-06,-0.96642107,-0.5545014
67.06331,8.845903,0.14999999,124.963135,17.39266,,6.0966644,-0.47474748,11.249843835830688,-0.4841466,1.5656301,-0.81219,0.26119432,0.00043380202,17.39266,,5.863332,220,11.303335,19.180443,11,5.0241906e-06,-0.47604123,-0.64389896
67.07828,17.38504,0.14999999,119.12389,17.39266,,5.589857,0.85858583,12.082422733306885,1.0477395,0.57046,-0.76161736,4.86681e-09,1.7792804e-17,17.39266,,4.0545635,240,11.8101425,19.180443,12,4.221716e-06,-0.51920635,-0.70744294
84.47829,,0.14999999,112.03194,17.39266,,6.498329,-0.8787879,12.814706802368164,-0.8451546,0.7159448,-0.8297034,1.1358667e-05,1.3207295e-35,17.39266,,8.004218,260,10.90167,19.180443,13,3.5972016e-06,-1.1874869,-0.78748566
84.54918,17.329086,0.14999999,112.04392,17.39266,,6.0392275,0.5959596,14.111626148223877,0.5035796,0.83375317,-0.84640354,9.907503e-05,4.7432837e-20,17.39266,,7.144933,280,11.360772,19.180443,14,3.1016684e-06,-0.6781859,-0.86159277
95.15341,6.795782,0.14999999,110.48061,17.39266,,6.34356,-0.23232323,15.33690619468689,-0.22258031,0.76412416,-0.8529494,4.823626,3.1552336e-05,17.39266,,4.823626,300,11.056439,19.180443,15,2.7018984e-06,-0.6924689,-0.93057853
95.60275,16.950665,0.14999999,108.46962,17.39266,,5.975172,-0.65656567,16.072404146194458,-0.6753938,1.1252203,-0.858491,0.007039553,0.07906552,17.39266,,5.10662,320,11.424828,19.180443,16,2.3747152e-06,-0.6697473,-0.7162928
95.63852,17.364225,0.14999999,94.76396,17.39266,,5.6257954,-1.0,16.53521418571472,-1.1257732,0.51327795,-0.84067553,1.2849911e-07,0.46682277,17.39266,,4.913606,340,11.774204,19.180443,17,2.103554e-06,-0.60155004,-0.7764776
95.84549,17.193026,0.14999999,92.30805,17.39266,,5.32475,-0.41414142,17.047887086868286,-0.4101884,1.1580186,-0.89770997,0.7783751,0.00013396416,17.39266,,5.3636494,360,12.07525,19.180443,18,1.8763183e-06,-1.3576548,-0.833636
95.931915,17.313585,0.14999999,92.456505,17.39266,,5.0490475,1.0,17.5011568069458,1.083332,1.3626351,-0.8722546,8.159864e-12,2.8003197e-19,17.39266,,13.451259,380,12.350952,19.180443,19,1.6840087e-06,-0.49424404,-0.845369
113.33191,,0.14999999,92.67109,17.39266,,5.6665955,0.21212122,18.017916679382324,0.24950981,1.0446436,-0.8888995,0.6545358,4.5138907e-07,17.39266,,7.3314614,400,11.733404,19.180443,20,1.5198176e-06,-1.2777301,-0.8966623
122.19406,8.537842,0.14999999,89.47458,17.39266,,5.8187647,-0.11111111,19.00635027885437,-0.016007967,0.8599219,-0.8859685,6.6284676,0.32550567,17.39266,,6.6284676,420,11.581235,19.180443,21,1.3785193e-06,-0.7893864,-0.9132498
127.87222,11.721831,0.14999999,88.46355,17.39266,,5.812374,-0.67676765,19.546825170516968,-0.78536516,1.0428767,-0.88792175,0.004138928,0.00033861256,17.39266,,5.7604737,440,11.5876255,19.180443,22,1.2560477e-06,-0.73346347,-0.6854456
127.91907,17.353138,0.14999999,86.72796,17.39266,,5.561699,0.4949495,19.99437403678894,0.5272487,1.1093533,-0.87836814,0.001643043,7.7590066e-16,17.39266,,7.7113047,460,11.838301,19.180443,23,1.1492007e-06,-0.6561075,-0.7297092
138.74542,6.57364,0.14999999,84.00903,17.39266,,5.78106,-1.0,20.943979024887085,-0.87339616,0.85211676,-0.87582207,1.2795029e-07,1.8861702e-22,17.39266,,9.635871,480,11.618939,19.180443,24,1.055429e-06,-0.83256996,-0.7721974
138.83548,17.309977,0.14999999,81.76976,17.39266,,5.553419,0.05050505,21.96023917198181,0.08382875,1.0170768,-0.8762485,3.3949037,2.9872194e-08,17.39266,,6.4428606,500,11.8465805,19.180443,25,9.726833e-07,-0.6642265,-0.8130194
