DenMISELogLast,TimestepsSoFar,IWMean,IWMin,Regret,LQGmu1_higher,IWFirstEpisode,Bound,ReturnAbsMax,ReturnStepMax,ReturnLastEpisode,LQGsigma_higher,Regret/t,DenMISELogFirst,ReturnMean,IWMax,Delta,ReturnMin,TimeElapsed,DenMISEMeanLog,ReturnMax,Iteration,LQGmu1_actor,IWLastEpisode
0.73249876,20,3.58745e-10,,8.144688,1.0,3.58745e-10,20955292000000.0,9.255312,10.164478,9.255312,0.14999999,8.144688,0.73249876,9.255312,3.58745e-10,0.0006079271,,0.06955289840698242,0.73249876,9.255312,1,0.9833401,3.58745e-10
0.27886647,40,2.2705017e-10,,25.243849,-1.0,4.5410034e-10,3148901400.0,9.255312,10.164478,0.30083847,0.14999999,12.621924,0.039351568,4.778075,4.5410034e-10,0.00015198177,,1.2910003662109375,0.15910903,9.255312,2,-0.8608532,2.1888295e-38
-0.5506898,60,0.016388195,,25.32587,0.45454547,0.043122962,54439.43,17.317976,19.107868,17.317976,0.14999999,8.441957,-0.36611354,8.958042,0.043122962,6.754746e-05,,2.0196404457092285,-0.34780064,17.317976,3,0.4903405,9.2284306e-17
-0.4329444,80,0.19495124,,35.810287,-0.5555556,0.004660361,6078.394,17.317976,19.107868,6.9155865,0.14999999,8.952572,-0.6395236,8.447428,0.7751446,3.7995444e-05,,2.6997733116149902,-0.58077717,17.317976,4,-0.48061115,1.1366862e-10
-0.7090685,100,0.78703254,,35.881218,0.17171717,3.3977337,390.80994,17.329067,19.11543,17.329067,0.14999999,7.176243,-0.86150277,10.223757,3.3977337,2.4317082e-05,,3.4205551147460938,-0.7492914,17.329067,5,0.4039058,0.00042262638
-0.590187,120,0.59341604,,45.661892,0.7171717,5.7556143e-05,368.8436,17.329067,19.11543,7.619321,0.14999999,7.6103163,-0.5253003,9.789683,1.7703695,1.6886865e-05,,4.160806655883789,-0.7712712,17.329067,6,0.89457905,0.5420367
-0.7118598,140,0.7288742,,61.24344,-0.33333334,0.41133744,239.56625,17.329067,19.11543,1.818457,0.14999999,8.749063,-0.67944145,8.650937,4.6721573,1.2406674e-05,,4.900720596313477,-0.8186234,17.329067,7,-0.43223935,1.5223428e-14
-0.62814975,160,1.2369426,,61.307938,-0.7777778,6.875806e-06,239.6221,17.335505,19.12007,17.335505,0.14999999,7.663492,-0.7558721,9.736507,8.815846,9.498861e-06,,5.6562652587890625,-0.8402724,17.335505,8,-0.4104759,0.351013
-0.70573086,180,1.7746849,,61.374832,-0.43434343,0.087124944,126.96582,17.335505,19.12007,17.333094,0.14999999,6.8194265,-0.87365425,10.580573,5.371325,7.505273e-06,,6.404726505279541,-0.83302,17.335505,9,-0.44516343,5.318829
-0.34037915,200,1.0521761,,61.42949,0.3131313,0.8518684,123.66351,17.345354,19.130827,17.345354,0.14999999,6.142948,-0.9693808,11.257051,6.107939,6.0792704e-06,,7.164888143539429,-0.7384305,17.345354,10,0.32966003,1.0549203e-05
-0.574846,220,1.3715014,,70.71428,0.85858583,6.6422706e-07,118.47662,17.345354,19.130827,8.115198,0.14999999,6.4285707,-0.98293877,10.971429,8.27149,5.0241906e-06,,7.905777454376221,-0.7317244,17.345354,11,0.84941554,0.009429449
-0.66806203,240,0.73257357,,85.57869,0.030303031,7.6451225,118.35467,17.345354,19.130827,2.5355844,0.14999999,7.1315584,-1.0699501,10.268441,7.6451225,4.221716e-06,,8.621158599853516,-0.7183175,17.345354,12,0.15087278,1.7364727e-06
-0.6107139,260,0.91915834,,94.0813,0.57575756,0.0036969578,112.87863,17.345354,19.130827,8.897408,0.14999999,7.2370224,-0.65707034,10.162977,5.654849,3.5972016e-06,,9.299473762512207,-0.7388095,17.345354,13,0.43655908,0.08867133
-0.6358545,280,0.6245471,,104.11183,-0.8787879,1.5905337e-07,110.802986,17.345354,19.130827,7.3694534,0.14999999,7.4365597,-0.73089397,9.96344,8.405065,3.1016684e-06,,9.742828130722046,-0.742218,17.345354,14,-0.83617854,1.0079233e-16
-0.7578325,300,0.9292307,,104.1803,-0.6363636,0.00063166505,107.33809,17.345354,19.130827,17.331553,0.14999999,6.9453526,-0.7998869,10.454647,3.2776642,2.7018984e-06,,10.192736625671387,-0.7746975,17.345354,15,-0.8345983,2.3367696
-0.6760642,320,0.6197856,,104.252014,-0.23232323,1.802934,104.82193,17.345354,19.130827,17.32827,0.14999999,6.515751,-0.8643833,10.884249,2.6335826,2.3747152e-06,,10.629281282424927,-0.7751894,17.345354,16,-0.08487655,0.0016507278
-0.7740506,340,0.57829463,,106.18329,-1.0,1.0705246e-09,95.73194,17.345354,19.130827,15.468721,0.14999999,6.2460766,-0.8182333,11.153923,3.7185392,2.103554e-06,,11.113929271697998,-0.79781455,17.345354,17,-1.1366688,4.7725887e-08
-1.435795,360,1.0863005,,106.38672,1.0,1.7909492e-09,93.101135,17.345354,19.130827,17.196577,0.14999999,5.9103737,-0.8753917,11.489626,9.242328,1.8763183e-06,,12.127127170562744,-0.8578699,17.345354,18,1.1261326,
-1.4753927,380,1.3572651,,123.78674,0.3131313,0.8185302,90.94907,17.345354,19.130827,,0.14999999,6.515091,-0.929459,10.884909,6.924126,1.6840087e-06,,13.109334945678711,-0.89331424,17.345354,19,0.38388935,4.8590214e-06
-0.72196406,400,1.1699558,,133.42383,-0.45454547,0.062090285,90.4911,17.345354,19.130827,7.762891,0.14999999,6.671191,-0.9385739,10.728808,5.691085,1.5198176e-06,,13.886273622512817,-0.8732666,17.345354,20,-0.7329669,8.994537e-07
-0.7720109,420,1.0941597,,133.44556,-0.75757575,1.7292881e-05,91.59497,17.378265,19.167809,17.378265,0.14999999,6.3545504,-0.9842643,11.045449,5.6787705,1.3785193e-06,,14.358187198638916,-0.8655416,17.378265,21,-0.7084344,5.6787705
-0.57876945,440,0.8722923,,133.44807,0.01010101,7.451531,89.1021,17.397478,19.18646,17.397478,0.14999999,6.0658216,-1.0307835,11.334178,7.451531,1.2560477e-06,,14.811119079589844,-0.8518598,17.397478,22,0.08197856,4.9366863e-05
-0.7843724,460,0.88091123,,141.8046,0.57575756,0.0041953293,84.4092,17.397478,19.18646,9.043466,0.14999999,6.1654177,-0.78353184,11.234582,5.9052677,1.1492007e-06,,15.26814866065979,-0.8576842,17.397478,23,0.6551448,0.025845528
-0.87518334,480,0.86661935,,154.00781,-1.0,1.0787726e-09,83.50192,17.397478,19.18646,5.196802,0.14999999,6.416993,-0.8259091,10.9830065,9.596577,1.055429e-06,,15.792652130126953,-0.86515903,17.397478,24,-1.0993692,2.32261e-26
-1.1646023,500,0.5985266,,154.20874,-0.1919192,2.6695702,81.16536,17.397478,19.18646,17.199072,0.14999999,6.1683493,-0.86673105,11.23165,5.0421805,9.726833e-07,,16.256932973861694,-0.88519496,17.397478,25,-0.14946732,9.623716e-08
-0.72503495,520,0.9576387,,155.07657,-0.65656567,0.00035350758,80.17955,17.397478,19.18646,16.532171,0.14999999,5.9644833,-0.8044944,11.435516,5.111914,8.993004e-07,,16.713161945343018,-0.8949162,17.397478,26,-0.6903313,0.01811165
-0.5710193,540,0.9390907,,155.09863,0.7777778,1.069893e-05,80.15567,17.397478,19.18646,17.377945,0.14999999,5.7443943,-0.8422211,11.655605,7.3048363,8.3391916e-07,,17.170487880706787,-0.88582623,17.397478,27,1.0109541,7.4405405e-21
-1.23298,560,1.0079994,,172.49863,0.15151516,3.9776196,79.72651,17.397478,19.18646,,0.14999999,6.1606655,-0.8785883,11.239334,6.9943385,7.754171e-07,,17.628786325454712,-0.90259254,17.397478,28,0.45232674,6.787859e-07
-0.9074458,580,1.4005517,,182.65677,0.43434343,0.096855685,76.83722,17.397478,19.18646,7.2418456,0.14999999,6.2985096,-0.7808479,11.10149,6.577732,7.2286224e-07,,18.12061643600464,-0.9043178,17.397478,29,0.2306138,6.5432935
-0.7638126,600,1.0753227,,191.43634,-0.8181818,1.7183221e-06,76.57231,17.397478,19.18646,8.620443,0.14999999,6.3812113,-0.81141514,11.018788,5.363065,6.754746e-07,,18.66649341583252,-0.88977426,17.397478,30,-0.7236015,1.382671e-10
-0.57695633,620,0.91802365,,191.45996,-0.43434343,0.084596574,75.77821,17.397478,19.18646,17.376371,0.14999999,6.1761284,-0.8442049,11.223871,5.9160795,6.325984e-07,,19.67653512954712,-0.8789933,17.397478,31,-0.3736383,0.7377125
-0.69653314,640,0.8962351,,191.555,-1.0,1.1310466e-09,73.43466,17.397478,19.18646,17.304981,0.14999999,5.9860935,-0.87322843,11.413906,8.721906,5.936788e-07,,20.76758623123169,-0.8773677,17.397478,32,-0.79469854,0.0008728836
-0.5610994,660,1.3889638,,191.61261,1.0,1.8429251e-09,73.11161,17.397478,19.18646,17.342384,0.14999999,5.8064423,-0.90400004,11.593557,13.61185,5.582434e-07,,21.753358125686646,-0.8726596,17.397478,33,1.0028799,3.8301596e-31
-1.1243163,680,0.7789632,,209.01257,-0.11111111,5.011245,73.19291,17.397478,19.18646,,0.14999999,6.1474285,-0.93385303,11.252571,6.727513,5.258885e-07,,22.752950191497803,-0.8733036,17.397478,34,-0.20522141,8.638876e-12
-0.78518826,700,1.089958,,209.4859,-0.65656567,0.00036095807,72.83737,17.397478,19.18646,16.926683,0.14999999,5.9853115,-0.8253512,11.414688,5.030786,4.9626703e-07,,23.809601306915283,-0.8780941,17.397478,35,-0.68691725,0.06306707
-0.5572876,720,0.8764004,,209.48914,-0.3131313,0.65742123,72.02162,17.397478,19.18646,17.39673,0.14999999,5.8191433,-0.85351175,11.580856,5.2011156,4.6907957e-07,,24.7188081741333,-0.86770034,17.397478,36,-0.30553123,0.20818464
-0.6681841,740,1.0753261,,209.70276,0.23232323,2.001945,69.77462,17.397478,19.18646,17.186401,0.14999999,5.6676416,-0.8628138,11.732358,6.9397936,4.4406656e-07,,25.5794997215271,-0.86643964,17.397478,37,0.40533245,0.008377181
