ReturnMax,DenMISELogLast,IWMax,ReturnAbsMax,IWMean,IWLastEpisode,DenMISELogFirst,ReturnMean,Regret,LQGsigma_higher,TimestepsSoFar,Iteration,DenMISEMeanLog,Bound,LQGmu1_actor,ReturnMin,IWFirstEpisode,LQGmu1_higher,ReturnStepMax,TimeElapsed,Delta,Regret/t,ReturnLastEpisode,IWMin
17.385342,-0.5100239,6.78122,17.385342,0.86436194,2.4966919e-15,-0.7470308,12.46746,118.38095,0.14999999,480,24,-0.82969314,85.14777,0.785012,,3.200862e-05,0.67676765,19.174316,22.11031723022461,1.055429e-06,4.93254,17.371592,
17.385342,-0.9184852,5.686845,17.385342,1.2727327,2.2855627e-08,-0.78785145,12.1085205,132.28699,0.14999999,500,25,-0.8410519,84.13408,0.11032528,,4.86174,-0.15151516,19.174316,23.213806629180908,9.726833e-07,5.291479,3.4939666,
17.385342,-0.8285109,5.8072224,17.385342,1.14852,1.25392665e-08,-0.64936996,11.988725,140.69315,0.14999999,520,26,-0.8331098,83.776924,-0.9118395,,7.327226e-06,-0.83838385,19.174316,23.88575315475464,8.993004e-07,5.411275,8.9938345,
17.385342,-0.7464766,6.271749,17.385342,1.0483991,1.1089015e-09,-0.68710995,12.184333,140.823,0.14999999,540,27,-0.8271661,79.23988,0.18344516,,3.1796527,0.09090909,19.174316,24.923218965530396,8.3391916e-07,5.215667,17.270159,
17.385342,-0.7671673,6.4935064,17.385342,0.6242348,1.1186448,-0.61214656,12.063402,149.42471,0.14999999,560,28,-0.82532734,79.5579,0.26216325,,0.013548527,0.45454547,19.174316,25.46979331970215,7.754171e-07,5.3365974,8.798263,
17.385342,-0.80878615,5.0702987,17.385342,0.5445253,2.5205968e-15,-0.6467541,11.939798,158.34583,0.14999999,580,29,-0.83867526,78.19828,-1.2001703,,1.5299564e-08,-1.0,19.174316,26.043051719665527,7.2286224e-07,5.4602013,8.478894,
17.385342,-2.112107,5.1296983,17.385342,1.1161524,0.011232328,-0.68065566,12.11509,158.5473,0.14999999,600,30,-0.8966367,76.91591,-0.44419855,,0.0054842895,-0.61616164,19.174316,26.951938152313232,6.754746e-07,5.2849092,17.198534,
17.385342,-0.65492296,5.391669,17.385342,1.0494292,4.584935,-0.7132627,12.282626,158.63855,0.14999999,620,31,-0.8864314,75.69639,-0.4196759,,0.61210597,-0.37373737,19.174316,27.450987100601196,6.325984e-07,5.1173735,17.308714,
17.385342,-0.5562488,8.726538,17.385342,1.0953109,2.4639642e-15,-0.72545844,12.439688,158.72998,0.14999999,640,32,-0.8759273,75.60272,0.680379,,8.796856e-08,0.83838385,19.174316,28.065698385238647,5.936788e-07,4.960312,17.308594,
17.385342,-0.9615789,9.92266,17.385342,0.7632483,3.9010797e-27,-0.7562301,12.210908,171.24005,0.14999999,660,33,-0.8783501,72.62529,-0.95431083,,1.7069624e-08,-1.0,19.174316,29.254404306411743,5.582434e-07,5.1890917,4.8899674,
17.385342,-0.7086386,5.615661,17.385342,1.0298278,6.634379e-06,-0.78608304,12.358932,171.3963,0.14999999,680,34,-0.8815656,71.84773,-0.18646687,,4.4314046,-0.17171717,19.174316,30.21841859817505,5.258885e-07,5.041068,17.24371,
17.385342,-0.6188666,5.0131536,17.385342,1.1103756,0.0020851342,-0.69255614,12.477731,172.27942,0.14999999,700,35,-0.87428963,71.6688,-0.8773483,,5.7330715e-05,-0.7777778,19.174316,31.7541720867157,4.9626703e-07,4.922269,16.516905,
17.385342,-0.5759913,6.9752493,17.385342,1.0209244,1.131579e-10,-0.7207254,12.612037,172.36664,0.14999999,720,36,-0.8641921,71.03641,0.08127858,,1.6520003,0.17171717,19.174316,32.92158603668213,4.6907957e-07,4.787963,17.312752,
17.385342,-0.75879896,16.235302,17.385342,1.1174083,4.0593143e-08,-0.7032572,12.515616,180.72217,0.14999999,740,37,-0.86217886,70.969826,0.8626435,,7.567473e-11,1.0,19.174316,34.04832625389099,4.4406656e-07,4.884383,9.044506,
17.385342,-0.9993461,5.235542,17.385342,1.0825896,3.9530366e-17,-0.72992545,12.247559,195.79279,0.14999999,760,38,-0.8658773,70.55202,-0.29999828,,0.12150942,-0.47474748,19.174316,35.15655064582825,4.2100217e-07,5.152441,2.3293912,
17.385342,-0.6432964,8.292059,17.385342,0.8075024,2.0062654e-07,-0.75270844,12.372498,196.07257,0.14999999,780,39,-0.8591106,69.29866,0.68442243,,0.0007021738,0.57575756,19.174316,36.264132261276245,3.996891e-07,5.027502,17.12018,
