ReturnMax,LQGmu1_higher,ReturnAbsMax,LQGmu1_actor,Iteration,ReturnStepMax,IWFirstEpisode,Regret/t,Delta,IWMax,IWLastEpisode,DenMISELogLast,Bound,ReturnMin,ReturnMean,ReturnLastEpisode,IWMin,LQGsigma_higher,DenMISEMeanLog,Regret,TimeElapsed,IWMean,TimestepsSoFar,DenMISELogFirst
17.395481,-0.57575756,17.395481,-0.66237897,24,19.184929,0.112217814,5.5462275,1.055429e-06,4.1461563,2.4995271e-11,-0.8112364,86.78172,,11.853772,6.7356377,,0.14999999,-0.8730636,133.10944,17.533777236938477,0.6674599,480,-0.6496425
17.395481,-0.83838385,17.395481,-1.2520101,25,19.184929,0.00019939503,5.325095,9.726833e-07,5.3755374,2.7194586,-0.7106452,83.549,,12.074904,17.382097,,0.14999999,-0.8803187,133.12738,18.32124972343445,1.2063595,500,-0.6857997
17.395481,-1.0,17.395481,-0.7781748,26,19.184929,8.971107e-07,5.1282215,8.993004e-07,8.159486,8.159486,-2.532313,81.92579,,12.271778,17.193598,,0.14999999,-0.93862224,133.33377,19.98564648628235,1.3193219,520,-0.7250124
17.395481,0.75757575,17.395481,0.6588948,27,19.184929,4.031091e-08,4.9399548,8.3391916e-07,7.0153313,7.892387e-23,-0.5400453,81.034386,,12.460045,17.354994,,0.14999999,-0.9161177,133.37878,21.558445930480957,0.7158413,540,-0.7627527
17.395481,0.07070707,17.395481,0.046944417,28,19.184929,1.7859871,5.2009573,7.754171e-07,6.70527,0.0029453868,-0.88240993,79.543755,,12.199042,5.151938,,0.14999999,-0.92616683,145.6268,23.25419020652771,0.866253,560,-0.79912037
17.395481,-0.41414142,17.395481,-0.38176748,29,19.184929,1.3926284,5.3077965,7.2286224e-07,5.8091784,0.05116197,-0.77350795,79.17272,,12.092203,9.100705,,0.14999999,-0.9271563,153.92609,23.954733848571777,0.861625,580,-0.77237815
17.395481,0.37373737,17.395481,0.5150486,30,19.184929,0.0097881565,5.1354513,6.754746e-07,7.158192,1.6383941e-05,-0.68677926,76.641945,,12.264548,17.262613,,0.14999999,-0.9251265,154.06354,24.455946683883667,1.10879,600,-0.75937545
17.395481,-0.67676765,17.395481,-0.7622505,31,19.184929,0.01605102,5.3152933,6.325984e-07,5.65732,1.23121e-13,-0.86123943,76.65278,,12.084706,6.6894155,,0.14999999,-0.92166907,164.77408,24.89552330970764,0.95922095,620,-0.79183906
17.395481,-0.1919192,17.395481,-0.23232819,32,19.184929,5.933246,5.1502523,5.936788e-07,5.933246,0.003446849,-0.57991916,76.06228,,12.249747,17.366034,,0.14999999,-0.9135641,164.80807,25.519798278808594,1.0160306,640,-0.8230701
17.395481,1.0,17.395481,1.1874098,33,19.184929,5.055134e-13,5.0039062,5.582434e-07,14.19504,1.1337803e-14,-0.658579,73.27248,,12.396093,17.07917,,0.14999999,-0.90663195,165.12894,26.547242164611816,0.9251568,660,-0.68374974
17.395481,-1.0,17.395481,-0.9250913,34,19.184929,8.8693304e-07,5.368498,5.258885e-07,8.116297,,-2.149878,72.99494,,12.031502,,,0.14999999,-0.94865555,182.5289,27.51868176460266,1.1350657,680,-0.7136027
17.395481,0.61616164,17.395481,0.7091555,35,19.184929,8.1679555e-06,5.219098,4.9626703e-07,7.312135,5.65666e-23,-0.58321726,72.236664,,12.180902,17.260447,,0.14999999,-0.93633693,182.66846,28.530116081237793,1.1657721,700,-0.7425902
