Iteration,Delta,ReturnAbsMax,ReturnMin,LQGmu1_actor,ReturnMax,Bound,Regret/t,DenMISELogLast,LQGsigma_higher,ReturnMean,IWMin,Regret,IWMax,IWMean,ReturnStepMax,DenMISELogFirst,DenMISEMeanLog,ReturnLastEpisode,TimeElapsed,IWFirstEpisode,LQGmu1_higher,IWLastEpisode,TimestepsSoFar
24,1.055429e-06,17.400105,,-0.7301946,17.400105,87.20436,5.5953608,-0.7626695,0.14999999,11.804639,,134.28864,5.795376,1.1101694,19.188356,-0.6814007,-0.96551657,17.383438,17.891613006591797,0.83205354,-0.5959596,4.605063,480
25,9.726833e-07,17.400105,,0.5423148,17.400105,84.95361,5.372986,-0.64132273,0.14999999,12.027014,,134.32465,8.232404,1.1082795,19.188356,-0.6881412,-0.95116395,17.364014,18.583524465560913,3.034336e-08,0.61616164,1.6189473e-17,500
26,8.993004e-07,17.400105,,-0.7695871,17.400105,82.253914,5.588374,-0.88159156,0.14999999,11.8116255,,145.29773,8.15911,1.1817304,19.188356,-0.7273619,-0.94840693,6.4269257,19.08978843688965,0.00013134275,-1.0,7.088359e-23,520
27,8.3391916e-07,17.400105,,-0.31028444,17.400105,79.745575,5.382745,-0.671639,0.14999999,12.017255,,145.3341,5.637165,1.018086,19.188356,-0.7650972,-0.9356608,17.36364,19.555226802825928,5.4579964,-0.35353535,0.111155406,540
28,7.754171e-07,17.400105,,-0.72934043,17.400105,79.13503,5.198804,-0.61603445,0.14999999,12.201196,,145.5665,5.365593,1.0812912,19.188356,-0.61735487,-0.925525,17.167595,20.169774532318115,0.17073339,-0.6969697,0.1775376,560
29,7.2286224e-07,17.400105,,0.78271896,17.400105,78.23592,5.020774,-0.5697118,0.14999999,12.379226,,145.60242,7.6972384,0.7839078,19.188356,-0.6463671,-0.9123739,17.364098,20.645931005477905,7.976088e-12,0.7979798,1.4431623e-22,580
30,6.754746e-07,17.400105,,0.24132487,17.400105,76.794785,5.315857,-0.8980499,0.14999999,12.084143,,159.47571,7.1132855,1.0254421,19.188356,-0.68026865,-0.92046535,3.526697,21.24711275100708,0.048187405,0.15151516,0.0009326248,600
31,6.325984e-07,17.400105,,0.5397258,17.400105,75.53397,5.4290743,-0.8580234,0.14999999,11.970925,,168.30127,7.3158245,0.9525009,19.188356,-0.7114535,-0.9195601,8.574419,21.803160429000854,6.6312296e-06,0.47474748,1.8689976,620
32,5.936788e-07,17.400105,,0.029763632,17.400105,74.53124,5.6015263,-0.83485675,0.14999999,11.798473,,179.24884,4.9470477,0.9565158,19.188356,-0.743202,-0.9199781,6.452432,22.298814058303833,2.3642273,-0.11111111,0.00050042884,640
33,5.582434e-07,17.400105,,-0.7665901,17.400105,73.65355,5.6809597,-0.76154363,0.14999999,11.71904,,187.47168,5.135694,0.9452683,19.188356,-0.70269346,-0.9175032,9.177194,22.789992332458496,0.01649679,-0.8181818,6.552101e-07,660
