DenMISELogLast,GridSize,DenMISEMeanLog,BoundBonus,Regret,IWFirstEpisode,ReturnMax,ReturnMin,ReturnMean,InvPendulum_mu1_higher,InvPendulum_mu2_higher,IWMin,IWMax,InvPendulum_std1_higher,Iteration,InvPendulum_std0_higher,MinEpLen,InvPendulum_mu0_higher,InvPendulum_std3_higher,TimestepsSoFar,ReturnAbsMax,InvPendulum_std2_higher,DenMISELogFirst,InvPendulum_mu3_higher,BoundMISE,Bound,ActionIn1,Regret/t,AvgEpLen,ReturnLastEpisode,Delta,NumTrajectories,TimeElapsed,NumTrainableParams,IWMean,IWLastEpisode
9.500022,1,9.500022,inf,104.813995,,-99.813995,-99.813995,-99.813995,-0.2,-0.2,,,0.03,1,0.03,24,-0.2,0.03,24,99.813995,0.03,9.500022,-0.2,,inf,-0.87919015,104.813995,24.0,-99.813995,0.060792707,1,0.08350634574890137,4,,
8.175362,16,8.4911175,inf,214.45506,,-99.813995,-104.64107,-102.22753,-0.2,-0.2,,,0.03,2,0.03,18,-0.2,0.03,42,104.64107,0.03,8.806874,0.2,,inf,-0.39696917,107.22753,21.0,-104.64107,0.001788021,2,0.413313627243042,,,
8.85778,16,8.343028,inf,354.21655,,-99.813995,-134.7615,-113.07218,-0.2,0.2,,,0.03,3,0.03,18,-0.2,0.03,87,134.7615,0.03,8.401409,-0.2,,inf,-0.34981987,118.07218,29.0,-134.7615,0.000794676,3,0.616431713104248,,,
4.8457994,16,7.25296,inf,489.51288,,-99.813995,-134.7615,-117.37822,-0.2,0.2,,1.7234179e-34,0.03,4,0.03,18,-0.2,0.03,128,134.7615,0.03,8.113728,0.2,-5.8081822e-33,inf,-0.012048647,122.37822,32.0,-130.29633,0.00044700524,4,0.7669920921325684,,4.3100203e-35,5.9025623e-38
7.535821,16,7.131017,inf,629.9951,,-99.813995,-135.48224,-120.99902,-0.2,-0.2,,,0.03,5,0.03,18,0.2,0.03,174,135.48224,0.03,7.890584,-0.2,,inf,-0.42133373,125.99902,34.8,-135.48224,0.00028608335,5,0.9306313991546631,,,
7.701453,16,7.0741553,inf,753.0825,,-99.813995,-135.48224,-120.513756,-0.2,-0.2,,,0.03,6,0.03,18,0.2,0.03,199,135.48224,0.03,7.7082624,0.2,,inf,-0.0015074015,125.513756,33.166666666666664,-118.08736,0.000198669,6,1.062110185623169,,,
8.049499,16,7.081361,inf,877.6266,,-99.813995,-135.48224,-120.37523,-0.2,0.2,,3.3248292e-33,0.03,7,0.03,18,0.2,0.03,221,135.48224,0.03,7.554112,-0.2,-6.2069205e-32,inf,-0.10462226,125.37523,31.571428571428573,-119.54409,0.00014596088,7,1.1783878803253174,,4.7651373e-34,
5.4935822,16,6.7660484,inf,1001.36145,,-99.813995,-135.48224,-120.17018,-0.2,0.2,,,0.03,8,0.03,18,0.2,0.03,252,135.48224,0.03,7.4205804,0.2,,inf,0.37954414,125.17018,31.5,-118.734886,0.00011175131,8,1.3135201930999756,,,
5.7404213,16,6.5473943,inf,1119.6001,,-99.813995,-135.48224,-119.40001,0.2,-0.2,,,0.03,9,0.03,18,-0.2,0.03,270,135.48224,0.03,7.3027973,-0.2,,inf,-0.4344089,124.40001,30.0,-113.23856,8.829733e-05,9,1.4315733909606934,,,
7.530082,16,6.5508385,inf,1232.8323,,-99.813995,-135.48224,-118.283226,0.2,-0.2,,,0.03,10,0.03,15,-0.2,0.03,285,135.48224,0.03,7.197437,0.2,,inf,0.017258123,123.283226,28.5,-108.23217,7.152084e-05,10,1.5472266674041748,,,
7.203509,16,6.523526,inf,1353.9966,,-99.813995,-135.48224,-118.0906,0.2,0.2,,4.634161e-37,0.03,11,0.03,15,-0.2,0.03,307,135.48224,0.03,7.1021266,-0.2,-4.5596844e-36,inf,-0.07016645,123.0906,27.90909090909091,-116.164345,5.9108123e-05,11,1.6627507209777832,,4.2128735e-38,
4.5623565,16,6.280335,inf,1466.3649,,-99.813995,-135.48224,-117.197075,0.2,0.2,,4.1573227e-34,0.03,12,0.03,15,-0.2,0.03,323,135.48224,0.03,7.0151153,0.2,-4.024439e-33,inf,0.54180056,122.197075,26.916666666666668,-107.36829,4.966725e-05,12,1.790935754776001,,3.4644355e-35,
3.724382,16,6.0098376,inf,1589.915,,-99.813995,-135.48224,-117.301155,0.2,-0.2,,2.9124573e-36,0.03,13,0.03,15,0.2,0.03,351,135.48224,0.03,6.9350724,-0.2,-2.6455723e-35,inf,0.022073165,122.301155,27.0,-118.55026,4.232002e-05,13,1.9359345436096191,,2.2403518e-37,
6.799803,16,5.9974494,inf,1704.5286,,-99.813995,-135.48224,-116.75204,0.2,-0.2,,1.8686983e-34,0.03,14,0.03,15,0.2,0.03,369,135.48224,0.03,6.860965,0.2,-1.8704848e-33,inf,0.43026674,121.75204,26.357142857142858,-109.61337,3.649022e-05,14,2.0621864795684814,,1.6755646e-35,1.8686983e-34
7.3077044,16,6.0204062,inf,1820.3782,,-99.813995,-135.48224,-116.35854,0.2,0.2,,,0.03,15,0.03,15,0.2,0.03,384,135.48224,0.03,6.7919717,-0.2,,inf,0.49287266,121.35854,25.6,-110.84974,3.178704e-05,15,2.183253049850464,,,
5.7828827,16,5.945056,inf,1942.7112,,-99.813995,-135.48224,-116.41945,0.2,0.2,,1.1635519e-31,0.03,16,0.03,15,0.2,0.03,410,135.48224,0.03,6.727433,0.2,-8.533305e-31,inf,0.79005855,121.41945,25.625,-117.33302,2.7937827e-05,16,2.3312084674835205,,7.272744e-33,1.1635519e-31
5.376635,16,5.8545613,771.08624,2070.2258,,-99.813995,-135.48224,-116.77799,-0.2,-0.2,,17.0,0.03,17,0.03,15,-0.2,0.03,440,135.48224,0.03,6.6668086,-0.2,-82.48311,688.60315,-0.7886069,121.77799,25.88235294117647,-122.51462,2.4747693e-05,17,2.495164155960083,,1.0,
7.579978,16,5.9349427,775.2304,2183.4956,,-99.813995,-135.48224,-116.30531,0.2,0.2,,18.0,0.03,18,0.03,15,-0.2,0.03,461,135.48224,0.03,6.60965,-0.2,-84.63284,690.59753,-0.067479745,121.30531,25.61111111111111,-108.269806,2.2074333e-05,18,2.6444201469421387,,1.0,
6.5788474,16,5.9540925,779.13007,2294.5103,,-99.813995,-135.48224,-115.763695,0.2,-0.2,,19.0,0.03,19,0.03,12,-0.2,0.03,473,135.48224,0.03,6.555583,-0.2,-85.31379,693.8163,-0.3920806,120.763695,24.894736842105264,-106.01483,1.9811867e-05,19,2.771662712097168,,1.0,1.2462444e-38
6.2144227,16,5.953038,782.8118,2413.446,,-99.813995,-135.48224,-115.6723,0.2,-0.2,,20.0,0.03,20,0.03,12,0.2,0.03,493,135.48224,0.03,6.5042896,-0.2,-86.40252,696.4093,0.06718257,120.6723,24.65,-113.93571,1.788021e-05,20,2.9074885845184326,,1.0,
5.544123,16,5.920106,786.29785,2522.3308,,-99.813995,-135.48224,-115.11099,0.2,-0.2,,20.999996,0.03,21,0.03,12,0.2,0.03,506,135.48224,0.03,6.4554996,0.2,-87.37708,698.9208,0.40063855,120.11099,24.095238095238095,-103.88469,1.6217875e-05,21,3.0271155834198,,0.9999998,4.4583087e-31
7.2486606,16,5.967596,789.60736,2635.7869,,-99.813995,-135.48224,-114.808495,-0.2,0.2,,22.000002,0.03,22,0.03,12,0.2,0.03,525,135.48224,0.03,6.4089794,0.2,-89.26007,700.3473,0.27965719,119.808495,23.863636363636363,-108.45598,1.4777031e-05,22,3.171264410018921,,1.0000001,
5.7562404,16,5.9460244,792.7568,2758.8772,,-99.813995,-135.48224,-114.95118,0.2,-0.2,,23.0,0.03,23,0.03,12,-0.2,0.03,546,135.48224,0.03,6.3645277,0.2,-91.56631,701.1905,-0.013295472,119.95118,23.73913043478261,-118.090294,1.3520007e-05,23,3.303774356842041,,1.0,
7.2386136,16,5.9879775,795.7605,2881.3977,,-99.813995,-135.48224,-115.058235,0.2,0.2,,24.0,0.03,24,0.03,12,0.2,0.03,571,135.48224,0.03,6.321968,-0.2,-92.48752,703.27295,0.45215192,120.058235,23.791666666666668,-117.52062,1.2416813e-05,24,3.4543237686157227,,1.0,
6.190271,16,5.984606,798.6309,2992.0442,,-99.813995,-135.48224,-114.68177,-0.2,-0.2,,25.000002,0.03,25,0.03,12,0.2,0.03,587,135.48224,0.03,6.281146,-0.2,-93.08212,705.5488,-0.4870026,119.68177,23.48,-105.64645,1.1443334e-05,25,3.5994832515716553,,1.0000001,
3.2783525,16,5.8694663,801.37915,3104.9111,,-99.813995,-135.48224,-114.41966,0.2,0.2,,26.000004,0.03,26,0.03,12,-0.2,0.03,606,135.48224,0.03,6.2419252,0.2,-93.44701,707.9321,0.2951252,119.41966,23.307692307692307,-107.86682,1.0580005e-05,26,3.7550315856933594,,1.0000001,
3.7634697,16,5.7807956,804.0147,3229.808,,-99.813995,-135.48224,-114.62252,-0.2,0.2,,27.000002,0.03,27,0.03,12,0.2,0.03,630,135.48224,0.03,6.204185,-0.2,-93.59254,710.4222,-0.004470527,119.62252,23.333333333333332,-119.89715,9.810813e-06,27,3.924370527267456,,1.0000001,
4.816802,16,5.7360544,806.5463,3345.418,,-99.813995,-135.48224,-114.47921,-0.2,-0.2,,27.999996,0.03,28,0.03,12,0.2,0.03,646,135.48224,0.03,6.1678176,0.2,-94.23039,712.3159,-0.008136526,119.47921,23.071428571428573,-110.6098,9.122555e-06,28,4.065866947174072,,0.9999999,
7.286047,16,5.779522,808.9815,3461.207,,-99.813995,-135.48224,-114.35197,0.2,0.2,,28.999998,0.03,29,0.03,12,0.2,0.03,661,135.48224,0.03,6.132726,0.2,-96.57191,712.4096,0.7653655,119.35197,22.79310344827586,-110.789055,8.504261e-06,29,4.194484710693359,,0.99999994,
6.4201837,16,5.791211,811.3272,3580.5435,,-99.813995,-135.48224,-114.35145,-0.2,0.2,,30.000002,0.03,30,0.03,12,-0.2,0.03,679,135.48224,0.03,6.0988245,-0.2,-102.70582,708.6214,-0.39116,119.35145,22.633333333333333,-114.33659,7.94676e-06,30,4.3334362506866455,,1.0000001,
4.089579,16,5.7269473,813.58954,3716.003,,-99.813995,-135.48224,-114.87106,-0.2,-0.2,,30.999998,0.03,31,0.03,12,-0.2,0.03,713,135.48224,0.03,6.066035,0.2,-106.22549,707.3641,-0.439169,119.87106,23.0,-130.45929,7.4423347e-06,31,4.506517171859741,,0.99999994,
6.9173565,16,5.7550516,815.7741,3854.1997,,-99.813995,-135.48224,-115.44374,-0.2,0.2,,32.0,0.03,32,0.03,12,-0.2,0.03,748,135.48224,0.03,6.034286,0.2,-106.7936,708.9805,-0.08100034,120.44374,23.375,-133.19658,6.984457e-06,32,4.688873052597046,,1.0,
5.2353454,81,5.7304688,inf,4355.9917,,-99.813995,-496.7923,-126.99975,-0.2,,,1.03665854e-16,0.03,33,0.03,12,-0.2,0.03,1248,496.7923,0.03,6.0035143,,-7.098007e-16,inf,-0.34295475,131.99976,37.81818181818182,-496.7923,1.3615693e-06,33,5.513460874557495,,5.7467906e-18,1.6953928e-18
5.963917,81,5.7083597,inf,4857.674,,-99.813995,-496.7923,-137.87276,-0.2,-0.2,,4.5460877e-15,0.03,34,0.03,12,,0.03,1748,496.7923,0.03,5.9736614,,-6.876521e-14,inf,-0.34963506,142.87276,51.411764705882355,-496.68195,1.2826548e-06,34,10.15125060081482,,1.5187779e-16,4.5460877e-15
3.846493,81,5.6270046,inf,4973.706,,-99.813995,-496.7923,-137.10588,-0.2,,,3.6014147e-14,0.03,35,0.03,12,,0.03,1779,496.7923,0.03,5.944674,-0.2,-2.3212012e-13,inf,-0.4741422,142.10588,50.82857142857143,-111.03234,1.2104073e-06,35,10.610003232955933,,1.898172e-15,2.0041345e-17
4.757909,81,5.5754743,inf,5085.462,,-99.813995,-496.7923,-136.26283,-0.2,,,6.194967e-13,0.03,36,0.03,12,,0.03,1801,496.7923,0.03,5.916503,0.2,-2.3415855e-12,inf,-0.0070687234,141.26283,50.02777777777778,-106.75574,1.1440965e-06,36,11.068333148956299,,1.7914415e-14,1.7474277e-35
5.546198,81,5.548024,inf,5435.6904,,-99.813995,-496.7923,-141.91055,-0.2,0.2,,1.591717e-11,0.03,37,0.03,12,,0.03,2049,496.7923,0.03,5.889104,,-5.0897172e-11,inf,0.00864174,146.91055,55.37837837837838,-345.2286,1.0830892e-06,37,11.854492902755737,,4.3040558e-13,4.468251e-24
6.4121785,81,5.544799,inf,5557.908,,-99.813995,-496.7923,-141.26074,-0.2,,,1.6868172e-13,0.03,38,0.03,12,0.2,0.03,2069,496.7923,0.03,5.862436,,-5.446716e-13,inf,0.020956127,146.26074,54.44736842105263,-117.217545,1.0268345e-06,38,12.279112815856934,,4.6240532e-15,9.460818e-21
5.6216526,81,5.5214596,inf,5710.8535,,-99.813995,-496.7923,-141.43214,,-0.2,,1.9392665e-11,0.03,39,0.03,12,-0.2,0.03,2123,496.7923,0.03,5.83646,,-5.526677e-11,inf,-0.43821037,146.43214,54.43589743589744,-147.94598,9.748514e-07,39,12.74520230293274,,4.9773906e-13,
4.649716,81,5.474982,inf,5828.198,,-99.813995,-496.7923,-140.70496,,,,8.021754e-15,0.03,40,0.03,12,-0.2,0.03,2141,496.7923,0.03,5.8111424,-0.2,-2.1828386e-14,inf,-0.47133467,145.70496,53.525,-112.344345,9.267181e-07,40,13.181386232376099,,2.0459619e-16,1.3268628e-16
5.6944785,81,5.456245,inf,5932.9326,,-99.73464,-496.7923,-139.70567,,,,1.858858e-12,0.03,41,0.03,12,-0.2,0.03,2247,496.7923,0.03,5.78645,0.2,-5.4383616e-12,inf,-0.013389662,144.70567,54.80487804878049,-99.73464,8.820637e-07,41,13.778838872909546,,4.5343737e-14,
5.709522,81,5.4387517,inf,6055.9165,,-99.73464,-496.7923,-139.18849,,0.2,,1.9668283e-11,0.03,42,0.03,12,-0.2,0.03,2271,496.7923,0.03,5.7623525,,-5.6220213e-11,inf,-0.020205319,144.18849,54.07142857142857,-117.98378,8.405606e-07,42,14.243741035461426,,4.6897767e-13,7.444682e-22
4.965803,81,5.4047694,inf,6180.18,,-99.73464,-496.7923,-138.72511,,-0.2,,4.56243e-10,0.03,43,0.03,12,,0.03,2297,496.7923,0.03,5.738822,-0.2,-1.1890459e-09,inf,-0.30582434,143.72511,53.41860465116279,-119.26359,8.019195e-07,43,14.718037605285645,,1.0707846e-11,
2.5160146,81,5.3166485,inf,6297.9956,,-99.73464,-496.7923,-138.13626,,-0.2,,5.510464e-13,0.03,44,0.03,12,,0.03,2320,496.7923,0.03,5.715832,0.2,-1.3970995e-12,inf,0.09016895,143.13626,52.72727272727273,-112.8152,7.658827e-07,44,15.189092636108398,,1.25789416e-14,6.8503906e-36
4.9090443,81,5.2856174,inf,6414.294,,-99.73464,-496.7923,-137.53987,,,,6.468208e-12,0.03,45,0.03,12,,0.03,2336,496.7923,0.03,5.6933594,,-1.7754211e-11,inf,-0.17924601,142.53987,51.91111111111111,-111.298645,7.3222174e-07,45,15.658641338348389,,1.4746139e-13,2.6392697e-20
-0.7796238,81,5.132263,inf,6545.789,,-99.73464,-496.7923,-137.29976,,0.2,,4.4861922e-13,0.03,46,0.03,12,,0.03,2369,496.7923,0.03,5.6713805,-0.2,-1.4681582e-12,inf,0.021921784,142.29976,51.5,-126.494606,7.0073213e-07,46,16.111068964004517,,1.1872718e-14,4.4861922e-13
6.307139,81,5.136212,inf,6657.46,,-99.73464,-496.7923,-136.64809,,0.2,,9.299512e-14,0.03,47,0.03,12,,0.03,2382,496.7923,0.03,5.649874,0.2,-2.3921655e-13,inf,0.39789164,141.64809,50.680851063829785,-106.67115,6.7123085e-07,47,16.532586574554443,,2.0872476e-15,
4.0466247,81,5.092898,inf,6779.05,,-99.73464,-496.7923,-136.23021,,-0.2,,1.2827184e-11,0.03,48,0.03,12,0.2,0.03,2404,496.7923,0.03,5.628821,,-3.3632985e-11,inf,-0.0062282085,141.23021,50.083333333333336,-116.59007,6.435543e-07,48,16.98867893218994,,3.02349e-13,
5.3477893,81,5.077901,inf,6900.0146,,-99.73464,-496.7923,-135.81662,,,,7.205641e-09,0.03,49,0.03,12,0.2,0.03,2424,496.7923,0.03,5.6082015,-0.2,-1.627898e-08,inf,0.025818065,140.81662,49.46938775510204,-115.96493,6.175547e-07,49,17.517394304275513,,1.471584e-10,4.0187712e-22
4.7627435,81,5.0517993,inf,7010.4385,,-99.73464,-496.7923,-135.20877,,,,3.2379181e-15,0.03,50,0.03,12,0.2,0.03,2438,496.7923,0.03,5.587999,0.2,-1.2805288e-14,inf,0.42878896,140.20877,48.76,-105.42372,5.930996e-07,50,17.999499320983887,,1.0693426e-16,
5.5044613,81,5.041261,inf,7154.7837,,-99.73464,-496.7923,-135.28987,,0.2,,2.1411175e-11,0.03,51,0.03,12,0.2,0.03,2479,496.7923,0.03,5.5681963,,-5.0631922e-11,inf,0.2867979,140.28987,48.6078431372549,-139.34525,5.700688e-07,51,18.434427499771118,,4.3283836e-13,1.6073191e-22
3.9540486,81,5.0013075,inf,7272.077,,-99.73464,-496.7923,-134.84764,0.2,,,6.9770553e-15,0.03,52,0.03,12,-0.2,0.03,2496,496.7923,0.03,5.548778,,-3.6079877e-14,inf,-0.013323184,139.84764,48.0,-112.293655,5.483539e-07,52,18.916122913360596,,3.026828e-16,
4.222768,81,4.9679294,inf,7385.5273,,-99.73464,-496.7923,-134.34958,0.2,-0.2,,1.8313179e-11,0.03,53,0.03,12,,0.03,2511,496.7923,0.03,5.52973,,-3.9112068e-11,inf,0.11952518,139.34958,47.37735849056604,-108.44952,5.2785657e-07,53,19.3978590965271,,3.4656688e-13,1.5102803e-17
3.6000023,81,4.924252,inf,7497.365,,-99.73464,-496.7923,-133.8401,0.2,,,1.0840204e-08,0.03,54,0.03,12,,0.03,2526,496.7923,0.03,5.511038,-0.2,-2.5540887e-08,inf,-0.014384076,138.8401,46.77777777777778,-106.83818,5.084873e-07,54,19.91322159767151,,2.0210722e-10,6.353683e-20
5.3878875,81,4.914666,inf,7611.346,,-99.73464,-496.7923,-133.3881,0.2,,,2.0745823e-10,0.03,55,0.03,12,,0.03,2543,496.7923,0.03,5.4926887,0.2,-4.0391038e-10,inf,0.41440666,138.3881,46.236363636363635,-108.9809,4.9016495e-07,55,20.453837156295776,,3.780225e-12,9.901613e-38
5.373805,81,4.9051676,inf,7734.148,,-99.73464,-496.7923,-133.10979,0.2,0.2,,2.5725935e-10,0.03,56,0.03,12,,0.03,2565,496.7923,0.03,5.4746704,,-5.3606897e-10,inf,0.39116958,138.10979,45.80357142857143,-117.80163,4.7281532e-07,56,20.967740535736084,,4.598194e-12,6.73739e-23
5.731191,81,4.9022703,inf,7851.745,,-99.73464,-496.7923,-132.74991,0.2,,,2.0513584e-11,0.03,57,0.03,12,0.2,0.03,2582,496.7923,0.03,5.4569707,,-3.8457845e-11,inf,0.48522076,137.74991,45.29824561403509,-112.59716,4.563709e-07,57,21.463520050048828,,3.5995984e-13,1.0454044e-21
0.8192458,81,4.8147817,5619998000000.0,7969.953,,-99.73464,-496.7923,-132.41298,-0.2,-0.2,,4.8795537e-05,0.03,58,0.03,12,-0.2,0.03,2599,496.7923,0.03,5.439579,,-0.00010131236,5619998000000.0,-0.6917768,137.41298,44.810344827586206,-113.2082,4.4076967e-07,58,21.994985818862915,,9.0273244e-07,
4.1367345,81,4.786485,5626558700000.0,8098.1157,,-99.73464,-496.7923,-132.2562,-0.2,,,2.1095448e-06,0.03,59,0.03,12,-0.2,0.03,2626,496.7923,0.03,5.4224844,-0.2,-4.2321485e-06,5626558700000.0,-0.5735845,137.2562,44.50847457627118,-123.16296,4.259549e-07,59,22.535964488983154,,4.1779906e-08,5.4285194e-21
4.231771,81,4.760712,5633001700000.0,8097.679,,5.4367437,-496.7923,-129.96132,-0.2,,,8.8160925e-07,0.03,60,0.03,12,-0.2,0.03,3126,496.7923,0.03,5.4056773,0.2,-6.431043e-06,5633001700000.0,-0.24993429,134.96132,52.1,5.4367437,4.1187477e-07,60,23.74255681037903,,2.6770326e-08,3.2963108e-27
4.7454476,81,4.7442036,5639331400000.0,8593.6,,5.4367437,-496.7923,-135.87868,-0.2,0.2,,0.000793369,0.03,61,0.03,12,-0.2,0.03,3626,496.7923,0.03,5.389148,,-0.0015525448,5639331400000.0,-0.22317813,140.87868,59.442622950819676,-490.91965,3.984813e-07,61,24.965967416763306,,1.3016992e-05,4.0253116e-20
3.1942537,81,4.7032065,5662597000000.0,9096.892,,5.4367437,-498.29233,-141.72406,-0.2,-0.2,,0.0025709616,0.03,62,0.03,12,,0.03,4126,498.29233,0.03,5.3728876,-0.2,-0.0044451375,5662597000000.0,-0.59319574,146.72406,66.54838709677419,-498.29233,3.8573074e-07,62,26.26566505432129,,4.1622345e-05,
3.4086912,81,4.666913,5668729000000.0,9225.039,,5.4367437,-498.29233,-141.42918,-0.2,-0.2,,1.5475204e-06,0.03,63,0.03,12,,0.03,4165,498.29233,0.03,5.3568873,0.2,-9.256616e-06,5668729000000.0,-0.16891637,146.42918,66.11111111111111,-123.1482,3.735825e-07,63,26.869983434677124,,3.093909e-08,3.0169788e-37
