ReturnAbsMax,Bound,TimestepsSoFar,InvPendulum_mu1_higher,ReturnLastEpisode,BoundBonus,BoundMISE,DenMISEMeanLog,ActionIn1,InvPendulum_std0_higher,Regret/t,MinEpLen,ReturnMax,AvgEpLen,Regret,InvPendulum_std3_higher,IWMean,NumTrajectories,InvPendulum_mu0_higher,IWLastEpisode,TimeElapsed,GridSize,IWMax,NumTrainableParams,ReturnMean,InvPendulum_mu2_higher,DenMISELogFirst,InvPendulum_mu3_higher,Iteration,InvPendulum_std1_higher,InvPendulum_std2_higher,DenMISELogLast,IWMin,ReturnMin,IWFirstEpisode,Delta
126.64811,inf,29,-0.2,-126.64811,inf,,9.746984,-0.64897776,0.03,131.6481,29,-126.64811,29.0,131.6481,0.03,,1,-0.2,,0.06470346450805664,1,,4,-126.64811,-0.2,9.746984,-0.2,1,0.03,0.03,9.746984,,-126.64811,,0.060792707
126.64811,inf,66,-0.2,-112.999725,inf,-1.6011714e-29,7.409422,-0.31308013,0.03,124.82391,29,-112.999725,33.0,249.64783,0.03,1.4169692e-31,2,-0.2,2.8339384e-31,0.42058634757995605,16,2.8339384e-31,,-119.82391,-0.2,9.053837,0.2,2,0.03,0.03,5.765007,,-126.64811,,0.001788021
492.30817,inf,566,-0.2,-492.30817,inf,-1.3004573e-35,6.689509,-0.41037062,0.03,248.98535,29,-112.999725,188.66666666666666,746.95605,0.03,1.15085e-37,3,-0.2,,1.260800838470459,16,3.45255e-37,,-243.98535,0.2,8.648372,-0.2,3,0.03,0.03,6.0606136,,-492.30817,,0.000794676
492.30817,inf,591,-0.2,-99.3487,inf,-1.0644762e-22,7.0272837,0.024015635,0.03,212.82617,25,-99.3487,147.75,851.3047,0.03,2.162215e-25,4,-0.2,,1.3860602378845215,16,8.64886e-25,,-207.82617,0.2,8.360689,0.2,4,0.03,0.03,8.903653,,-492.30817,,0.00044700524
492.30817,inf,618,-0.2,-123.54571,inf,-9.913458e-29,6.496976,-0.376025,0.03,195.97006,25,-99.3487,123.6,979.85034,0.03,8.772993e-31,5,0.2,,1.5109844207763672,16,4.3864965e-30,,-190.97006,-0.2,8.137546,-0.2,5,0.03,0.03,5.268319,,-492.30817,,0.00028608335
492.30817,inf,636,-0.2,-104.68189,inf,-2.9706273e-31,6.5675087,-0.012637958,0.03,181.5887,18,-99.3487,106.0,1089.5322,0.03,2.8258899e-33,6,0.2,1.6936095e-32,1.626495122909546,16,1.6936095e-32,,-176.5887,-0.2,7.955224,0.2,6,0.03,0.03,7.8317814,,-492.30817,,0.000198669
492.30817,inf,659,-0.2,-120.31722,inf,,6.660954,-0.0013450533,0.03,173.54993,18,-99.3487,94.14285714285714,1214.8495,0.03,,7,0.2,,1.759021282196045,16,,,-168.54993,0.2,7.8010736,-0.2,7,0.03,0.03,8.146531,,-492.30817,,0.00014596088
492.30817,inf,681,-0.2,-106.788826,inf,-1.4785155e-24,6.7425017,0.42374718,0.03,165.8298,18,-99.3487,85.125,1326.6384,0.03,1.1967356e-26,8,0.2,1.484844e-37,1.8870060443878174,16,9.5738847e-26,,-160.8298,0.2,7.667542,0.2,8,0.03,0.03,8.248055,,-492.30817,,0.00011175131
492.30817,inf,710,0.2,-126.917595,inf,-4.2854557e-26,6.559361,-0.44548774,0.03,162.06177,18,-99.3487,78.88888888888889,1458.5559,0.03,3.7924478e-28,9,-0.2,,2.023534059524536,16,3.413203e-27,,-157.06177,-0.2,7.549759,-0.2,9,0.03,0.03,6.036498,,-492.30817,,8.829733e-05
492.30817,inf,730,0.2,-113.420204,inf,,6.4305277,-0.0065488666,0.03,157.6976,18,-99.3487,73.0,1576.9761,0.03,,10,-0.2,,2.1442461013793945,16,,,-152.6976,-0.2,7.4443984,0.2,10,0.03,0.03,6.2192683,,-492.30817,,7.152084e-05
492.30817,inf,749,0.2,-112.84956,inf,-5.3857088e-36,6.3492513,0.0825599,0.03,154.07506,18,-99.3487,68.0909090909091,1694.8257,0.03,4.748456e-38,11,-0.2,,2.2767903804779053,16,5.223302e-37,,-149.07506,0.2,7.349088,-0.2,11,0.03,0.03,6.489592,,-492.30817,,5.9108123e-05
