Iteration,DenMISEMeanLog,ActionIn1,Bound,BoundBonus,Delta,NumTrajectories,TimestepsSoFar,IWMax,ReturnMax,InvPendulum_std0_higher,Regret,AvgEpLen,DenMISELogFirst,InvPendulum_std2_higher,IWLastEpisode,GridSize,InvPendulum_mu3_higher,InvPendulum_mu1_higher,InvPendulum_mu2_higher,ReturnMin,IWMean,MinEpLen,BoundMISE,IWMin,Regret/t,NumTrainableParams,ReturnLastEpisode,IWFirstEpisode,ReturnMean,TimeElapsed,ReturnAbsMax,InvPendulum_std3_higher,InvPendulum_mu0_higher,DenMISELogLast,InvPendulum_std1_higher
1,6.346396,-0.71519315,inf,inf,0.060792707,1,15,,-109.941246,0.03,114.941246,15.0,6.346396,0.03,,1,-0.2,-0.2,-0.2,-109.941246,,15,,,114.941246,4,-109.941246,,-109.941246,0.05334734916687012,109.941246,0.03,-0.2,6.346396,0.03
2,6.0463505,-0.47758248,inf,inf,0.001788021,2,70,1.2344722e-38,-109.941246,0.03,240.10347,35.0,5.653249,0.03,1.2344722e-38,16,0.2,-0.2,-0.2,-120.162224,,15,-7.4168463e-37,,120.051735,,-120.162224,,-115.051735,0.49590539932250977,120.162224,0.03,-0.2,6.4394526,0.03
3,5.9998207,-0.44110072,inf,inf,0.000794676,3,103,2.3086103e-25,-109.941246,0.03,366.53934,34.333333333333336,5.2477837,0.03,,16,-0.2,-0.2,0.2,-121.435875,7.695368e-26,15,-9.246924e-24,,122.17978,,-121.435875,,-117.17978,0.6790401935577393,121.435875,0.03,-0.2,6.7176914,0.03
4,5.357167,0.012347132,inf,inf,0.00044700524,4,120,,-105.7399,0.03,477.27924,30.0,4.9601016,0.03,,16,0.2,-0.2,0.2,-121.435875,,15,,,119.31981,,-105.7399,,-114.31981,0.792316198348999,121.435875,0.03,-0.2,4.2922506,0.03
5,4.5829186,-0.38922697,inf,inf,0.00028608335,5,620,,-105.7399,0.03,981.35596,124.0,4.736958,0.03,,16,-0.2,-0.2,-0.2,-499.0767,,15,,,196.2712,,-499.0767,,-191.2712,1.5815351009368896,499.0767,0.03,0.2,2.3784995,0.03
6,4.950231,0.050986677,inf,inf,0.000198669,6,633,3.3918474e-37,-105.7399,0.03,1094.0259,105.5,4.5546365,0.03,3.3918474e-37,16,0.2,-0.2,-0.2,-499.0767,5.653079e-38,13,-6.086672e-36,,182.33765,,-107.67004,,-177.33765,1.677372932434082,499.0767,0.03,0.2,7.6984043,0.03
7,5.1764984,0.018238291,inf,inf,0.00014596088,7,677,2.2736667e-34,-105.7399,0.03,1236.8572,96.71428571428571,4.400486,0.03,,16,-0.2,-0.2,0.2,-499.0767,3.2480952e-35,13,-3.4345326e-33,,176.69388,,-137.83122,,-171.69388,1.8332479000091553,499.0767,0.03,0.2,7.459,0.03
8,4.985657,0.4011011,inf,inf,0.00011175131,8,693,3.4572936e-30,-105.7399,0.03,1353.3904,86.625,4.2669544,0.03,,16,0.2,-0.2,0.2,-499.0767,4.540401e-31,13,-2.1869736e-28,,169.1738,,-111.533195,,-164.1738,1.945584774017334,499.0767,0.03,0.2,4.584492,0.03
9,5.146406,-0.44664794,inf,inf,8.829733e-05,9,709,3.178728e-33,-105.7399,0.03,1469.3785,78.77777777777777,4.1491714,0.03,,16,-0.2,0.2,-0.2,-499.0767,3.5319202e-34,13,-4.244034e-32,,163.26428,,-110.98817,,-158.26428,2.0425047874450684,499.0767,0.03,-0.2,7.3746614,0.03
10,5.076017,0.077945516,inf,inf,7.152084e-05,10,725,1.3398052e-34,-105.7399,0.03,1584.981,72.5,4.043811,0.03,1.3398052e-34,16,0.2,0.2,-0.2,-499.0767,1.3987449e-35,13,-1.5534301e-33,,158.4981,,-110.60237,,-153.4981,2.1542234420776367,499.0767,0.03,-0.2,5.390761,0.03
11,5.0709324,0.049462155,inf,inf,5.9108123e-05,11,746,1.0068101e-36,-105.7399,0.03,1703.3773,67.81818181818181,3.9485006,0.03,,16,-0.2,0.2,0.2,-499.0767,9.152819e-38,13,-9.678182e-36,,154.85248,,-113.396385,,-149.85248,2.2828845977783203,499.0767,0.03,-0.2,5.973187,0.03
12,5.123533,0.4396191,inf,inf,4.966725e-05,12,769,3.314174e-29,-105.7399,0.03,1821.4708,64.08333333333333,3.8614893,0.03,5.054482e-34,16,0.2,0.2,0.2,-499.0767,5.207153e-30,13,-1.533576e-27,,151.78923,,-113.09355,,-146.78923,2.419721841812134,499.0767,0.03,-0.2,6.659262,0.03
13,5.2300954,-0.016615242,inf,inf,4.232002e-05,13,784,5.4248605e-34,-105.7399,0.03,1934.945,60.30769230769231,3.7814467,0.03,,16,-0.2,0.2,-0.2,-499.0767,4.1866638e-35,13,-4.5081836e-33,,148.84192,,-108.474075,,-143.84192,2.5441365242004395,499.0767,0.03,0.2,7.469361,0.03
14,5.245115,0.39022577,inf,inf,3.649022e-05,14,799,1.6000837e-35,-104.312126,0.03,2044.2571,57.07142857142857,3.7073386,0.03,,16,0.2,0.2,-0.2,-499.0767,1.1820311e-36,13,-1.3499379e-34,,146.01836,,-104.312126,,-141.01836,2.6701865196228027,499.0767,0.03,0.2,6.4037647,0.03
15,5.236638,0.4147815,inf,inf,3.178704e-05,15,812,7.0510794e-33,-104.312126,0.03,2155.3784,54.13333333333333,3.6383457,0.03,,16,-0.2,0.2,0.2,-499.0767,4.7007197e-34,13,-5.31621e-32,,143.6919,,-106.12142,,-138.6919,2.7903952598571777,499.0767,0.03,0.2,6.0838637,0.03
16,5.1899724,0.84953,inf,inf,2.7937827e-05,16,825,3.259871e-35,-104.312126,0.03,2266.0757,51.5625,3.5738072,0.03,,16,0.2,0.2,0.2,-499.0767,2.7158359e-36,13,-2.963034e-34,,141.62973,,-105.69709,,-136.62973,2.9158027172088623,499.0767,0.03,0.2,5.4580708,0.03
17,5.151529,0.02335687,2758.231,2840.4548,2.4747693e-05,17,895,17.0,-104.312126,0.03,2432.3115,52.64705882352941,3.5131826,0.03,,16,-0.2,0.2,-0.2,-499.0767,1.0,13,-82.22382,,143.07715,,-161.23592,,-138.07715,3.1152396202087402,499.0767,0.03,0.2,5.5064225,0.03
18,5.2755136,0.40994048,2772.405,2855.7205,2.2074333e-05,18,927,18.0,-104.312126,0.03,2551.4053,51.5,3.4560242,0.03,4.074683e-37,16,-0.2,0.2,0.2,-499.0767,1.0,13,-83.31552,,141.74474,,-114.09391,,-136.74474,3.266791343688965,499.0767,0.03,0.2,7.661807,0.03
19,5.3916306,-0.3545707,2786.7366,2870.086,1.9811867e-05,19,948,19.0,-104.312126,0.03,2669.847,49.89473684210526,3.401957,0.03,,16,-0.2,-0.2,0.2,-499.0767,1.0,13,-83.349266,,140.51826,,-113.441696,,-135.51826,3.407428026199341,499.0767,0.03,-0.2,7.7617927,0.03
20,5.480522,0.30253163,2799.9983,2883.6482,1.788021e-05,20,983,20.0,-104.312126,0.03,2788.979,49.15,3.3506637,0.03,,16,0.2,0.2,-0.2,-499.0767,1.0,13,-83.65,,139.44894,,-114.132,,-134.44894,3.574594020843506,499.0767,0.03,0.2,7.450896,0.03
21,5.475945,-0.37103862,2811.6191,2896.4897,1.6217875e-05,21,998,20.999996,-104.312126,0.03,2904.3586,47.523809523809526,3.3018737,0.03,,16,-0.2,-0.2,-0.2,-499.0767,0.9999998,13,-84.87069,,138.3028,,-110.379486,,-133.3028,3.7132980823516846,499.0767,0.03,0.2,5.667045,0.03
22,5.473,0.36554575,2823.1765,2908.681,1.4777031e-05,22,1020,22.000002,-104.312126,0.03,3025.1714,46.36363636363637,3.2553535,0.03,,16,0.2,0.2,0.2,-499.0767,1.0000001,13,-85.50447,,137.5078,,-115.8127,,-132.5078,3.853318929672241,499.0767,0.03,-0.2,5.6949496,0.03
23,5.519353,-0.44903615,2833.1003,2920.2825,1.3520007e-05,23,1044,23.0,-104.312126,0.03,3147.9285,45.391304347826086,3.2109017,0.03,,16,-0.2,0.2,-0.2,-499.0767,1.0,13,-87.1821,,136.86646,,-117.75702,,-131.86646,3.9782369136810303,499.0767,0.03,-0.2,6.823895,0.03
24,5.57568,0.4255991,2843.8613,2931.3474,1.2416813e-05,24,1061,24.0,-104.312126,0.03,3261.7693,44.208333333333336,3.168342,0.03,,16,0.2,-0.2,0.2,-499.0767,1.0,13,-87.4862,,135.90706,,-108.840805,,-130.90706,4.116555690765381,499.0767,0.03,0.2,7.1569285,0.03
25,5.628969,-0.060924232,2854.0056,2941.9214,1.1443334e-05,25,1101,25.000002,-104.312126,0.03,3400.9526,44.04,3.12752,0.03,1.661267e-36,16,-0.2,-0.2,0.2,-499.0767,1.0000001,13,-87.91582,,136.0381,,-134.18333,,-131.0381,4.278236150741577,499.0767,0.03,0.2,7.194487,0.03
26,5.5991774,0.008091673,2862.8992,2952.045,1.0580005e-05,26,1116,26.000004,-104.27958,0.03,3510.2322,42.92307692307692,3.0882995,0.03,,16,-0.2,0.2,0.2,-499.0767,1.0000001,13,-89.14576,,135.00893,,-104.27958,,-130.00893,4.4151811599731445,499.0767,0.03,-0.2,5.141767,0.03
27,5.576559,-0.042715356,2872.369,2961.7534,9.810813e-06,27,1139,27.000002,-104.27958,0.03,3624.0479,42.18518518518518,3.050559,0.03,,16,0.2,0.2,-0.2,-499.0767,1.0000001,13,-89.384476,,134.224,,-108.81567,,-129.224,4.574920415878296,499.0767,0.03,-0.2,5.276571,0.03
28,5.6224637,-0.84949106,2876.3616,2971.079,9.122555e-06,28,1161,28.000002,-104.27958,0.03,3745.6487,41.464285714285715,3.0141914,0.03,,16,-0.2,-0.2,-0.2,-499.0767,1.0000001,13,-94.717636,,133.77316,,-116.60092,,-128.77316,4.720735549926758,499.0767,0.03,-0.2,7.1506615,0.03
29,5.5848274,-0.30365628,2884.328,2980.0496,8.504261e-06,29,1204,28.999998,-104.27958,0.03,3867.6384,41.51724137931034,2.9791002,0.03,,16,0.2,-0.2,-0.2,-499.0767,0.99999994,13,-95.72159,,133.36684,,-116.98983,,-128.36684,4.906890392303467,499.0767,0.03,-0.2,4.82043,0.03
30,5.454193,-0.0384977,2880.0454,2988.6907,7.94676e-06,30,1219,30.000002,-104.27958,0.03,3981.0212,40.63333333333333,2.9451985,0.03,3.6282242e-20,16,0.2,-0.2,-0.2,-499.0767,1.0000001,13,-108.64518,,132.70071,,-108.382805,,-127.70071,5.061704397201538,499.0767,0.03,0.2,1.9558043,0.03
31,5.4617,0.76092863,2869.9304,2997.0244,7.4423347e-06,31,1235,30.999998,-104.27958,0.03,4097.5576,39.83870967741935,2.9124088,0.03,,16,0.2,0.2,0.2,-499.0767,0.99999994,13,-127.093895,,132.17928,,-111.53635,,-127.179276,5.199249267578125,499.0767,0.03,0.2,5.9774485,0.03
