ReturnMin,InvPendulum_std0_higher,ReturnMax,InvPendulum_std3_higher,GridSize,InvPendulum_mu2_higher,ReturnAbsMax,ReturnLastEpisode,InvPendulum_mu3_higher,Bound,Delta,NumTrajectories,IWFirstEpisode,MinEpLen,TimeElapsed,AvgEpLen,Regret,BoundMISE,Iteration,IWMax,BoundBonus,ActionIn1,InvPendulum_mu0_higher,ReturnMean,InvPendulum_std2_higher,InvPendulum_std1_higher,InvPendulum_mu1_higher,TimestepsSoFar,DenMISEMeanLog,IWMean,IWLastEpisode,NumTrainableParams,DenMISELogFirst,DenMISELogLast,IWMin,Regret/t
-152.55556,0.03,-152.55556,0.03,1,-0.2,152.55556,-152.55556,-0.2,inf,0.060792707,1,,80,0.1313948631286621,80.0,157.55556,,1,,inf,-0.73730993,-0.2,-152.55556,0.03,0.03,-0.2,80,9.4483795,,,4,9.4483795,9.4483795,,157.55556
-152.55556,0.03,-112.28426,0.03,16,-0.2,152.55556,-112.28426,0.2,inf,0.001788021,2,,24,0.5433282852172852,52.0,274.8398,,2,,inf,-0.5424129,-0.2,-132.4199,0.03,0.03,-0.2,104,8.115399,,,,8.755233,7.4755654,,137.4199
-152.55556,0.03,-112.28426,0.03,16,0.2,152.55556,-125.6449,-0.2,inf,0.000794676,3,,24,0.7404930591583252,47.666666666666664,405.4847,,3,,inf,-0.34905714,-0.2,-130.16158,0.03,0.03,-0.2,143,7.1405354,,,,8.349768,6.0017376,,135.16158
-152.55556,0.03,-101.00568,0.03,16,0.2,152.55556,-101.00568,0.2,inf,0.00044700524,4,,24,0.8975043296813965,47.75,511.4904,,4,,inf,0.011925638,-0.2,-122.8726,0.03,0.03,-0.2,191,6.82575,,,,8.062085,6.744441,,127.8726
-152.55556,0.03,-101.00568,0.03,16,-0.2,152.55556,-142.25864,-0.2,inf,0.00028608335,5,,24,1.045346975326538,47.2,658.749,-1.7655693e-25,5,7.862051e-27,inf,-0.4443947,0.2,-126.7498,0.03,0.03,-0.2,236,6.246028,1.5724103e-27,,,7.8389416,4.8197136,,131.7498
-152.55556,0.03,-101.00568,0.03,16,-0.2,152.55556,-108.00312,0.2,inf,0.000198669,6,,16,1.1435348987579346,42.0,771.7522,-5.9213846e-35,6,3.289563e-36,inf,0.03266321,0.2,-123.62537,0.03,0.03,-0.2,252,6.2797723,5.4826047e-37,3.289563e-36,,7.65662,7.3601007,,128.62537
-152.55556,0.03,-101.00568,0.03,16,0.2,152.55556,-121.920235,-0.2,inf,0.00014596088,7,,16,1.282151222229004,39.57142857142857,898.67236,,7,,inf,-0.045040324,0.2,-123.38177,0.03,0.03,-0.2,277,6.0434804,,,,7.5024695,5.550634,,128.38177
-152.55556,0.03,-101.00568,0.03,16,0.2,152.55556,-103.001595,0.2,inf,0.00011175131,8,,16,1.3935182094573975,37.375,1006.67395,-1.8418084e-36,8,1.2085334e-37,inf,0.4693072,0.2,-120.83424,0.03,0.03,-0.2,299,5.9781785,1.5106667e-38,,,7.368938,6.455787,,125.83424
-152.55556,0.03,-101.00568,0.03,16,-0.2,152.55556,-118.70428,-0.2,inf,8.829733e-05,9,,16,1.529531717300415,35.666666666666664,1130.3783,-2.649725e-35,9,2.1238528e-36,inf,-0.37431017,-0.2,-120.59759,0.03,0.03,0.2,321,5.797181,2.3598364e-37,,,7.251155,5.2914658,,125.59759
-152.55556,0.03,-101.00568,0.03,16,-0.2,152.55556,-110.97976,0.2,inf,7.152084e-05,10,,16,1.7115790843963623,37.4,1246.358,,10,,inf,0.0039900243,-0.2,-119.6358,0.03,0.03,0.2,374,5.724514,,,,7.1457944,6.0187554,,124.6358
