ReturnMin,InvPendulum_mu0_higher,Iteration,NumTrajectories,ReturnLastEpisode,InvPendulum_mu3_higher,BoundMISE,ReturnAbsMax,ReturnMean,InvPendulum_std1_higher,DenMISELogLast,InvPendulum_mu2_higher,InvPendulum_std3_higher,TimeElapsed,DenMISEMeanLog,ActionIn1,Bound,InvPendulum_mu1_higher,IWMean,GridSize,AvgEpLen,TimestepsSoFar,BoundBonus,IWFirstEpisode,Regret/t,Regret,InvPendulum_std2_higher,IWLastEpisode,InvPendulum_std0_higher,DenMISELogFirst,NumTrainableParams,IWMax,Delta,IWMin,MinEpLen,ReturnMax
-149.63358,-0.2,19,19,-125.51572,-0.2,-83.44461,149.63358,-117.64462,0.03,7.1900363,-0.2,0.03,3.038764715194702,5.478125,-0.34938318,777.0669,0.2,1.0,16,34.8421052631579,662,860.5115,,122.64462,2330.2478,0.03,,0.03,6.442066,,19.0,1.9811867e-05,,13,-101.11877
-149.63358,-0.2,20,20,-107.095856,-0.2,-83.51869,149.63358,-117.11719,0.03,7.159345,-0.2,0.03,3.1771810054779053,5.548115,-0.7002681,781.0591,-0.2,1.0,16,33.8,676,864.57776,,122.11719,2442.3438,0.03,3.0258998e-37,0.03,6.390773,,20.0,1.788021e-05,,13,-101.11877
-149.63358,-0.2,21,21,-103.9583,-0.2,-84.53617,149.63358,-116.49057,0.03,5.8457685,0.2,0.03,3.3135483264923096,5.548829,-0.081174284,783.8917,0.2,0.9999998,16,33.0,693,868.4279,,121.49057,2551.302,0.03,,0.03,6.341983,,20.999996,1.6217875e-05,,13,-101.11877
-149.63358,0.2,22,22,-105.47042,-0.2,-84.797966,149.63358,-115.989655,0.03,6.592732,0.2,0.03,3.4576399326324463,5.5833797,0.33234394,787.28516,0.2,1.0000001,16,32.31818181818182,711,872.0831,,120.989655,2661.7725,0.03,,0.03,6.2954626,,22.000002,1.4777031e-05,,13,-101.11877
-149.63358,-0.2,23,23,-107.46874,0.2,-85.740425,149.63358,-115.61919,0.03,7.1816764,0.2,0.03,3.596449851989746,5.640489,0.35319763,789.8211,0.2,1.0,16,31.608695652173914,727,875.5615,,120.61919,2774.2412,0.03,,0.03,6.251011,,23.0,1.3520007e-05,,13,-101.11877
-149.63358,-0.2,24,24,-110.90466,-0.2,-86.509834,149.63358,-115.42275,0.03,5.73811,0.2,0.03,3.740551233291626,5.632651,-0.47179547,792.36914,-0.2,1.0,16,31.0,744,878.87897,,120.42275,2890.146,0.03,,0.03,6.2084513,,24.0,1.2416813e-05,,13,-101.11877
-149.63358,0.2,25,25,-101.699135,0.2,-89.01217,149.63358,-114.8738,0.03,4.0520296,0.2,0.03,3.9627668857574463,5.5579634,0.82348955,793.0371,0.2,1.0000001,16,32.56,814,882.04926,,119.8738,2996.845,0.03,,0.03,6.1676292,,25.000002,1.1443334e-05,,13,-101.11877
-149.63358,0.2,26,26,-108.91953,0.2,-89.82836,149.63358,-114.64479,0.03,7.636707,-0.2,0.03,4.094151258468628,5.626862,0.38043272,795.2561,0.2,0.99999994,16,31.846153846153847,828,885.0845,,119.64479,3110.7646,0.03,1.4470811e-38,0.03,6.1284084,,25.999998,1.0580005e-05,,13,-101.11877
-149.63358,0.2,27,27,-108.15482,0.2,-94.89889,149.63358,-114.40443,0.03,7.0748606,-0.2,0.03,4.213305711746216,5.6698213,-0.02757135,793.0965,-0.2,1.0000001,16,31.22222222222222,843,887.99536,,119.40443,3223.9194,0.03,,0.03,6.090668,,27.000002,9.810813e-06,,13,-101.11877
-149.63358,-0.2,28,28,-115.24601,0.2,-97.51826,149.63358,-114.43449,0.03,7.0699997,-0.2,0.03,4.365300416946411,5.709514,0.002331555,793.27313,0.2,0.9999999,16,30.785714285714285,862,890.7914,,119.43449,3344.1655,0.03,,0.03,6.054301,,27.999996,9.122555e-06,,13,-101.11877
-149.63358,-0.2,29,29,-109.929474,0.2,-101.4466,149.63358,-114.27913,0.03,7.000904,-0.2,0.03,4.513081073760986,5.7440653,-0.26113272,792.03436,-0.2,0.99999994,16,30.24137931034483,877,893.48096,,119.27913,3459.0947,0.03,,0.03,6.0192094,,28.999998,8.504261e-06,,13,-101.11877
-149.63358,0.2,30,30,-134.56815,-0.2,-108.9251,149.63358,-114.95544,0.03,3.4895892,-0.2,0.03,4.686577796936035,5.65925,-0.42102647,787.14655,-0.2,1.0000001,16,30.466666666666665,914,896.07166,,119.95544,3598.663,0.03,,0.03,5.9853077,,30.000002,7.94676e-06,,13,-101.11877
-149.63358,-0.2,31,31,-106.656425,0.2,-113.2632,149.63358,-114.68772,0.03,6.1839437,0.2,0.03,4.8395397663116455,5.666803,-0.047397926,785.3071,-0.2,0.99999994,16,29.903225806451612,927,898.5703,,119.68772,3710.3193,0.03,,0.03,5.952518,,30.999998,7.4423347e-06,,13,-101.11877
-149.63358,0.2,32,32,-139.39322,0.2,-117.948364,149.63358,-115.45976,0.03,4.4676642,0.2,0.03,5.042467832565308,5.6202335,0.3572117,783.03467,-0.2,1.0,16,30.3125,970,900.98303,,120.45976,3854.7124,0.03,,0.03,5.920769,,32.0,6.984457e-06,,13,-101.11877
-149.63358,-0.2,33,33,-117.47828,,-5.800534e-13,149.63358,-115.520935,0.03,6.4980464,,0.03,5.196667909622192,5.6379995,-0.43392998,inf,-0.2,5.285306e-15,81,30.03030303030303,991,inf,,120.520935,3977.191,0.03,,0.03,5.8899975,,1.7437416e-13,1.3615693e-06,,13,-101.11877
