BoundBonus,Bound,InvPendulum_mu3_higher,Regret/t,InvPendulum_std3_higher,AvgEpLen,InvPendulum_std0_higher,MinEpLen,ReturnLastEpisode,TimeElapsed,TimestepsSoFar,InvPendulum_mu1_higher,InvPendulum_std2_higher,IWMean,InvPendulum_std1_higher,DenMISEMeanLog,ReturnMean,GridSize,ReturnMax,InvPendulum_mu0_higher,Iteration,NumTrainableParams,IWFirstEpisode,InvPendulum_mu2_higher,Regret,ActionIn1,BoundMISE,DenMISELogLast,IWMin,IWMax,ReturnMin,Delta,IWLastEpisode,ReturnAbsMax,DenMISELogFirst,NumTrajectories
795.78394,709.90497,0.2,123.423645,0.01,26.80952380952381,0.01,13,-120.02845,3.308713436126709,563,0.2,0.01,0.9999998,0.01,10.618235,-118.423645,16,-104.976654,0.2,21,,,-0.2,2591.8965,0.43961012,-85.87895,11.857725,,20.999996,-137.11673,1.6217875e-05,,137.11673,11.09691,21
799.13336,712.5011,0.2,123.387115,0.01,26.681818181818183,0.01,13,-117.620186,3.4624412059783936,587,0.2,0.01,1.0000001,0.01,10.573052,-118.387115,16,-104.976654,-0.2,22,,,0.2,2714.5166,0.41035348,-86.63229,9.907991,,22.000002,-137.11673,1.4777031e-05,,137.11673,11.05039,22
802.3208,714.3827,-0.2,122.96291,0.01,26.08695652173913,0.01,13,-108.63034,3.6038827896118164,600,-0.2,0.01,1.0,0.01,10.607713,-117.96291,16,-104.976654,-0.2,23,,,-0.2,2828.147,-0.78890777,-87.93813,11.655044,,23.0,-137.11673,1.3520007e-05,,137.11673,11.005939,23
805.3608,716.53235,-0.2,122.82577,0.01,26.541666666666668,0.01,13,-114.67151,3.7713003158569336,637,0.2,0.01,1.0,0.01,10.63094,-117.82577,16,-104.976654,-0.2,24,,,0.2,2947.8184,-0.019964397,-88.82846,11.450888,,24.0,-137.11673,1.2416813e-05,,137.11673,10.963379,24
808.26587,711.9971,-0.2,122.32038,0.01,25.96,0.01,12,-105.191086,3.891155481338501,649,-0.2,0.01,1.0000001,0.01,10.603102,-117.32038,16,-104.976654,0.2,25,,,-0.2,3058.0095,-0.37553912,-96.26881,10.221561,,25.000002,-137.11673,1.1443334e-05,,137.11673,10.922557,25
811.0472,714.4765,0.2,122.24588,0.01,25.76923076923077,0.01,12,-115.383354,4.029243230819702,670,-0.2,0.01,1.0000001,0.01,10.579205,-117.24588,16,-104.976654,0.2,26,,,-0.2,3178.3928,0.0024865717,-96.57068,10.269156,,26.000004,-137.11673,1.0580005e-05,,137.11673,10.883336,26
813.71454,713.7095,-0.2,122.76358,0.01,26.185185185185187,0.01,12,-131.22385,4.207959413528442,707,-0.2,0.01,0.9999996,0.01,10.516546,-117.76358,16,-104.976654,-0.2,27,,,0.2,3314.6167,-0.47617033,-100.005066,9.175518,,26.999989,-137.11673,9.810813e-06,,137.11673,10.845596,27
816.2767,715.22784,-0.2,122.26128,0.01,25.964285714285715,0.01,12,-103.69901,4.343217849731445,727,-0.2,0.01,1.0000004,0.01,10.258935,-117.26128,16,-103.69901,0.2,28,,,0.2,3423.3157,-0.008099839,-101.04882,3.5922005,,28.00001,-137.11673,9.122555e-06,,137.11673,10.809228,28
818.7413,716.1211,0.2,122.613914,0.01,26.448275862068964,0.01,12,-127.487854,4.5212562084198,767,-0.2,0.01,1.0000004,0.01,10.302877,-117.613914,16,-103.69901,0.2,29,,,0.2,3555.8035,0.40444338,-102.62019,11.822673,,29.000011,-137.11673,8.504261e-06,,137.11673,10.774137,29
821.11523,714.2229,0.2,122.61016,0.01,26.266666666666666,0.01,12,-117.50141,4.678846597671509,788,-0.2,0.01,1.0000001,0.01,10.320725,-117.61016,16,-103.69901,-0.2,30,,,0.2,3678.305,0.011565343,-106.8923,11.1283045,,30.000002,-137.11673,7.94676e-06,,137.11673,10.740235,30
823.4049,715.9145,0.2,122.80576,0.01,26.29032258064516,0.01,12,-123.6738,4.8634936809539795,815,-0.2,0.01,1.0000005,0.01,10.349264,-117.80576,16,-103.69901,-0.2,31,,,-0.2,3806.9788,-0.41172075,-107.49042,11.495985,,31.000013,-137.11673,7.4423347e-06,,137.11673,10.707445,31
825.6158,717.5338,0.2,123.187225,0.01,26.6875,0.01,12,-130.0125,5.05232048034668,854,0.2,0.01,0.9999995,0.01,10.342169,-118.187225,16,-103.69901,0.2,32,,,0.2,3941.9912,0.8022234,-108.081985,10.413298,,31.999985,-137.11673,6.984457e-06,,137.11673,10.675697,32
inf,inf,,123.07139,0.01,26.424242424242426,0.01,12,-114.36459,5.218551397323608,872,-0.2,0.01,,0.01,10.3577585,-118.07139,81,-103.69901,-0.2,33,,,-0.2,4061.3557,-0.6343691,,11.148155,,,-137.11673,1.3615693e-06,,137.11673,10.644925,33
inf,inf,-0.2,123.56895,0.01,27.264705882352942,0.01,12,-134.9883,9.031805992126465,927,-0.2,0.01,,0.01,10.277759,-118.56895,81,-103.69901,-0.2,34,,,,4201.344,-0.55955094,,8.622921,,,-137.11673,1.2826548e-06,,137.11673,10.615072,34
inf,inf,,123.82439,0.01,29.114285714285714,0.01,12,-127.5092,9.611279487609863,1019,-0.2,0.01,,0.01,10.1431465,-118.82439,81,-103.69901,-0.2,35,,,,4333.8535,-0.3731867,,6.551913,,,-137.11673,1.2104073e-06,,137.11673,10.586084,35
inf,inf,0.2,134.37125,0.01,42.19444444444444,0.01,12,-498.5114,10.782312393188477,1519,-0.2,0.01,,0.01,10.084301,-129.37125,81,-103.69901,-0.2,36,,,,4837.3647,-0.20678619,,9.010704,,,-498.5114,1.1440965e-06,,498.5114,10.557914,36
inf,inf,,144.36224,0.01,54.567567567567565,0.01,12,-499.03806,11.94068694114685,2019,-0.2,0.01,,0.01,10.068221,-139.36224,81,-103.69901,-0.2,37,,,0.2,5341.403,-0.21132298,,10.475668,,,-499.03806,1.0830892e-06,,499.03806,10.530515,37
inf,inf,-0.2,144.6351,0.01,54.5,0.01,12,-149.73106,12.49138879776001,2071,-0.2,0.01,,0.01,10.043155,-139.6351,81,-103.69901,,38,,,-0.2,5496.134,-0.61090714,,10.102478,,,-499.03806,1.0268345e-06,,499.03806,10.503846,38
inf,inf,,143.7518,0.01,53.61538461538461,0.01,12,-105.18648,12.94710397720337,2091,-0.2,0.01,,0.01,10.019195,-138.7518,81,-103.69901,,39,,,-0.2,5606.3203,-0.39206442,,10.095738,,,-499.03806,9.748514e-07,,499.03806,10.477871,39
inf,inf,0.2,143.41824,0.01,53.025,0.01,12,-125.409195,13.42774748802185,2121,-0.2,0.01,,0.01,9.944795,-138.41824,81,-103.69901,,40,,,-0.2,5736.7295,-0.20226006,,8.030593,,,-499.03806,9.267181e-07,,499.03806,10.452554,40
inf,inf,-0.2,143.17769,0.01,52.5609756097561,0.01,12,-128.55598,13.92975664138794,2155,-0.2,0.01,,0.01,9.906568,-138.17769,81,-103.69901,,41,,,,5870.285,-0.33997685,,9.365216,,,-499.03806,8.820637e-07,,499.03806,10.42786,41
inf,inf,,142.10915,0.01,52.857142857142854,0.01,12,-93.29875,14.469465255737305,2220,-0.2,0.01,,0.01,9.782373,-137.10915,81,-93.29875,,42,,,,5968.584,-0.18426459,,5.6783757,,,-499.03806,8.405606e-07,,499.03806,10.403763,42
inf,inf,0.2,146.15096,0.01,56.627906976744185,0.01,12,-310.90726,15.256669282913208,2435,-0.2,0.01,,0.01,9.728108,-141.15096,81,-93.29875,,43,,,,6284.491,-0.0023618639,,8.437284,,,-499.03806,8.019195e-07,,499.03806,10.380233,43
inf,inf,-0.2,152.37251,0.01,62.52272727272727,0.01,12,-414.8994,16.144110679626465,2751,-0.2,0.01,,0.01,9.705977,-147.37251,81,-93.29875,,44,,,0.2,6704.3906,-0.22889234,,9.742844,,,-499.03806,7.658827e-07,,499.03806,10.357244,44
inf,inf,,151.43472,0.01,61.46666666666667,0.01,12,-105.17123,16.617613315582275,2766,-0.2,0.01,,0.01,9.6776285,-146.43472,81,-93.29875,,45,,,0.2,6814.5625,-0.008760849,,9.419092,,,-499.03806,7.3222174e-07,,499.03806,10.33477,45
inf,inf,0.2,151.16139,0.01,60.91304347826087,0.01,12,-133.86215,17.133927583694458,2802,-0.2,0.01,,0.01,9.671206,-146.16139,81,-93.29875,,46,,,0.2,6953.4243,0.20261665,,10.37131,,,-499.03806,7.0073213e-07,,499.03806,10.312792,46
inf,inf,,150.46213,0.01,60.02127659574468,0.01,12,-113.295654,17.624072551727295,2821,-0.2,0.01,,0.01,9.625137,-145.46213,81,-93.29875,0.2,47,,,-0.2,7071.7197,-0.20794947,,8.495246,,,-499.03806,6.7123085e-07,,499.03806,10.2912855,47
inf,inf,-0.2,149.92763,0.01,59.270833333333336,0.01,12,-119.805725,18.103715896606445,2845,-0.2,0.01,,0.01,9.565833,-144.92763,81,-93.29875,0.2,48,,,,7196.5264,-0.2186618,,7.7680097,,,-499.03806,6.435543e-07,,499.03806,10.270232,48
inf,inf,,148.97203,0.01,59.53061224489796,0.01,12,-98.10334,18.660516262054443,2917,-0.2,0.01,,0.01,9.531414,-143.97203,81,-93.29875,0.2,49,,,,7299.6294,0.0378946,,8.869043,,,-499.03806,6.175547e-07,,499.03806,10.249613,49
inf,inf,0.2,149.37979,0.01,59.76,0.01,12,-164.3599,19.200010061264038,2988,-0.2,0.01,,0.01,9.415056,-144.37979,81,-93.29875,0.2,50,,,,7468.9893,0.21021818,,4.703445,,,-499.03806,5.930996e-07,,499.03806,10.22941,50
inf,inf,,149.24988,0.01,59.431372549019606,0.01,12,-137.75475,19.70604109764099,3031,-0.2,0.01,,0.01,9.37103,-144.24988,81,-93.29875,0.2,51,,,0.2,7611.744,0.195656,,8.159883,,,-499.03806,5.700688e-07,,499.03806,10.209607,51
inf,inf,-0.2,148.64728,0.01,58.67307692307692,0.01,12,-112.914604,20.183244705200195,3051,,0.01,,0.01,9.327929,-143.64728,81,-93.29875,-0.2,52,,,-0.2,7729.658,-0.5874915,,8.12007,,,-499.03806,5.483539e-07,,499.03806,10.190189,52
inf,inf,,148.01091,0.01,57.84905660377358,0.01,12,-109.91958,20.6576247215271,3066,,0.01,,0.01,9.257892,-143.01091,81,-93.29875,-0.2,53,,,-0.2,7844.578,-0.43716782,,6.606448,,,-499.03806,5.2785657e-07,,499.03806,10.171141,53
inf,inf,0.2,147.39288,0.01,57.092592592592595,0.01,12,-109.637886,21.10502576828003,3083,,0.01,,0.01,9.211434,-142.39288,81,-93.29875,-0.2,54,,,-0.2,7959.216,-0.17716405,,7.73993,,,-499.03806,5.084873e-07,,499.03806,10.152449,54
inf,inf,-0.2,147.07979,0.01,56.61818181818182,0.01,12,-125.172874,21.58046245574951,3114,,0.01,,0.01,9.195012,-142.07979,81,-93.29875,-0.2,55,,,,8089.3887,-0.39414266,,9.299022,,,-499.03806,4.9016495e-07,,499.03806,10.1341,55
inf,inf,,146.42924,0.01,57.232142857142854,0.01,12,-105.64968,22.148736000061035,3205,,0.01,,0.01,9.152573,-141.42924,81,-93.29875,-0.2,56,,,,8200.038,-0.20365234,,7.809469,,,-499.03806,4.7281532e-07,,499.03806,10.116081,56
inf,inf,0.2,151.51561,0.01,65.0,0.01,12,-431.35162,23.305370569229126,3705,,0.01,,0.01,9.140929,-146.51561,81,-93.29875,-0.2,57,,,,8636.39,-0.009897724,,9.480061,,,-499.03806,4.563709e-07,,499.03806,10.098381,57
inf,inf,-0.2,153.4838,0.01,66.8103448275862,0.01,12,-260.67154,23.978532314300537,3875,,0.01,,0.01,9.130282,-148.4838,81,-93.29875,-0.2,58,,,0.2,8902.061,-0.23135869,,9.514705,,,-499.03806,4.4076967e-07,,499.03806,10.08099,58
inf,inf,,152.7538,0.01,65.96610169491525,0.01,12,-105.41294,24.458821296691895,3892,,0.01,,0.01,9.08752,-147.7538,81,-93.29875,-0.2,59,,,0.2,9012.475,-0.005532423,,7.598712,,,-499.03806,4.259549e-07,,499.03806,10.063895,59
inf,inf,0.2,152.05368,0.01,65.18333333333334,0.01,12,-105.74581,24.95681619644165,3911,,0.01,,0.01,9.093594,-147.05368,81,-93.29875,-0.2,60,,,0.2,9123.221,0.1847097,,10.443565,,,-499.03806,4.1187477e-07,,499.03806,10.047089,60
inf,inf,-0.2,151.68823,0.01,64.59016393442623,0.01,12,-124.76272,25.448439836502075,3940,,0.01,,0.01,9.068761,-146.68823,81,-93.29875,,61,,,-0.2,9252.982,-0.38426587,,8.570606,,,-499.03806,3.984813e-07,,499.03806,10.030559,61
inf,inf,,151.03065,0.01,63.74193548387097,0.01,12,-105.91737,25.92284345626831,3952,,0.01,,0.01,8.985368,-146.03065,81,-93.29875,,62,,,-0.2,9363.9,-0.20036645,,4.8903246,,,-499.03806,3.8573074e-07,,499.03806,10.014298,62
inf,inf,0.2,150.42542,0.01,62.95238095238095,0.01,12,-107.89973,26.412934064865112,3966,,0.01,,0.01,8.96352,-145.42542,81,-93.29875,,63,,,-0.2,9476.801,-0.029980898,,8.600974,,,-499.03806,3.735825e-07,,499.03806,9.998298,63
inf,inf,-0.2,149.94798,0.01,62.3125,0.01,12,-114.870926,26.941200733184814,3988,,0.01,,0.01,8.940841,-144.94798,81,-93.29875,,64,,,,9596.671,-0.18042487,,8.50418,,,-499.03806,3.6199927e-07,,499.03806,9.98255,64
inf,inf,,149.55113,0.01,62.292307692307695,0.01,12,-119.15244,27.514108896255493,4049,,0.01,,0.01,8.883727,-144.55113,81,-93.29875,,65,,,,9720.823,-0.07140972,,6.220739,,,-499.03806,3.5094652e-07,,499.03806,9.967046,65
